Name,URL,Image,Amount,Price
Corsair XTM50,https://pcpartpicker.com/product/QP3mP6/corsair-xtm50-5-g-thermal-paste-ct-9010002-ww,https://cdna.pcpartpicker.com/static/forever/images/product/b9f4d59a1ef7680c36fa309dd509d23d.256p.jpg,5 g,12.29
Thermal Grizzly Conductonaut Extreme,https://pcpartpicker.com/product/4HDQzy/thermal-grizzly-conductonaut-extreme-1-g-thermal-paste-s-tg-ce-001-r,https://cdna.pcpartpicker.com/static/forever/images/product/f14de6b7e7956b8ee95301511af4786f.256p.jpg,1 g,19.98
Thermal Hero QUANTUM,https://pcpartpicker.com/product/HNsMnQ/thermal-hero-quantum-50-g-thermal-paste-th-501750-us,https://m.media-amazon.com/images/I/21wocIv4E1L.jpg,50 g,69.90
ARCTIC MX-4 w/ Spatula,https://pcpartpicker.com/product/gCpQzy/arctic-mx-4-w-spatula-4-g-thermal-paste-actcp00031b,https://cdna.pcpartpicker.com/static/forever/images/product/d756c1b1cae3360570e2a611485e51b2.256p.jpg,4 g,
Thermal Grizzly Kryonaut,https://pcpartpicker.com/product/NPkWGX/thermal-grizzly-kryonaut-111-g-thermal-paste-tg-k-030-r,https://cdna.pcpartpicker.com/static/forever/images/product/5ccc690fb48aa92cf3ac496db6b8015b.256p.jpg,11.1 g,31.99
ARCTIC MX-4 w/ Spatula,https://pcpartpicker.com/product/qwtLrH/arctic-mx-4-w-spatula-8-g-thermal-paste-actcp00059a,https://cdna.pcpartpicker.com/static/forever/images/product/f913de8a3eec1f7ef3f3cfb4e15cc223.256p.jpg,8 g,6.99
Asus ROG RG-07,https://pcpartpicker.com/product/md4Zxr/asus-rog-rg-07-3-g-thermal-paste-rog-rg-07,https://m.media-amazon.com/images/I/21-ek+cmlUL.jpg,3 g,18.06
ARCTIC MX-4,https://pcpartpicker.com/product/HBXfrH/arctic-mx-4-4-g-thermal-paste-ac-mx4,https://cdna.pcpartpicker.com/static/forever/images/product/2998c52bf44e08b31ce96124cf4ff0b3.256p.jpg,4 g,
ARCTIC MX-7,https://pcpartpicker.com/product/KBtkcf/arctic-mx-7-4-g-thermal-paste-actcp00090a,https://cdna.pcpartpicker.com/static/forever/images/product/6a079028542cb3df585329b8c88c3fd0.256p.jpg,4 g,7.37
Thermalright TF9,https://pcpartpicker.com/product/djvD4D/thermalright-tf9-15-g-thermal-paste-tf9-15g,https://m.media-amazon.com/images/I/314ouVDd-dL.jpg,1.5 g,4.88
ID-COOLING Frost X45,https://pcpartpicker.com/product/pJy8TW/id-cooling-frost-x45-4-g-thermal-paste-frost-x45-4g,https://m.media-amazon.com/images/I/31wwoC9MsmL.jpg,4 g,5.99
Thermal Grizzly Aeronaut,https://pcpartpicker.com/product/w4nG3C/thermal-grizzly-thermal-paste-tga015r,https://cdna.pcpartpicker.com/static/forever/images/product/c2677dd5177f559b8be347f2ca37181b.256p.jpg,3.9 g,5.70
KINGPINcooling KPx,https://pcpartpicker.com/product/g4YRsY/kingpincooling-kpx-1-g-thermal-paste-kpx-1g-002,https://m.media-amazon.com/images/I/312Mdxu-8HL.jpg,1 g,8.36
Thermal Grizzly Hydronaut,https://pcpartpicker.com/product/DRkwrH/thermal-grizzly-thermal-paste-tgh015r,https://cdna.pcpartpicker.com/static/forever/images/product/b2dd57132536560659b45258959fbbd9.256p.jpg,3.9 g,11.90
StarTech Metal Oxide,https://pcpartpicker.com/product/nL8Zxr/startech-thermal-paste-silvgrease1,https://cdna.pcpartpicker.com/static/forever/images/product/7592fd947177a18d364a459a5c2460b1.256p.jpg,1.5 g,9.99
Thermalright TF7,https://pcpartpicker.com/product/96BzK8/thermalright-tf7-2-g-thermal-paste-tf7-2g,https://m.media-amazon.com/images/I/31casKiIueL.jpg,2 g,
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Q6Gkcf/prolimatech-thermal-paste-propk330g,https://cdna.pcpartpicker.com/static/forever/images/product/e481d9ea681622e27a0ed77d9f530d28.256p.jpg,30 g,49.99
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/KgdG3C/thermal-grizzly-polartherm-x-8-5-g-thermal-paste-pt-x8-005,https://m.media-amazon.com/images/I/11dHJF2pZ4L.jpg,5 g,4.99
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/tgvRsY/gelid-solutions-thermal-paste-gcextreme,https://cdna.pcpartpicker.com/static/forever/images/product/4fd9ec0bcb620d8511189071fbb70e7c.256p.jpg,3.5 g,8.99
Cooler Master HTK-002,https://pcpartpicker.com/product/hgvRsY/cooler-master-thermal-paste-htk002u1,https://cdna.pcpartpicker.com/static/forever/images/product/2d4478615e2ccdda0a2ee242f07f05b1.256p.jpg,0.01 g,11.30
KINGPINcooling KPx,https://pcpartpicker.com/product/qQcgXL/kingpincooling-kpx-30-g-thermal-paste-kpx-30g-002,https://m.media-amazon.com/images/I/31LcXQ-CxtL.jpg,30 g,56.99
Thermal Grizzly Conductonaut,https://pcpartpicker.com/product/9PkwrH/thermal-grizzly-conductonaut-1g-thermal-paste-tg-c-001-r,https://cdna.pcpartpicker.com/static/forever/images/product/cebb7f029dc60b7c888ae5a3ee5f87ac.256p.jpg,1 g,12.99
KINGPINcooling KPx,https://pcpartpicker.com/product/tRYRsY/kingpincooling-kpx-10-g-thermal-paste-kpx-10g-002,https://m.media-amazon.com/images/I/31nT0+TezvL.jpg,10 g,26.35
ARCTIC MX-4,https://pcpartpicker.com/product/gBbCmG/arctic-mx-4-20-g-thermal-paste-actcp00001b,https://cdna.pcpartpicker.com/static/forever/images/product/463618012eea973a1f79662c0e7f1d29.256p.jpg,20 g,11.99
