Name,URL,Image,Size,Color,RPM,Airflow,Noise Level,PWM,Price
Noctua NF-A12x25 G2 PWM Sx2-PP 2-Pack,https://pcpartpicker.com/product/HxTFf7/noctua-nf-a12x25-g2-pwm-sx2-pp-6315-cfm-120-mm-fans-2-pack-nf-a12x25-g2-pwm-sx2-pp,https://cdna.pcpartpicker.com/static/forever/images/product/fc3f3932fcc1a9f3f4dc39c399eabbaf.256p.jpg,120 mm,Brown,1500 - 1800 RPM,51.32 - 63.15 CFM,18.1 - 22.5 dB,Yes,64.90
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/CVQKHx/lian-li-uni-fan-sl-infinity-716-cfm-140-mm-fan-uf-rs-slin140-1b,https://m.media-amazon.com/images/I/41IV-Rq1TfL.jpg,140 mm,Black,200 - 1600 RPM,71.6 CFM,28.6 dB,Yes,29.30
ARCTIC P14 Pro PST,https://pcpartpicker.com/product/LvNscf/arctic-p14-pro-pst-110-cfm-140-mm-fan-acfan00314a,https://cdna.pcpartpicker.com/static/forever/images/product/dc3183175f65d112254a0b62b4da5066.256p.jpg,140 mm,Black,400 - 2500 RPM,110 CFM,,Yes,10.49
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/bBBG3C/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1w,https://cdna.pcpartpicker.com/static/forever/images/product/cee074c59a18e40fc8b58b4acec4068e.256p.jpg,120 mm,White,,0 - 61.3 CFM,0 - 29 dB,Yes,30.99
ARCTIC P12 Pro A-RGB 3-Pack,https://pcpartpicker.com/product/yHrp99/arctic-p12-pro-a-rgb-77-cfm-120-mm-fans-3-pack-acfan00310a,https://cdna.pcpartpicker.com/static/forever/images/product/ac31035551179cb15e93181b7f83b2e5.256p.jpg,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,28.49
Lian Li UNI FAN TL Wireless 3-Pack,https://pcpartpicker.com/product/fm8Pxr/lian-li-uni-fan-tl-wireless-901-cfm-120-mm-fans-3-pack-12tl1w3b,https://cdna.pcpartpicker.com/static/forever/images/product/a27d9acbd535b84a156361f061a44455.256p.jpg,120 mm,Black,200 - 2600 RPM,90.1 CFM,33 dB,Yes,94.99
ARCTIC P12 Pro Reverse A-RGB 3-Pack,https://pcpartpicker.com/product/cXpD4D/arctic-p12-pro-reverse-a-rgb-73-cfm-120-mm-fans-3-pack-acfan00333a,https://m.media-amazon.com/images/I/41gQwu191NL.jpg,120 mm,Black,500 - 3000 RPM,73 CFM,,Yes,28.99
be quiet! Silent Wings Pro 4,https://pcpartpicker.com/product/N8NxFT/be-quiet-silent-wings-pro-4-839-cfm-120-mm-fan-bl098,https://cdna.pcpartpicker.com/static/forever/images/product/d248ce6224e70d4417a8a4b64e5f2802.256p.jpg,120 mm,Black,3000 RPM,83.9 CFM,36.9 dB,Yes,29.40
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,https://pcpartpicker.com/product/4VBzK8/corsair-icue-link-qx120-rgb-starter-kit-631-cfm-120-mm-fans-3-pack-co-9051002-ww,https://cdna.pcpartpicker.com/static/forever/images/product/022030846fd2908c85e111d037e80508.256p.jpg,120 mm,Black,480 - 2400 RPM,16.44 - 63.1 CFM,,Yes,109.99
Corsair RS120 3-Pack,https://pcpartpicker.com/product/cbmNnQ/corsair-rs120-728-cfm-120-mm-fans-3-pack-co-9050189-ww,https://cdna.pcpartpicker.com/static/forever/images/product/cb33b4ff7749064aafb53d3631154c9d.256p.jpg,120 mm,Black,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,44.99
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/cv7scf/lian-li-uni-fan-sl-infinity-716-cfm-140-mm-fan-uf-rs-slin140-1w,https://cdna.pcpartpicker.com/static/forever/images/product/fbbcf048d65c4c5ebcb80fee0fe88d18.256p.jpg,140 mm,White,200 - 1600 RPM,71.6 CFM,28.6 dB,Yes,29.99
Asiahorse Nyota 3-Pack,https://pcpartpicker.com/product/LVQwrH/asiahorse-nyota-615-cfm-120-mm-fans-3-pack-nyota-a12-black-3pack-r-de,https://m.media-amazon.com/images/I/41IrOjwtMvL.jpg,120 mm,Black,800 - 2000 RPM,61.5 CFM,,Yes,
