Name,URL,Image,Size,Color,RPM,Airflow,Noise Level,PWM,Price
HYTE THICC FP12 3-Pack,https://pcpartpicker.com/product/8dP8TW/hyte-thicc-fp12-1058-cfm-120-mm-fans-3-pack-fan-hyte-fp12-bw-3,https://cdna.pcpartpicker.com/static/forever/images/product/29fc44980c268c97b9486e12ade2bb9c.256p.jpg,120 mm,Black / White,,105.8 CFM,10 - 47.3 dB,Yes,
Thermaltake CT140 EX ARGB Sync 3-Pack,https://pcpartpicker.com/product/pPjRsY/thermaltake-ct140-ex-argb-sync-903-cfm-140-mm-fans-3-pack-cl-f191-pl14sw-a,https://cdna.pcpartpicker.com/static/forever/images/product/c377666d6a457d3780ea2c62ce120529.256p.jpg,140 mm,White,500 - 1800 RPM,90.3 CFM,30.7 dB,Yes,74.98
Asus TUF Gaming TR120 ARGB,https://pcpartpicker.com/product/qCbypg/asus-tuf-gaming-tr120-argb-763-cfm-120-mm-fan-tuf-gaming-tr120-fan-argb-reverse-black,/static/forever/img/no-image.png,120 mm,Black,2000 RPM,76.3 CFM,29 dB,Yes,
Cooler Master MasterFan MF Prismatic,https://pcpartpicker.com/product/ZQRYcf/cooler-master-masterfan-mf-prismatic-55-cfm-120-mm-fan-mfy-b2dn-20npa-r1,https://cdna.pcpartpicker.com/static/forever/images/product/ac49608b7c5fec387582256a935eeedd.256p.jpg,120 mm,Black / White,650 - 2000 RPM,55 CFM,8 - 27 dB,Yes,
Cooler Master MasterFan MF Prismatic 3-Pack,https://pcpartpicker.com/product/YX2WGX/cooler-master-masterfan-mf-prismatic-55-cfm-120-mm-fans-3-pack-mfy-b2dn-203pa-r1,https://cdna.pcpartpicker.com/static/forever/images/product/6a6235efd683b7dba07191222a65fc35.256p.jpg,120 mm,Black / White,650 - 2000 RPM,55 CFM,8 - 27 dB,Yes,
SeaSonic MAGFLOW 3-Pack,https://pcpartpicker.com/product/Df9wrH/seasonic-magflow-6333-cfm-120-mm-fans-3-pack-magflow-3,https://cdna.pcpartpicker.com/static/forever/images/product/aa6f257d80e5e71089c73dbb95fbe3e1.256p.jpg,120 mm,Black,600 - 2000 RPM,63.33 CFM,9.9 - 33.78 dB,Yes,69.98
Thermalright TL-H12-X28,https://pcpartpicker.com/product/Tsh2FT/thermalright-tl-h12-x28-8045-cfm-120-mm-fan-tl-h12-x28,https://m.media-amazon.com/images/I/41xrzSYyHLL.jpg,120 mm,Black,2150 RPM,80.45 CFM,29.4 dB,Yes,
ARCTIC P PST,https://pcpartpicker.com/product/d6LdnQ/arctic-p-pst-689-cfm-140-mm-fan-acfan00276a,https://m.media-amazon.com/images/I/317aA1v4JDL.jpg,140 mm,White,200 - 1900 RPM,68.9 CFM,22.5 dB,Yes,16.98
Nidec Servo Gentle Typhoon,https://pcpartpicker.com/product/4N648d/nidec-servo-d1225c12b6zpa-680-cfm-120mm-fan-d1225c12b6zpa,https://m.media-amazon.com/images/I/51zEtz8Ta0L.jpg,120 mm,Black / Gray,900 - 2150 RPM,20 - 68 CFM,15 - 34 dB,Yes,
Corsair AF120 (2018) 3-Pack,https://pcpartpicker.com/product/6jrmP6/corsair-af120-led-2018-white-3-pack-52-cfm-fans-co-9050082-ww,https://cdna.pcpartpicker.com/static/forever/images/product/a73149881193fcdb1dcabe7140f0c353.256p.jpg,120 mm,Black / White,1400 RPM,52 CFM,26 dB,No,
Thermalright TL-B6B,https://pcpartpicker.com/product/CfYRsY/thermalright-tl-b6b-1617-cfm-60-mm-fan-tl-b6b,https://m.media-amazon.com/images/I/41YnLTEYpaL.jpg,60 mm,Black,3200 RPM,16.17 CFM,20.17 dB,Yes,
HAVN H12,https://pcpartpicker.com/product/JyRnTW/havn-h12-7244-cfm-120-mm-fan-hvn-fs-h1230-02,https://cdna.pcpartpicker.com/static/forever/images/product/8f6be1044853a2f3df9aea86cba6cda8.256p.jpg,120 mm,Black,,72.44 CFM,32.2 dB,Yes,18.98
Scythe Kaze Flex140 Square,https://pcpartpicker.com/product/pYcG3C/scythe-kaze-flex140-square-1008-cfm-140-mm-fan-kf1425fd18s-p,https://m.media-amazon.com/images/I/41kD-I8kQ4L.jpg,140 mm,Gray / Black,300 - 1800 RPM,16.8 - 100.8 CFM,4.19 - 26.45 dB,Yes,17.98
ARCTIC S12038-4K,https://pcpartpicker.com/product/tgsMnQ/arctic-s12038-4k-106-cfm-120-mm-fan-acfan00296a,https://cdna.pcpartpicker.com/static/forever/images/product/3eb4f342d320a6c8a3ab34bafb58190c.256p.jpg,120 mm,Black,600 - 4000 RPM,106 CFM,,Yes,14.99
Vetroo SA-120,https://pcpartpicker.com/product/L7TFf7/vetroo-sa-120-5818-cfm-120-mm-fan-vt-fan-fdb120-pk,https://m.media-amazon.com/images/I/41rdpp0bs7L.jpg,120 mm,Pink,800 - 1300 RPM,26.05 - 58.18 CFM,36.1 dB,Yes,14.99
Xigmatek XAF,https://pcpartpicker.com/product/wNdqqs/xigmatek-case-fan-xaff1254,https://m.media-amazon.com/images/I/51g+8kKOmRL.jpg,120 mm,Black,1500 RPM,75.3 CFM,24 dB,No,5.99
Kingwin CF-08LB,https://pcpartpicker.com/product/3TCrxr/kingwin-case-fan-cf08lb,https://m.media-amazon.com/images/I/418lGpKOIZL.jpg,80 mm,Black,1700 RPM,30 CFM,25 dB,No,5.99
be quiet! Light Wings LX,https://pcpartpicker.com/product/MhRwrH/be-quiet-light-wings-lx-515-cfm-120-mm-fan-bl120,https://cdna.pcpartpicker.com/static/forever/images/product/46eb17b99834ddb241d7eab20671e024.256p.jpg,120 mm,Black,1600 RPM,51.5 CFM,25.5 dB,Yes,17.50
Geometric Future Squama 2503 3-Pack,https://pcpartpicker.com/product/6WMMnQ/geometric-future-squama-2503-9115-cfm-140-mm-fans-3-pack-geo-s2503b-14t,https://cdna.pcpartpicker.com/static/forever/images/product/192dec0bfbec14d86d21377fc3865625.256p.jpg,140 mm,Black,800 - 2400 RPM,91.15 CFM,34 dB,Yes,49.90
Xigmatek XAF,https://pcpartpicker.com/product/yJckcf/xigmatek-case-fan-xaff1453,https://m.media-amazon.com/images/I/51eLQQncOtL.jpg,140 mm,Orange,800 - 1300 RPM,90.3 CFM,18 dB,No,5.99
Thermaltake TOUGHFAN 12 Pro 2-Pack,https://pcpartpicker.com/product/R4BzK8/thermaltake-toughfan-12-pro-708-cfm-120-mm-fans-2-pack-cl-f159-pl12bl-a,https://cdna.pcpartpicker.com/static/forever/images/product/0bcfaf75bdf8b38d7863ddb9b21ae2a3.256p.jpg,120 mm,Black,500 - 2000 RPM,49.13 - 70.8 CFM,18.3 - 22.6 dB,Yes,44.99
Deepcool CF120 Plus 3-Pack,https://pcpartpicker.com/product/r46qqs/deepcool-cf120-plus-525-cfm-120-mm-fans-3-pack-dp-f12-ar-cf120p-3p,https://cdna.pcpartpicker.com/static/forever/images/product/c26761f185b2c072a12eaa1447acd3f3.256p.jpg,120 mm,Black / White,500 - 1800 RPM,52.5 CFM,28.8 dB,Yes,
Corsair iCUE ML RGB ELITE Premium,https://pcpartpicker.com/product/PbrRsY/corsair-icue-ml-rgb-elite-premium-829-cfm-140-mm-fan-co-9050114-ww,https://cdna.pcpartpicker.com/static/forever/images/product/5f137085cca09080efe4d22330432fa9.256p.jpg,140 mm,Black,400 - 1600 RPM,15 - 82.9 CFM,10 - 31.8 dB,Yes,
NZXT F140 RGB DUO 2-Pack,https://pcpartpicker.com/product/6mfnTW/nzxt-f140-rgb-duo-8475-cfm-140-mm-fans-2-pack-rf-d14df-w1,https://cdna.pcpartpicker.com/static/forever/images/product/0ec3febcadf7a3e54a3c04bc0b3c58ed.256p.jpg,140 mm,White,500 - 1800 RPM,84.75 CFM,36 dB,Yes,84.99
ID-COOLING TF-12025-PRO,https://pcpartpicker.com/product/DHtLrH/id-cooling-tf-12025-pro-825-cfm-120-mm-fan-tf-12025-pro-black,https://cdna.pcpartpicker.com/static/forever/images/product/efa734181fc5dc6392e3b9a1b2f13026.256p.jpg,120 mm,,500 - 1800 RPM,82.5 CFM,35.2 dB,Yes,
ENDORFY Stratus,https://pcpartpicker.com/product/CvP8TW/endorfy-stratus-140-mm-fan-ey4a011,https://cdna.pcpartpicker.com/static/forever/images/product/2c8d53c8e60b03e0f49dad77762670d2.256p.jpg,140 mm,Black,200 - 1200 RPM,,,Yes,
Noctua F12 industrialPPC-2000,https://pcpartpicker.com/product/GLW9TW/noctua-case-fan-nff12industrialppc2000,https://m.media-amazon.com/images/I/410jrJ5lx7L.jpg,120 mm,Brown / Black,2000 RPM,71.69 CFM,29.7 dB,No,27.95
Corsair ML140 PRO,https://pcpartpicker.com/product/RNGxFT/corsair-ml140-pro-rgb-554-cfm-140-mm-fan-co-9050077-ww,https://cdna.pcpartpicker.com/static/forever/images/product/637d55a951c6564584edaa513645859e.256p.jpg,140 mm,Black / White,400 - 1200 RPM,55.4 CFM,20.4 dB,Yes,
EK Vardar EVO 120ER,https://pcpartpicker.com/product/RFvqqs/ek-vardar-evo-120er-77-cfm-120-mm-fan-3831109824641,https://cdna.pcpartpicker.com/static/forever/images/product/e320cd67e2706dafab4e762472201a8f.256p.jpg,120 mm,Black / White,500 - 2200 RPM,,33.5 dB,Yes,
Gigabyte AORUS 140 ARGB,https://pcpartpicker.com/product/8JddnQ/gigabyte-aorus-140-argb-6064-cfm-140-mm-fan-gp-ar140rfan,https://cdna.pcpartpicker.com/static/forever/images/product/95fb722a6329c077d578650bcec1ffb2.256p.jpg,140 mm,Black,800 - 1700 RPM,30.3 - 60.64 CFM,8.9 - 35.8 dB,Yes,
Lian Li UNI FAN AL120 V2,https://pcpartpicker.com/product/Z4n9TW/lian-li-uni-fan-al120-v2-773-cfm-120-mm-fan-al120v2-1b,https://cdna.pcpartpicker.com/static/forever/images/product/d15c750b4affb4ce93b679b368520a56.256p.jpg,120 mm,Black,250 - 2000 RPM,77.3 CFM,28.7 dB,Yes,
be quiet! Light Wings LX 3-Pack,https://pcpartpicker.com/product/CxyH99/be-quiet-light-wings-lx-56-cfm-140-mm-fans-3-pack-bl127,https://cdna.pcpartpicker.com/static/forever/images/product/2eb20536fae403fc6bda22909276a568.256p.jpg,140 mm,Black,1200 RPM,56 CFM,22.9 dB,Yes,54.50
NoiseBlocker NB-ELOOP X ARGB,https://pcpartpicker.com/product/xHtKHx/noiseblocker-nb-eloop-x-argb-5809-cfm-120-mm-fan-itr-b12x-ps,https://cdna.pcpartpicker.com/static/forever/images/product/7ea6b021fe46b7f9f290f00695c268ef.256p.jpg,120 mm,White,,0 - 58.09 CFM,0 - 21.2 dB,Yes,11.80
Silverstone Air Slimmer 120 ARGB,https://pcpartpicker.com/product/ZZmmP6/silverstone-air-slimmer-120-argb-6367-cfm-120-mm-fan-sst-as120b-argb,https://cdna.pcpartpicker.com/static/forever/images/product/c802b95b7e300942ec6270d495a30bf7.256p.jpg,120 mm,Black,,0 - 63.67 CFM,0 - 31.7 dB,Yes,32.41
NZXT F RGB Core 2-Pack,https://pcpartpicker.com/product/bwgrxr/nzxt-f-rgb-core-8948-cfm-140-mm-fans-2-pack-rf-c14hf-w1,https://cdna.pcpartpicker.com/static/forever/images/product/be5949403cbcb3cf0e038b48ff804d76.256p.jpg,140 mm,White,500 - 1800 RPM,24.85 - 89.48 CFM,20 - 32.5 dB,Yes,
Noctua S12A FLX,https://pcpartpicker.com/product/Ky6BD3/noctua-case-fan-nfs12aflx,https://cdna.pcpartpicker.com/static/forever/images/product/271b48c6db285ea2cdf0cd7a367a8686.256p.jpg,120 mm,Brown,700 - 1200 RPM,,7.4 - 17.8 dB,No,21.95
Vetroo ARGB120 3-Pack,https://pcpartpicker.com/product/Ws2WGX/vetroo-argb120-481-cfm-120-mm-fans-3-pack-vt-fan-argb120-bk-x3,https://m.media-amazon.com/images/I/411UzwUATdL.jpg,120 mm,Black,1300 RPM,48.1 CFM,,Yes,19.98
Montech Metal Pro,https://pcpartpicker.com/product/pJtkcf/montech-metal-pro-762-cfm-120-mm-fan-metalpro12b,https://m.media-amazon.com/images/I/416I0JHa2NL.jpg,120 mm,Black,600 - 2200 RPM,76.2 CFM,29.1 dB,Yes,15.90
Corsair iCUE QL140 2-Pack,https://pcpartpicker.com/product/YyFKHx/corsair-icue-ql140-rgb-502-cfm-140-mm-fans-2-pack-co-9050100-ww,https://cdna.pcpartpicker.com/static/forever/images/product/f93ad1a45dcf4cb87c63acc0b6b136b8.256p.jpg,140 mm,Black,1250 RPM,50.2 CFM,26 dB,Yes,
Enermax HF120 3-Pack,https://pcpartpicker.com/product/sRZzK8/enermax-hf120-721-cfm-120-mm-fans-3-pack-uchf12pargb-bp3,https://cdna.pcpartpicker.com/static/forever/images/product/9be7be8d237170564beb316b4530f96e.256p.jpg,120 mm,Black,500 - 1600 RPM,22.5 - 72.1 CFM,14 - 27 dB,Yes,
Iceberg Thermal IceGALE 2-Pack,https://pcpartpicker.com/product/msfxFT/iceberg-thermal-icegale-96-cfm-140-mm-fans-2-pack-icegale14-a2a,https://cdna.pcpartpicker.com/static/forever/images/product/e838758be809f327960f25922149288a.256p.jpg,140 mm,Teal,500 - 1600 RPM,96 CFM,0 - 36 dB,Yes,17.99
be quiet! Light Wings LX,https://pcpartpicker.com/product/LZkH99/be-quiet-light-wings-lx-56-cfm-140-mm-fan-bl126,https://cdna.pcpartpicker.com/static/forever/images/product/39d0f19b7bc1125c97a6c54a6bc07f3d.256p.jpg,140 mm,Black,1200 RPM,56 CFM,22.9 dB,Yes,19.50
Razer Kunai Chroma,https://pcpartpicker.com/product/nnC48d/razer-kunai-chroma-655-cfm-120-mm-fan-rc21-01800100-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/d1f51a6c4af93e5694ade714343576af.256p.jpg,120 mm,Black,500 - 2200 RPM,17.48 - 65.5 CFM,15 - 35 dB,Yes,35.00
Deepcool FC120 WHITE-3 IN 1 3-Pack,https://pcpartpicker.com/product/YsfnTW/deepcool-fc120-white-3-in-1-6191-cfm-120-mm-fans-3-pack-r-fc120-whamn3-g-1,https://cdna.pcpartpicker.com/static/forever/images/product/c0e147ba2a22d9cef240be2dcc62429c.256p.jpg,120 mm,White,500 - 1800 RPM,61.91 CFM,28 dB,Yes,
Cooler Master Mobius OC,https://pcpartpicker.com/product/XHBzK8/cooler-master-mobius-oc-881-cfm-120-mm-fan-mfz-m2nn-32npk-r1,https://m.media-amazon.com/images/I/51bWEiHQ8KL.jpg,120 mm,Blue / Black,,40.2 - 88.1 CFM,17.4 - 39.3 dB,Yes,
Antec NOVA 120,https://pcpartpicker.com/product/vhqNnQ/antec-nova-120-9532-cfm-120-mm-fan-nova-120,https://m.media-amazon.com/images/I/41MsTTqBVcL.jpg,120 mm,Black,300 - 3200 RPM,44 - 95.32 CFM,21.5 - 38.7 dB,Yes,19.79
Corsair ML120 2-Pack,https://pcpartpicker.com/product/CJyxFT/corsair-co-9050039-ww-750-cfm-120mm-fan-co-9050039-ww,https://cdna.pcpartpicker.com/static/forever/images/product/2d72a933af1e5db84b3986635e37558c.256p.jpg,120 mm,White / Black,400 - 2400 RPM,12 - 75 CFM,16 - 37 dB,Yes,
GAMDIAS AEOLUS P2 3-Pack,https://pcpartpicker.com/product/wGgrxr/gamdias-aeolus-p2-7497-cfm-120-mm-fans-3-pack-aeolus-p2-1203,https://cdna.pcpartpicker.com/static/forever/images/product/1688d493ad0834a1098634c36a088052.256p.jpg,120 mm,Black,1000 - 2400 RPM,74.97 CFM,,Yes,59.81
Silverstone AP,https://pcpartpicker.com/product/6BsmP6/silverstone-silverstone-ap-series-sst-ap183-180mm-case-fan-14013-cfm-180-mm-fan-sst-ap183,https://cdna.pcpartpicker.com/static/forever/images/product/acffab92dfe0008a2c26dd45a17309d8.256p.jpg,180 mm,Black,400 - 1500 RPM,24.49 - 140.13 CFM,18 - 37 dB,Yes,42.95
Thermalright TL-H120-15B-S,https://pcpartpicker.com/product/2pBFf7/thermalright-tl-h120-15b-s-5636-cfm-120-mm-fan-tl-h12015b-s,/static/forever/img/no-image.png,120 mm,Black,1900 RPM,56.36 CFM,28.4 dB,Yes,12.90
ARCTIC P12 PWM PST A-RGB 0dB,https://pcpartpicker.com/product/YLZ9TW/arctic-p12-pwm-pst-a-rgb-0db-488-cfm-120-mm-fan-acfan00254a,https://cdna.pcpartpicker.com/static/forever/images/product/b74347b41dcea2773baf0e73628d29ff.256p.jpg,120 mm,White / Gray,,48.8 CFM,,Yes,59.99
DARKROCK F140,https://pcpartpicker.com/product/ZbxTwP/darkrock-f140-615-cfm-140-mm-fan-dr-fan-f140-bk,https://m.media-amazon.com/images/I/41m3lQKQ4aL.jpg,140 mm,Black,800 - 1800 RPM,61.5 CFM,29 dB,Yes,13.99
DARKROCK R140,https://pcpartpicker.com/product/fTqNnQ/darkrock-r140-615-cfm-140-mm-fan-dr-fan-r140-wt,https://m.media-amazon.com/images/I/41B+k0RxRmL.jpg,140 mm,White,800 - 1800 RPM,61.5 CFM,29 dB,Yes,12.99
Geometric Future Squama 2503R 3-Pack,https://pcpartpicker.com/product/Zb4Zxr/geometric-future-squama-2503r-718-cfm-140-mm-fans-3-pack-geo-s2503rb-14t,https://cdna.pcpartpicker.com/static/forever/images/product/407f9c0b3eb99b7e68c3edfb72890a0c.256p.jpg,140 mm,Black,800 - 2100 RPM,71.8 CFM,34 dB,Yes,49.90
Cooler Master SickleFlow,https://pcpartpicker.com/product/CdhmP6/cooler-master-67-cfm-140-mm-fan-mfx-b4dn-14npa-r1,https://cdna.pcpartpicker.com/static/forever/images/product/4989cf754e4af58e0601aefc94dfc26b.256p.jpg,140 mm,Black,650 - 1400 RPM,67 CFM,10 - 27 dB,Yes,
Deepcool FL12R 3-Pack,https://pcpartpicker.com/product/RB9nTW/deepcool-fl12r-55-cfm-120-mm-fans-3-pack-r-fl12r-whapn3-g,https://cdna.pcpartpicker.com/static/forever/images/product/0b5baa9024b03d5cf5ea01a935b2d72f.256p.jpg,120 mm,White,500 - 2150 RPM,55 CFM,32 dB,Yes,
Corsair iCUE QL140,https://pcpartpicker.com/product/Zg3mP6/corsair-icue-ql140-rgb-502-cfm-140-mm-fan-co-9050099-ww,https://cdna.pcpartpicker.com/static/forever/images/product/28eb3cad3f6934b45c157747a2c68e90.256p.jpg,140 mm,Black,550 - 1250 RPM,50.2 CFM,26 dB,Yes,
MSI Torx,https://pcpartpicker.com/product/sks8TW/msi-torx-fan-12cm-713-cfm-120mm-fan-torx-fan-12cm,https://cdna.pcpartpicker.com/static/forever/images/product/4dc94a848ff34f7ddf8b97b2fe8cbece.256p.jpg,120 mm,Black / Red,500 - 1800 RPM,19.79 - 71.27 CFM,17.2 - 33.6 dB,Yes,27.70
ARCTIC P8 5-Pack,https://pcpartpicker.com/product/QdDkcf/arctic-p8-234-cfm-80-mm-fans-acfan00153a,https://cdna.pcpartpicker.com/static/forever/images/product/8a795ff7b14c68019c267ca2996344b1.256p.jpg,80 mm,,3000 RPM,23.4 CFM,,No,31.29
Phanteks M25-140 PWM D-RGB 3-Pack,https://pcpartpicker.com/product/TFJgXL/phanteks-m25-140-pwm-d-rgb-10462-cfm-140-mm-fans-3-pack-ph-f140m25_drgb_pwm_bk01_3p,https://cdna.pcpartpicker.com/static/forever/images/product/9649e72ae344b5d486d7e3f1a2640a57.256p.jpg,140 mm,Black,500 - 1800 RPM,104.62 CFM,36.57 dB,Yes,
EK Loop Fan FPT 120 D-RGB,https://pcpartpicker.com/product/HmLdnQ/ek-loop-fan-fpt-120-d-rgb-77-cfm-120-mm-fan-ek-loop-fpt-120-drgb-bk,https://cdna.pcpartpicker.com/static/forever/images/product/3f6d1adaca82bbbefd3eef9b59ef007e.256p.jpg,120 mm,Black,550 - 2300 RPM,77 CFM,36 dB,Yes,33.99
ID-COOLING TF-12015,https://pcpartpicker.com/product/Pq26Mp/id-cooling-tf-12015-6758-cfm-120-mm-fan-tf-12015-k,https://cdna.pcpartpicker.com/static/forever/images/product/f2846805b83028406f57f36e7bb4b4b1.256p.jpg,120 mm,Black,500 - 2200 RPM,67.58 CFM,32.3 dB,Yes,
Vantec Tornado,https://pcpartpicker.com/product/wG9KHx/vantec-td8038h-841-cfm-80-mm-fan-td8038h,https://m.media-amazon.com/images/I/41SU1cLrgAL.jpg,80 mm,Black,5700 RPM,84.1 CFM,55.2 dB,No,
Corsair HD120 3-Pack,https://pcpartpicker.com/product/mh7CmG/corsair-hd120-rgb-544-cfm-120-mm-fans-3-pack-co-9050067-ww,https://m.media-amazon.com/images/I/51M8INI72VL.jpg,120 mm,Black / White,800 - 1725 RPM,54.4 CFM,18 - 30 dB,Yes,
be quiet! Pure Wings 2,https://pcpartpicker.com/product/wj8H99/be-quiet-pure-wings-2-140-612-cfm-140mm-fan-bl040,https://cdna.pcpartpicker.com/static/forever/images/product/45e7bbd45302896a2953911ff97e1d56.256p.jpg,140 mm,Black,400 - 1000 RPM,61.2 CFM,19.8 dB,Yes,
EK Loop Fan FPT 120 D-RGB,https://pcpartpicker.com/product/pPfxFT/ek-loop-fan-fpt-120-d-rgb-77-cfm-120-mm-fan-ek-loop-fpt-120-drgb-wh,https://cdna.pcpartpicker.com/static/forever/images/product/3524b84cc4430febd16617c27d4b47a7.256p.jpg,120 mm,White,550 - 2300 RPM,77 CFM,36 dB,Yes,33.99
be quiet! Silent Wings 3,https://pcpartpicker.com/product/kwgPxr/be-quiet-bl064-505-cfm-120mm-fan-bl064,https://cdna.pcpartpicker.com/static/forever/images/product/f70ffc19a1155626d9bb2d76398316d1.256p.jpg,120 mm,Black,1450 RPM,50.5 CFM,16.4 dB,No,
Thermaltake CT ARGB Sync,https://pcpartpicker.com/product/YHBFf7/thermaltake-ct-argb-sync-1316-cfm-200-mm-fan-cl-f180-pl20sw-a,https://m.media-amazon.com/images/I/41ls7Q2opCL.jpg,200 mm,White,500 - 900 RPM,131.6 CFM,27.2 dB,Yes,24.99
be quiet! Light Wings LX 3-Pack,https://pcpartpicker.com/product/P4Kscf/be-quiet-light-wings-lx-515-cfm-120-mm-fans-3-pack-bl122,https://cdna.pcpartpicker.com/static/forever/images/product/eeb7ce2ed5bcee3367b06cabe3543fce.256p.jpg,120 mm,White,1600 RPM,51.5 CFM,25.5 dB,Yes,49.50
Fractal Design Venturi HF-14,https://pcpartpicker.com/product/wzM323/fractal-design-case-fan-fdfanventhf14bk,https://cdna.pcpartpicker.com/static/forever/images/product/81aa5bc083c56f67cb7c8dccd270a842.256p.jpg,140 mm,Black,1200 RPM,118.2 CFM,26.5 dB,No,
Corsair RS140,https://pcpartpicker.com/product/PX4Zxr/corsair-rs140-955-cfm-140-mm-fan-co-9050194-ww,https://cdna.pcpartpicker.com/static/forever/images/product/5b2237409ad6f08544f8a3019ef88133.256p.jpg,140 mm,White,330 - 1700 RPM,14.6 - 95.5 CFM,10 - 36 dB,Yes,19.98
Noctua A14 FLX,https://pcpartpicker.com/product/Q3Lypg/noctua-case-fan-nfa14flx,https://cdna.pcpartpicker.com/static/forever/images/product/ed1b5090490439fec984e1ab8a37a963.med.256p.jpg,140 mm,Brown,900 - 1200 RPM,52.2 - 68 CFM,13.8 - 19.2 dB,No,14.99
be quiet! Shadow Wings 2,https://pcpartpicker.com/product/vFGnTW/be-quiet-385-cfm-120-mm-fan-bl089,https://cdna.pcpartpicker.com/static/forever/images/product/5c6def8ebcf93895653ca3dcf2d554c8.256p.jpg,120 mm,White / Black,900 RPM,38.5 CFM,15.9 dB,Yes,12.90
Cooler Master SickleFlow,https://pcpartpicker.com/product/yXpmP6/cooler-master-sickleflow-120-rgb-62-cfm-120-mm-fan-mfx-b2dn-18npc-r1,https://cdna.pcpartpicker.com/static/forever/images/product/97fa1b92a7abaff50b5d2b5911c00ff4.256p.jpg,120 mm,Black,650 - 1800 RPM,62 CFM,8 - 27 dB,Yes,
Thermaltake TOUGHFAN,https://pcpartpicker.com/product/PcRYcf/thermaltake-toughfan-1191-cfm-140-mm-fan-cl-f118-pl14bl-a,https://cdna.pcpartpicker.com/static/forever/images/product/10d424c00d474a0d1a8b7c52a1fac66b.256p.jpg,140 mm,Black,500 - 2000 RPM,119.1 CFM,25.2 - 33.2 dB,Yes,24.36
Gigabyte AORUS 120 ARGB,https://pcpartpicker.com/product/mkZ9TW/gigabyte-aorus-120-argb-4085-cfm-120-mm-fan-gp-ar120rfan,https://cdna.pcpartpicker.com/static/forever/images/product/b0da7c4ccb9461cfeee77ea2237f3133.256p.jpg,120 mm,Black,800 - 1700 RPM,18.52 - 40.85 CFM,7.3 - 28.6 dB,Yes,15.99
Scythe Wonder Tornado,https://pcpartpicker.com/product/kmJp99/scythe-wonder-tornado-6029-cfm-120-mm-fan-wt1225fd20-p,https://cdna.pcpartpicker.com/static/forever/images/product/e0153696347fd1450fe4eb9709760025.256p.jpg,120 mm,Black,350 - 2000 RPM,7.68 - 60.29 CFM,3 - 26.88 dB,Yes,12.99
Thermaltake Riing,https://pcpartpicker.com/product/qLkwrH/thermaltake-case-fan-clf038pl12wta,https://cdna.pcpartpicker.com/static/forever/images/product/58723b20a8653e6c7f4cd4b1cb5b8ed4.256p.jpg,120 mm,Black / White,1000 - 1500 RPM,40.6 CFM,18.7 - 24.6 dB,No,16.98
Corsair ML140 LED ELITE White Premium,https://pcpartpicker.com/product/8vJgXL/corsair-ml140-led-elite-white-premium-829-cfm-140-mm-fan-co-9050130-ww,https://cdna.pcpartpicker.com/static/forever/images/product/85ce3ffd6cb3d207a55944ca2e2125b2.256p.jpg,140 mm,White,400 - 1600 RPM,15 - 82.9 CFM,10 - 31.8 dB,Yes,
be quiet! Light Wings 3-Pack,https://pcpartpicker.com/product/d27scf/be-quiet-light-wings-4151-cfm-120-mm-fans-3-pack-bl100,https://cdna.pcpartpicker.com/static/forever/images/product/ea8dd89e110f2aecafdfe582245ad646.256p.jpg,120 mm,White,1700 RPM,41.51 CFM,20.6 dB,Yes,49.90
Scythe Wonder Tornado 3-Pack,https://pcpartpicker.com/product/mXsMnQ/scythe-wonder-tornado-7517-cfm-120-mm-fans-3-pack-wt1225fd25x3-p,https://cdna.pcpartpicker.com/static/forever/images/product/f79c0820e5852d106780eb7739741abc.256p.jpg,120 mm,Black,350 - 2500 RPM,7.68 - 75.17 CFM,3 - 35.57 dB,Yes,29.99
Scythe Wonder Tornado Slim,https://pcpartpicker.com/product/yV7MnQ/scythe-wonder-tornado-slim-3431-cfm-120-mm-fan-wt1215fd20-p,https://cdna.pcpartpicker.com/static/forever/images/product/529a707a7d230ef9800caca8a9425d0a.256p.jpg,120 mm,Black,400 - 2000 RPM,6.8 - 34.31 CFM,3.12 - 26.36 dB,Yes,13.95
NZXT Aer P,https://pcpartpicker.com/product/34yxFT/nzxt-aer-p140-982-cfm-140mm-fan-rf-ap140-fp,https://cdna.pcpartpicker.com/static/forever/images/product/7dc02a1c238e33c807a5608af9ef5f78.256p.jpg,140 mm,Black,500 - 1800 RPM,27.27 - 98.17 CFM,21 - 38 dB,Yes,
Cooler Master MasterFan MF120 Halo²,https://pcpartpicker.com/product/zmqrxr/cooler-master-masterfan-mf120-halo2-5188-cfm-120-mm-fan-mfl-b2dw-21np2-r2,https://cdna.pcpartpicker.com/static/forever/images/product/f053b76d6b37ceb540898504a7f37c28.256p.jpg,120 mm,White,,51.88 CFM,27 dB,Yes,20.99
NZXT Air Flow,https://pcpartpicker.com/product/gVkD4D/nzxt-case-fan-rffz140u1,https://m.media-amazon.com/images/I/51CC1VfOGjL.jpg,140 mm,Clear,1000 RPM,83.6 CFM,24.5 dB,No,10.00
