Name,URL,Image,Capacity (W),Capacity (VA),Price
APC SMT1500RMI1U,https://pcpartpicker.com/product/QJVBD3/apc-ups-smt1500rmi1u,https://cdna.pcpartpicker.com/static/forever/images/product/6e9768dc7d60c75c52b67cc6e0c1dd44.256p.jpg,1000 W,1500 VA,688.53
APC SMX3000RMHV2U,https://pcpartpicker.com/product/d2RFf7/apc-ups-smx3000rmhv2u,https://cdna.pcpartpicker.com/static/forever/images/product/6547d1fe97b66611eba794e22edacfcd.256p.jpg,2700 W,3000 VA,1759.56
APC SURTD2200XLIM,https://pcpartpicker.com/product/YKZ2FT/apc-ups-surtd2200xlim,/static/forever/img/no-image.png,1540 W,2200 VA,
CyberPower BRG1000AVRLCD,https://pcpartpicker.com/product/DLDzK8/cyberpower-ups-brg1000avrlcd,https://cdna.pcpartpicker.com/static/forever/images/product/04e6a3011fe6c46dd1eb668df18ac883.256p.jpg,600 W,1000 VA,170.95
APC Back-UPS Pro 1350VA,https://pcpartpicker.com/product/p9bTwP/apc-back-ups-pro-1350va-ups-bn1350m2,https://cdna.pcpartpicker.com/static/forever/images/product/c90166533273eddda99e3fabdcae9e85.256p.jpg,810 W,1350 VA,203.99
Tripp Lite SM3000RM2UTAA,https://pcpartpicker.com/product/C9Wrxr/tripp-lite-ups-sm3000rm2utaa,https://cdna.pcpartpicker.com/static/forever/images/product/c75112150b7f428dbe558140df6a97fd.256p.jpg,2250 W,3000 VA,
APC BR1000G,https://pcpartpicker.com/product/4kTrxr/apc-ups-br1000g,https://cdna.pcpartpicker.com/static/forever/images/product/ce58b776c221f28da676290382cc4e69.256p.jpg,600 W,1000 VA,
APC BX1300G,https://pcpartpicker.com/product/cr7CmG/apc-ups-bx1300g,/static/forever/img/no-image.png,780 W,1300 VA,
APC SMT1000RM2U,https://pcpartpicker.com/product/WQVBD3/apc-ups-smt1000rm2u,https://m.media-amazon.com/images/I/31Mu4eqYehL.jpg,700 W,1000 VA,629.90
APC SMT1500,https://pcpartpicker.com/product/ctJkcf/apc-ups-smt1500,https://m.media-amazon.com/images/I/41v-8VVyqKL.jpg,980 W,1500 VA,688.89
APC SMT1500X448,https://pcpartpicker.com/product/YCyxFT/apc-ups-smt1500x448,https://cdna.pcpartpicker.com/static/forever/images/product/847dd743850045d1151f8fef56469bae.256p.jpg,1000 W,1500 VA,
APC SUM1500RMXLI2U,https://pcpartpicker.com/product/pccMnQ/apc-ups-sum1500rmxli2u,https://cdna.pcpartpicker.com/static/forever/images/product/5a65578ef60c7e71dcde2db7be762d9f.256p.jpg,1425 W,1500 VA,
APC SUM3000RMXLI2U,https://pcpartpicker.com/product/DWX2FT/apc-ups-sum3000rmxli2u,https://cdna.pcpartpicker.com/static/forever/images/product/edab0615cb5bb88ad1ef0825b8f87a02.256p.jpg,2850 W,3000 VA,
Tripp Lite SM1500RMXL2UTAA,https://pcpartpicker.com/product/wTH48d/tripp-lite-ups-sm1500rmxl2utaa,https://images-na.ssl-images-amazon.com/images/I/41WcoDuZeoL.jpg,1350 W,1500 VA,1067.95
Tripp Lite SM2200RMXL2UTAA,https://pcpartpicker.com/product/D6X2FT/tripp-lite-ups-sm2200rmxl2utaa,https://cdna.pcpartpicker.com/static/forever/images/product/254a2c7954663660b82df614b944564d.256p.jpg,1600 W,2200 VA,1391.99
Tripp Lite SM3000RMXL2UTAA,https://pcpartpicker.com/product/Cf8H99/tripp-lite-ups-sm3000rmxl2utaa,https://cdna.pcpartpicker.com/static/forever/images/product/b07e4dd449c3a03f1243cdff1eb9b7d4.256p.jpg,2880 W,3000 VA,1849.39
Tripp Lite SMART1500LCDXL,https://pcpartpicker.com/product/ywVBD3/tripp-lite-ups-smart1500lcdxl,https://cdna.pcpartpicker.com/static/forever/images/product/d7f2b50e2d9126e0f666ca446398e735.256p.jpg,900 W,1500 VA,435.62
Tripp Lite SMART1500RMXL2UA,https://pcpartpicker.com/product/6ccMnQ/tripp-lite-ups-smart1500rmxl2ua,https://cdna.pcpartpicker.com/static/forever/images/product/aa7ac60ce7331fd36286998ee80f7493.256p.jpg,1350 W,1500 VA,890.99
Tripp Lite SMART2200RMXL2U,https://pcpartpicker.com/product/7ccMnQ/tripp-lite-ups-smart2200rmxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/83090d649a8a67d12c64b8a01518d55f.256p.jpg,1920 W,2200 VA,1383.66
CyberPower BRG1500AVRLCDTAA,https://pcpartpicker.com/product/7tJkcf/cyberpower-ups-brg1500avrlcdtaa,https://cdna.pcpartpicker.com/static/forever/images/product/5d173423f71d08250c7a88b756e02379.256p.jpg,900 W,1500 VA,
CyberPower OR1500LCDRTXL2U,https://pcpartpicker.com/product/vr7CmG/cyberpower-ups-or1500lcdrtxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/77c1b7e893cb174135c18526e4871fd1.256p.jpg,1125 W,1500 VA,870.95
CyberPower PR2200LCDRT2U,https://pcpartpicker.com/product/fQVBD3/cyberpower-ups-pr2200lcdrt2u,https://cdna.pcpartpicker.com/static/forever/images/product/76f10ce70d8afdf367112e270c78ca73.256p.jpg,1600 W,2170 VA,
CyberPower PR3000LCDRTXL2U,https://pcpartpicker.com/product/wd648d/cyberpower-ups-pr3000lcdrtxl2u,https://m.media-amazon.com/images/I/31rDZwmPJLL.jpg,3000 W,3000 VA,
IBM 53959KX,https://pcpartpicker.com/product/hCyxFT/ibm-ups-53959kx,https://images-na.ssl-images-amazon.com/images/I/41TenVK3FzL.jpg,10000 W,11000 VA,
VERTIV Liebert PST5,https://pcpartpicker.com/product/fkbypg/vertiv-liebert-pst5-ups-pst5-350mt120,https://cdna.pcpartpicker.com/static/forever/images/product/804584ecec37d2ce8afa861beba17b25.256p.jpg,200 W,350 VA,72.15
VERTIV Liebert Power-UPS Lithium,https://pcpartpicker.com/product/nwCCmG/vertiv-liebert-power-ups-lithium-ups-pul-400lvt,https://cdna.pcpartpicker.com/static/forever/images/product/3cfe89278a3e427d302f59ebc077a4bb.256p.jpg,240 W,400 VA,209.99
VERTIV Liebert PSA5,https://pcpartpicker.com/product/jLbypg/vertiv-liebert-psa5-ups-psa5-1500mt120,https://cdna.pcpartpicker.com/static/forever/images/product/c67efdb210a21e7f483590db6193e996.256p.jpg,900 W,1500 VA,
Tripp Lite INTERNET350U,https://pcpartpicker.com/product/XjcMnQ/tripp-lite-ups-internet350u,https://m.media-amazon.com/images/I/41ayrYm+9mL.jpg,180 W,350 VA,69.98
APC SMC1500,https://pcpartpicker.com/product/73FXsY/apc-ups-smc1500,https://cdna.pcpartpicker.com/static/forever/images/product/3c78920bef99940fb2324051cbe71755.256p.jpg,900 W,1500 VA,619.00
APC SURTA1500RMXL2U,https://pcpartpicker.com/product/YFdFf7/apc-ups-surta1500rmxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/66a76fffaed6902f521b90eba13f41dc.256p.jpg,1050 W,1500 VA,698.06
Tripp Lite SMART2200NET,https://pcpartpicker.com/product/TbjWGX/tripp-lite-ups-smart2200net,https://cdna.pcpartpicker.com/static/forever/images/product/bf16493c5a597374e28b2ea960a2984e.256p.jpg,1700 W,2200 VA,1390.99
Tripp Lite SMART5000RT3U,https://pcpartpicker.com/product/2gL7YJ/tripp-lite-ups-smart5000rt3u,https://m.media-amazon.com/images/I/31GAyS18lML.jpg,4000 W,5000 VA,4880.91
APC SMT3000RMI2U,https://pcpartpicker.com/product/r8KhP6/apc-ups-smt3000rmi2u,https://cdna.pcpartpicker.com/static/forever/images/product/bdd7691b5c05fbad4b3e47558848b43f.256p.jpg,2700 W,3000 VA,1637.70
APC SMX2200HV,https://pcpartpicker.com/product/RWX2FT/apc-ups-smx2200hv,https://cdna.pcpartpicker.com/static/forever/images/product/1403176109f456975d53dd291ddd888c.256p.jpg,1980 W,2200 VA,2320.69
APC SURT1000XLIM,https://pcpartpicker.com/product/FyfmP6/apc-ups-surt1000xlim,https://m.media-amazon.com/images/I/31vK8VoajiS.jpg,700 W,1000 VA,
APC SURTA3000RMXL3U,https://pcpartpicker.com/product/cnnG3C/apc-ups-surta3000rmxl3u,https://m.media-amazon.com/images/I/31Q+mS0ErnL.jpg,2100 W,3000 VA,2329.98
Tripp Lite SMART5000XFMRXL,https://pcpartpicker.com/product/KPs8TW/tripp-lite-ups-smart5000xfmrxl,https://cdna.pcpartpicker.com/static/forever/images/product/3fbe4194bb5469a4f03383c9cc910685.256p.jpg,3750 W,5000 VA,3666.92
Tripp Lite SMC15002URM,https://pcpartpicker.com/product/wKZ2FT/tripp-lite-ups-smc15002urm,https://cdna.pcpartpicker.com/static/forever/images/product/36b785e35f84ce8eadc85638111e8a17.256p.jpg,1000 W,1500 VA,803.49
APC SMT1000,https://pcpartpicker.com/product/QxYWGX/apc-ups-smt1000,https://cdna.pcpartpicker.com/static/forever/images/product/014413e6fdb2ee4d84f85d5c4bd29d0a.256p.jpg,670 W,1000 VA,519.99
APC BK500EI,https://pcpartpicker.com/product/6d648d/apc-ups-bk500ei,https://cdna.pcpartpicker.com/static/forever/images/product/7857a4480b9b2fbd6a5332485b18a17b.256p.jpg,300 W,500 VA,153.99
APC BX1000G,https://pcpartpicker.com/product/td648d/apc-ups-bx1000g,/static/forever/img/no-image.png,600 W,1000 VA,
APC SC450RMI1U,https://pcpartpicker.com/product/xBPzK8/apc-ups-sc450rmi1u,https://cdna.pcpartpicker.com/static/forever/images/product/6673b93dec57e6231dbec167f859e5eb.256p.jpg,280 W,450 VA,488.46
APC SMC1000,https://pcpartpicker.com/product/3pbkcf/apc-ups-smc1000,https://cdna.pcpartpicker.com/static/forever/images/product/da27cb2edc169d044cb3089affd7dc54.256p.jpg,600 W,1000 VA,442.99
APC SMC1000I-2U,https://pcpartpicker.com/product/FNNypg/apc-ups-smc1000i2u,https://cdna.pcpartpicker.com/static/forever/images/product/fab13b9052e3af71946978cbadc47923.256p.jpg,600 W,1000 VA,
APC SMT1500RM2U,https://pcpartpicker.com/product/6WX2FT/apc-ups-smt1500rm2u,https://cdna.pcpartpicker.com/static/forever/images/product/b824b135d9ccf84a9b4d69d5e6e6485e.256p.jpg,1000 W,1440 VA,848.61
APC SMX1500RM2U,https://pcpartpicker.com/product/qZ8H99/apc-ups-smx1500rm2u,https://cdna.pcpartpicker.com/static/forever/images/product/8c275c87290c178c83fc5e8091409fd6.256p.jpg,1200 W,1500 VA,
APC SMX2000LV,https://pcpartpicker.com/product/F2RFf7/apc-ups-smx2000lv,https://cdna.pcpartpicker.com/static/forever/images/product/ddd16a2a83ff0a62db1ff8cb719a0d79.256p.jpg,1800 W,1920 VA,1707.40
APC SMX2200RMHV2U,https://pcpartpicker.com/product/tYrcCJ/apc-ups-smx2200rmhv2u,https://cdna.pcpartpicker.com/static/forever/images/product/75d75144476841fbb7bd1445d04bbe98.256p.jpg,1980 W,2200 VA,1764.51
APC SMX3000HVT,https://pcpartpicker.com/product/msJkcf/apc-ups-smx3000hvt,https://cdna.pcpartpicker.com/static/forever/images/product/e1a5049c3146aa2628088d0a59128bc2.256p.jpg,2700 W,3000 VA,2554.99
APC SMX3000LVNC,https://pcpartpicker.com/product/7LDzK8/apc-ups-smx3000lvnc,https://cdna.pcpartpicker.com/static/forever/images/product/d405764f358b6db3516f7505d8a2ad7b.256p.jpg,2700 W,3000 VA,2902.29
APC SMX3000RMLV2U,https://pcpartpicker.com/product/rFdFf7/apc-ups-smx3000rmlv2u,https://cdna.pcpartpicker.com/static/forever/images/product/8154eec6d00e46853a8ed983946a59dd.256p.jpg,2700 W,3000 VA,1959.99
APC SMX3000RMLV2UNC,https://pcpartpicker.com/product/2yfmP6/apc-ups-smx3000rmlv2unc,https://cdna.pcpartpicker.com/static/forever/images/product/1147ba37f39206a3a0fb99f9efc93e3c.256p.jpg,2700 W,3000 VA,2282.14
APC SRT5KRMXLW-HW,https://pcpartpicker.com/product/mccMnQ/apc-ups-srt5krmxlwhw,https://cdna.pcpartpicker.com/static/forever/images/product/7543e4534a65793aeba9077cc258b450.256p.jpg,4500 W,5000 VA,
APC SRT6KXLT,https://pcpartpicker.com/product/Ppbkcf/apc-ups-srt6kxlt,https://cdna.pcpartpicker.com/static/forever/images/product/56c12fd18390ef8086f7135ca775b117.256p.jpg,6000 W,6000 VA,
APC SU5000R5TBX120,https://pcpartpicker.com/product/xM8H99/apc-ups-su5000r5tbx120,https://m.media-amazon.com/images/I/31bNk1X5jWL.jpg,3750 W,5000 VA,
APC SUA2200XLI,https://pcpartpicker.com/product/wsJkcf/apc-ups-sua2200xli,https://images-na.ssl-images-amazon.com/images/I/51NXSnHsleL.jpg,1980 W,2200 VA,
APC SUA3000XL,https://pcpartpicker.com/product/yNNypg/apc-ups-sua3000xl,https://images-na.ssl-images-amazon.com/images/I/51rHG174bTL.jpg,2700 W,3000 VA,
APC SUA3000XLI,https://pcpartpicker.com/product/dRGj4D/apc-ups-sua3000xli,https://m.media-amazon.com/images/I/411+u4QWLdL.jpg,2700 W,3000 VA,
APC SUA750IX38,https://pcpartpicker.com/product/gWX2FT/apc-ups-sua750ix38,https://cdna.pcpartpicker.com/static/forever/images/product/e8c5c54e9329c22f07c633e183a00102.256p.jpg,500 W,750 VA,
APC SURTD5000RMXLT3U,https://pcpartpicker.com/product/Xr7CmG/apc-ups-surtd5000rmxlt3u,https://m.media-amazon.com/images/I/31o40gocFeL.jpg,3500 W,5000 VA,3212.81
APC SY12KEXBX120,https://pcpartpicker.com/product/qFdFf7/apc-ups-sy12kexbx120,https://cdna.pcpartpicker.com/static/forever/images/product/a9bd066787c5e7a0ff0b6d34a1d00332.256p.jpg,8400 W,12000 VA,
Tripp Lite OMNISMART350HG,https://pcpartpicker.com/product/FBPzK8/tripp-lite-ups-omnismart350hg,https://m.media-amazon.com/images/I/41ZYwvxxX+L.jpg,225 W,330 VA,551.99
Tripp Lite OMNIVS1500XL,https://pcpartpicker.com/product/C3FXsY/tripp-lite-ups-omnivs1500xl,https://cdna.pcpartpicker.com/static/forever/images/product/aee535c611c4c43a562c68bfb7aa8262.256p.jpg,940 W,1500 VA,347.53
Tripp Lite SMART1000LCD,https://pcpartpicker.com/product/tXH48d/tripp-lite-ups-smart1000lcd,https://cdna.pcpartpicker.com/static/forever/images/product/11dc34d7f14d981187ad249bdecd3773.256p.jpg,500 W,1000 VA,195.85
Tripp Lite SMART1200LCD,https://pcpartpicker.com/product/Rpbkcf/tripp-lite-ups-smart1200lcd,https://cdna.pcpartpicker.com/static/forever/images/product/35dc6237b6bce98194e1d6060dfad412.256p.jpg,700 W,1200 VA,395.99
Tripp Lite SMART1200XLHG,https://pcpartpicker.com/product/md648d/tripp-lite-ups-smart1200xlhg,https://m.media-amazon.com/images/I/51DCpCbAAwL.jpg,750 W,1000 VA,975.99
Tripp Lite SMART1300LCDT,https://pcpartpicker.com/product/pqkwrH/tripp-lite-ups-smart1300lcdt,https://cdna.pcpartpicker.com/static/forever/images/product/b9ee9bc90dac687de0203acdd2f43483.256p.jpg,720 W,1300 VA,228.99
Tripp Lite SMART1500RM2U,https://pcpartpicker.com/product/kGfmP6/tripp-lite-ups-smart1500rm2u,https://cdna.pcpartpicker.com/static/forever/images/product/ded7726af92ca4260188b89e8f90ea0a.256p.jpg,1350 W,1500 VA,808.26
Tripp Lite SMART3000RM2U,https://pcpartpicker.com/product/xD8H99/tripp-lite-ups-smart3000rm2u,https://cdna.pcpartpicker.com/static/forever/images/product/dd4ac62641442a2f943cf3d78af9d086.256p.jpg,2250 W,3000 VA,1374.92
Tripp Lite SU2200RTXL2UA,https://pcpartpicker.com/product/xhqbt6/tripp-lite-ups-su2200rtxl2ua,https://m.media-amazon.com/images/I/31ITpZTHStL.jpg,1600 W,2200 VA,
Tripp Lite SU2200XLCD,https://pcpartpicker.com/product/b4Crxr/tripp-lite-ups-su2200xlcd,https://cdna.pcpartpicker.com/static/forever/images/product/1bba119eb2511cf3a7159ef571acda01.256p.jpg,1800 W,2200 VA,1518.27
Tripp Lite SU3000RTXLCD2U,https://pcpartpicker.com/product/TvVBD3/tripp-lite-ups-su3000rtxlcd2u,https://cdna.pcpartpicker.com/static/forever/images/product/e08c88c636bf225807a5bf764eaabf6d.256p.jpg,2700 W,3000 VA,2341.73
Tripp Lite SU3000XLCD,https://pcpartpicker.com/product/fKZ2FT/tripp-lite-ups-su3000xlcd,https://cdna.pcpartpicker.com/static/forever/images/product/8b8b26626c4666164cbef7c8540b75cc.256p.jpg,2700 W,3000 VA,2112.00
Tripp Lite SU6000RT4UHV,https://pcpartpicker.com/product/wGfmP6/tripp-lite-ups-su6000rt4uhv,/static/forever/img/no-image.png,5400 W,6000 VA,4399.97
Tripp Lite SU6000RT4UHVG,https://pcpartpicker.com/product/Dpbkcf/tripp-lite-ups-su6000rt4uhvg,https://m.media-amazon.com/images/I/417yV2JXUjL.jpg,5400 W,6000 VA,
Tripp Lite SU1500RTXL2UA,https://pcpartpicker.com/product/3f8H99/tripp-lite-ups-su1500rtxl2ua,https://m.media-amazon.com/images/I/31Hq9TWnvqL.jpg,1200 W,1500 VA,1589.95
Tripp Lite SU1500XLCD,https://pcpartpicker.com/product/72RFf7/tripp-lite-ups-su1500xlcd,https://cdna.pcpartpicker.com/static/forever/images/product/b38b989f0dd741422bdbad6e6bc09b95.256p.jpg,1350 W,1500 VA,1057.49
Tripp Lite SMX500RT1U,https://pcpartpicker.com/product/wwVBD3/tripp-lite-ups-smx500rt1u,https://m.media-amazon.com/images/I/21maNifeJJL.jpg,300 W,500 VA,
Tripp Lite SMARTINT3000VS,https://pcpartpicker.com/product/nsJkcf/tripp-lite-ups-smartint3000vs,https://m.media-amazon.com/images/I/31PYM4ATZBL.jpg,2250 W,3000 VA,
Tripp Lite OMNIVSINT1500XL,https://pcpartpicker.com/product/DD8H99/tripp-lite-ups-omnivsint1500xl,https://cdna.pcpartpicker.com/static/forever/images/product/898cadb2f3996bb8b4dd771193de11d1.256p.jpg,940 W,1500 VA,419.99
Tripp Lite INTERNET900U,https://pcpartpicker.com/product/6TH48d/tripp-lite-ups-internet900u,https://cdna.pcpartpicker.com/static/forever/images/product/a703d30adf37d41daf885083111da168.256p.jpg,480 W,900 VA,143.99
Tripp Lite SMARTINT1400RM,https://pcpartpicker.com/product/pxYWGX/tripp-lite-ups-smartint1400rm,https://cdna.pcpartpicker.com/static/forever/images/product/c74e85251705f3d8cb4040b3140f46de.256p.jpg,940 W,1400 VA,
APC SUA1500,https://pcpartpicker.com/product/rBPzK8/apc-ups-sua1500,https://m.media-amazon.com/images/I/51QC+Icbi4L.jpg,980 W,1440 VA,
APC SUA2200X115,https://pcpartpicker.com/product/cLDzK8/apc-ups-sua2200x115,https://m.media-amazon.com/images/I/31Jv+G6WVGL.jpg,1980 W,2200 VA,
APC SUA3000RMXLI3U,https://pcpartpicker.com/product/sGfmP6/apc-ups-sua3000rmxli3u,https://cdna.pcpartpicker.com/static/forever/images/product/d146d3b67474670d3e8a45086e4ac71e.256p.jpg,2700 W,3000 VA,
CyberPower CP600LCD,https://pcpartpicker.com/product/z4Crxr/cyberpower-ups-cp600lcd,https://cdna.pcpartpicker.com/static/forever/images/product/e1e97e34a86b62c6085893fd50318320.256p.jpg,340 W,600 VA,
CyberPower CP800AVR,https://pcpartpicker.com/product/P4Crxr/cyberpower-ups-cp800avr,https://cdna.pcpartpicker.com/static/forever/images/product/6d3bbfaf53db86f863512e09c5190288.256p.jpg,450 W,800 VA,129.95
CyberPower CP825LCD,https://pcpartpicker.com/product/TKZ2FT/cyberpower-ups-cp825lcd,https://cdna.pcpartpicker.com/static/forever/images/product/730070f52fb23bd9551d532a37667fdf.256p.jpg,450 W,825 VA,
CyberPower CPS1500AVR,https://pcpartpicker.com/product/wWX2FT/cyberpower-ups-cps1500avr,https://cdna.pcpartpicker.com/static/forever/images/product/674a0fee7a52ab8cb1cbe27b87ba70f5.256p.jpg,950 W,1500 VA,505.95
CyberPower EC550G,https://pcpartpicker.com/product/8GfmP6/cyberpower-ups-ec550g,https://cdna.pcpartpicker.com/static/forever/images/product/3e6de06593768da89b4b26864c96d280.256p.jpg,330 W,550 VA,94.95
CyberPower OR1000LCDRM1U,https://pcpartpicker.com/product/sTH48d/cyberpower-ups-or1000lcdrm1u,https://m.media-amazon.com/images/I/31qa8l4N6CL.jpg,600 W,1000 VA,505.95
CyberPower OR1500LCDRM1U,https://pcpartpicker.com/product/dLDzK8/cyberpower-ups-or1500lcdrm1u,https://m.media-amazon.com/images/I/317fDXEYiLL.jpg,900 W,1500 VA,614.95
CyberPower PR1500LCDRTXL2U,https://pcpartpicker.com/product/TQVBD3/cyberpower-ups-pr1500lcdrtxl2u,https://m.media-amazon.com/images/I/31ShetpyHdL.jpg,1350 W,1500 VA,1585.95
CyberPower PR3000LCDRT2UTAA,https://pcpartpicker.com/product/j6X2FT/cyberpower-ups-pr3000lcdrt2utaa,/static/forever/img/no-image.png,2250 W,3000 VA,
CyberPower PR5000LCDRTXL5UTAA,https://pcpartpicker.com/product/BXH48d/cyberpower-ups-pr5000lcdrtxl5utaa,https://cdna.pcpartpicker.com/static/forever/images/product/6768ea9cb6ace89c3c98522648e9b3d1.256p.jpg,4000 W,5000 VA,
Belkin F6H650-SER,https://pcpartpicker.com/product/xzM323/belkin-ups-f6h650ser,/static/forever/img/no-image.png,360 W,650 VA,
HP AF451A,https://pcpartpicker.com/product/jm8H99/hp-ups-af451a,https://cdna.pcpartpicker.com/static/forever/images/product/29f0afa3c5090faae156fc83c33ec0b2.256p.jpg,950 W,1400 VA,
IBM 53951AX,https://pcpartpicker.com/product/chqbt6/ibm-ups-53951ax,https://cdna.pcpartpicker.com/static/forever/images/product/09c233f3922d827b2bee2ac4cae6b2b3.256p.jpg,1000 W,1500 VA,
Eaton 66942,https://pcpartpicker.com/product/RRvZxr/eaton-ups-66942,https://m.media-amazon.com/images/I/21fsx+MVkIL.jpg,250 W,500 VA,
CyberPower GX1325U,https://pcpartpicker.com/product/6x98TW/cyberpower-gx1325u-ups-gx1325u,https://cdna.pcpartpicker.com/static/forever/images/product/17de712cdc1fbaf38c6b1181caf3e53c.256p.jpg,810 W,1325 VA,
CyberPower CST1500S,https://pcpartpicker.com/product/BVQcCJ/cyberpower-cst1500s-ups-cst1500s,/static/forever/img/no-image.png,900 W,1500 VA,
CyberPower BRG1500AVRLCD2,https://pcpartpicker.com/product/2pP8TW/cyberpower-brg1500avrlcd2-ups-brg1500avrlcd2,https://cdna.pcpartpicker.com/static/forever/images/product/0623176d6b81e0639d33f65ec882e639.256p.jpg,900 W,1500 VA,289.95
VERTIV Liebert PSl5,https://pcpartpicker.com/product/LjqNnQ/vertiv-liebert-psl5-ups-psi5-1100mt120,/static/forever/img/no-image.png,990 W,1100 VA,510.93
Tripp Lite SU1500RTXLCD2U,https://pcpartpicker.com/product/Rf8H99/tripp-lite-ups-su1500rtxlcd2u,https://m.media-amazon.com/images/I/319HreSR5nL.jpg,1350 W,1500 VA,1177.32
CyberPower CP1500PFCLCDTAA,https://pcpartpicker.com/product/mXH48d/cyberpower-ups-cp1500pfclcdtaa,/static/forever/img/no-image.png,900 W,1500 VA,309.95
APC SURTD5000RMXLP3U,https://pcpartpicker.com/product/vyfmP6/apc-ups-surtd5000rmxlp3u,https://images-na.ssl-images-amazon.com/images/I/411hlKJzPJL.jpg,4000 W,5000 VA,7623.99
Tripp Lite OMNIVS1500,https://pcpartpicker.com/product/w9Wrxr/tripp-lite-ups-omnivs1500,https://m.media-amazon.com/images/I/41E8znIhD6L.jpg,940 W,1500 VA,370.06
Tripp Lite ECO750UPSTAA,https://pcpartpicker.com/product/tjcMnQ/tripp-lite-ups-eco750upstaa,https://cdna.pcpartpicker.com/static/forever/images/product/e3acc9b405dde39d88e4471e41f35d06.256p.jpg,450 W,750 VA,150.99
CyberPower CST135UC,https://pcpartpicker.com/product/f2ddnQ/cyberpower-cst135uc-ups-cst135uc,/static/forever/img/no-image.png,810 W,1350 VA,169.99
APC SUA750RMJ1UB,https://pcpartpicker.com/product/tTH48d/apc-ups-sua750rmj1ub,https://cdna.pcpartpicker.com/static/forever/images/product/428e8f5328feca133a110e252b4bec64.256p.jpg,480 W,750 VA,499.00
Tripp Lite ECO350UPS,https://pcpartpicker.com/product/vpbkcf/tripp-lite-ups-eco350ups,https://cdna.pcpartpicker.com/static/forever/images/product/f79d560babe3015e159e41d7935d40a3.256p.jpg,180 W,350 VA,93.53
Tripp Lite OMNI1500LCDT,https://pcpartpicker.com/product/TXH48d/tripp-lite-ups-omni1500lcdt,https://cdna.pcpartpicker.com/static/forever/images/product/034434b20378727b962c32ee1fa0c425.256p.jpg,810 W,1500 VA,233.93
Tripp Lite SMART1500,https://pcpartpicker.com/product/WnnG3C/tripp-lite-ups-smart1500,https://cdna.pcpartpicker.com/static/forever/images/product/6259324e249d466fd5334ee8a8ff9952.256p.jpg,980 W,1500 VA,435.40
Tripp Lite SMART1500SLT,https://pcpartpicker.com/product/rJVBD3/tripp-lite-ups-smart1500slt,https://cdna.pcpartpicker.com/static/forever/images/product/0ae242ef8cf9ede47aa7186352354a9f.256p.jpg,950 W,1500 VA,389.00
Tripp Lite SMART3000CRMXL,https://pcpartpicker.com/product/myfmP6/tripp-lite-ups-smart3000crmxl,/static/forever/img/no-image.png,2880 W,3000 VA,2016.78
Tripp Lite SMX3000XLRT2UA,https://pcpartpicker.com/product/pM8H99/tripp-lite-ups-smx3000xlrt2ua,https://m.media-amazon.com/images/I/31IxETDt8vL.jpg,2700 W,3000 VA,1664.92
APC BK350,https://pcpartpicker.com/product/bD8H99/apc-ups-bk350,https://cdna.pcpartpicker.com/static/forever/images/product/a913a1ad7b2304d3f30523ef45fab129.256p.jpg,210 W,350 VA,110.98
CyberPower CP1500AVRT,https://pcpartpicker.com/product/yM8H99/cyberpower-ups-cp1500avrt,https://m.media-amazon.com/images/I/313AHx+qdLL.jpg,900 W,1500 VA,219.95
CyberPower CP685AVRLCD,https://pcpartpicker.com/product/jTH48d/cyberpower-ups-cp685avrlcd,https://cdna.pcpartpicker.com/static/forever/images/product/89f836c972e80e5ab97383dbc6f07a51.256p.jpg,390 W,685 VA,127.95
CyberPower OR700LCDRM1U,https://pcpartpicker.com/product/tZ8H99/cyberpower-ups-or700lcdrm1u,https://cdna.pcpartpicker.com/static/forever/images/product/17ba86be20a22844233a4c18c8355a9d.256p.jpg,400 W,700 VA,329.95
HP AF418A,https://pcpartpicker.com/product/gvVBD3/hp-ups-af418a,https://m.media-amazon.com/images/I/311Lz6NIUvL.jpg,1000 W,1500 VA,
Tripp Lite SM1000RM1UTAA,https://pcpartpicker.com/product/DTH48d/tripp-lite-ups-sm1000rm1utaa,https://cdna.pcpartpicker.com/static/forever/images/product/1441710afed98df81dc086c0473e7d9d.256p.jpg,800 W,1000 VA,835.99
Tripp Lite SMC10002URM,https://pcpartpicker.com/product/Mr7CmG/tripp-lite-ups-smc10002urm,https://cdna.pcpartpicker.com/static/forever/images/product/64e723d2511791c540fbea1cc7f5f4d8.256p.jpg,700 W,1000 VA,
APC SMT1000J,https://pcpartpicker.com/product/rhqbt6/apc-ups-smt1000j,/static/forever/img/no-image.png,670 W,1000 VA,
APC BE325-GR,https://pcpartpicker.com/product/TRGj4D/apc-ups-be325gr,https://m.media-amazon.com/images/I/31BfntvMxtL.jpg,185 W,325 VA,
APC BE350G,https://pcpartpicker.com/product/NjcMnQ/apc-ups-be350g,https://cdna.pcpartpicker.com/static/forever/images/product/a11dfb4218967e67ce40ebc34c14f803.256p.jpg,200 W,350 VA,
APC BE350G-CN,https://pcpartpicker.com/product/nr7CmG/apc-ups-be350gcn,/static/forever/img/no-image.png,200 W,350 VA,
