Name,URL,Image,Type,Interface,Capacity,Price / GB,Color,Price
Samsung T7 Portable,https://pcpartpicker.com/product/VYGnTW/samsung-t7-portable-1-tb-external-ssd-mu-pc1t0tam,https://cdna.pcpartpicker.com/static/forever/images/product/f97f4008dfb101fef3fc59082d1023c1.256p.jpg,Portable,USB Type-C 3.2 Gen 1,1000 GB,$0.190,Black / Silver,189.99
Seagate Portable Drive,https://pcpartpicker.com/product/YWBFf7/seagate-portable-drive-5-tb-external-hard-drive-stgx5000400,https://cdna.pcpartpicker.com/static/forever/images/product/4cff13e157c3ca5ac3d01f69787b1d3d.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.031,Black,154.35
Samsung T7 Shield,https://pcpartpicker.com/product/zjhv6h/samsung-t7-shield-4-tb-external-ssd-mu-pe4t0sam,https://cdna.pcpartpicker.com/static/forever/images/product/c0c28182647010e61c0b8cf5cfbbac9b.256p.jpg,Portable,USB Type-C 3.2 Gen 2,4000 GB,$0.187,Black,747.00
Western Digital My Passport,https://pcpartpicker.com/product/ksyqqs/western-digital-2-tb-external-hard-drive-wdbyvg0020bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/8fa5e38305fc3287828cfc4ef1888c52.256p.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,$0.047,Black,94.95
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/P4m2FT/seagate-expansion-amer-26-tb-external-hard-drive-stkp26000400,https://cdna.pcpartpicker.com/static/forever/images/product/c0be66bba6a4929defd09637bbe268e4.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,26000 GB,,,
Crucial X10 Pro,https://pcpartpicker.com/product/v4YRsY/crucial-x10-pro-4-tb-external-ssd-ct4000x10prossd902,https://m.media-amazon.com/images/I/31wcRmA4PcL.jpg,Portable,USB Type-C 3.2 Gen 2x2,4000 GB,$0.124,Black,494.99
Seagate Expansion with Rescue Data Recovery Services,https://pcpartpicker.com/product/RszXsY/seagate-expansion-1yr-8-tb-external-hard-drive-stkp8000400,https://cdna.pcpartpicker.com/static/forever/images/product/c21539311e602c51e0e4d05cb0f09c45.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,8000 GB,$0.027,Black,218.26
Seagate Expansion,https://pcpartpicker.com/product/xFcgXL/seagate-expansion-20-tb-external-hard-drive-stkp20000400,https://cdna.pcpartpicker.com/static/forever/images/product/f187b77a80ef3f496d386dc3b2a6e776.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,20000 GB,,Black,
Crucial X9,https://pcpartpicker.com/product/LmJp99/crucial-x9-1-tb-external-ssd-ct1000x9ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/76a2daaba6b1c9115fceaa5654ca7cd6.256p.jpg,Portable,USB Type-C 3.2 Gen 2,1000 GB,$0.117,Black,116.99
Crucial X10,https://pcpartpicker.com/product/LLdMnQ/crucial-x10-8-tb-external-ssd-ct8-000x10ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/25d6260e39a85f664e52781dbc7a3268.256p.jpg,Portable,USB Type-C 3.2 Gen 2x2,8000 GB,$0.095,Blue,759.99
ADATA CH11,https://pcpartpicker.com/product/q7kD4D/a-data-external-hard-drive-ach11500gu3cbk,https://cdna.pcpartpicker.com/static/forever/images/product/bade7f2875b86dc6cac4962d2507234d.256p.jpg,Portable,USB Type-A 3.2 Gen 1,500 GB,$0.139,,69.44
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/zRstt6/western-digital-wd_black-d10-8-tb-external-hard-drive-wdba3p0080hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/90a877442a10e9ace1615dcbc206995f.256p.jpg,Desktop,USB Type-A 3.2 Gen 2,8000 GB,$0.031,Black,244.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/vnCCmG/western-digital-elements-20-tb-external-hard-drive-wdbwlg0200hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/341677c69ea9f9175a501ca9445ce554.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,20000 GB,$0.022,Black,439.99
Western Digital My Passport,https://pcpartpicker.com/product/BJsnTW/western-digital-5-tb-external-hard-drive-wdbpkj0050bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/5d7c2eb29ddecb99765208b7f42aef90.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.032,Black,159.94
Western Digital WD_BLACK D10,https://pcpartpicker.com/product/BJ7G3C/western-digital-wd_black-d10-12-tb-external-hard-drive-wdba5e0120hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/069feca87711fa7cb975b35dd7a83da8.256p.jpg,Desktop,USB Type-A 3.2 Gen 2,12000 GB,$0.024,Black,284.99
Western Digital My Passport,https://pcpartpicker.com/product/Vywkcf/western-digital-1-tb-external-hard-drive-wdbyvg0010bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/ba23700b55301deb298596f4bf426b9d.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.085,Black,84.99
Western Digital My Book Duo,https://pcpartpicker.com/product/9KXYcf/western-digital-my-book-duo-28-tb-external-hard-drive-wdbfbe0280jbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/1b25f27412f2de26de0fffaccbe435ac.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",28000 GB,,Black,
Apricorn Padlock DT FIPS,https://pcpartpicker.com/product/cPdG3C/apricorn-padlock-dt-fips-22-tb-external-hard-drive-adt-3pl256f-22tb,https://cdna.pcpartpicker.com/static/forever/images/product/458052bac4afb1692f9afd1e90bb2359.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,22000 GB,$0.048,Black,1045.00
Seagate One Touch,https://pcpartpicker.com/product/486p99/seagate-one-touch-16-tb-external-hard-drive-stlc16000400,https://cdna.pcpartpicker.com/static/forever/images/product/a3ab8ad288e6f94b6bed6d8b16b20048.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,16000 GB,$0.022,Black,349.99
Toshiba Canvio Basics,https://pcpartpicker.com/product/3wzZxr/toshiba-external-hard-drive-hdtb310xk3aa,https://cdna.pcpartpicker.com/static/forever/images/product/5dd5712e1524101ba7f45d326f55c6bd.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.077,,76.95
SanDisk Extreme Portable V2,https://pcpartpicker.com/product/JwC48d/sandisk-extreme-portable-v2-4-tb-external-ssd-sdssde61-4t00-g25,https://cdna.pcpartpicker.com/static/forever/images/product/47b0f29ce9983baefd3004486a38c942.256p.jpg,Portable,USB Type-C 3.2 Gen 1,4000 GB,$0.112,Black / Orange,449.99
Asus ROG Strix Arion S500,https://pcpartpicker.com/product/bq7MnQ/asus-rog-strix-arion-s500-500-gb-external-ssd-90dd02i0-m09000,https://cdna.pcpartpicker.com/static/forever/images/product/8d116ac01a6ced20b371f5c3291157b9.256p.jpg,Portable,USB Type-C 3.2 Gen 2,500 GB,,Black,
Seagate Backup Plus Portable,https://pcpartpicker.com/product/fQF48d/seagate-backup-plus-portable-4-tb-external-hard-drive-sthp4000400,https://cdna.pcpartpicker.com/static/forever/images/product/0c4965545798ec33baa72485e771ffac.256p.jpg,Portable,USB Type-A 3.2 Gen 1,4000 GB,$0.037,Black,149.99
Seagate Expansion,https://pcpartpicker.com/product/kcWJ7P/seagate-expansion-24-tb-external-hard-drive-stkp24000400,https://cdna.pcpartpicker.com/static/forever/images/product/704607c7cef7b71442e6d4bd2b3eaad3.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,24000 GB,,Black,
Western Digital easystore,https://pcpartpicker.com/product/ZXytt6/western-digital-easystore-18-tb-external-hard-drive-wdbama0180hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/6ee781d6a4227976b750dae7ffd4ba60.256p.jpg,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",18000 GB,$0.018,Black,329.99
Crucial X9,https://pcpartpicker.com/product/GZvD4D/crucial-x9-2-tb-external-ssd-ct2000x9ssd9,https://cdna.pcpartpicker.com/static/forever/images/product/a8189fe5af43080a57407f629beb3a3a.256p.jpg,Portable,USB Type-C 3.2 Gen 2,2000 GB,$0.098,Black,195.99
Western Digital My Book,https://pcpartpicker.com/product/LcHRsY/western-digital-my-book-6tb-external-hard-drive-wdbbgb0060hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/9ab10555612a29485ea5da0e6a17ff34.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,6000 GB,$0.028,Black,169.99
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/sC848d/western-digital-wd_black-p10-2-tb-external-hard-drive-wdba2w0020bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/931623e0ff6eae83d6a4cba903013a4c.256p.jpg,Portable,USB Type-A 3.2 Gen 1,2000 GB,,Black,
