Name,URL,Image,BD,DVD,CD,BD Write,DVD Write,CD Write,Price
Sony AD-7280S-0B,https://pcpartpicker.com/product/FPrG3C/sony-optical-drive-ad7280s0b,https://m.media-amazon.com/images/I/31hUoCt+f1L.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
LG BH16NS55.AUAR10B,https://pcpartpicker.com/product/P34NnQ/lg-bh16ns55auar10b-blu-raydvdcd-writer-bh16ns55auar10b,https://m.media-amazon.com/images/I/41j+IumDZ9L.jpg,,,40,8/8/8/6,16/12/12/16/12/12/5,48/40,
LG GH24NSB0,https://pcpartpicker.com/product/PWNp99/lg-optical-drive-gh24nsb0,https://m.media-amazon.com/images/I/31WMgvt2orL.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Asus SDRW-08U1MT,https://pcpartpicker.com/product/bD4Zxr/asus-sdrw-08u1mt-dvdcd-writer-sdrw-08u1mt,https://cdna.pcpartpicker.com/static/forever/images/product/bb95c092d7de2c7a91357073efeac24a.256p.jpg,,,24,,8/8/6/8/6/6/5,24/24,51.34
Lite-On DS-8ABSH-01,https://pcpartpicker.com/product/ZsyFf7/lite-on-optical-drive-ds8absh01,https://cdna.pcpartpicker.com/static/forever/images/product/05ff9e8b515a962a6d35fbf051c0bb47.256p.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
LG GGC-H20L,https://pcpartpicker.com/product/ck98TW/lg-optical-drive-ggch20l,https://images-na.ssl-images-amazon.com/images/I/41-qr6-862L.jpg,6,16,40,,,,
Sony BWU-500S,https://pcpartpicker.com/product/TBV48d/sony-optical-drive-bwu500s,https://m.media-amazon.com/images/I/31HqE2-yW6L.jpg,8,16,48,12/8/2/2,8/8/6/8/6/6/5,24/16,
Asus DRW-24B3ST/BLK/G/AS,https://pcpartpicker.com/product/W8V48d/asus-optical-drive-drw24b3stblkgas,https://m.media-amazon.com/images/I/51yFFH8NiqL.jpg,,16,48,,24/8/12/24/6/12/12,48/24,
Pioneer DVR-216D,https://pcpartpicker.com/product/3dsnTW/pioneer-dvr-216d-dvdcd-writer-dvr-216d,/static/forever/img/no-image.png,,16,40,,20/8/12/20/32/12/-,40/32,
Lite-On DH-16AFSH,https://pcpartpicker.com/product/Z9yV3C/lite-on-dh-16afsh-dvdcd-writer-dh-16afsh,https://m.media-amazon.com/images/I/41N9nHznLYL.jpg,,,,,16/8/8/16/6/8/-,48/24,
Pioneer BDR-2209,https://pcpartpicker.com/product/4Fzv6h/pioneer-optical-drive-bdr2209,https://cdna.pcpartpicker.com/static/forever/images/product/3af7963f7e022c8ca3c56185754639ce.256p.jpg,12,16,40,16/14/2/2,16/6/8/16/6/8/5,40/24,
Samsung SH-222AB,https://pcpartpicker.com/product/4HmLrH/samsung-optical-drive-sh222ab,https://m.media-amazon.com/images/I/41vfXvmeVqL.jpg,,16,48,,22/8/16/22/6/12/12,48/24,
Samsung SH-224DB/BEBE,https://pcpartpicker.com/product/y4xfrH/samsung-optical-drive-sh224dbbebe,https://m.media-amazon.com/images/I/31P6TIdE4OL.jpg,,16,48,,24/8/8/24/6/8/12,48/24,
LG GS40N,https://pcpartpicker.com/product/pf7CmG/lg-optical-drive-gs40n,https://cdna.pcpartpicker.com/static/forever/images/product/3e7085ac26a034deb88fdd6a014d8cda.256p.jpg,,8,24,,8/8/6/8/6/6/5,24/16,
Samsung SH-B123L/RSBP,https://pcpartpicker.com/product/HXw323/samsung-optical-drive-shb123lrsbp,https://images-na.ssl-images-amazon.com/images/I/31dqRnt7MsL.jpg,12,16,48,,16/8/8/16/16/8/12,48/24,
Pioneer BDC-207DBK,https://pcpartpicker.com/product/QJckcf/pioneer-optical-drive-bdc207dbk,https://m.media-amazon.com/images/I/41iOJW+r+AL.jpg,8,16,40,,16/8/8/16/6/8/5,40/24,
Pioneer BDR-S09XLT,https://pcpartpicker.com/product/VHYXsY/pioneer-optical-drive-bdrs09xlt,https://cdna.pcpartpicker.com/static/forever/images/product/ca3a0ac3e1ddcf26eb31e076cbd19565.256p.jpg,,5,40,12/8/10/6,16/12/12/16/12/12/5,40/24,
