Name,URL,Image,BD,DVD,CD,BD Write,DVD Write,CD Write,Price
HP 481041-B21,https://pcpartpicker.com/product/XKtCmG/hp-optical-drive-481041b21,https://images-na.ssl-images-amazon.com/images/I/312VlsA5J4L.jpg,,8,24,,,,
LG UH12LS28 OEM,https://pcpartpicker.com/product/kVvRsY/lg-optical-drive-uh12ls28oem,/static/forever/img/no-image.png,12,16,48,,16/8/8/16/6/8/12,48/24,
Samsung SH-B123L,https://pcpartpicker.com/product/chzv6h/samsung-optical-drive-shb123l,/static/forever/img/no-image.png,12,16,48,,16/8/8/16/6/8/12,48/4,
Sony BC-5640H-01,https://pcpartpicker.com/product/rZbp99/sony-optical-drive-bc5640h01,https://images-na.ssl-images-amazon.com/images/I/31U2riDvMCL.jpg,6,8,24,,8/8/6/8/6/6/5,24/16,
Buslink DBW-1647,https://pcpartpicker.com/product/cCYXsY/buslink-optical-drive-dbw1647,https://m.media-amazon.com/images/I/31edfo1S2oL.jpg,,16,48,,16/4/4/16/4/-/-,48/32,
Asus DRW-22B2Sb/BLK/B/AS,https://pcpartpicker.com/product/ywsKHx/asus-optical-drive-drw22b2sbblkbas,/static/forever/img/no-image.png,,16,48,,22/8/12/22/6/12/12,48/32,
Asus DRW-24B3LT,https://pcpartpicker.com/product/HdR48d/asus-optical-drive-drw24b3lt,https://m.media-amazon.com/images/I/51b2xwIkEEL.jpg,,16,48,,24/8/12/24/6/12/12,48/24,
MSI DH-18D4P,https://pcpartpicker.com/product/pbJwrH/msi-optical-drive-dh18d4p,https://cdna.pcpartpicker.com/static/forever/images/product/6464b6f0e85ef421ca6a0be0961d85b8.256p.jpg,,18,48,,,,
Lite-On iHES112-29,https://pcpartpicker.com/product/kdR48d/lite-on-optical-drive-ihes11229,https://images-na.ssl-images-amazon.com/images/I/21jyjK0M8QL.jpg,12,16,48,,16/8/8/16/6/8/12,48/24,
Sony AD-7740H-01,https://pcpartpicker.com/product/R4bp99/sony-optical-drive-ad7740h01,https://m.media-amazon.com/images/I/11sDK-1PUYL.jpg,,8,,,8/-/-/8/-/-/-,,
LG GH22NS90B,https://pcpartpicker.com/product/g2yFf7/lg-optical-drive-gh22ns90b,https://m.media-amazon.com/images/I/21TlnaWd1AL.jpg,,16,48,,22/8/8/22/6/8/12,48/32,
I/O Magic IBD1,https://pcpartpicker.com/product/mGCwrH/io-magic-optical-drive-ibd1,https://images-na.ssl-images-amazon.com/images/I/31yyVB5GWML.jpg,10,16,48,10/8/2/-,16/8/4/16/6/4/-,48/24,
Gear Head 24XDVDINTLS,https://pcpartpicker.com/product/jVphP6/gear-head-optical-drive-24xdvdintls,/static/forever/img/no-image.png,,,,,24/8/12/24/-/12/12,,
Lite-On iHES212-08,https://pcpartpicker.com/product/4qvRsY/lite-on-optical-drive-ihes21208,https://images-na.ssl-images-amazon.com/images/I/318zYB-chwL.jpg,12,16,48,,16/8/8/16/6/8/12,48/24,
LG WH12LS39,https://pcpartpicker.com/product/NQ4gXL/lg-optical-drive-wh12ls39,https://images-na.ssl-images-amazon.com/images/I/31TQTYzEpEL.jpg,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24,
Sony 5280S-CB-PLUS,https://pcpartpicker.com/product/sHH323/sony-optical-drive-5280scbplus,https://m.media-amazon.com/images/I/31H4OStjPCL.jpg,,16,48,,24/8/12/24/6/12/-,48/32,
LG CH10LS28,https://pcpartpicker.com/product/skphP6/lg-optical-drive-ch10ls28,https://images-na.ssl-images-amazon.com/images/I/31eHyak6soL.jpg,10,16,48,,16/8/8/16/6/8/12,48/24,
Pioneer BDR-207,https://pcpartpicker.com/product/vcXfrH/pioneer-optical-drive-bdr207,/static/forever/img/no-image.png,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24,
LG GH24NS72,https://pcpartpicker.com/product/4YkD4D/lg-optical-drive-gh24ns72,https://m.media-amazon.com/images/I/31NQuerkqzL.jpg,,16,48,,24/6/8/24/8/24/-,48/32,
Lite-On IHAS324-98,https://pcpartpicker.com/product/6z3RsY/lite-on-optical-drive-ihas32498,/static/forever/img/no-image.png,,16,48,,24/8/-/24/6/-/-,48/32,
Samsung SH-224BB,https://pcpartpicker.com/product/RdLypg/samsung-optical-drive-sh224bb,https://m.media-amazon.com/images/I/313GbaEitWL.jpg,,16,48,,24/8/8/24/6/8/12,48/24,
Samsung SH-224BB/RSBS,https://pcpartpicker.com/product/Y3PfrH/samsung-optical-drive-sh224bbrsbs,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/12,48/24,
LG GH24NS95,https://pcpartpicker.com/product/MD9KHx/lg-optical-drive-gh24ns95,https://cdna.pcpartpicker.com/static/forever/images/product/c210b881597668e190fa0744bd73119b.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Pioneer BDR-208DBK,https://pcpartpicker.com/product/Kbbp99/pioneer-optical-drive-bdr208dbk,https://m.media-amazon.com/images/I/41uJ1Alz2sL.jpg,12,16,40,15/14/2/2,16/8/8/16/6/8/-,40/24,
Samsung SH-118BB,https://pcpartpicker.com/product/ZdBv6h/samsung-optical-drive-sh118bb,https://images-na.ssl-images-amazon.com/images/I/31bSajqnQVL.jpg,,18,48,,,,
Samsung SN-208DB/BEBET,https://pcpartpicker.com/product/Xmbp99/samsung-optical-drive-sn208dbbebet,https://images-na.ssl-images-amazon.com/images/I/41bY1skPYZL.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
Samsung SH-S223Q,https://pcpartpicker.com/product/Xz2kcf/samsung-optical-drive-shs223q,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/32,
EVGA 100-OD-S101-BR,https://pcpartpicker.com/product/Zz2kcf/evga-optical-drive-100ods101br,/static/forever/img/no-image.png,,,,,8/8/6/8/6/6/5,24/24,
OcUK CD-004-OK,https://pcpartpicker.com/product/YmV48d/ocuk-optical-drive-cd004ok,https://cdna.pcpartpicker.com/static/forever/images/product/6dc79ff662c657a6cd341db7e8b117a7.256p.jpg,8,,,,16/16/8/16/16/8/-,48/24,
Lite-On SOHW-832S,https://pcpartpicker.com/product/4gs8TW/lite-on-optical-drive-sohw832s,/static/forever/img/no-image.png,,12,40,,8/4/2/8/4/2/-,40/24,
I/O Magic IDVD24S,https://pcpartpicker.com/product/RwrcCJ/io-magic-optical-drive-idvd24s,https://m.media-amazon.com/images/I/31l1xlryOvL.jpg,,,,,24/8/16/24/1/16/12,48/32,
Lenovo 0A65618,https://pcpartpicker.com/product/7CmxFT/lenovo-optical-drive-0a65618,https://m.media-amazon.com/images/I/31Gs9mrUmtL.jpg,,,,,16/12/12/16/12/12/12,48/40,
Lite-On DH-4O1S-11,https://pcpartpicker.com/product/PccMnQ/lite-on-optical-drive-dh4o1s11,/static/forever/img/no-image.png,4,12,32,,,,
Samsung SH-216DB,https://pcpartpicker.com/product/svfmP6/samsung-optical-drive-sh216db,/static/forever/img/no-image.png,,,,,16/8/8/16/6/8/5,48/24,
Teac BD-W512GSA,https://pcpartpicker.com/product/kBcMnQ/teac-optical-drive-bdw512gsa,/static/forever/img/no-image.png,,,,12/8/2/2,16/8/8/16/6/8/-,48/24,
Silverstone SOB03,https://pcpartpicker.com/product/jyD7YJ/silverstone-sob03-blu-raydvdcd-writer-sst-sob03,https://cdna.pcpartpicker.com/static/forever/images/product/f5c7e3f0977e85b06951f0b9245f93b4.256p.jpg,6,8,24,6/6/2/2,8/8/4/8/6/4/5,24/10,
Samsung SH-S203B,https://pcpartpicker.com/product/hKJgXL/samsung-sh-s203b-dvdcd-writer-sh-s203b,/static/forever/img/no-image.png,,20,48,,20/8/12/20/6/12/12,32/48,
LG GUB0N,https://pcpartpicker.com/product/tP648d/lg-optical-drive-gub0n,https://m.media-amazon.com/images/I/31YuVe+ru9L.jpg,,8,24,,8/6/6/8/6/6/5,24/24,
HP 1270i,https://pcpartpicker.com/product/F7Np99/hp-optical-drive-hp1270i,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
HP bd340i,https://pcpartpicker.com/product/Nrbp99/hp-optical-drive-bd340i,/static/forever/img/no-image.png,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
LG GH22NP21,https://pcpartpicker.com/product/7mMFf7/lg-optical-drive-gh22np21,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/32,
LG GH24LS70,https://pcpartpicker.com/product/9bPfrH/lg-optical-drive-gh24ls70,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/12,48/32,
LG GH24NS70 OEM,https://pcpartpicker.com/product/VMW9TW/lg-optical-drive-gh24ns70oem,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/12,48/32,
Lite-On IHBS112-29,https://pcpartpicker.com/product/Y3YXsY/lite-on-optical-drive-ihbs11229,/static/forever/img/no-image.png,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
Lite-On iHAP122-04,https://pcpartpicker.com/product/tv9KHx/lite-on-optical-drive-ihap12204,/static/forever/img/no-image.png,,16,48,,22/8/8/22/6/8/12,48/32,
Lite-On iHAP222-06,https://pcpartpicker.com/product/ZVvRsY/lite-on-optical-drive-ihap22206,/static/forever/img/no-image.png,,16,48,,22/8/8/22/6/8/12,48/32,
Lite-On iHBS212-08,https://pcpartpicker.com/product/gVvRsY/lite-on-optical-drive-ihbs21208,/static/forever/img/no-image.png,8,16,48,12/8/2/2,16/8/8/16/6/8/12,48/24,
Pioneer BDR-206DBKS,https://pcpartpicker.com/product/86W9TW/pioneer-optical-drive-bdr206dbks,/static/forever/img/no-image.png,8,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24,
Plextor PX-B940SA-11,https://pcpartpicker.com/product/tMW9TW/plextor-optical-drive-pxb940sa11,/static/forever/img/no-image.png,8,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24,
Samsung SH-222AL,https://pcpartpicker.com/product/N8tCmG/samsung-optical-drive-sh222al,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/24,
Sony AD-7260S-0B,https://pcpartpicker.com/product/WgMFf7/sony-optical-drive-ad7260s0b,https://images-na.ssl-images-amazon.com/images/I/313WEmD29AL.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
Sony AD-7261S-0B,https://pcpartpicker.com/product/6GZQzy/sony-optical-drive-ad7261s0b,https://m.media-amazon.com/images/I/41zOv4czO-L.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
Sony AD-7690H-01,https://pcpartpicker.com/product/GpPfrH/sony-optical-drive-ad7690h01,/static/forever/img/no-image.png,,8,24,,8/8/6/8/6/6/5,24/24,
Plextor PX-L871A,https://pcpartpicker.com/product/vBBv6h/plextor-optical-drive-pxl871a,/static/forever/img/no-image.png,,16,48,,22/8/12/22/6/12/12,48/24,
Plextor PX-L890SA,https://pcpartpicker.com/product/X4Lypg/plextor-optical-drive-pxl890sa,https://images-na.ssl-images-amazon.com/images/I/41BuuDJUi%2BL.jpg,,16,48,,24/8/12/24/6/12/12,48/24,
Plextor PX-B320SA SW,https://pcpartpicker.com/product/pXw323/plextor-optical-drive-pxb320sasw,/static/forever/img/no-image.png,8,16,48,,16/8/8/16/6/8/12,48/32,
Lite-On iHOS104-08,https://pcpartpicker.com/product/Zhzv6h/lite-on-optical-drive-ihos10408,/static/forever/img/no-image.png,4,8,32,,,,
Asus DRW-24B3LT/BLK/G/AS,https://pcpartpicker.com/product/dyn2FT/asus-optical-drive-drw24b3ltblkgas,/static/forever/img/no-image.png,,16,48,,24/8/-/24/8/-/-,48/24,
Lite-On iHAP422-98,https://pcpartpicker.com/product/BXw323/lite-on-optical-drive-ihap42298,/static/forever/img/no-image.png,,16,48,,22/8/8/22/6/8/12,48/32,
Lite-On iHAS424-98,https://pcpartpicker.com/product/L8tCmG/lite-on-optical-drive-ihas42498,https://cdna.pcpartpicker.com/static/forever/images/product/5234fca48acf63fb07e1b79d079b60a7.med.256p.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
Plextor PX-L890SA R,https://pcpartpicker.com/product/hhzv6h/plextor-optical-drive-pxl890sar,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/24,
Samsung SH-S222A,https://pcpartpicker.com/product/gv9KHx/samsung-optical-drive-shs222a,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/32,
Sony AD-7260S-01,https://pcpartpicker.com/product/zJ3RsY/sony-optical-drive-ad7260s01,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Lite-On iHDP118-04,https://pcpartpicker.com/product/f8Np99/lite-on-optical-drive-ihdp11804,https://cdna.pcpartpicker.com/static/forever/images/product/2ed489a17bee0ccb859dfd1a8e5d9348.256p.jpg,,18,48,,,,
Lite-On iHDP118-08,https://pcpartpicker.com/product/kLQypg/lite-on-optical-drive-ihdp11808,/static/forever/img/no-image.png,,18,48,,,,
Asus DRW-22B3S/BLK/G/AS,https://pcpartpicker.com/product/3RW9TW/asus-optical-drive-drw22b3sblkgas,https://images-na.ssl-images-amazon.com/images/I/31uMR717RAL.jpg,,16,48,,22/8/12/22/6/12/12,48/24,
Lite-On iHAS524-T98A,https://pcpartpicker.com/product/6hH323/lite-on-optical-drive-ihas524t98a,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Lite-On DS-8A5S,https://pcpartpicker.com/product/jXckcf/lite-on-optical-drive-ds8a5s,https://images-na.ssl-images-amazon.com/images/I/41Ksc4zNipL.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
MSI DH-24AAS-17 R,https://pcpartpicker.com/product/Z8V48d/msi-optical-drive-dh24aas17r,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Lite-On DC-8A2SH,https://pcpartpicker.com/product/vKrG3C/lite-on-optical-drive-dc8a2sh,/static/forever/img/no-image.png,,8,24,,8/8/6/8/6/6/5,24/24,
Lite-On ihes112-04,https://pcpartpicker.com/product/PbMFf7/lite-on-optical-drive-ihes11204,/static/forever/img/no-image.png,12,16,48,,16/8/8/16/6/8/12,48/24,
Lite-On iHES208-08,https://pcpartpicker.com/product/qKrG3C/lite-on-optical-drive-ihes20808,/static/forever/img/no-image.png,8,16,48,,16/8/8/16/6/8/12,48/48,
Teac DV516E/B/S,https://pcpartpicker.com/product/mkMFf7/teac-optical-drive-dv516ebs,https://images-na.ssl-images-amazon.com/images/I/21ZNHDJ091L.jpg,,16,48,,,,
Memorex 98240-KIT,https://pcpartpicker.com/product/2yCwrH/memorex-optical-drive-98240kit,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/-,48/32,
Memorex MRX-550L,https://pcpartpicker.com/product/rF2kcf/memorex-optical-drive-mrx550l,https://cdna.pcpartpicker.com/static/forever/images/product/5c28eb427548ac792fc3e5b179d034bb.med.256p.jpg,,16,48,,24/8/-/24/6/-/-,48/32,
LG WH12LS38,https://pcpartpicker.com/product/Lgg323/lg-optical-drive-wh12ls38,https://m.media-amazon.com/images/I/31HjF+KWO9L.jpg,10,16,48,12/12/2/2,16/8/8/16/6/8/12,48/24,
Samsung SH-222AL/RSBS,https://pcpartpicker.com/product/48V48d/samsung-optical-drive-sh222alrsbs,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/24,
Samsung SH-222AL/BSBE,https://pcpartpicker.com/product/4msKHx/samsung-optical-drive-sh222albsbe,/static/forever/img/no-image.png,,16,48,,22/8/16/22/6/12/12,48/24,
Lite-On ihes108-29,https://pcpartpicker.com/product/BbJwrH/lite-on-optical-drive-ihes10829,https://m.media-amazon.com/images/I/01TvHjgYbOL.jpg,8,16,48,8/4/8/4,16/8/16/16/6/16/12,48/32,
Lite-On iHAS324-99,https://pcpartpicker.com/product/QqvRsY/lite-on-optical-drive-ihas32499,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Lite-On iHAS524-06,https://pcpartpicker.com/product/YTLypg/lite-on-optical-drive-ihas52406,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Pioneer BDR-2208,https://pcpartpicker.com/product/WzQypg/pioneer-optical-drive-bdr2208,https://cdna.pcpartpicker.com/static/forever/images/product/fd1f77d80ab0a15c28970543ee38403a.med.256p.jpg,12,16,40,15/14/2/2,16/8/8/16/6/8/5,40/24,
Pioneer BDR-207DBKS,https://pcpartpicker.com/product/qg6BD3/pioneer-optical-drive-bdr207dbks,/static/forever/img/no-image.png,10,16,40,12/12/2/2,16/8/8/16/6/8/-,40/24,
Pioneer BDR-207MBK,https://pcpartpicker.com/product/sZNp99/pioneer-optical-drive-bdr207mbk,/static/forever/img/no-image.png,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24,
Pioneer BDR-2206,https://pcpartpicker.com/product/J8Gkcf/pioneer-optical-drive-bdr2206,/static/forever/img/no-image.png,8,12,40,12/12/2/2,16/8/8/16/6/8/-,40/24,
Pioneer BDR-2207,https://pcpartpicker.com/product/ZWkD4D/pioneer-optical-drive-bdr2207,/static/forever/img/no-image.png,10,16,40,12/12/2/2,16/8/8/16/6/8/5,40/24,
Lite-On ihas524-T06,https://pcpartpicker.com/product/4Q4gXL/lite-on-optical-drive-ihas524t06,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
LG UH12LS29,https://pcpartpicker.com/product/WvMFf7/lg-optical-drive-uh12ls29,/static/forever/img/no-image.png,10,16,48,,16/8/8/16/6/8/12,48/24,
Lite-On IHES312-98,https://pcpartpicker.com/product/pKw323/lite-on-optical-drive-ihes31298,/static/forever/img/no-image.png,12,16,48,,16/8/8/16/6/8/12,48/24,
MSI DH-24AS,https://pcpartpicker.com/product/hFV48d/msi-optical-drive-dh24as,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
Samsung SH-222BB/RSBS,https://pcpartpicker.com/product/yp6BD3/samsung-optical-drive-sh222bbrsbs,/static/forever/img/no-image.png,,16,48,,22/8/8/22/6/8/12,48/24,
Lite-On DS-8A9SH-01,https://pcpartpicker.com/product/8kphP6/lite-on-optical-drive-ds8a9sh01,/static/forever/img/no-image.png,,8,24,,8/8/6/8/6/6/5,24/24,
Plextor PX-891SA-26,https://pcpartpicker.com/product/xNdqqs/plextor-optical-drive-px891sa26,https://m.media-amazon.com/images/I/312TgmodSVL.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
Plextor PX-891SA-28,https://pcpartpicker.com/product/k7Qypg/plextor-optical-drive-px891sa28,/static/forever/img/no-image.png,,16,48,,24/8/12/24/6/12/12,48/32,
LG BT30N,https://pcpartpicker.com/product/6XK7YJ/lg-optical-drive-bt30n,https://m.media-amazon.com/images/I/31T0kSbVs9L.jpg,6,8,24,6/6/2/-,8/8/6/8/6/6/5,24/24,
LG GT80N,https://pcpartpicker.com/product/Q7K7YJ/lg-optical-drive-gt80n,https://m.media-amazon.com/images/I/31vSVn1qJvL.jpg,,8,24,,8/8/6/8/6/6/5,24/24,
Supermicro DVM-TEAC-824B,https://pcpartpicker.com/product/FdBv6h/supermicro-optical-drive-dvmteac824b,https://m.media-amazon.com/images/I/11JMsSv8oVL.jpg,,8,24,,,,
HP AR629AA,https://pcpartpicker.com/product/ydK7YJ/hp-optical-drive-ar629aa,https://m.media-amazon.com/images/I/21zBcmRW5rL.jpg,,16,48,,,,
Asus DRW-2014L1T,https://pcpartpicker.com/product/B6YXsY/asus-optical-drive-drw2014l1t,/static/forever/img/no-image.png,,16,48,,20/8/8/20/6/8/14,48/32,
Archgon CB-5021-GB,https://pcpartpicker.com/product/wT8Zxr/archgon-optical-drive-cb5021gb,https://cdna.pcpartpicker.com/static/forever/images/product/777b70ab5a0855ceb00cbfaf94d77c46.256p.jpg,6,8,24,6/2/2/2,8/8/6/8/6/6/5,24/4,
OcUK iHAS124-14,https://pcpartpicker.com/product/Tpdqqs/ocuk-optical-drive-ihas12414,https://cdna.pcpartpicker.com/static/forever/images/product/b41a4178121418752b21f5b1fc98d0fc.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
OcUK CD-005-OK,https://pcpartpicker.com/product/Z9xfrH/ocuk-optical-drive-cd005ok,/static/forever/img/no-image.png,10,16,40,6/-/8/-,16/8/8/12/8/8/12,48/40,
OcUK OcUKSATADVDRW,https://pcpartpicker.com/product/BGvRsY/ocuk-optical-drive-ocuksatadvdrw,/static/forever/img/no-image.png,,16,40,,16/12/12/16/12/12/-,48/40,
LG GH24NSB0B,https://pcpartpicker.com/product/JRfp99/lg-optical-drive-gh24nsb0b,https://m.media-amazon.com/images/I/415Nn6QEgBL.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Asus DVD-E818AAT/BLK/B/GE,https://pcpartpicker.com/product/RPx9TW/asus-optical-drive-dvde818aatblkbge,/static/forever/img/no-image.png,,18,48,,,,
LG CU20N,https://pcpartpicker.com/product/fNGj4D/lg-optical-drive-cu20n,/static/forever/img/no-image.png,6,8,24,,8/8/6/8/6/6/5,24/16,
Samsung SH-118CB/BEBE,https://pcpartpicker.com/product/gPx9TW/samsung-optical-drive-sh118cbbebe,https://images-na.ssl-images-amazon.com/images/I/41YUj0zqEvL.jpg,,18,48,,,,
Asus DRW-24D3ST,https://pcpartpicker.com/product/2KBrxr/asus-optical-drive-drw24d3st,/static/forever/img/no-image.png,,16,48,,16/13/12/16/8/12/5,48/40,
Asus BC-06B1ST,https://pcpartpicker.com/product/fPVBD3/asus-optical-drive-bc06b1st,/static/forever/img/no-image.png,6,16,48,6/4/6/4,16/8/8/16/8/8/-,48/32,
Sony AD-7200S-0B,https://pcpartpicker.com/product/GdDzK8/sony-optical-drive-ad7200s0b,/static/forever/img/no-image.png,,,,,20/8/8/20/6/12/12,48/32,
LG GH10N,https://pcpartpicker.com/product/NhkwrH/lg-optical-drive-gh10n,https://m.media-amazon.com/images/I/41D-LMpdxkL.jpg,,,,,,,
Samsung SH-224FB/RSBS,https://pcpartpicker.com/product/K3bkcf/samsung-sh-224fbrsbs-dvdcd-writer-sh-224fbrsbs,/static/forever/img/no-image.png,,16,48,,24/8/8/24/6/8/5,48/24,
Samsung SH-224GB/BSBE,https://pcpartpicker.com/product/msL7YJ/samsung-sh-224gbbsbe-dvdcd-writer-sh-224gbbsbe,https://m.media-amazon.com/images/I/21o4S7gIt2L.jpg,,16,48,,24/8/8/24/6/8/5,48/24,
Pioneer BDR-211EBK,https://pcpartpicker.com/product/RLKcCJ/pioneer-bdr-211ebk-blu-raydvdcd-writer-bdr-211ebk,https://cdna.pcpartpicker.com/static/forever/images/product/d9ec8d732f0ed77b1e4abe8fbb9ec1c3.256p.jpg,,,,16/-/-/-,-/16/-/-/16/-/-,-/40,
Pioneer BDR-213EBK,https://pcpartpicker.com/product/WFWJ7P/pioneer-bdr-213ebk-bdr-213ebk,https://m.media-amazon.com/images/I/311caYaAs5L.jpg,,,,,,,
