Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Fractal Design Pop Air,Fractal Design ,FD-C-POA1A-01 ,ATX Mid Tower ,Black ,None ,None ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 405 mm</li> 15.945""</li> "," 2 x External 5.25""</li> 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 473.5 mm x 215 mm x 454 mm</li> 18.642"" x 8.465"" x 17.874""</li> ", 46.218 L</li> 1.632 ft³</li> ,
NZXT H7 Flow RGB (2024),NZXT ,CM-H72FB-R1 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 468 mm x 244 mm x 544 mm</li> 18.425"" x 9.606"" x 21.417""</li> ", 62.12 L</li> 2.194 ft³</li> ,
Lian Li O11 Dynamic EVO,Lian Li , PC-O11DEX | O11DEX | ,ATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 422 mm</li> 16.614""</li> "," 6 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 465 mm x 285 mm x 459 mm</li> 18.307"" x 11.22"" x 18.071""</li> ", 60.829 L</li> 2.148 ft³</li> ,
Fractal Design Focus 2,Fractal Design ,FD-C-FOC2A-07 ,ATX Mid Tower ,Black ,None ,None ,No ,USB 3.2 Gen 1 Type-A , ATX</li> Micro ATX</li> Mini ITX</li> ," 405 mm</li> 15.945""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 472 mm x 215 mm x 451 mm</li> 18.583"" x 8.465"" x 17.756""</li> ", 45.767 L</li> 1.616 ft³</li> ,
HYTE Y40,HYTE ,CS-HYTE-Y40-B ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 422 mm</li> 16.614""</li> ","1 x Internal 3.5"" ", 6 x Half-Height</li> 4 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 472 mm x 240 mm x 439 mm</li> 18.583"" x 9.449"" x 17.283""</li> ", 49.73 L</li> 1.756 ft³</li> ,
Antec C8 Curve Wood,Antec , 0-761345-10158-5 | C8 CURVE WOOD | ,ATX Full Tower ,Black / Brown ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 440 mm</li> 17.323""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 464 mm x 303 mm x 476 mm</li> 18.268"" x 11.929"" x 18.74""</li> ", 66.922 L</li> 2.363 ft³</li> ,
Fractal Design Meshify 2 XL,Fractal Design ,FD-C-MES2X-02 ,ATX Full Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 2.0 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI CEB</li> SSI EEB</li> ," 549 mm</li> 21.614""</li> "," 6 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",9 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> 480 mm</li> ," 600 mm x 240 mm x 566 mm</li> 23.622"" x 9.449"" x 22.283""</li> ", 81.504 L</li> 2.878 ft³</li> ,
DIYPC ARGB-N5,DIYPC ,ARGB-N5-BK ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ,,"2 x Internal 3.5"" ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ,,,
Phanteks EVOLV X2,Phanteks ,PH-ES524XTG_DMW01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 380 mm</li> 14.961""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 454 mm x 228 mm x 588 mm</li> 17.874"" x 8.976"" x 23.15""</li> ", 60.865 L</li> 2.149 ft³</li> ,
be quiet! Pure Base 500DX,be quiet! ,BGW37 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 369 mm</li> 14.528""</li> "," 2 x Internal 3.5""</li> 5 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 450 mm x 232 mm x 463 mm</li> 17.717"" x 9.134"" x 18.228""</li> ", 48.337 L</li> 1.707 ft³</li> ,
Cooler Master Elite 302,Cooler Master ,E302-KGNN-S00 ,MicroATX Mini Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 365 mm</li> 14.37""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 390 mm x 203.5 mm x 430 mm</li> 15.354"" x 8.012"" x 16.929""</li> ", 34.127 L</li> 1.205 ft³</li> ,
NZXT H9 Flow (2023),NZXT ,CM-H91FW-01 ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 435 mm</li> 17.126""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 466 mm x 290 mm x 495 mm</li> 18.346"" x 11.417"" x 19.488""</li> ", 66.894 L</li> 2.362 ft³</li> ,
Thermaltake The Tower 600,Thermaltake ,CA-1Z1-00M1WN-00 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 286.4 mm x 420 mm x 550 mm</li> 11.276"" x 16.535"" x 21.654""</li> ", 66.158 L</li> 2.336 ft³</li> ,
Jonsbo C6 MAX,Jonsbo , C6 MAX Black | C6MAX | ,MicroATX Desktop ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 335 mm</li> 13.189""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,,," 349 mm x 202 mm x 295 mm</li> 13.74"" x 7.953"" x 11.614""</li> ", 20.797 L</li> 0.734 ft³</li> ,
Zalman P10,Zalman ,P10 White ,MicroATX Mini Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 384 mm</li> 15.118""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",5 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 240 mm</li> ,,,
DIYPC DIY-mATX06-Wood,DIYPC ,DIY-mATX06-Wood ,MicroATX Mini Tower ,Black / Brown ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 402 mm</li> 15.827""</li> "," 2 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , Front: 3 x 120 mm</li> Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Motherboard Tray: 2 x 120 mm</li> , Front: 3 x 120 mm (PWM)</li> Rear: 1 x 120 mm (PWM)</li> , Rear: 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> ," 460 mm x 218 mm x 403 mm</li> 18.11"" x 8.583"" x 15.866""</li> ", 40.413 L</li> 1.427 ft³</li> ,
Jonsbo NV10,Jonsbo ,NV10 Silver ,Mini ITX Desktop ,Silver / Brown ,None ,Mesh ,No ,USB 3.2 Gen 2 Type-C ,Mini ITX ," 190 mm</li> 7.48""</li> ",,2 x Half-Height ,,,," 205 mm x 108 mm x 205 mm</li> 8.071"" x 4.252"" x 8.071""</li> ", 4.539 L</li> 0.16 ft³</li> ,
Fractal Design Pop XL Silent,Fractal Design ,FD-C-POS1X-01 ,ATX Full Tower ,Black ,None ,None ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> "," 2 x External 5.25""</li> 3 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 522 mm x 230 mm x 520 mm</li> 20.551"" x 9.055"" x 20.472""</li> ", 62.431 L</li> 2.205 ft³</li> ,
