Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Montech XR,Montech , XR-B | XR (B) | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Motherboard Tray: 2 x 120 mm</li> PSU Shroud: 3 x 120 mm</li> , Rear: 1 x 120 mm (ARGB PWM)</li> Motherboard Tray: 2 x 120 mm (Reversed ARGB PWM)</li> , Rear: 140 / 120 mm</li> Top: 360 / 240 / 140 / 120 mm</li> ," 435 mm x 230 mm x 450 mm</li> 17.126"" x 9.055"" x 17.717""</li> ", 45.023 L</li> 1.59 ft³</li> ,
Phanteks XT PRO,Phanteks ,PH-XT523P1-BK01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> ","2 x Internal 3.5"" ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 3 x 140 mm</li> PSU Shroud: 3 x 120 mm</li> ,, Front: 240 / 120 mm</li> Rear: 120 mm</li> Top: 360 / 240 / 120 mm</li> ," 450 mm x 230 mm x 500 mm</li> 17.717"" x 9.055"" x 19.685""</li> ", 51.75 L</li> 1.828 ft³</li> ,
Lian Li Vector V100R,Lian Li , V100RX | G99.V100RX.00 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 466 mm x 235.5 mm x 484.65 mm</li> 18.346"" x 9.272"" x 19.081""</li> ", 53.187 L</li> 1.878 ft³</li> ,
Corsair 3500X ARGB,Corsair ,CC-9011279-WW ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 1 x 140 mm</li> Motherboard Tray: 3 x 120 mm / 2 x 140 mm</li> ,Motherboard Tray: 3 x 120 mm (ARGB PWM) , Rear: 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm</li> ," 460 mm x 240 mm x 506 mm</li> 18.11"" x 9.449"" x 19.921""</li> ", 55.862 L</li> 1.973 ft³</li> ,
NZXT H5 Flow (2024),NZXT ,CC-H52FB-01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> Bottom: 2 x 120 mm</li> , Front: 1 x 120 mm (PWM)</li> Rear: 1 x 120 mm (PWM)</li> , Front: 360 / 240 / 120 mm</li> Top: 280 / 240 / 140 / 120 mm</li> ," 430 mm x 225 mm x 465 mm</li> 16.929"" x 8.858"" x 18.307""</li> ", 44.989 L</li> 1.589 ft³</li> ,
Lian Li O11 VISION COMPACT,Lian Li , O11VPX | O11 Vision Compact Black | G99.O11VPX.00 | PC-O11VPX | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 408 mm</li> 16.063""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Right: 3 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Bottom: 360 / 240 / 120 mm</li> Right: 360 / 240 / 120 mm</li> ," 447.5 mm x 287.5 mm x 446.4 mm</li> 17.618"" x 11.319"" x 17.575""</li> ", 57.432 L</li> 2.028 ft³</li> ,
Lian Li O11 VISION COMPACT,Lian Li , O11VPW | O11 Vision Compact White | G99.O11VPW.00 | PC-O11VPW | ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 408 mm</li> 16.063""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Right: 3 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Bottom: 360 / 240 / 120 mm</li> Right: 360 / 240 / 120 mm</li> ," 447.5 mm x 287.5 mm x 446.4 mm</li> 17.618"" x 11.319"" x 17.575""</li> ", 57.432 L</li> 2.028 ft³</li> ,
HYTE Y70 Touch Infinite,HYTE , CS-HYTE-Y70TI-WW | CS-HYTE-Y70TTI-WW | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> ","2 x Internal 3.5"" ", 7 x Half-Height</li> 4 x Full-Height via Riser</li> , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 2 x 140 mm</li> Right: 3 x 120 mm / 2 x 140 mm</li> ,, Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Right: 360 / 280 / 240 / 140 / 120 mm</li> ," 470 mm x 320 mm x 470 mm</li> 18.504"" x 12.598"" x 18.504""</li> ", 70.688 L</li> 2.496 ft³</li> ,
Fractal Design North,Fractal Design ,FD-C-NOR1C-02 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 355 mm</li> 13.976""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> ,Front: 2 x 140 mm (PWM) , Front: 360 / 280 / 240 / 140 / 120 mm</li> Rear: 120 mm</li> Top: 240 / 120 mm</li> ," 447 mm x 215 mm x 469 mm</li> 17.598"" x 8.465"" x 18.465""</li> ", 45.073 L</li> 1.592 ft³</li> ,
Cooler Master MasterBox Q300L,Cooler Master ,MCB-Q300L-KANN-S00 ,MicroATX Mini Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , Micro ATX</li> Mini ITX</li> ," 360 mm</li> 14.173""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Front: 2 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm</li> Bottom: 1 x 120 mm</li> ,Rear: 1 x 120 mm , Front: 240 / 120 mm</li> Rear: 120 mm</li> ," 387 mm x 230 mm x 378 mm</li> 15.236"" x 9.055"" x 14.882""</li> ", 33.646 L</li> 1.188 ft³</li> ,
Lian Li O11 Dynamic Mini V2,Lian Li , O11DMIV2X | G99.O11DMIV2X.00 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 5 x Full-Height</li> 3 x Full-Height via Riser</li> , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Motherboard Tray: 2 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 240 / 120 mm</li> ," 423.6 mm x 273.3 mm x 391.95 mm</li> 16.677"" x 10.76"" x 15.431""</li> ", 45.376 L</li> 1.602 ft³</li> ,
Corsair FRAME 4000D RS ARGB,Corsair ,CC-9011296-WW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 430 mm</li> 16.929""</li> ","2 x Internal 3.5"" ", 7 x Full-Height</li> 3 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 487 mm x 239 mm x 487 mm</li> 19.173"" x 9.409"" x 19.173""</li> ", 56.683 L</li> 2.002 ft³</li> ,
BGears b-Pellucid,BGears , BG01756 | b-Pellucid MicroATX | ,MicroATX Mini Tower ,Black ,None ,Tinted Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , Micro ATX</li> Mini ITX</li> ," 330 mm</li> 12.992""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> ," 350 mm x 279 mm x 375 mm</li> 13.78"" x 10.984"" x 14.764""</li> ", 36.619 L</li> 1.293 ft³</li> ,
Phanteks Eclipse G370A,Phanteks ,PH-EC370A_DBK01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 375 mm</li> 14.764""</li> ","2 x Internal 2.5"" ",7 x Full-Height ,120 mm ,, 120 mm</li> 240 mm</li> 360 mm</li> ," 465 mm x 220 mm x 476 mm</li> 18.307"" x 8.661"" x 18.74""</li> ", 48.695 L</li> 1.72 ft³</li> ,
HYTE Y70 Touch Infinite,HYTE , CS-HYTE-Y70TI-BB | CS-HYTE-Y70TTI-BB | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> ","2 x Internal 3.5"" ", 7 x Half-Height</li> 4 x Full-Height via Riser</li> , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 2 x 140 mm</li> Right: 3 x 120 mm / 2 x 140 mm</li> ,, Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Right: 360 / 280 / 240 / 140 / 120 mm</li> ," 470 mm x 320 mm x 470 mm</li> 18.504"" x 12.598"" x 18.504""</li> ", 70.688 L</li> 2.496 ft³</li> ,
Lian Li A3-mATX,Lian Li , A3-mATX-X | A3X.US | A3- mATX Black | PC-A3X | G99.A3X.00 | ,MicroATX Mini Tower ,Black ,None ,Mesh ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Left: 3 x 120 mm / 2 x 140 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Left: 360 / 280 / 240 / 140 / 120 mm</li> ," 443 mm x 194 mm x 306 mm</li> 17.441"" x 7.638"" x 12.047""</li> ", 26.298 L</li> 0.929 ft³</li> ,
Fractal Design North XL,Fractal Design ,FD-C-NOR1X-02 ,ATX Full Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 413 mm</li> 16.26""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 3 x 140 mm</li> Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm / 2 x 180 mm</li> ,Front: 3 x 140 mm (PWM) , Front: 420 / 360 / 280 / 240 / 140 / 120 mm</li> Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> ," 503 mm x 240 mm x 509 mm</li> 19.803"" x 9.449"" x 20.039""</li> ", 61.446 L</li> 2.17 ft³</li> ,
Lian Li O11 Dynamic Mini V2,Lian Li , O11DMIV2W | G99.O11DMIV2W.00 | ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 5 x Full-Height</li> 3 x Full-Height via Riser</li> , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Motherboard Tray: 2 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 240 / 120 mm</li> ," 423.6 mm x 273.3 mm x 391.95 mm</li> 16.677"" x 10.76"" x 15.431""</li> ", 45.376 L</li> 1.602 ft³</li> ,
Lian Li O11D EVO RGB,Lian Li , O11DERGBX | G99.O11DERGBX.00 | O11DERGBX.US | PC-O11DERGBX | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 455.7 mm</li> 17.941""</li> "," 4 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 478 mm x 290 mm x 471 mm</li> 18.819"" x 11.417"" x 18.543""</li> ", 65.29 L</li> 2.306 ft³</li> ,
Phanteks XT PRO ULTRA,Phanteks ,PH-XT523P1-DBK01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 2 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 450 mm x 230 mm x 500 mm</li> 17.717"" x 9.055"" x 19.685""</li> ", 51.75 L</li> 1.828 ft³</li> ,
NZXT H3 Flow,NZXT , CC-H31FB-01 | CC-H31FB-02 | ,MicroATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 377 mm</li> 14.843""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",4 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> ," 389 mm x 225 mm x 400 mm</li> 15.315"" x 8.858"" x 15.748""</li> ", 35.01 L</li> 1.236 ft³</li> ,
Lian Li VECTOR V100R MINI,Lian Li , V100RMIX | PC-V100RMIX | G99.V100RMIX.00 | ,MicroATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",5 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 2 x 120 mm</li> Motherboard Tray: 3 x 120 mm</li> , Rear: 1 x 120 mm (ARGB PWM)</li> Motherboard Tray: 3 x 120 mm (ARGB PWM)</li> ,Top: 360 / 240 / 140 / 120 mm ," 436 mm x 221.5 mm x 443.9 mm</li> 17.165"" x 8.72"" x 17.476""</li> ", 42.869 L</li> 1.514 ft³</li> ,
NZXT H9 Flow (2025),NZXT , CM-H92FB-01 | CM-H92FB-02 | ,ATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 459 mm</li> 18.071""</li> "," 2 x Internal 3.5""</li> 4 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 481 mm x 315 mm x 506 mm</li> 18.937"" x 12.402"" x 19.921""</li> ", 76.667 L</li> 2.707 ft³</li> ,
Lian Li A3-mATX,Lian Li , A3-mATX-WD BLACK | PC-A3X-WD | G99.A3X-WD.00 | ,MicroATX Mini Tower ,Black / Brown ,None ,Mesh ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Left: 3 x 120 mm / 2 x 140 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Left: 360 / 280 / 240 / 140 / 120 mm</li> ," 443 mm x 194 mm x 306 mm</li> 17.441"" x 7.638"" x 12.047""</li> ", 26.298 L</li> 0.929 ft³</li> ,
Corsair 4000D Airflow,Corsair ,CC-9011200-WW ,ATX Mid Tower ,Black ,None ,Tinted Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 360 mm</li> 14.173""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 7 x Full-Height</li> 2 x Full-Height via Riser</li> ,,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 453 mm x 230 mm x 466 mm</li> 17.835"" x 9.055"" x 18.346""</li> ", 48.553 L</li> 1.715 ft³</li> ,
Lian Li Lancool 207,Lian Li , LAN207RX | PC-LAN207RX | LANCOOL 207 BLACK | G99.LAN207RX.00 | LANCOOL 207RX | ,ATX Mid Tower ,Blue ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 375 mm</li> 14.764""</li> ","2 x Internal 3.5"" ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 455.6 mm x 219 mm x 456 mm</li> 17.937"" x 8.622"" x 17.953""</li> ", 45.498 L</li> 1.607 ft³</li> ,
Silverstone ALTA F2,Silverstone ,SST-ALF2B-G ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI CEB</li> SSI EEB</li> XL ATX</li> ," 604 mm</li> 23.78""</li> "," 8 x Internal 3.5""</li> 3 x Internal 2.5""</li> ", 9 x Full-Height</li> 4 x Full-Height via Riser</li> , 120 mm</li> 140 mm</li> 180 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> 480 mm</li> ," 658 mm x 261 mm x 576 mm</li> 25.906"" x 10.276"" x 22.677""</li> ", 98.921 L</li> 3.493 ft³</li> ,
MUSETEX Y6,MUSETEX ,Y6-N5-W ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> USB 2.0 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",6 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 388.112 mm x 225.044 mm x 468.122 mm</li> 15.28"" x 8.86"" x 18.43""</li> ", 40.887 L</li> 1.444 ft³</li> ,
MSI MPG Sekira 500G,MSI , MPG SEKIRA 500G | 306-7G05G21-W57 | 306-7G05G11-W57 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 6 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> 200 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 530 mm x 232 mm x 545.5 mm</li> 20.866"" x 9.134"" x 21.476""</li> ", 67.075 L</li> 2.369 ft³</li> ,
Lian Li LANCOOL 217,Lian Li , LAN217X | G99.LAN217X.00 | LANCOOL 217 BLACK | PC-LAN217X | ,ATX Mid Tower ,Black / Brown ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> SSI EEB</li> ," 380 mm</li> 14.961""</li> "," 1 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 482 mm x 238 mm x 503 mm</li> 18.976"" x 9.37"" x 19.803""</li> ", 57.702 L</li> 2.038 ft³</li> ,
Lian Li O11 Dynamic EVO XL,Lian Li , O11DEXL-X | PC-O11DEXL-X | G99.O11DEXL-X.00 | ,ATX Full Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 460 mm</li> 18.11""</li> "," 4 x Internal 3.5""</li> 3 x Internal 2.5""</li> ",8 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> 420 mm</li> ," 522 mm x 304 mm x 531.9 mm</li> 20.551"" x 11.969"" x 20.941""</li> ", 84.406 L</li> 2.981 ft³</li> ,
NZXT H6 Flow,NZXT ,CC-H61FB-01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 365 mm</li> 14.37""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 415 mm x 287 mm x 435 mm</li> 16.339"" x 11.299"" x 17.126""</li> ", 51.811 L</li> 1.83 ft³</li> ,
Corsair 3500X ARGB,Corsair ,CC-9011278-WW ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 1 x 140 mm</li> Motherboard Tray: 3 x 120 mm / 2 x 140 mm</li> ,Motherboard Tray: 3 x 120 mm (ARGB PWM) , Rear: 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm</li> ," 460 mm x 240 mm x 506 mm</li> 18.11"" x 9.449"" x 19.921""</li> ", 55.862 L</li> 1.973 ft³</li> ,
Fractal Design Terra,Fractal Design ,FD-C-TER1N-01 ,Mini ITX Desktop ,Black / Brown ,None ,Mesh ,No , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> ,Mini ITX ," 322 mm</li> 12.677""</li> ","2 x Internal 2.5"" ",3 x Full-Height via Riser ,120 mm ,,," 343 mm x 153 mm x 218 mm</li> 13.504"" x 6.024"" x 8.583""</li> ", 11.44 L</li> 0.404 ft³</li> ,
HYTE Y70,HYTE ,CS-HYTE-Y70-WW ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> ","2 x Internal 3.5"" ", 7 x Half-Height</li> 4 x Full-Height via Riser</li> , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 2 x 140 mm</li> Right: 3 x 120 mm / 2 x 140 mm</li> ,, Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Right: 360 / 280 / 240 / 140 / 120 mm</li> ," 470 mm x 320 mm x 470 mm</li> 18.504"" x 12.598"" x 18.504""</li> ", 70.688 L</li> 2.496 ft³</li> ,
Lian Li O11 Dynamic Mini V2 Flow,Lian Li , O11DMIV2FX | G99.O11DMIV2FX.00 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 400 mm</li> 15.748""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ", 5 x Full-Height</li> 3 x Full-Height via Riser</li> , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Motherboard Tray: 2 x 120 mm</li> , Bottom: 3 x 120 mm (Reversed PWM)</li> Motherboard Tray: 2 x 120 mm (Reversed PWM)</li> , Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 240 / 120 mm</li> ," 423.6 mm x 273.3 mm x 391.95 mm</li> 16.677"" x 10.76"" x 15.431""</li> ", 45.376 L</li> 1.602 ft³</li> ,
