Name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
MSI MAG B850 TOMAHAWK MAX WIFI,MSI , MAG B850 TOMAHAWK MAX WIFI | 7E62-002R | ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-8400 | ,Black / Green ,3.0, 2280/22110 M-key | 2260/2280 M-key | 2260/2280 M-key | 2260/2280 M-key | 2230 E-key | ,4.0,1 x 5 Gb/s Ports (Realtek 8126VB) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Asus B650E MAX GAMING WIFI W,Asus , B650E MAX GAMING WIFI W | 90MB1M00-MVAAY0 | 90MB1M00-M0EAY0 | B650E MAX GAMING WIFI White | ,AM5 ,ATX ,AMD B650E ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,4.0, 2280 M-key | 2280 M-key | 2242/2260/2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,3.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
MSI B650 GAMING PLUS WIFI,MSI , B650 GAMING PLUS WIFI | 7E26-001R | 911-7E26-001 | ,AM5 ,ATX ,AMD B650 ,192 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | ,Black ,2.0, 2280/22110 M-key | 2260/2280 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek 8125BG) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus PRIME B550M-A WIFI II,Asus , PRIME B550M-A WIFI II | 90MB19X0-M0AAY0 | 90MB19X0-M0EAY0 | ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4200 | DDR4-4266 | DDR4-4333 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-4866 | ,Blue / Silver ,1.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
Gigabyte B850 AORUS ELITE WIFI7,Gigabyte , B850 AORUS ELITE WIFI7 | B850 A ELITE WF7 | B850 AORUS ELITE WF7 | ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-7900 | DDR5-7950 | DDR5-8000 | DDR5-8200 | ,Black ,3.0, 2580/25110 M-key | 2580/25110 M-key | 2580/25110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Asus TUF GAMING B650E-E WIFI,Asus ,TUF GAMING B650E-E WIFI ,AM5 ,ATX ,AMD B650 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,2.0, 2280 M-key | 2280 M-key | 2242/2260/2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,1.0,No ,Wi-Fi 6E ,Yes ,No 
Gigabyte B550 EAGLE WIFI6,Gigabyte ,B550 EAGLE WIFI6 ,AM4 ,ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Black ,5.0, 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Gigabyte B550M K,Gigabyte , B550M K | GA-B550M-K | ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4733 | ,Brown / Silver ,1.0, 2280 M-key | 2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1.0,1.0,,No ,None ,Yes ,No 
Gigabyte B850 EAGLE WIFI6E,Gigabyte ,B850 EAGLE WIFI6E ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-7900 | DDR5-7950 | DDR5-8000 | DDR5-8200 | ,Gray / Black ,4.0, 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
ASRock B850M Pro-A WiFi,ASRock , B850M Pro-A WiFi | 90-MXBR9-A0UAYZ | 90-MXBR90-A0UAYZ | ,AM5 ,Micro ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,1.0, 2280 M-key | 2280 M-key | 2280 M-key | 2230 E-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG) ,Depends on CPU ,2.0,2.0,,No ,Wi-Fi 6E ,Yes ,No 
Gigabyte A520M K V2,Gigabyte ,A520M K V2 ,AM4 ,Micro ATX ,AMD A520 ,64 GB ,DDR4 ,2.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-5100 | ,Brown / Black ,1.0,2280 M-key ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,None ,Yes ,No 
Gigabyte B650 EAGLE AX,Gigabyte , B650 EAGLE AX | B650 EAGLE AX 1.0 | ,AM5 ,ATX ,AMD B650 ,192 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | ,Gray / Black ,4.0, 2580/25110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,3.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus TUF GAMING B850-PLUS WIFI,Asus , TUF GAMING B850-PLUS WIFI | 90MB1J30-M0AAY0 | 90MB1J30-M0EAY0 | ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black / Silver ,2.0, 2280 M-key | 2242/2260/2280/22110 M-key | 2280 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 7 ,Yes ,No 
Asus ROG STRIX B850-A GAMING WIFI,Asus , ROG STRIX B850-A GAMING WIFI | 90MB1J50-M0AAY0 | 90MB1J50-M0EAY0 | ,AM5 ,ATX ,AMD B850 ,192 GB ,DDR5 ,4.0, DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,2.0, 2242/2260/2280 M-key | 2280/22110 M-key | 2280 M-key | 2280 M-key | ,2.0,1 x 2.5 Gb/s Ports (Intel) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 7 ,Yes ,No 
Asus Z790 GAMING WIFI7,Asus ,Z790 GAMING WIFI7 ,LGA1700 ,ATX ,Intel Z790 ,192 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | ,Silver / Black ,4.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,2.0,,No ,Wi-Fi 7 ,Yes ,No 
Gigabyte B550M GAMING X WIFI6,Gigabyte ,B550M GAMING X WIFI6 ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Gray / Black ,2.0, 2280 M-key | 2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
Gigabyte X870E AORUS ELITE WIFI7,Gigabyte , X870E AORUS ELITE WIFI7 | X870E A ELITE WIFI7 | ,AM5 ,ATX ,AMD X870E ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6666 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,3.0, 2580/25110 M-key | 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
MSI B550M PRO-VDH WIFI,MSI , B550M PRO-VDH WIFI | 7C95-001R | 911-7C95-008 | ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | ,Black ,1.0, 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek RTL8111HN) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 5 ,Yes ,No 
Asus ROG STRIX B550-F GAMING WIFI II,Asus , STRIX B550-F GAMING WIFI II | ROG STRIX B550-F GAMING WIFI II | 90MB19V0-M0EAY0 | ,AM4 ,ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-3000 | DDR4-3200 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4666 | DDR4-4800 | DDR4-4866 | DDR4-5100 | ,Black / Red ,2.0, 2242/2260/2280/22110 M-key | 2242/2260/2280/22110 M-key | ,6.0,1 x 2.5 Gb/s Ports (Intel I225-V) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
MSI MAG B550 TOMAHAWK MAX WIFI,MSI , MAG B550 TOMAHAWK MAX WIFI | 7C94-043R | ,AM4 ,ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3300 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4200 | DDR4-4266 | DDR4-4300 | DDR4-4400 | DDR4-4533 | DDR4-4600 | DDR4-4800 | DDR4-4866 | DDR4-5000 | DDR4-5100 | ,Silver / Black ,2.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2230 E-key | ,6.0,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
Asus TUF GAMING B650-PLUS WIFI,Asus , TUF GAMING B650-PLUS WIFI | 90MB1BZ0-M0AAY0 | 90MB1BZ0-M0EAY0 | ,AM5 ,ATX ,AMD B650 ,128 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | ,Black ,2.0, 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
Gigabyte B760M GAMING PLUS WIFI DDR4,Gigabyte , B760M G P WIFI DDR4 | B760M GAMING PLUS WIFI DDR4 | ,LGA1700 ,Micro ATX ,Intel B760 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3300 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3666 | DDR4-3733 | DDR4-3800 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4300 | DDR4-4400 | DDR4-4500 | DDR4-4600 | DDR4-4700 | DDR4-4800 | DDR4-4933 | DDR4-5000 | DDR4-5133 | DDR4-5333 | ,Black / Silver ,1.0, 2280 M-key | 2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
MSI MAG X870 TOMAHAWK WIFI,MSI , MAG X870 TOMAHAWK WIFI | 7E51-001R | 911-7E51-07S | ,AM5 ,ATX ,AMD X870 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | DDR5-8200 | DDR5-8400 | ,Black ,3.0, 2280/22110 M-key | 2260/2280 M-key | 2260/2280 M-key | 2260/2280 M-key | ,4.0,1 x 5 Gb/s Ports (Realtek 8126VB) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
MSI MAG B650 TOMAHAWK WIFI,MSI , MAG B650 TOMAHAWK WIFI | 7D75-001R | B650TOMAHAWKWIFI | 911-7D75-001 | ,AM5 ,ATX ,AMD B650 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | ,Black ,2.0, 2260/2280 M-key | 2260/2280 M-key | 2260/2280 M-key | ,6.0,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus ROG ZENITH II EXTREME ALPHA,Asus , ROG ZENITH II EXTREME ALPHA | ZENITH II EXTREME ALPHA | 90MB14K0-M0EAY0 | ,sTRX4 ,EATX ,AMD TRX40 ,256 GB ,DDR4 ,8.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-3400 | DDR4-3733 | DDR4-3800 | DDR4-4133 | DDR4-4266 | DDR4-4333 | DDR4-4400 | DDR4-4600 | ,Black / Silver ,4.0, 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | 2242/2260/2280/22110 M-key | ,8.0, 1 x 1 Gb/s Ports (Intel I211-AT) | 1 x 10 Gb/s Ports (Aquantia AQC-107 10G) | ,No ,2.0,2.0,,Yes ,Wi-Fi 6 ,Yes ,No 
Asus ROG CROSSHAIR X870E EXTREME,Asus , ROG CROSSHAIR X870E EXTREME | 90MB1LB0-MVAAY0 | 90MB1LB0-M0EAY0 | ,AM5 ,EATX ,AMD X870E ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-9000 | ,Black / Silver ,2.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | 2230/2242/2260/2280/22110 M-key | 2230/2242/2260/2280/22110 M-key | ,4.0, 1 x 5 Gb/s Ports (Realtek) | 1 x 10 Gb/s Ports (Marvell AQtion) | ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Gigabyte X870 AORUS ELITE WIFI7 ICE,Gigabyte , X870 AORUS ELITE WIFI7 ICE | X870 A ELITE WF7 ICE | ,AM5 ,ATX ,AMD X870 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6666 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,3.0, 2580/25110 M-key | 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
ASRock B850I Lightning WiFi,ASRock , B850I Lightning WiFi | 90-MXBQR0-A0UAYZ | 90-MXBQR-A0UAYZ | ,AM5 ,Mini ITX ,AMD B850 ,128 GB ,DDR5 ,2.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | DDR5-8200 | ,Black ,1.0, 2280 M-key | 2280 M-key | 2230 E-key | ,2.0,1 x 2.5 Gb/s Ports (Intel Killer E3100G) ,Depends on CPU ,1.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus ROG STRIX X870E-E GAMING WIFI,Asus , ROG STRIX X870E-E GAMING WIFI | 90MB1IB0-M0EAY0 | 90MB1IB0-M0AAY0 | ,AM5 ,ATX ,AMD X870E ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,2.0, 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | 2280/22110 M-key | 2280 M-key | ,4.0,1 x 5 Gb/s Ports (Realtek) ,Depends on CPU ,3.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Gigabyte B650M GAMING PLUS WIFI,Gigabyte , B650M GAMING PLUS WF | B650M GAMING PLUS WIFI | ,AM5 ,Micro ATX ,AMD B650 ,192 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | ,Silver / Black ,1.0, 2580 M-key | 2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
MSI PRO B550M-VC WIFI,MSI ,PRO B550M-VC WIFI ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | ,Black ,4.0, 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2230 E-key | ,8.0,1 x 1 Gb/s Ports (Realtek RTL8111HN) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus TUF GAMING B550-PLUS WIFI II,Asus , TUF GAMING B550-PLUS WIFI II | 90MB19U0-MVAAY0 | 90MB19U0-M0EAY0 | ,AM4 ,ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4200 | DDR4-4266 | DDR4-4333 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-4866 | ,Black / Gray ,2.0, 2242/2260/2280/22110 M-key | 2242/2260/2280/22110 M-key | ,6.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
ASRock B450M/ac R2.0,ASRock ,B450M/ac R2.0 ,AM4 ,Micro ATX ,AMD B450 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Black / Silver ,2.0, 2242/2260/2280 M-key | 2230 E-key | ,4.0,1 x 1 Gb/s Ports (Realtek RTL8111H) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 5 ,Yes ,No 
ASRock B650M Pro RS,ASRock , B650M Pro RS | 90-MXBLP0-A0UAYZ | ,AM5 ,Micro ATX ,AMD B650 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | ,Black / Silver ,2.0, 2260/2280 M-key | 2260/2280 M-key | 2260/2280 M-key | 2230 E-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG) ,Depends on CPU ,2.0,2.0,,No ,None ,Yes ,No 
Gigabyte B650 GAMING X AX V2,Gigabyte ,B650 GAMING X AX V2 ,AM5 ,ATX ,AMD B650 ,192 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Gray / Black ,3.0, 2580/25110 M-key | 2580/25110 M-key | 2580/25110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,1.0,No ,Wi-Fi 6E ,Yes ,No 
MSI PRO B760-P WIFI DDR4,MSI , PRO B760-P WIFI DDR4 | 7D98-001R | PROB760PWIFID4 | 911-7D98-001 | ,LGA1700 ,ATX ,Intel B760 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3800 | DDR4-4000 | DDR4-4200 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-5000 | DDR4-5200 | DDR4-5333 | ,Black ,5.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,4.0,2.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus ROG STRIX B850-I GAMING WIFI,Asus , ROG STRIX B850-I GAMING WIFI | STRIX B850-I GAMING WIFI | 90MB1K30-M0EAY0 | 90MB1K30-MVAAY0 | ,AM5 ,Mini ITX ,AMD B850 ,96 GB ,DDR5 ,2.0, DDR5-4400 | DDR5-8400 | ,Black ,1.0, 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,2.0,1 x 2.5 Gb/s Ports (Intel) ,Depends on CPU ,1.0,1.0,,No ,Wi-Fi 7 ,No ,No 
MSI PRO Z790-A MAX WIFI,MSI , PRO Z790-A MAX WIFI | 7E07-014R | 911-7E07-014 | ,LGA1700 ,ATX ,Intel Z790 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | ,Silver / Black ,3.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2242/2260/2280 M-key | 2230 E-key | ,6.0,1 x 2.5 Gb/s Ports (Intel) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 7 ,Yes ,No 
Asus ROG STRIX X870-A GAMING WIFI,Asus , ROG STRIX X870-A GAMING WIFI | 90MB1IF0-M0AAY0 | 90MB1IF0-M0EAY0 | ,AM5 ,ATX ,AMD X870 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,2.0, 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | 2280 M-key | 2280 M-key | ,2.0,1 x 2.5 Gb/s Ports (Intel) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
