Name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
Biostar B560M-SILVER,Biostar ,B560M-SILVER ,LGA1200 ,Micro ATX ,Intel B560 ,128 GB ,DDR4 ,4 , DDR4-2133 | DDR4-2333 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3200 | DDR4-3600 | DDR4-3733 | DDR4-3800 | DDR4-3866 | DDR4-4000 | ,Silver / Black ,2 , 2280 M-key (Intel Rocket Lake-based CPUs only) | 2242/2260/2280 M-key | 2230 E-key | ,6 ,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,2 ,1 ,,No ,None ,No ,No 
Biostar B560MH-E 2.0,Biostar ,B560MH-E 2.0 ,LGA1200 ,Micro ATX ,Intel B560 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3333 | ,Brown / Black ,1 , 2242/2260/2280 M-key | 2230 E-key | ,4 ,1 x 1 Gb/s Ports (Intel I219-V) ,Depends on CPU ,2 ,1 ,,No ,None ,No ,No 
Biostar B560MHP 2.0,Biostar ,B560MHP 2.0 ,LGA1200 ,Micro ATX ,Intel B560 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Black ,1 ,2242/2260/2280 M-key ,4 ,1 x 1 Gb/s Ports (Intel I219-V) ,Depends on CPU ,1 ,1 ,,No ,None ,No ,No 
Biostar B760T-SILVER,Biostar ,B760T-SILVER ,LGA1700 ,Mini ITX ,Intel B760 ,96 GB ,DDR5 ,2 , DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | ,Silver / Black ,1 , 2280 M-key | 2280 M-key | 2230 E-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
Biostar B760MX-E D4,Biostar ,B760MX-E D4 ,LGA1700 ,Micro ATX ,Intel B760 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3600 | DDR4-3800 | DDR4-4000 | DDR4-4400 | ,Black ,1 , 2242/2260/2280 M-key | 2230 E-key | ,4 ,1 x 1 Gb/s Ports (Intel I219-V) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Biostar B760MH D4,Biostar ,B760MH D4 ,LGA1700 ,Micro ATX ,Intel B760 ,64 GB ,DDR4 ,2 , DDR4-1866 | DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3600 | DDR4-3800 | DDR4-4000 | DDR4-4400 | ,Black ,1 , 2242/2260/2280 M-key | 2230 M-key | ,4 ,1 x 1 Gb/s Ports (Intel I219-V) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Biostar B760MXC PRO,Biostar ,B760MXC PRO ,LGA1700 ,Micro ATX ,Intel B760 ,192 GB ,DDR5 ,4 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | ,Black / Silver ,4 , 2280 M-key | 2242/2260/2280 M-key | 2230 E-key | ,8 ,1 x 2.5 Gb/s Ports (Realtek RTL8125B) ,Depends on CPU ,3 ,1 ,,No ,None ,Yes ,No 
Asus EX-B760M-V5,Asus , EX-B760M-V5 | 90MB1FF0-M0EAYM | ,LGA1700 ,Micro ATX ,Intel B760 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | ,Red / Black ,1 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
Gigabyte B760M GAMING X,Gigabyte ,B760M GAMING X ,LGA1700 ,Micro ATX ,Intel B760 ,192 GB ,DDR5 ,4 , DDR5-4000 | DDR5-4800 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | ,Brown / Black ,2 , 2280 M-key | 2280/22110 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Asus PRIME B760M-K-CSM,Asus ,PRIME B760M-K-CSM ,LGA1700 ,Micro ATX ,Intel B760 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | ,Silver / Black ,1 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
MSI PRO B760M-A DDR4,MSI ,PRO B760M-A DDR4 ,LGA1700 ,Micro ATX ,Intel B760 ,128 GB ,DDR4 ,4 , DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3800 | DDR4-4000 | DDR4-4200 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-5000 | DDR4-5066 | DDR4-5200 | DDR4-5333 | ,Black ,2 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek RTL8125BG) ,Depends on CPU ,2 ,2 ,,No ,None ,Yes ,No 
Asus PRIME B650M-K-CSM,Asus ,PRIME B650M-K-CSM ,AM5 ,Micro ATX ,AMD B650 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | ,Silver / Black ,1 , 2242/2260/2280 M-key | 2242/2260/2280 M-key | ,4 ,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
Gigabyte H410M K,Gigabyte ,H410M K ,LGA1200 ,Micro ATX ,Intel H470 ,64 GB ,DDR4 ,2 , DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | ,Brown / Gray ,1 ,2280 M-key ,2 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1 ,1 ,,No ,None ,Yes ,No 
Asus PRIME Z790-V WIFI-CSM,Asus ,PRIME Z790-V WIFI-CSM ,LGA1700 ,ATX ,Intel Z790 ,192 GB ,DDR5 ,4 , DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | ,Black / Silver ,4 , 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | 2242/2260/2280/22110 M-key | ,4 ,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2 ,2 ,,No ,Wi-Fi 5 ,Yes ,No 
Biostar B650MS2,Biostar ,B650MS2 ,AM5 ,Micro ATX ,AMD B650 ,96 GB ,DDR5 ,2 , DDR5-4800 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-6000 | ,Black / Silver ,1 ,2242/2260/2280 M-key ,4 ,1 x 2.5 Gb/s Ports (Realtek RTL8125BG) ,Depends on CPU ,2 ,1 ,,No ,None ,Yes ,No 
