Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
PNY Anarchy 4 GB,PNY ,MD4GSD4213315AR ,DDR4-2133 ,288-pin DIMM (DDR4) ,1 x 4GB ,$11.973 ,Black / Red ,14.065 ns ,15 ,1.2 V ,,Non-ECC / Unbuffered ,Yes 
Kingston ValueRAM 8 GB,Kingston ,KVR24N17S8/8 ,DDR4-2400 ,288-pin DIMM (DDR4) ,1 x 8GB ,$7.999 ,Green ,14.167 ns ,17 ,1.2 V ,,Non-ECC / Unbuffered ,No 
Kingston FURY Beast RGB 64 GB,Kingston ,KF564C32BWEAK2-64 ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 32GB ,$19.453 ,White ,10 ns ,32 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Neo RGB 64 GB,G.Skill ,F5-6000J2636G32GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,,Black ,8.667 ns ,26 ,1.4 V ,26-36-36-96 ,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 96 GB,G.Skill ,F5-6000J3036F48GX2-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 48GB ,$12.500 ,Black ,10 ns ,30 ,1.35 V ,30-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance 32 GB,Corsair ,CMK32GX5M2B6000Z28 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$18.094 ,Black ,9.333 ns ,28 ,1.4 V ,28-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Crucial CT16G3ERSLD41339 16 GB,Crucial ,CT16G3ERSLD41339 ,DDR3-1333 ,240-pin DIMM (DDR3) ,1 x 16GB ,$1.812 ,Green ,13.503 ns ,9 ,1.35 V ,,ECC / Registered ,No 
G.Skill Trident Z5 RGB 32 GB,G.Skill ,F5-6000J3636F16GX2-TZ5RW ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.719 ,White / Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Royal Neo RGB 32 GB,G.Skill ,F5-6000J2836G16GX2-TR5NG ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$19.687 ,Gold ,9.333 ns ,28 ,1.4 V ,28-36-36-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 8 GB,Corsair ,CMK8GX4M1Z3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 8GB ,,Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 128 GB,G.Skill ,F4-2666C19Q-128GVK ,DDR4-2666 ,288-pin DIMM (DDR4) ,4 x 32GB ,,Black ,14.254 ns ,19 ,1.2 V ,19-19-19-43 ,Non-ECC / Unbuffered ,Yes 
TEAMGROUP T-Create Classic 32 GB,TEAMGROUP ,CTCCD532G5600HC46DC01 ,DDR5-5600 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.125 ,Black ,16.429 ns ,46 ,1.1 V ,46-46-46-90 ,Non-ECC / Unbuffered ,Yes 
ADATA XPG LANCER RGB 16 GB,ADATA ,AX5U6000C3016G-CLARBK ,DDR5-6000 ,288-pin DIMM (DDR5) ,1 x 16GB ,$14.687 ,Black ,10 ns ,30 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Patriot Viper Venom RGB 32 GB,Patriot ,PVVR532G600C36K ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.875 ,Black / White ,12 ns ,36 ,1.35 V ,36-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Steel 16 GB,Patriot ,PVS416G320C6 ,DDR4-3200 ,288-pin DIMM (DDR4) ,1 x 16GB ,$9.374 ,Silver / Black ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
