Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
SilentiumPC Fera 3 HE1224,SilentiumPC ,Fera 3 HE1224 ,SPC144 ,500 - 1600 RPM ,,Black / Silver ,155 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | ,No ,No 
ID-COOLING ZOOMFLOW X,ID-COOLING ,,ZOOMFLOW 240X ARGB ,700 - 1500 RPM ,18 - 26.4 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
Montech AIR COOLER 210,Montech ,,AIR COOLER 210 ,600 - 1500 RPM ,27 dB ,Black ,153 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
aigo Shadow Max,aigo ,,Shadow Max ,800 - 2500 RPM ,29.6 dB ,Black ,141 mm , AM4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | ,No ,No 
Asus TUF Gaming LC 120 ARGB,Asus ,TUF Gaming LC 120 ARGB , 90RC00H1-M0AAY0 | 90RC00H1-M0UAY0 | 90RC00H1-M0UAY1 | ,800 - 2000 RPM ,,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 120 mm ,No 
Cooler Master MasterAir MA612 Stealth,Cooler Master ,MasterAir MA612 Stealth ,MAP-T6PS-218PK-R1 ,650 - 1800 RPM ,8 - 27 dB ,,158 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Phanteks Glacier One 360 T30 Gen2,Phanteks ,Glacier One 360 T30 Gen2 ,PH-GO360T30_DAG02 ,1200 - 3000 RPM ,11.1 - 39.7 dB ,Black / Gray ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Deepcool AK500S DIGITAL,Deepcool ,, R-AK500S-WHADMN-G | AK500S Digital WH-amazon | AK500S Digital WH | ,500 - 1850 RPM ,28 dB ,White ,160 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Zalman CNPS4X,Zalman ,, CNPS4X | CNPS4X BLACK | ,800 - 2000 RPM ,29 dB ,Black ,135 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Asus ROG STRIX LC 360 RGB GUNDAM,Asus ,ROG STRIX LC 360 RGB GUNDAM , 90RC0073-M0AAY0 | ROG STRIX LC 360 RGB GUNDAM EDITION | 90RC0073-M0UAY0 | ,800 - 2500 RPM ,37.6 dB ,White ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
PC Cooler RZ820,PC Cooler ,, RZ820-BKNWNX-GL | RZ820 BK | ,500 - 2200 RPM ,32 dB ,Black ,165 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Jonsbo CR-1000 V2 Color,Jonsbo ,, CR-1000 V2 Color Black | CR-1000V2PROARGB | CR-1000 V2 COLOR | ,600 - 1500 RPM ,22 - 32 dB ,Black / Silver ,157 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
