Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Thermalright Peerless Assassin 120 SE,Thermalright ,Peerless Assassin 120 SE , PA120 SE-D3 | PA120 SE | PA120 SE D6-CAD | PA120 SE 1700 | PA120 SE 1700-d6 | 419043 | ,1550 RPM ,25.6 dB ,Black / Silver ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer III Pro 360,ARCTIC ,Liquid Freezer III Pro 360 ,ACFRE00180A ,600 - 3000 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Cooler Master Hyper 212 Black Edition,Cooler Master ,Hyper 212 Black Edition ,RR-212S-20PK-R1 ,650 - 2000 RPM ,6.5 - 26 dB ,Black ,159 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Aqua Elite V3,Thermalright ,, Aqua Elite 360 Black V3 | AQUA ELITE 360 V3 | Aqua Elite 360 Black Argb V3 | 814256016346 | ,1500 RPM ,25.6 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 360 RS ARGB,Corsair ,NAUTILUS 360 RS ARGB ,CW-9060093-WW ,2100 RPM ,34 dB ,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ARCTIC Liquid Freezer III Pro A-RGB 360,ARCTIC ,Liquid Freezer III Pro A-RGB 360 ,ACFRE00184A ,600 - 3000 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Phantom Spirit 120 SE ARGB,Thermalright ,Phantom Spirit 120 SE ARGB , PS120SE ARGB | PS120 SE ARGB D6-CAD | Phantom Spirit 120 SE ARGB | ,1500 RPM ,25.6 dB ,Black / Silver ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer III Pro A-RGB 360,ARCTIC ,Liquid Freezer III Pro A-RGB 360 ,ACFRE00188A ,600 - 3000 RPM ,,White ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Noctua NH-D15 chromax.black,Noctua ,NH-D15 chromax.black , NH-D15 CHROMAX.BLACK | NH-D15 CH.BK | NH-D15-CH-BK | ,300 - 1500 RPM ,19.2 - 24.6 dB ,Black ,165 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Assassin X 120 Refined SE,Thermalright ,Assassin X 120 Refined SE , AX120 SE-D3 | AX120 Refined SE | ,1550 RPM ,25.6 dB ,Black / Silver ,148 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Aqua Elite V3,Thermalright ,, Aqua Elite 240 Black V3 | AQUA ELITE 240 V3 | AQUA ELITE 240 BLACK ARGB V3 | 814256016339 | ,1500 RPM ,25.6 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
be quiet! Dark Rock Pro 5,be quiet! ,,BK036 ,1300 - 2000 RPM ,8.9 - 23.3 dB ,Black ,168 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
NZXT Kraken Elite 360 RGB (2024),NZXT ,Kraken Elite 360 RGB (2024) ,RL-KR36E-W2 ,500 - 2400 RPM ,30 dB ,White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
AMD Wraith Prism,AMD ,,199-999888 ,2800 RPM ,42 dB ,,93 mm , AM4 | AM5 | ,No ,No 
MSI MPG CORELIQUID D360,MSI ,, MPG CORELIQUID D360 | 936-6A1521-001 | ,,,Black ,84 mm , AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 360 RS ARGB,Corsair ,NAUTILUS 360 RS ARGB ,CW-9060095-WW ,2100 RPM ,34 dB ,White ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Phantom Spirit 120 SE,Thermalright ,Phantom Spirit 120 SE , PS120SE | PS120 SE D6-CAD | PHANTOM-SPIRIT-120-SE | ,1500 RPM ,25.6 dB ,Black / Silver ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Noctua NH-D15,Noctua ,,NH-D15 ,300 - 1500 RPM ,19.2 - 24.6 dB ,,165 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Corsair iCUE LINK TITAN 360 RX LCD,Corsair ,iCUE LINK TITAN 360 RX LCD ,CW-9061023-WW ,300 - 2100 RPM ,10 - 36 dB ,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
NZXT Kraken 240,NZXT ,Kraken 240 ,RL-KN240-B1 ,500 - 1800 RPM ,17.9 - 30.6 dB ,Black ,56 mm , AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
ARCTIC Freezer 36,ARCTIC ,Freezer 36 ,ACFRE00123A ,200 - 1800 RPM ,,Black ,159 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer III Pro,ARCTIC ,,ACFRE00178A ,600 - 3000 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Thermalright Peerless Assassin 120 SE ARGB,Thermalright ,Peerless Assassin 120 SE ARGB , PA 120 SE ARGB | PA120 SE ARGB 1700 | PA120 SE ARGB D6-CAD | 419041 | Peerless Assassin 120 SE Argb | 814256003766 | ,1550 RPM ,25.6 dB ,Black ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Asus ROG Ryujin III 360 ARGB Extreme,Asus ,ROG Ryujin III 360 ARGB Extreme , 90RC0131-M0EAY0 | ROG Ryujin III 360 ARGB Extreme | 90RC0131-M0AAY0 | ,1 - 2800 RPM ,36 dB ,Black ,108 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
NZXT Kraken Elite 360 (2024),NZXT ,Kraken Elite 360 (2024) ,RL-KN36E-B2 ,500 - 2000 RPM ,30 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Cooler Master MasterLiquid 360L Core ARGB,Cooler Master ,MasterLiquid 360L Core ARGB ,MLW-D36M-A18PZ-R1 ,350 - 1750 RPM ,27.2 dB ,Black ,47 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Cooler Master Hyper 212 Spectrum V3,Cooler Master ,Hyper 212 Spectrum V3 ,RR-S4NA-17PA-R1 ,650 - 1750 RPM ,27.2 dB ,Black / Silver ,152 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
TRYX PANORAMA SE ARGB,TRYX ,,L-P360L-AM3M-G0K ,500 - 1850 RPM ,,Black ,125 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 360 RS LCD,Corsair ,NAUTILUS 360 RS LCD ,CW-9061033-WW ,2100 RPM ,10 - 36 dB ,Black ,125 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Phantom Spirit EVO,Thermalright ,, Phantom Spirit 120 EVO | PS120 EVO | PS120 EVO D6 | 814256015585 | ,2150 RPM ,27 dB ,Black ,157 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Peerless Assassin 120 SE WHITE ARGB,Thermalright ,Peerless Assassin 120 SE WHITE ARGB , PA120 SE White ARGB | PA120 SE White ARGB-D3 | PA120 SE ARGB White-D1 | PA120 SE WHITE ARGB D6-CAD | ,1550 RPM ,25.6 dB ,White ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Assassin X SE,Thermalright ,, AX90SE V2 | AX90SE V2 D6 | Assassin-X-90-SE-V2 | ,2200 RPM ,23.85 dB ,Black / Silver ,118 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Asus ROG Ryuo IV SLC 360 ARGB,Asus ,ROG Ryuo IV SLC 360 ARGB , 90RC0151-B0EAY0 | ROG Ryuo IV SLC 360 ARGB | ,800 - 2650 RPM ,39.6 dB ,Black ,133 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Lian Li Hydroshift LCD 360S,Lian Li ,Hydroshift LCD 360S , HSLCD36SW | GHSLCD36SW | ,200 - 2500 RPM ,29.8 dB ,White ,59 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
be quiet! Pure Rock 3,be quiet! ,,BK039 ,2000 RPM ,12.4 - 31.2 dB ,Black ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ID-COOLING SE-214-XT ARGB,ID-COOLING ,,SE-214-XT ARGB ,500 - 1500 RPM ,13.8 - 30.5 dB ,Black ,150 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Noctua NH-L9A-AM5,Noctua ,,NH-L9A-AM5 ,600 - 2500 RPM ,14.8 - 23.6 dB ,Brown / Silver ,37 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | ,No ,No 
MSI MAG CORELIQUID A13,MSI ,, MAG CORELIQUID A13 240 | 306-7ZWCA11-L80 | MAG CORELIQUID A13 240 Black | ,,,Black ,57 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Thermalright Assassin Spirit 120 EVO,Thermalright ,Assassin Spirit 120 EVO , AS120 EVO | Assassin Spirit 120 EVO | 814256016377 | ,2000 RPM ,28.2 dB ,Black ,156 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
TRYX PANORAMA SE ARGB,TRYX ,,L-P360L-AM3M-G0W ,500 - 1850 RPM ,,White ,125 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Noctua NH-L9A-AM5 CHROMAX.BLACK,Noctua ,,NH-L9A-AM5 CHROMAX.BLACK ,600 - 2500 RPM ,14.8 - 23.6 dB ,Black ,37 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | ,No ,No 
NZXT Kraken Z73 RGB,NZXT ,Kraken Z73 RGB ,RL-KRZ73-RW ,500 - 1500 RPM ,22 - 33 dB ,White / Black ,, AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermalright Frozen Infinity 360 ARGB,Thermalright ,Frozen Infinity 360 ARGB ,Frozen Infinity 360 WHITE ,2000 RPM ,28.2 dB ,White ,60 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 240 RS ARGB,Corsair ,NAUTILUS 240 RS ARGB ,CW-9060092-WW ,2100 RPM ,34 dB ,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
NZXT Kraken Elite RGB (2025),NZXT ,Kraken Elite 420 RGB (2025) ,RL-KR42E-B2 ,500 - 2000 RPM ,34.5 dB ,Black ,65 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 420 mm ,No 
Lian Li Hydroshift II LCD-S 360 TL,Lian Li ,Hydroshift II LCD-S 360 TL , GHS2LCDS36TB | HS2LCDS36TB | G89.GHS2LCDS36TB.00 | ,200 - 2600 RPM ,33 dB ,Black ,62 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ID-COOLING FROZN A620 PRO SE,ID-COOLING ,,FROZN A620 PRO SE ,300 - 2000 RPM ,27.2 dB ,Black ,157 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Alpine 23,ARCTIC ,Alpine 23 ,ACALP00035A ,100 - 2000 RPM ,,White / Black ,65 mm , AM4 | AM5 | ,No ,No 
Corsair iCUE LINK TITAN 360 RX LCD,Corsair ,iCUE LINK TITAN 360 RX LCD ,CW-9061026-WW ,300 - 2100 RPM ,10 - 36 dB ,White ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
MSI MAG CORELIQUID A13,MSI ,, MAG CORELIQUID A13 360 | 306-7ZWDA11-L80 | ,,,Black ,57 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Cooler Master MasterLiquid 240L Core ARGB,Cooler Master ,MasterLiquid 240L Core ARGB ,MLW-D24M-A18PZ-R1 ,350 - 1750 RPM ,27.2 dB ,Black ,47 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 240 mm ,No 
Asus ROG Ryujin III ARGB Extreme,Asus ,, 90RC0132-M0AAY0 | ROG RYUJIN III 360 ARGB EXTREME WHT | 90RC0132-M0EAY0 | ,1 - 2800 RPM ,36 dB ,White ,108 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ARCTIC Liquid Freezer III Pro,ARCTIC ,,ACFRE00181A ,400 - 2500 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 420 mm ,No 
Noctua NH-D15 G2 chromax.black,Noctua ,,NH-D15 G2 chromax.black ,,0 - 24.8 dB ,Black ,168 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Frozen Notte ARGB,Thermalright ,, Frozen Notte 360 BLACK ARGB-D1 | Frozen Notte 360 BLACK ARGB D6 | Frozen Notte 360 BLACK ARGB | ,2000 RPM ,27.7 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Noctua NH-L9x65 chromax.black,Noctua ,, NH-L9x65 chromax.black | NH-L9x65 ch.bk | NH-L9x65chromaxblack | NH-L9X65-CH-BK | NOCTUA NH-L9X65 CHROMAX.BLACK | ,600 - 2500 RPM ,14.8 - 23.6 dB ,Black ,65 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
be quiet! Silent Loop 3,be quiet! ,,BW025 ,2500 RPM ,19.8 - 38.8 dB ,Black ,94 mm , AM4 | AM5 | sTR4 | sTRX4 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Intel E97379-001,Intel ,,E97379-001 ,1200 - 2800 RPM ,22 dB ,Silver / Black ,51 mm , LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | ,No ,No 
Deepcool AK400,Deepcool ,AK400 ,R-AK400-BKNNMN-G-1 ,500 - 1850 RPM ,29 dB ,Black / Silver ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
NZXT Kraken Plus 360,NZXT ,Kraken Plus 360 ,RL-KN360-B2 ,500 - 2000 RPM ,30 dB ,Black ,56 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 360 RS,Corsair ,NAUTILUS 360 RS ,CW-9060089-WW ,2100 RPM ,34 dB ,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright AXP90-X47,Thermalright ,,AXP90-X47 BLACK ,2700 RPM ,22.4 dB ,Black ,47 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Aqua Elite V3,Thermalright ,,Aqua Elite 360 White V3 ,1500 RPM ,25.6 dB ,White ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Thermalright Peerless Assassin 120 White,Thermalright ,Peerless Assassin 120 White , PA120 White | PA120 WHITE D6-CAD | ,1550 RPM ,25.6 dB ,White ,157 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Corsair iCUE LINK TITAN 360 RX RGB,Corsair ,iCUE LINK TITAN 360 RX RGB ,CW-9061018-WW ,300 - 2100 RPM ,,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright AQUA ELITE ARGB V4,Thermalright ,,AQUA ELITE 360 ARGB V4 ,1550 RPM ,25.6 dB ,Black ,48 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
be quiet! Pure Rock Pro 3,be quiet! ,,BK042 ,2000 RPM ,14 - 34.8 dB ,Black ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Lian Li Galahad II Trinity SL-INF,Lian Li ,, GA2T36INB | G89.GA2T36INB.00 | ,2100 RPM ,29 dB ,Black ,69 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Assassin X 120 R Digital ARGB,Thermalright ,Assassin X 120 R Digital ARGB ,Assassin X 120 R Digital ARGB BLACK ,2000 RPM ,29.8 dB ,Black ,151 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Noctua NH-U12A chromax.black,Noctua ,, NH-U12A chromax.black | NH-U12A ch.bk | ,450 - 2000 RPM ,18.8 - 22.6 dB ,Black ,158 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Assassin X Refined SE RGB V2,Thermalright ,, AX120R SE V2 D6 | AX120 REFINED SE V2 | ,1550 RPM ,25.6 dB ,Black / Silver ,148 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
TRYX PANORAMA ARGB (2025),TRYX ,,L-P360A-AS3M-G1K ,500 - 1850 RPM ,28.87 dB ,Black ,118 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Iceberg Thermal IceFLOE T95,Iceberg Thermal ,IceFLOE T95 ,ICEFLOE95-00A ,1000 - 2200 RPM ,32.3 dB ,Teal / Silver ,78 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA775 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | ,No ,No 
Cooler Master Hyper 212 RGB Black Edition,Cooler Master ,Hyper 212 RGB Black Edition ,RR-212S-20PC-R1 ,650 - 2000 RPM ,8 - 30 dB ,Black ,159 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
NZXT Kraken Elite 360 RGB (2024),NZXT ,Kraken Elite 360 RGB (2024) ,RL-KR36E-B2 ,500 - 2400 RPM ,30 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright AXP90-X36,Thermalright ,,AXP90-X36 ,2700 RPM ,22.4 dB ,Gray ,36 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Aqua Elite ARGB V6,Thermalright ,, Aqua Elite 360 ARGB BLACK V6 | AQUA ELITE 360 V6 ARGB Black | AE360 V6 ARGB B D6 | ,2000 RPM ,29.8 dB ,Black ,54 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Frozen Infinity 360 ARGB,Thermalright ,Frozen Infinity 360 ARGB ,Frozen Infinity 360 BLACK ,2000 RPM ,28.2 dB ,Black ,60 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Lian Li Hydroshift LCD 360S,Lian Li ,Hydroshift LCD 360S , HSLCD36SB | GHSLCD36SB | ,200 - 2500 RPM ,29.8 dB ,Black ,59 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Noctua NH-D15 G2,Noctua ,,NH-D15 G2 ,1500 RPM ,24.8 dB ,Brown / Silver ,168 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Corsair NAUTILUS 360 RS LCD,Corsair ,NAUTILUS 360 RS LCD ,CW-9061034-WW ,2100 RPM ,10 - 36 dB ,White ,125 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
TRYX PANORAMA ARGB (2025),TRYX ,,L-P360A-AS3M-G1W ,500 - 1850 RPM ,28.87 dB ,White ,118 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Noctua NH-D9L,Noctua ,,NH-D9L ,400 - 2000 RPM ,16.3 - 22.8 dB ,,110 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Phantom Spirit 120 SE,Thermalright ,Phantom Spirit 120 SE , PS120SE Black | Phantom Spirit 120 SE BLACK | ,1500 RPM ,25.6 dB ,Black ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Lian Li Hydroshift II LCD-C TL,Lian Li ,, GHS2LCD36TW | G89.GHS2LCD36TW.00 | HS2LCD36TW | ,200 - 2600 RPM ,33 dB ,White ,69 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Corsair iCUE H150i ELITE CAPELLIX,Corsair ,iCUE H150i ELITE CAPELLIX ,CW-9060048-WW ,2400 RPM ,10 - 37 dB ,Black ,, AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | sTR4 | sTRX4 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
ARCTIC Liquid Freezer III Pro,ARCTIC ,,ACFRE00179A ,400 - 2500 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 280 mm ,No 
Thermalright Assassin X Refined SE ARGB,Thermalright ,, AX120R SE ARGB D6-CAD | Assassin X 120 Refined SE ARGB | AX120 R SE ARGB 1700 | 814256003780 | ,1550 RPM ,25.6 dB ,Black / Silver ,148 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
