Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
AMD Ryzen 5 7500F,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,https://cdna.pcpartpicker.com/static/forever/images/product/521c4c2de515ace1e8bb11575e797393.256p.jpg,6,3.7 GHz,5 GHz,Zen 4,65 W,None,159.32
Intel Core Ultra 7 265K,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k,https://cdna.pcpartpicker.com/static/forever/images/product/19fb12d5828d3ae540e91eefa4160b79.256p.jpg,20,3.9 GHz,5.5 GHz,Arrow Lake,125 W,Intel Xe,269.99
AMD Threadripper 3990X,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,https://cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg,64,2.9 GHz,4.3 GHz,Zen 2,280 W,None,2700.00
Intel Core Ultra 9 285K,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,https://cdna.pcpartpicker.com/static/forever/images/product/d658fbb8695607dc4964431e6b6b9373.256p.jpg,24,3.7 GHz,5.7 GHz,Arrow Lake,125 W,Intel Xe,529.77
AMD Ryzen 7 5800X3D,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,https://cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,8,3.4 GHz,4.5 GHz,Zen 3,105 W,None,
AMD Ryzen 5 7600,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,https://cdna.pcpartpicker.com/static/forever/images/product/f0d757d712dd7145ecf00152653e5ec1.256p.jpg,6,3.8 GHz,5.1 GHz,Zen 4,65 W,Radeon,199.00
AMD Ryzen 9 7900X,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,12,4.7 GHz,5.6 GHz,Zen 4,170 W,Radeon,312.94
Intel Core i5-12600KF,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,https://cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg,10,3.7 GHz,4.9 GHz,Alder Lake,125 W,None,163.97
AMD Ryzen 9 9950X,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,https://cdna.pcpartpicker.com/static/forever/images/product/53669af807496f1034349a25fc685672.256p.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,513.63
AMD Ryzen 5 8500G,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,https://cdna.pcpartpicker.com/static/forever/images/product/2a87a9a2a5a34b013ae637285470d93a.256p.jpg,6,4.1 GHz,5 GHz,Zen 4,65 W,Radeon 740M,157.00
Intel Core i5-14400F,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,https://cdna.pcpartpicker.com/static/forever/images/product/1a89e55daad13315da1822c1630dc26c.256p.jpg,10,2.5 GHz,4.7 GHz,Raptor Lake Refresh,65 W,None,
AMD Ryzen 5 7500X3D,https://pcpartpicker.com/product/jbHp99/amd-ryzen-5-7500x3d-4-ghz-6-core-processor-100-100001904wof,https://cdna.pcpartpicker.com/static/forever/images/product/c9f56052bf41c1d121d4c980e91ca6ec.256p.jpg,6,4 GHz,4.5 GHz,Zen 4,65 W,Radeon,299.99
AMD Ryzen 9 5950X,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,16,3.4 GHz,4.9 GHz,Zen 3,105 W,None,349.00
AMD Ryzen 5 5600G,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,https://cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,6,3.9 GHz,4.4 GHz,Zen 3,65 W,Radeon Vega 7,189.59
Intel Core i7-12700KF,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,https://cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg,12,3.6 GHz,5 GHz,Alder Lake,125 W,None,258.97
AMD Ryzen 3 3200G,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,https://cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,4,3.6 GHz,4 GHz,Zen+,65 W,Radeon Vega 8,64.40
AMD Ryzen 7 5700G,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,https://cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg,8,3.8 GHz,4.6 GHz,Zen 3,65 W,Radeon Vega 8,198.00
Intel Core i5-12600K,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,https://cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg,10,3.7 GHz,4.9 GHz,Alder Lake,125 W,Intel UHD Graphics 770,185.47
AMD Ryzen 5 7600X3D,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,https://cdna.pcpartpicker.com/static/forever/images/product/b684575be6a62b1fe86628cbbbca2ac4.256p.jpg,6,4.1 GHz,4.7 GHz,Zen 4,65 W,Radeon,
AMD Ryzen 7 3700X,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,https://cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,8,3.6 GHz,4.4 GHz,Zen 2,65 W,None,
AMD Ryzen 5 5600XT,https://pcpartpicker.com/product/GY6NnQ/amd-ryzen-5-5600xt-37-ghz-6-core-processor-100-100001585box,https://cdna.pcpartpicker.com/static/forever/images/product/a010fc03fea2809af2c8fd966fbd483c.256p.jpg,6,3.7 GHz,4.7 GHz,Zen 3,65 W,None,200.38
AMD Ryzen 9 5900X,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,https://cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,12,3.7 GHz,4.8 GHz,Zen 3,105 W,None,
