Name,URL,Image,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Price
MSI B550-A PRO (CEC),https://pcpartpicker.com/product/x4XJ7P/msi-b550-a-pro-cec-atx-am4-motherboard-b550-a-pro-cec,/static/forever/img/no-image.png,AM4,ATX,128 GB,4,Black,
ASRock B760M PG Riptide,https://pcpartpicker.com/product/tGmmP6/asrock-b760m-pg-riptide-micro-atx-lga1700-motherboard-b760m-pg-riptide,https://cdna.pcpartpicker.com/static/forever/images/product/532ccedf9fb9a984493debaf06220ee7.256p.jpg,LGA1700,Micro ATX,192 GB,4,Black / Blue,
Asus STRIX Z270F,https://pcpartpicker.com/product/b3jWGX/asus-strix-z270f-atx-lga1151-motherboard-strix-z270f,https://cdna.pcpartpicker.com/static/forever/images/product/67e3518e42f69e9698eb4f56057433ce.256p.jpg,LGA1151,ATX,64 GB,4,Black / Silver,
Gigabyte Z490 VISION G,https://pcpartpicker.com/product/qRhmP6/gigabyte-z490-vision-g-atx-lga1200-motherboard-z490-vision-g,https://cdna.pcpartpicker.com/static/forever/images/product/3a190c962f8bedfd2ae4c99facbb67bc.256p.jpg,LGA1200,ATX,128 GB,4,White / Black,
Gigabyte Z490 AORUS PRO AX,https://pcpartpicker.com/product/JnFKHx/gigabyte-z490-aorus-pro-ax-atx-lga1200-motherboard-z490-aorus-pro-ax,https://cdna.pcpartpicker.com/static/forever/images/product/3718be5ef70c16f5dfb16cf28596ab9e.256p.jpg,LGA1200,ATX,128 GB,4,Black / Silver,
Gigabyte B660 GAMING X DDR4,https://pcpartpicker.com/product/LNTp99/gigabyte-b660-gaming-x-ddr4-atx-lga1700-motherboard-b660-gaming-x-ddr4,https://cdna.pcpartpicker.com/static/forever/images/product/beefb54755f119d72ea33f16daf4f6db.256p.jpg,LGA1700,ATX,128 GB,4,Black,
ASRock B860M LiveMixer WiFi,https://pcpartpicker.com/product/GLJBD3/asrock-b860m-livemixer-wifi-micro-atx-lga1851-motherboard-b860m-livemixer-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/3e824deb7f9a809edb1331e5aab278a7.256p.jpg,LGA1851,Micro ATX,256 GB,4,Silver / Black,159.99
Gigabyte B760M D3HP,https://pcpartpicker.com/product/dPP8TW/gigabyte-b760m-d3hp-micro-atx-lga1700-motherboard-b760m-d3hp,https://cdna.pcpartpicker.com/static/forever/images/product/66c3dc76cba59c3808c93a6f4efea922.256p.jpg,LGA1700,Micro ATX,192 GB,4,Black / Gray,141.29
Gigabyte B660I AORUS Pro DDR4,https://pcpartpicker.com/product/Tft9TW/gigabyte-b660i-aorus-pro-ddr4-mini-itx-lga1700-motherboard-b660i-aorus-pro-ddr4,https://cdna.pcpartpicker.com/static/forever/images/product/dcf453385ef7920db0c8de239540fb59.256p.jpg,LGA1700,Mini ITX,64 GB,2,Black,
Gigabyte B550 AORUS MASTER,https://pcpartpicker.com/product/QN7p99/gigabyte-b550-aorus-master-atx-am4-motherboard-b550-aorus-master,https://m.media-amazon.com/images/I/416LX-VVYlL.jpg,AM4,ATX,128 GB,4,Black / Silver,
Asus TUF GAMING B760M-PLUS D4,https://pcpartpicker.com/product/bbnypg/asus-tuf-gaming-b760m-plus-d4-micro-atx-lga1700-motherboard-tuf-gaming-b760m-plus-d4,https://cdna.pcpartpicker.com/static/forever/images/product/d40867f14e524468c7de6b4c3fafe3b5.256p.jpg,LGA1700,Micro ATX,128 GB,4,Black / Orange,
Asus ROG STRIX B560-A GAMING WIFI,https://pcpartpicker.com/product/R4M48d/asus-rog-strix-b560-a-gaming-wifi-atx-lga1200-motherboard-rog-strix-b560-a-gaming-wifi,https://m.media-amazon.com/images/I/41WNHX9X4eL.jpg,LGA1200,ATX,128 GB,4,Black / Silver,299.00
