Name,URL,Image,Type,Efficiency Rating,Wattage,Modular,Color,Price
MSI MAG A750GL PCIE5,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg,ATX,80+ Gold,750 W,Full,Black,95.99
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg,ATX,80+ Gold,850 W,Full,Black,113.99
MSI MAG A650BN,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,https://cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,ATX,80+ Bronze,650 W,No,Black,59.00
Corsair SF1000 (2024),https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257,https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg,SFX,80+ Platinum,1000 W,Full,Black,239.99
Corsair RM850e (2025),https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na,https://cdna.pcpartpicker.com/static/forever/images/product/3fa3c80c1defc487364f6bdaf2670b1e.256p.jpg,ATX,,850 W,Full,Black,124.98
Montech CENTURY II,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w,https://m.media-amazon.com/images/I/41ehLaPDbXL.jpg,ATX,80+ Gold,850 W,Full,Black,82.90
Corsair RM1000x (2024),https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na,https://cdna.pcpartpicker.com/static/forever/images/product/8bc2cb01b2a5875aa983b4cc5be68221.256p.jpg,ATX,,1000 W,Full,Black,179.99
MSI MAG A550BN,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg,ATX,80+ Bronze,550 W,No,Black,52.67
Corsair CX750M (2021),https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na,https://cdna.pcpartpicker.com/static/forever/images/product/e3f5e5e966e562c1ec685b17ed83bccb.256p.jpg,ATX,80+ Bronze,750 W,Semi,Black,79.98
Corsair RM750e (2025),https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na,https://cdna.pcpartpicker.com/static/forever/images/product/8307e191cd38a81dc5dcf709432e21e0.256p.jpg,ATX,,750 W,Full,Black,89.99
Thermaltake Smart,https://pcpartpicker.com/product/Wbhj4D/thermaltake-smart-500-w-80-certified-atx-power-supply-ps-spd-0500npcwus-w,https://m.media-amazon.com/images/I/519RlzaoKDL.jpg,ATX,80+,500 W,No,,39.99
Asus ROG STRIX 1200P Gaming,https://pcpartpicker.com/product/qrDnTW/asus-rog-strix-1200p-gaming-1200-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1200p-gaming,https://cdna.pcpartpicker.com/static/forever/images/product/3fb2d887e5a452db696692c8205dd369.256p.jpg,ATX,80+ Platinum,1200 W,Full,Black / Silver,264.99
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/LPBzK8/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5-white,https://cdna.pcpartpicker.com/static/forever/images/product/eef1b2e0ab31f6cbcbe01d162f44b952.256p.jpg,ATX,80+ Gold,850 W,Full,White,121.90
Corsair RM850x (2024),https://pcpartpicker.com/product/vY4Zxr/corsair-rm850x-2024-850-w-fully-modular-atx-power-supply-cp-9020270-na,https://cdna.pcpartpicker.com/static/forever/images/product/1e3308cded9a7c92a8dba6b2be976bcc.256p.jpg,ATX,,850 W,Full,Black,129.99
Corsair SF750 (2024),https://pcpartpicker.com/product/TsTZxr/corsair-sf750-2024-750-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020284,https://cdna.pcpartpicker.com/static/forever/images/product/e297517330e5a91ec38e95b9377df1a0.256p.jpg,SFX,80+ Platinum,750 W,Full,Black,139.99
Asus ROG THOR 1600T Gaming,https://pcpartpicker.com/product/7m6p99/asus-rog-thor-1600t-gaming-1600-w-80-titanium-certified-fully-modular-atx-power-supply-90ye00k0-b0na00,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg,ATX,80+ Titanium,1600 W,Full,Silver / Black,1003.00
Silverstone HELA,https://pcpartpicker.com/product/GMkWGX/silverstone-hela-2050-w-fully-modular-atx-power-supply-sst-ha2050-pt,https://cdna.pcpartpicker.com/static/forever/images/product/9c9639e52f92dce6daf30dc4423b1cda.256p.jpg,ATX,,2050 W,Full,Black / White,
Corsair RM650e (2025),https://pcpartpicker.com/product/6TBFf7/corsair-rm650e-2025-650-w-fully-modular-atx-power-supply-cp-9020302-na,https://m.media-amazon.com/images/I/41G0n8yq8CL.jpg,ATX,,650 W,Full,Black,79.99
Super Flower Leadex Titanium,https://pcpartpicker.com/product/YNBFf7/super-flower-leadex-titanium-2800-w-80-titanium-certified-fully-modular-atx-power-supply-sf-2800f14hp,https://m.media-amazon.com/images/I/51EDuV+Cx3L.jpg,ATX,80+ Titanium,2800 W,Full,Black,799.99
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/yWJBD3/be-quiet-pure-power-13-m-750-w-80-gold-certified-fully-modular-atx-power-supply-bp026us,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg,ATX,80+ Gold,750 W,Full,Black,94.90
Corsair SF850 (2024),https://pcpartpicker.com/product/ZsTZxr/corsair-sf850-2024-850-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020256,https://cdna.pcpartpicker.com/static/forever/images/product/016556184725a9604ae50e789f12b12c.256p.jpg,SFX,80+ Platinum,850 W,Full,Black,178.99
MSI MPG A850GS PCIE5,https://pcpartpicker.com/product/rGqNnQ/msi-mpg-a850gs-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850gs-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/e30f8fbb357a16391b3a15586b9aaec4.256p.jpg,ATX,80+ Gold,850 W,Full,Black,79.99
Corsair RM1000e (2025),https://pcpartpicker.com/product/B8YfrH/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020297-na,https://cdna.pcpartpicker.com/static/forever/images/product/e1a0bb0ca24bc0c2d95fea57a8c2019d.256p.jpg,ATX,,1000 W,Full,Black,164.99
Thermaltake Smart,https://pcpartpicker.com/product/6RTrxr/thermaltake-smart-600-w-80-certified-atx-power-supply-ps-spd-0600npcwus-w,https://images-eu.ssl-images-amazon.com/images/I/51Ih1TB6nFL.jpg,ATX,80+,600 W,No,,42.99
ASRock PRO-650G,https://pcpartpicker.com/product/PPdMnQ/asrock-pro-650g-650-w-80-gold-certified-atx-power-supply-pro-650g,https://cdna.pcpartpicker.com/static/forever/images/product/d7333adad35614791a16a3fbb8876bac.256p.jpg,ATX,80+ Gold,650 W,No,Black,49.99
MSI MPG A1000GS PCIE5,https://pcpartpicker.com/product/2kXMnQ/msi-mpg-a1000gs-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000gs-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/e30f8fbb357a16391b3a15586b9aaec4.256p.jpg,ATX,80+ Gold,1000 W,Full,Black,119.99
Corsair RM1000e (2025),https://pcpartpicker.com/product/9K2j4D/corsair-rm1000e-2025-1000-w-fully-modular-atx-power-supply-cp-9020294-na,https://cdna.pcpartpicker.com/static/forever/images/product/9fc6cb597b8f13a08550ae7d3eba25bf.256p.jpg,ATX,,1000 W,Full,White,174.99
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/dbRnTW/be-quiet-pure-power-13-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bp027us,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg,ATX,80+ Gold,850 W,Full,Black,107.90
MSI MAG A650GL,https://pcpartpicker.com/product/xfV2FT/msi-mag-a650gl-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gl,https://cdna.pcpartpicker.com/static/forever/images/product/9fd701005a49816e85072d6ed79c2951.256p.jpg,ATX,80+ Gold,650 W,Full,Black,99.99
be quiet! Pure Power 13 M,https://pcpartpicker.com/product/PJpD4D/be-quiet-pure-power-13-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bp028us,https://m.media-amazon.com/images/I/51NcpqwxV1L.jpg,ATX,80+ Gold,1000 W,Full,Black,139.90
Corsair HX1500i (2025),https://pcpartpicker.com/product/q98Pxr/corsair-hx1500i-2025-1500-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020309-na,https://m.media-amazon.com/images/I/419zV-+pQ+L.jpg,ATX,80+ Platinum,1500 W,Full,Black,349.99
MSI MAG A750BN PCIE5,https://pcpartpicker.com/product/bpvD4D/msi-mag-a750bn-pcie5-750-w-80-bronze-certified-atx-power-supply-mag-a750bn-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/0e6a8954c4ddd51ffeaac409a3b2f9f7.256p.jpg,ATX,80+ Bronze,750 W,No,Black,69.98
Corsair RM750e (2025),https://pcpartpicker.com/product/q3Nscf/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020292-na,https://cdna.pcpartpicker.com/static/forever/images/product/3b9e84b0c082af2c8d1beed2698c3a69.256p.jpg,ATX,,750 W,Full,White,109.99
Apevia CAPTAIN,https://pcpartpicker.com/product/rqmmP6/apevia-captain-550-w-atx-power-supply-captain550,https://m.media-amazon.com/images/I/514OgOS3T-L.jpg,ATX,,550 W,No,Black,31.99
Corsair RM850e (2025),https://pcpartpicker.com/product/K4ZWGX/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020293-na,https://cdna.pcpartpicker.com/static/forever/images/product/7d68ac724aae3cabe95f98de8df643ae.256p.jpg,ATX,,850 W,Full,White,134.99
Corsair CX (2023),https://pcpartpicker.com/product/f2fxFT/corsair-cx-2023-550-w-80-bronze-certified-atx-power-supply-cp-9020277-na,https://cdna.pcpartpicker.com/static/forever/images/product/5c9986f2ca555182c65ca3541ec840ed.256p.jpg,ATX,80+ Bronze,550 W,No,Black,65.98
Corsair HX1200i (2025),https://pcpartpicker.com/product/ghjv6h/corsair-hx1200i-2025-1200-w-80-platinum-certified-fully-modular-atx-power-supply-cp-9020307-na,https://m.media-amazon.com/images/I/41639Z5b2tL.jpg,ATX,80+ Platinum,1200 W,Full,Black,299.99
Montech CENTURY II,https://pcpartpicker.com/product/yJkqqs/montech-century-ii-1050-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-1050w,https://cdna.pcpartpicker.com/static/forever/images/product/c04beca6c6820e5b4fe612ab1850b8cd.256p.jpg,ATX,80+ Gold,1050 W,Full,Black,99.90
Corsair CX650M (2021),https://pcpartpicker.com/product/x96p99/corsair-cx650m-2021-650-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020221-na,https://cdna.pcpartpicker.com/static/forever/images/product/cd1c62429bd8d83e6d8dc273f0cc179c.256p.jpg,ATX,80+ Bronze,650 W,Semi,Black,89.99
Lian Li EDGE GOLD,https://pcpartpicker.com/product/pyXMnQ/lian-li-edge-gold-1000-w-80-gold-certified-fully-modular-atx-power-supply-eg1000g-white,https://cdna.pcpartpicker.com/static/forever/images/product/6cd392c0ddcb76b70bdf0b6ed14e34ca.256p.jpg,ATX,80+ Gold,1000 W,Full,White,158.99
SeaSonic Focus GX V4 ATX 3 (2024),https://pcpartpicker.com/product/TQ88TW/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4,https://cdna.pcpartpicker.com/static/forever/images/product/5595266ca881fcc6e5296037a601f47d.256p.jpg,ATX,80+ Gold,850 W,Full,Black,124.99
Asus ROG STRIX 1000P GAMING,https://pcpartpicker.com/product/zn9nTW/asus-rog-strix-1000p-gaming-1000-w-80-platinum-certified-fully-modular-atx-power-supply-rog-strix-1000p-gaming-white,https://cdna.pcpartpicker.com/static/forever/images/product/00740342f05d6f0c6cb281dae99939b7.256p.jpg,ATX,80+ Platinum,1000 W,Full,White,249.99
Corsair RM850x (2021),https://pcpartpicker.com/product/26rRsY/corsair-rm850x-2021-850-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020200-na,https://cdna.pcpartpicker.com/static/forever/images/product/4f19c6453ce4ebe67091e6d9735f3a19.256p.jpg,ATX,80+ Gold,850 W,Full,Black,
SAMA GT,https://pcpartpicker.com/product/bqbypg/sama-gt-650-w-80-gold-certified-fully-modular-atx-power-supply-gt650-bkgffxx1-us,https://cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ATX,80+ Gold,650 W,Full,Black,62.99
MSI MAG A1000GL PCIE5,https://pcpartpicker.com/product/gR9wrH/msi-mag-a1000gl-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1000gl-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/d341970c610a68f6188dd0c370743769.256p.jpg,ATX,80+ Gold,1000 W,Full,Black,134.99
be quiet! Dark Power 13,https://pcpartpicker.com/product/Yqqrxr/be-quiet-dark-power-13-1000-w-80-titanium-certified-fully-modular-atx-power-supply-bn661,https://cdna.pcpartpicker.com/static/forever/images/product/7fa3368565fa6e4e0196112cf171e1b5.256p.jpg,ATX,80+ Titanium,1000 W,Full,Black,239.90
Thermaltake Toughpower GX2,https://pcpartpicker.com/product/pG6qqs/thermaltake-toughpower-gx2-600-w-80-gold-certified-atx-power-supply-ps-tpd-0600nnfagu-2,https://cdna.pcpartpicker.com/static/forever/images/product/56f77032e78c9af99041786b5196fe91.256p.jpg,ATX,80+ Gold,600 W,No,Black,69.98
Rosewill VSB,https://pcpartpicker.com/product/TZrp99/rosewill-vsb-650-w-80-bronze-certified-semi-modular-atx-power-supply-vsb650,https://cdna.pcpartpicker.com/static/forever/images/product/e12bec22ce3376a2356f504366ad1d8b.256p.jpg,ATX,80+ Bronze,650 W,Semi,Black,49.98
be quiet! Power Zone 2,https://pcpartpicker.com/product/vgJBD3/be-quiet-power-zone-2-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bp008us,https://cdna.pcpartpicker.com/static/forever/images/product/838e53fd8b582b17bbac83fab611f118.256p.jpg,ATX,80+ Platinum,1000 W,Full,Black,149.90
MSI MEG Ai1600T PCIE5,https://pcpartpicker.com/product/9D2j4D/msi-meg-ai1600t-pcie5-1600-w-80-titanium-certified-fully-modular-atx-power-supply-meg-ai1600t-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/a11eb27dffbe9026f93a731822e5356b.256p.jpg,ATX,80+ Titanium,1600 W,Full,Black / Gold,670.00
be quiet! SFX L Power,https://pcpartpicker.com/product/JrHRsY/be-quiet-sfx-l-power-600-w-80-gold-certified-fully-modular-sfx-power-supply-bn215,https://cdna.pcpartpicker.com/static/forever/images/product/933b1005478f139d7caf504efce06dad.256p.jpg,SFX,80+ Gold,600 W,Full,Black,119.90
Asus ROG Strix,https://pcpartpicker.com/product/kHBFf7/asus-rog-strix-1000-w-80-platinum-certified-fully-modular-atx-power-supply-90ye00w1-b0na00,https://cdna.pcpartpicker.com/static/forever/images/product/68d59d4cd47252cb8074986bac2f0cb8.256p.jpg,ATX,80+ Platinum,1000 W,Full,Black,217.99
Asus TUF Gaming 850G,https://pcpartpicker.com/product/MLzhP6/asus-tuf-gaming-850g-850-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s2-b0na00,https://cdna.pcpartpicker.com/static/forever/images/product/4f699d87a43e3c59ea964a1bf230301c.256p.jpg,ATX,80+ Gold,850 W,Full,Black,134.60
Apevia Galaxy,https://pcpartpicker.com/product/cN26Mp/apevia-galaxy-650-w-80-gold-certified-semi-modular-atx-power-supply-atx-gx650w,https://m.media-amazon.com/images/I/41tTcSFPOyS.jpg,ATX,80+ Gold,650 W,Semi,Black,54.99
ASRock PRO-750G,https://pcpartpicker.com/product/JhLp99/asrock-pro-750g-750-w-80-gold-certified-atx-power-supply-pro-750g,https://cdna.pcpartpicker.com/static/forever/images/product/92cde86bd2c8f3dda107e2543b58e9d0.256p.jpg,ATX,80+ Gold,750 W,No,Black,54.99
Logisys PS480D2,https://pcpartpicker.com/product/73YXsY/logisys-power-supply-ps480d2,https://m.media-amazon.com/images/I/51eNBfaK5SL.jpg,ATX,,480 W,No,,27.99
Thermaltake Smart,https://pcpartpicker.com/product/b8Jkcf/thermaltake-smart-700-w-80-certified-atx-power-supply-ps-spd-0700npcwus-w,https://cdna.pcpartpicker.com/static/forever/images/product/4bd3b198fbff9c55cc45e640e9ce8ed0.256p.jpg,ATX,80+,700 W,No,,54.99
Lian Li EDGE,https://pcpartpicker.com/product/ZCHqqs/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000,https://cdna.pcpartpicker.com/static/forever/images/product/2b6505f267e91c686ae87e596ed59260.256p.jpg,ATX,80+ Platinum,1000 W,Full,Black,
MSI MAG A650GLS PCIE5,https://pcpartpicker.com/product/DsgZxr/msi-mag-a650gls-pcie5-650-w-80-gold-certified-fully-modular-atx-power-supply-mag-a650gls-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/b3f5ce174d631594ae9f8f2dc3b291d1.256p.jpg,ATX,80+ Gold,650 W,Full,Black,95.99
Cooler Master MWE Gold 850 V3,https://pcpartpicker.com/product/bTdG3C/cooler-master-mwe-gold-850-v3-850-w-80-gold-certified-fully-modular-atx-power-supply-mpx-8503-afag-2buv,https://cdna.pcpartpicker.com/static/forever/images/product/ba3f1ee18ce6535b90116201b175bbef.256p.jpg,ATX,80+ Gold,850 W,Full,Black,89.99
SeaSonic PRIME TX-1600 ATX 3.1,https://pcpartpicker.com/product/64NYcf/seasonic-prime-tx-1600-atx-31-1600-w-80-titanium-certified-fully-modular-atx-power-supply-atx3-prime-tx-1600,https://cdna.pcpartpicker.com/static/forever/images/product/d7a128263fc27f3eecbca4d1be407352.256p.jpg,ATX,80+ Titanium,1600 W,Full,Black / Silver,559.99
Corsair RM750x (2024),https://pcpartpicker.com/product/JPMMnQ/corsair-rm750x-2024-750-w-fully-modular-atx-power-supply-cp-9020285-na,https://cdna.pcpartpicker.com/static/forever/images/product/e78e01bbb56c5608fe37fc45d2fcb2b5.256p.jpg,ATX,,750 W,Full,Black,114.99
Corsair CX (2023),https://pcpartpicker.com/product/nNTZxr/corsair-cx-2023-650-w-80-bronze-certified-atx-power-supply-cp-9020278-na,https://cdna.pcpartpicker.com/static/forever/images/product/c058ff0ffb542302d5b1c75cf8658ecd.256p.jpg,ATX,80+ Bronze,650 W,No,Black,71.19
Cooler Master V850 SFX GOLD,https://pcpartpicker.com/product/Q36qqs/cooler-master-v850-sfx-gold-850-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-8501-sfhagv-us,https://cdna.pcpartpicker.com/static/forever/images/product/bd2577c6ecabce9f78526a09410351e0.256p.jpg,SFX,80+ Gold,850 W,Full,Black,157.99
be quiet! Dark Power 14,https://pcpartpicker.com/product/fcPv6h/be-quiet-dark-power-14-1200-w-80-titanium-certified-fully-modular-atx-power-supply-bp021us,https://cdna.pcpartpicker.com/static/forever/images/product/9692c03fcb71660f815bb8dc783228d6.256p.jpg,ATX,80+ Titanium,1200 W,Full,Black,289.89
Thermaltake Toughpower GF1 (2024),https://pcpartpicker.com/product/kVyH99/thermaltake-toughpower-gf1-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-p,https://cdna.pcpartpicker.com/static/forever/images/product/1d3c099db66ec0e9f5a65298b5aa5b96.256p.jpg,ATX,80+ Gold,850 W,Full,Black,95.99
Asus TUF Gaming 1000G,https://pcpartpicker.com/product/wR2WGX/asus-tuf-gaming-1000g-1000-w-80-gold-certified-fully-modular-atx-power-supply-90ye00s1-b0na00,https://cdna.pcpartpicker.com/static/forever/images/product/06eac4dd425e5a1d1e70735068c47072.256p.jpg,ATX,80+ Gold,1000 W,Full,Black,159.99
Corsair RM750e (2023),https://pcpartpicker.com/product/YRJp99/corsair-rm750e-2023-750-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020262-na,https://cdna.pcpartpicker.com/static/forever/images/product/336c7955df0312d04655dd3a13973c95.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
Gigabyte UD750GM PG5 V2,https://pcpartpicker.com/product/f2Nscf/gigabyte-ud750gm-pg5-v2-750-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud750gm-pg5-v2,https://cdna.pcpartpicker.com/static/forever/images/product/fa5799a3aa935df6c0a31b203ecd0274.256p.jpg,ATX,80+ Gold,750 W,Full,Black,79.98
Apevia Prestige,https://pcpartpicker.com/product/xLtKHx/apevia-prestige-600-w-80-gold-certified-atx-power-supply-atx-rp600w,https://m.media-amazon.com/images/I/41pBDy5c8nL.jpg,ATX,80+ Gold,600 W,No,Black,51.99
MSI MPG A850G PCIE5,https://pcpartpicker.com/product/nhC48d/msi-mpg-a850g-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850g-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/5bff625e69da1c7069c73f477b42ca41.256p.jpg,ATX,80+ Gold,850 W,Full,Black,97.99
Lian Li EDGE,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,https://cdna.pcpartpicker.com/static/forever/images/product/0f7d3cf44d7b3628c00c65f3f476d52e.256p.jpg,ATX,80+ Platinum,1000 W,Full,White,
Cooler Master MWE Gold 850 - V2,https://pcpartpicker.com/product/tWMTwP/cooler-master-mwe-gold-850-v2-850-w-80-gold-certified-fully-modular-atx-power-supply-mpe-8501-afaag-us,https://cdna.pcpartpicker.com/static/forever/images/product/01c5294aaa030cd889e3923906b92a10.256p.jpg,ATX,80+ Gold,850 W,Full,Black,89.99
Lian Li EDGE GOLD,https://pcpartpicker.com/product/h4qNnQ/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-white,https://cdna.pcpartpicker.com/static/forever/images/product/f3d49f21c4bbc671af07e2be31f23b94.256p.jpg,ATX,80+ Gold,850 W,Full,White,120.99
Raidmax Cobra,https://pcpartpicker.com/product/wLsMnQ/raidmax-cobra-650-w-80-gold-certified-fully-modular-atx-power-supply-rx-650aem,/static/forever/img/no-image.png,ATX,80+ Gold,650 W,Full,Black,
SeaSonic Focus GX V4 ATX 3 (2024),https://pcpartpicker.com/product/YkCZxr/seasonic-focus-gx-atx-30-v4-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000-v4,https://cdna.pcpartpicker.com/static/forever/images/product/4bbfa7511d6ffe257ac933789dfdadf7.256p.jpg,ATX,80+ Gold,1000 W,Full,Black,171.22
Asus ROG LOKI,https://pcpartpicker.com/product/JbHqqs/asus-rog-loki-1200-w-80-titanium-certified-fully-modular-sfx-power-supply-rog-loki-1200t-sfx-l-gaming,https://cdna.pcpartpicker.com/static/forever/images/product/dd8adf5a0ffce11e405d510361739c69.256p.jpg,SFX,80+ Titanium,1200 W,Full,Black / White,306.99
SeaSonic PRIME TX-1600 Noctua Edition,https://pcpartpicker.com/product/9hDQzy/seasonic-prime-tx-1600-noctua-edition-1600-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-1600-noctua-edition,https://m.media-amazon.com/images/I/31j5XP-oQhL.jpg,ATX,80+ Titanium,1600 W,Full,Brown / Black,654.00
Thermaltake Toughpower GT,https://pcpartpicker.com/product/862j4D/thermaltake-toughpower-gt-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpt-0850fnfagu-w,https://cdna.pcpartpicker.com/static/forever/images/product/e75330e2013e0c36c9f33df731683563.256p.jpg,ATX,80+ Gold,850 W,Full,White,109.99
Lian Li EDGE GOLD,https://pcpartpicker.com/product/XTBFf7/lian-li-edge-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-eg0850g-black,https://cdna.pcpartpicker.com/static/forever/images/product/9a5971cefd086b73cf477e550aed363a.256p.jpg,ATX,80+ Gold,850 W,Full,Black,109.99
be quiet! Power Zone 2,https://pcpartpicker.com/product/JjpD4D/be-quiet-power-zone-2-850-w-80-platinum-certified-fully-modular-atx-power-supply-bp007us,https://cdna.pcpartpicker.com/static/forever/images/product/a2d7bd1f1791322949e2087a850997dd.256p.jpg,ATX,80+ Platinum,850 W,Full,Black,119.90
Corsair RM1200e,https://pcpartpicker.com/product/jCCZxr/corsair-rm1200e-1200-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020258-na,https://cdna.pcpartpicker.com/static/forever/images/product/1b7d8f1242e5d43e03fe1f262f522b94.256p.jpg,ATX,80+ Gold,1200 W,Full,Black,199.99
Lian Li SP V2,https://pcpartpicker.com/product/nv7MnQ/lian-li-sp-v2-750-w-80-gold-certified-fully-modular-sfx-power-supply-sp750gb,https://cdna.pcpartpicker.com/static/forever/images/product/74a8106f89be795fead502bce4a8af17.256p.jpg,SFX,80+ Gold,750 W,Full,Black,124.94
Rosewill VMG,https://pcpartpicker.com/product/MM62FT/rosewill-vmg-850-w-80-gold-certified-fully-modular-atx-power-supply-vmg850,https://cdna.pcpartpicker.com/static/forever/images/product/5d77ba13534df0c6879d512e0269bcfd.256p.jpg,ATX,80+ Gold,850 W,Full,Black,74.97
Vetroo 50315153277247,https://pcpartpicker.com/product/BZcBD3/vetroo-50315153277247-850-w-80-gold-certified-fully-modular-atx-power-supply-50315153277247,https://m.media-amazon.com/images/I/411KF1H0wVL.jpg,ATX,80+ Gold,850 W,Full,White,79.98
Asus ROG LOKI,https://pcpartpicker.com/product/QPM48d/asus-rog-loki-750-w-80-platinum-certified-fully-modular-sfx-power-supply-90ye00n4-b0na00,https://cdna.pcpartpicker.com/static/forever/images/product/0e997c3c3c311e827733420a531bf5c9.256p.jpg,SFX,80+ Platinum,750 W,Full,Black / Silver,144.99
SAMA GT,https://pcpartpicker.com/product/6YWmP6/sama-gt-750-w-80-gold-certified-fully-modular-atx-power-supply-gt750-bkgffxx1-us,https://cdna.pcpartpicker.com/static/forever/images/product/e81737b03f15f9d68443d480d0e4e2ff.256p.jpg,ATX,80+ Gold,750 W,Full,Black,66.99
be quiet! Power Zone 2,https://pcpartpicker.com/product/PMcBD3/be-quiet-power-zone-2-750-w-80-platinum-certified-fully-modular-atx-power-supply-bp006us,https://cdna.pcpartpicker.com/static/forever/images/product/d04914d2e55a2b07e07ab7e5ddb1c6e9.256p.jpg,ATX,80+ Platinum,750 W,Full,Black,99.90
Corsair RM1000x,https://pcpartpicker.com/product/Vq38TW/corsair-rm1000x-1000-w-80-gold-certified-fully-modular-atx-power-supply-cp-9020094-na,https://cdna.pcpartpicker.com/static/forever/images/product/49b15c4f90ae64a72cea7148d88b545e.256p.jpg,ATX,80+ Gold,1000 W,Full,,
