Name,URL,Image,Type,Efficiency Rating,Wattage,Modular,Color,Price
EVGA 650BP,https://pcpartpicker.com/product/pDGbt6/evga-650bp-650-w-80-bronze-certified-atx-power-supply-100-bp-0650-k1,https://cdna.pcpartpicker.com/static/forever/images/product/148f79e29d59f75c5450507dc1803eea.256p.jpg,ATX,80+ Bronze,650 W,No,Black,
SeaSonic G12 GM,https://pcpartpicker.com/product/4qmNnQ/seasonic-g12-gm-750-w-80-gold-certified-semi-modular-atx-power-supply-g12-gm-750,https://cdna.pcpartpicker.com/static/forever/images/product/fb317ca4f40a87d0c432cde60e802884.256p.jpg,ATX,80+ Gold,750 W,Semi,Black / Blue,
Super Flower Leadex V Platinum Pro,https://pcpartpicker.com/product/X94Ycf/super-flower-leadex-v-platinum-pro-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14tp,https://cdna.pcpartpicker.com/static/forever/images/product/8c7f27fcd85f696013e59693bc3f3373.256p.jpg,ATX,80+ Platinum,850 W,Full,White,
Cooler Master MWE Gold V2 ATX 3.1,https://pcpartpicker.com/product/sqy8TW/cooler-master-mwe-gold-v2-atx-31-1250-w-80-gold-certified-fully-modular-atx-power-supply-mpe-c501-afcag-3euk,https://cdna.pcpartpicker.com/static/forever/images/product/4b2624bfe2d6d7a2e889009b6ba7852a.256p.jpg,ATX,80+ Gold,1250 W,Full,Black,
Thermaltake Toughpower GF A3 - TT Premium Edition,https://pcpartpicker.com/product/9GLdnQ/thermaltake-toughpower-gf-a3-750-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfagu-l,https://cdna.pcpartpicker.com/static/forever/images/product/ad75696f5880e84710e8c64cdaada823.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
KOLINK Regulator,https://pcpartpicker.com/product/Wpn9TW/kolink-regulator-850-w-80-gold-certified-fully-modular-atx-power-supply-kl-r850fg,https://cdna.pcpartpicker.com/static/forever/images/product/4f1f00d5a39a77d4f345c22a42556673.256p.jpg,ATX,80+ Gold,850 W,Full,Black,
EVGA SuperNOVA 850 G+,https://pcpartpicker.com/product/wfVD4D/evga-supernova-850-g-850-w-80-gold-certified-fully-modular-atx-power-supply-120-gp-0850-x1,https://cdna.pcpartpicker.com/static/forever/images/product/779737244cc82fc16352a7c01066e641.256p.jpg,ATX,80+ Gold,850 W,Full,,
Super Flower Leadex Titanium,https://pcpartpicker.com/product/2BcRsY/super-flower-leadex-titanium-1600-w-80-titanium-certified-fully-modular-btx-power-supply-sf-1600f14ht,https://cdna.pcpartpicker.com/static/forever/images/product/eb8ffbb1853ff66c267e3fd4047cb34f.256p.jpg,ATX,80+ Titanium,1600 W,Full,Black,
be quiet! Pure Power L8,https://pcpartpicker.com/product/YvphP6/be-quiet-pure-power-l8-300-w-80-bronze-certified-atx-power-supply-bn220,https://cdna.pcpartpicker.com/static/forever/images/product/34940fb0ed9db39e7b0d207888c4e376.256p.jpg,ATX,80+ Bronze,300 W,No,,
Thermaltake Smart Pro RGB,https://pcpartpicker.com/product/V3YWGX/thermaltake-smart-pro-rgb-750-w-80-bronze-certified-fully-modular-atx-power-supply-ps-spr-0750fpcbus-r,https://images-na.ssl-images-amazon.com/images/I/51XZ2vghfRL.jpg,ATX,80+ Bronze,750 W,Full,,
SHARKOON SilentStorm Icewind Black,https://pcpartpicker.com/product/NFkj4D/sharkoon-silentstorm-icewind-black-750-w-80-bronze-certified-semi-modular-atx-power-supply-silentstorm-icewind-black-750-watt,https://images-na.ssl-images-amazon.com/images/I/51LANtjw1QL.jpg,ATX,80+ Bronze,750 W,Semi,Black,
Corsair VS600 (2020),https://pcpartpicker.com/product/zXcG3C/corsair-vs600-2020-600-w-80-bronze-certified-atx-power-supply-cp-9020224-na,https://cdna.pcpartpicker.com/static/forever/images/product/130c0298ab162cc5c52acc796d959aab.256p.jpg,ATX,80+ Bronze,600 W,No,Black,
SeaSonic CORE GX-650,https://pcpartpicker.com/product/3qJp99/seasonic-core-gx-650-650-w-80-gold-certified-fully-modular-atx-power-supply-core-gx-650,/static/forever/img/no-image.png,ATX,80+ Gold,650 W,Full,Black,
SeaSonic VERTEX PX-850,https://pcpartpicker.com/product/8xhFf7/seasonic-vertex-px-850-850-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-850,https://cdna.pcpartpicker.com/static/forever/images/product/53793b9fe70a53ee620d376bc4db3e1d.256p.jpg,ATX,80+ Platinum,850 W,Full,Black / Silver,
Fractal Design Ion Gold,https://pcpartpicker.com/product/mL92FT/fractal-design-ion-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-fd-p-ia2g-750,https://cdna.pcpartpicker.com/static/forever/images/product/d5772fcef3f2fa90bbaef1a5b49107a0.256p.jpg,ATX,80+ Gold,750 W,Full,Black,
Zalman TXIIv2,https://pcpartpicker.com/product/n6vD4D/zalman-txiiv2-800-w-80-certified-atx-power-supply-zm800-txiiv2,https://m.media-amazon.com/images/I/41tdjeXpndL.jpg,ATX,80+,800 W,No,Black,
EVGA 650 N1,https://pcpartpicker.com/product/QKNypg/evga-650-n1-650-w-atx-power-supply-100-n1-0650-l1,https://cdna.pcpartpicker.com/static/forever/images/product/3a3df0d5abda15760f4d6222e5e1c5d0.256p.jpg,ATX,,650 W,No,,
Phanteks AMP GH,https://pcpartpicker.com/product/R6m2FT/phanteks-amp-gh-1200-w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1200gh_bk01,https://cdna.pcpartpicker.com/static/forever/images/product/b095c50860de051f0e68a033adb5ef06.256p.jpg,ATX,80+ Platinum,1200 W,Full,Black,
Corsair CS750M,https://pcpartpicker.com/product/jXTmP6/corsair-cs750m-750-w-80-gold-certified-semi-modular-atx-power-supply-cs750m,https://cdna.pcpartpicker.com/static/forever/images/product/4187f8832febca8f7b5d5d96c9300df3.256p.jpg,ATX,80+ Gold,750 W,Semi,,
Thermaltake Smart RGB,https://pcpartpicker.com/product/3yNv6h/thermaltake-smart-rgb-600-w-80-certified-atx-power-supply-ps-spr-0600nhfawu-1,https://cdna.pcpartpicker.com/static/forever/images/product/8bbad717cd1c6bbcb2ced4956dfc20a3.256p.jpg,ATX,80+,600 W,No,,
SHARKOON SilentStorm Icewind Black,https://pcpartpicker.com/product/nJ97YJ/sharkoon-silentstorm-icewind-black-650-w-80-bronze-certified-semi-modular-atx-power-supply-silentstorm-icewind-black-650-watt,https://images-na.ssl-images-amazon.com/images/I/41txKCyv3VL.jpg,ATX,80+ Bronze,650 W,Semi,Black,
Gigabyte GP-G750H,https://pcpartpicker.com/product/9PBTwP/gigabyte-750-w-80-gold-certified-semi-modular-atx-power-supply-gp-g750h,https://cdna.pcpartpicker.com/static/forever/images/product/24f309faf5ab43adb4380701d88b6b4c.256p.jpg,ATX,80+ Gold,750 W,Semi,Black,
EVGA SuperNOVA 550 GA,https://pcpartpicker.com/product/v6qBD3/evga-supernova-550-ga-550-w-80-gold-certified-fully-modular-atx-power-supply-220-ga-0550-x1,https://m.media-amazon.com/images/I/51IStJoC6NL.jpg,ATX,80+ Gold,550 W,Full,Black,
FSP Group Hydro Pro,https://pcpartpicker.com/product/rsrqqs/fsp-group-hydro-pro-700-w-80-bronze-certified-atx-power-supply-hp2-700,https://cdna.pcpartpicker.com/static/forever/images/product/a1c1a3e084a04b6973ca703dfde86840.256p.jpg,ATX,80+ Bronze,700 W,No,Black,
Cooler Master Elite NEX White W600 Black Mesh 230V,https://pcpartpicker.com/product/JRYfrH/cooler-master-elite-nex-white-w600-black-mesh-230v-600-w-80-certified-atx-power-supply-mpw-6001-acbw-be1,https://m.media-amazon.com/images/I/51pT3Drq0UL.jpg,ATX,80+,600 W,No,Black,
Cooler Master GX III GOLD,https://pcpartpicker.com/product/MtkH99/cooler-master-gx-iii-gold-750-w-80-gold-certified-fully-modular-atx-power-supply-mpx-7503-afag,https://m.media-amazon.com/images/I/41PzfcDUxCL.jpg,ATX,80+ Gold,750 W,Full,Black / Purple,
Gigabyte P650G (US),https://pcpartpicker.com/product/ZwbTwP/gigabyte-p650g-us-650-w-80-gold-certified-atx-power-supply-gp-p650g-us,https://cdna.pcpartpicker.com/static/forever/images/product/c202e1ee728f17938772331e0ef7700c.256p.jpg,ATX,80+ Gold,650 W,No,Black,
Corsair RM850,https://pcpartpicker.com/product/fWNp99/corsair-rm850-850-w-80-gold-certified-fully-modular-atx-power-supply-rm850,https://cdna.pcpartpicker.com/static/forever/images/product/fdc67daae1827988f27e5695703deed8.med.256p.jpg,ATX,80+ Gold,850 W,Full,,
SeaSonic FOCUS Plus Platinum,https://pcpartpicker.com/product/P638TW/seasonic-focus-plus-platinum-850w-80-platinum-certified-fully-modular-atx-power-supply-ssr-850px,https://cdna.pcpartpicker.com/static/forever/images/product/3f102f6accc41e69cdba76a63259abae.256p.jpg,ATX,80+ Platinum,850 W,Full,,
be quiet! Straight Power 11 550W,https://pcpartpicker.com/product/3Vc48d/be-quiet-straight-power-11-550w-80-gold-certified-fully-modular-atx-power-supply-bn281,https://m.media-amazon.com/images/I/41p8+JzLeYL.jpg,ATX,80+ Gold,550 W,Full,,
SeaSonic PRIME SNOWSILENT,https://pcpartpicker.com/product/sqPKHx/seasonic-prime-snowsilent-750w-80-titanium-certified-fully-modular-atx-power-supply-ssr-750tr-snowsilent,https://cdna.pcpartpicker.com/static/forever/images/product/188a75ccf661bb814d1d5a3fef76229e.256p.jpg,ATX,80+ Titanium,750 W,Full,White,
be quiet! Pure Power 11 CM,https://pcpartpicker.com/product/K3Jtt6/be-quiet-pure-power-11-cm-600-w-80-gold-certified-semi-modular-atx-power-supply-bn298,https://cdna.pcpartpicker.com/static/forever/images/product/5724813f2f7bb6c11e82c2122827cbb2.256p.jpg,ATX,80+ Gold,600 W,Semi,Black,
Gigabyte UD850GM-A,https://pcpartpicker.com/product/NGKscf/gigabyte-ud850gm-a-850-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud850gm-a,https://cdna.pcpartpicker.com/static/forever/images/product/55936b13c037127faa37d94d6879a404.256p.jpg,ATX,80+ Gold,850 W,Full,Black,89.99
Silverstone DA1650 Gold,https://pcpartpicker.com/product/sfbTwP/silverstone-da1650-gold-1650-w-80-gold-certified-fully-modular-atx-power-supply-sst-da1650-g,https://cdna.pcpartpicker.com/static/forever/images/product/776a0bc9db4975f00616e916093031d4.256p.jpg,ATX,80+ Gold,1650 W,Full,Black / White,
FSP Group FSP500-50FSPT,https://pcpartpicker.com/product/GQrcCJ/fsp-group-fsp500-50fspt-500-w-80-platinum-certified-flex-atx-power-supply-fsp500-50fspt,https://cdna.pcpartpicker.com/static/forever/images/product/591ae053cea39e33e3c890e4beedd590.256p.jpg,Flex ATX,80+ Platinum,500 W,No,Silver,192.00
SeaSonic S12III,https://pcpartpicker.com/product/3G97YJ/seasonic-s12iii-550-w-80-bronze-certified-atx-power-supply-ssr-550gb3,https://cdna.pcpartpicker.com/static/forever/images/product/d2100522951363a142969bb78ac03b1e.256p.jpg,ATX,80+ Bronze,550 W,No,Black,
SHARKOON SilentStorm Cool Zero 650,https://pcpartpicker.com/product/tzMTwP/sharkoon-silentstorm-cool-zero-650-w-80-gold-certified-fully-modular-atx-power-supply-4044951026463,https://cdna.pcpartpicker.com/static/forever/images/product/24e1863d77642a93933b960607620266.256p.jpg,ATX,80+ Gold,650 W,Full,Black,
Silverstone Strider,https://pcpartpicker.com/product/2MNp99/silverstone-power-supply-st50fes,https://m.media-amazon.com/images/I/41XofoZP+VL.jpg,ATX,80+,500 W,No,,
Thermaltake Smart,https://pcpartpicker.com/product/Wk2kcf/thermaltake-smart-650-w-80-bronze-certified-atx-power-supply-sp-650pcbus,https://m.media-amazon.com/images/I/51W6hs3ESrL.jpg,ATX,80+ Bronze,650 W,No,,
EVGA SuperNOVA 1000 G2,https://pcpartpicker.com/product/MKfp99/evga-supernova-1000-g2-1000-w-80-gold-certified-fully-modular-atx-power-supply-120-g2-1000-xr,https://cdna.pcpartpicker.com/static/forever/images/product/880d4bee6e2f62593c1ad157fff9307a.256p.jpg,ATX,80+ Gold,1000 W,Full,,
Cooler Master MasterWatt,https://pcpartpicker.com/product/m3HRsY/cooler-master-masterwatt-750w-80-bronze-certified-semi-modular-atx-power-supply-mpx-7501-amaabus,https://cdna.pcpartpicker.com/static/forever/images/product/b60963afcf18a78544b818fbfa02e921.256p.jpg,ATX,80+ Bronze,750 W,Semi,Black,
Antec EARTHWATTS GOLD PRO 750,https://pcpartpicker.com/product/TDjJ7P/antec-earthwatts-gold-pro-750w-80-gold-certified-semi-modular-atx-power-supply-ea750g-pro,https://cdna.pcpartpicker.com/static/forever/images/product/d2c2d32f8e6dce383dd72d182d9f590a.256p.jpg,ATX,80+ Gold,750 W,Semi,Black,
Cooler Master MWE,https://pcpartpicker.com/product/nzDJ7P/cooler-master-mwe-600-w-80-bronze-certified-atx-power-supply-mpx-6001-acaab-us,https://cdna.pcpartpicker.com/static/forever/images/product/a8a41e0aff0bf4a2727b2f61a385c1d0.256p.jpg,ATX,80+ Bronze,600 W,No,Black,
be quiet! Straight Power 11,https://pcpartpicker.com/product/N7gQzy/be-quiet-straight-power-11-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn644,https://cdna.pcpartpicker.com/static/forever/images/product/6873c77bf02de5a7da3da14d87f00651.256p.jpg,ATX,80+ Platinum,1000 W,Full,Black,
GameMax GX-750 Modular,https://pcpartpicker.com/product/PhDQzy/gamemax-gx-750-modular-750-w-80-gold-certified-fully-modular-atx-power-supply-gx-750-modular,/static/forever/img/no-image.png,ATX,80+ Gold,750 W,Full,Black,
Corsair RMx SHIFT (2025),https://pcpartpicker.com/product/sgHp99/corsair-rmx-shift-2025-850-w-fully-modular-side-interface-atx-power-supply-cp-9020299-na,https://cdna.pcpartpicker.com/static/forever/images/product/957db30c1ec9ac67ed17900385729064.256p.jpg,ATX,,850 W,Full / Side,Black,149.99
Xilence XP850R10,https://pcpartpicker.com/product/NMhv6h/xilence-xp850r10-850-w-80-bronze-certified-atx-power-supply-xn240,https://m.media-amazon.com/images/I/41aRAw2wd7L.jpg,ATX,80+ Bronze,850 W,No,Black / Red,
NZXT C (2019),https://pcpartpicker.com/product/vFmFf7/nzxt-c-2019-650-w-80-gold-certified-fully-modular-atx-power-supply-np-c650m-us,https://cdna.pcpartpicker.com/static/forever/images/product/801406fa0cd02e64085d789fd7a0fd7d.256p.jpg,ATX,80+ Gold,650 W,Full,Black,
NZXT C750 (2023),https://pcpartpicker.com/product/crhv6h/nzxt-c750-2023-750-w-80-bronze-certified-atx-power-supply-pa-7b2bb-us,https://m.media-amazon.com/images/I/41T1P8UOZTL.jpg,ATX,80+ Bronze,750 W,No,Black,
Antec CSK,https://pcpartpicker.com/product/Vqt9TW/antec-csk-550-w-80-bronze-certified-atx-power-supply-csk550,https://cdna.pcpartpicker.com/static/forever/images/product/3f28cb7bc95342d59cf7f6bb31afb04f.256p.jpg,ATX,80+ Bronze,550 W,No,Black / Yellow,
SeaSonic PRIME TX,https://pcpartpicker.com/product/tFvdnQ/seasonic-prime-tx-1600-w-80-titanium-certified-fully-modular-atx-power-supply-prime-tx-1600,https://cdna.pcpartpicker.com/static/forever/images/product/392b0c96d99ce68ce7a17e3d53db78b7.256p.jpg,ATX,80+ Titanium,1600 W,Full,Black / Silver,
Deepcool DA500,https://pcpartpicker.com/product/DLx2FT/deepcool-da500-500-w-80-bronze-certified-atx-power-supply-dp-bz-da500n,https://cdna.pcpartpicker.com/static/forever/images/product/5f8108b495b52cdfe31671bb76918316.256p.jpg,ATX,80+ Bronze,500 W,No,Black / Gold,
GAMDIAS KRATOS M1 B,https://pcpartpicker.com/product/t44BD3/gamdias-kratos-m1-b-600-w-80-bronze-certified-atx-power-supply-kratos-m1-600b,https://cdna.pcpartpicker.com/static/forever/images/product/1e88a2807ce5b6e9ea81b8665f6921b1.256p.jpg,ATX,80+ Bronze,600 W,No,Black,
Deepcool DA700N,https://pcpartpicker.com/product/kJcRsY/deepcool-da-n-700-w-80-bronze-certified-atx-power-supply-dp-bz-da700n,https://cdna.pcpartpicker.com/static/forever/images/product/c9831812311e57fe99dc98cc0fa9e031.256p.jpg,ATX,80+ Bronze,700 W,No,Black,
Segotep GP,https://pcpartpicker.com/product/q2K2FT/segotep-gp-600-w-80-gold-certified-atx-power-supply-600w-non-modular,https://m.media-amazon.com/images/I/51fHcc8HSFL.jpg,ATX,80+ Gold,600 W,No,Black,
Corsair CV750,https://pcpartpicker.com/product/q8C48d/corsair-cv750-750-w-80-bronze-certified-atx-power-supply-cp-9020237-na,https://m.media-amazon.com/images/I/41ld3JHKgpS.jpg,ATX,80+ Bronze,750 W,No,Black,
FSP Group VITA BD,https://pcpartpicker.com/product/P7nXsY/fsp-group-vita-bd-850-w-80-bronze-certified-atx-power-supply-vita-850bd,https://cdna.pcpartpicker.com/static/forever/images/product/c2afba437ec0566ad26c9a2cf5164e86.256p.jpg,ATX,80+ Bronze,850 W,No,Black,
Silverstone Triton 1000Rz,https://pcpartpicker.com/product/46pD4D/silverstone-triton-1000rz-1000-w-fully-modular-atx-power-supply-sst-tr1000r-gm,https://m.media-amazon.com/images/I/41IzqgaMa6L.jpg,ATX,,1000 W,Full,Black,
Thermaltake Toughpower PF3,https://pcpartpicker.com/product/t8MMnQ/thermaltake-toughpower-pf3-750-w-80-platinum-certified-fully-modular-atx-power-supply-ps-tpd-0750fnfapu-3,https://m.media-amazon.com/images/I/416jEocEh8L.jpg,ATX,80+ Platinum,750 W,Full,Black,
SeaSonic FOCUS SGX (2021),https://pcpartpicker.com/product/PkZ9TW/seasonic-focus-sgx-2021-650-w-80-gold-certified-fully-modular-sfx-power-supply-focus-sgx-650,https://m.media-amazon.com/images/I/419av3jRKwL.jpg,SFX,80+ Gold,650 W,Full,Black,
Gigabyte UD1300GM PG5,https://pcpartpicker.com/product/NHWJ7P/gigabyte-ud1300gm-pg5-1300-w-80-gold-certified-fully-modular-atx-power-supply-gp-ud1300gm-pg5,https://cdna.pcpartpicker.com/static/forever/images/product/9438ceeeb719881f26ffa3193d8a9b80.256p.jpg,ATX,80+ Gold,1300 W,Full,Black,
SeaSonic VERTEX GX-850,https://pcpartpicker.com/product/9RfnTW/seasonic-vertex-gx-850-850-w-80-gold-certified-fully-modular-atx-power-supply-vertex-gx-850,https://cdna.pcpartpicker.com/static/forever/images/product/51419499a1bcb01da5cd42e00a08973e.256p.jpg,ATX,80+ Gold,850 W,Full,Black / Silver,
Corsair TX950,https://pcpartpicker.com/product/wnvRsY/corsair-tx950-950-w-80-bronze-certified-atx-power-supply-cmpsu-950tx,https://images-na.ssl-images-amazon.com/images/I/516Em6hEZ7L.jpg,ATX,80+ Bronze,950 W,No,,
Corsair RM550,https://pcpartpicker.com/product/ZMLypg/corsair-rm550-550-w-80-gold-certified-fully-modular-atx-power-supply-rm550,https://cdna.pcpartpicker.com/static/forever/images/product/db66b74036360db087a965f4c05887b5.256p.jpg,ATX,80+ Gold,550 W,Full,,
FSP Group FSP500-50FGGBN,https://pcpartpicker.com/product/X3WfrH/fsp-group-fsp500-50fggbn-500-w-80-gold-certified-flex-atx-power-supply-fsp500-50fggbn,https://m.media-amazon.com/images/I/51m+41XukRL.jpg,Flex ATX,80+ Gold,500 W,No,Silver,
Gigabyte B700H,https://pcpartpicker.com/product/rjn8TW/gigabyte-b-h-700-w-80-bronze-certified-semi-modular-atx-power-supply-b700h,https://cdna.pcpartpicker.com/static/forever/images/product/07fdd620e5783237a09d32168bf64e31.256p.jpg,ATX,80+ Bronze,700 W,Semi,Black,
Deepcool PK750D,https://pcpartpicker.com/product/MfvD4D/deepcool-pk750d-750-w-80-bronze-certified-atx-power-supply-r-pk750d-fa0b-us,https://cdna.pcpartpicker.com/static/forever/images/product/b04e2893d39f59773304f88d85548e31.256p.jpg,ATX,80+ Bronze,750 W,No,Black,
GameMax VP-600-RGB,https://pcpartpicker.com/product/cKBFf7/gamemax-vp-600-rgb-600-w-80-bronze-certified-atx-power-supply-vp-600-rgb-bk,/static/forever/img/no-image.png,ATX,80+ Bronze,600 W,No,Black,
RAIJINTEK AMPERE,https://pcpartpicker.com/product/4ncgXL/raijintek-ampere-1200-w-80-platinum-certified-fully-modular-atx-power-supply-0r30b00012,https://m.media-amazon.com/images/I/41998+pxBSL.jpg,ATX,80+ Platinum,1200 W,Full,Black,152.90
