Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Seagate FireCuda 530R,https://pcpartpicker.com/product/XXxxFT/seagate-firecuda-530r-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-zp4000gm3a063,https://cdna.pcpartpicker.com/static/forever/images/product/dc392944660d412bb4a6564e6b8e083b.256p.jpg,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Lexar NQ700,https://pcpartpicker.com/product/Npzp99/lexar-nq700-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnq700x002t-rnnng,/static/forever/img/no-image.png,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Caviar Green,https://pcpartpicker.com/product/LzrG3C/western-digital-internal-hard-drive-wd10eacs,https://m.media-amazon.com/images/I/51B0POR9akL.jpg,1 TB,,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,
FanXiang S101,https://pcpartpicker.com/product/CR26Mp/fanxiang-s101-256-gb-25-solid-state-drive-s101-256gb,https://m.media-amazon.com/images/I/41cZpkFrJ3L.jpg,256 GB,$0.234,SSD,,"2.5""",SATA 6.0 Gb/s,59.97
Seagate ST2000DX001,https://pcpartpicker.com/product/tR2kcf/seagate-internal-hard-drive-st2000dx001,https://m.media-amazon.com/images/I/41ei4Fc8M0L.jpg,2 TB,,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s,
Seagate FireCuda 520,https://pcpartpicker.com/product/vMFKHx/seagate-firecuda-520-2-tb-m2-2280-nvme-solid-state-drive-zp2000gm3a002,https://cdna.pcpartpicker.com/static/forever/images/product/3a7b9a069c847e509654192111742930.256p.jpg,2 TB,$0.250,SSD,,M.2-2280,M.2 PCIe 4.0 X4,499.99
Western Digital Caviar Green,https://pcpartpicker.com/product/fD9KHx/western-digital-internal-hard-drive-wd15ezrx,https://m.media-amazon.com/images/I/51K73iEh5cL.jpg,1.5 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,
Western Digital WD Red Pro,https://pcpartpicker.com/product/2jhj4D/western-digital-red-pro-8tb-35-7200rpm-internal-hard-drive-wd8001ffwx,https://cdna.pcpartpicker.com/static/forever/images/product/e35346b54d298dd44b751b74ff306ed3.256p.jpg,8 TB,,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,
MSI SPATIUM M370,https://pcpartpicker.com/product/yLBG3C/msi-spatium-m370-1-tb-m2-2280-nvme-solid-state-drive-sm370n1tb,https://cdna.pcpartpicker.com/static/forever/images/product/fb36d9f6aa2d22175fc60ecb84ca1bd2.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
ADATA XPG MARS 980 PRO,https://pcpartpicker.com/product/dvbypg/adata-xpg-mars-980-pro-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-smar-980p-2tci,https://cdna.pcpartpicker.com/static/forever/images/product/e6bc991761919204fc9224bb96edcbec.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Acer Predator GM9,https://pcpartpicker.com/product/7Kkqqs/acer-predator-gm9-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-bl9bwwr137,/static/forever/img/no-image.png,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Western Digital Gold,https://pcpartpicker.com/product/BFLp99/western-digital-gold-4-tb-35-7200-rpm-internal-hard-drive-wd4004fryz,https://cdna.pcpartpicker.com/static/forever/images/product/fab3a0808f2482a27037f53d83b58ef6.256p.jpg,4 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,
KingSpec NX-2230,https://pcpartpicker.com/product/zPzXsY/kingspec-nx-2230-512-gb-m2-2230-pcie-30-x4-nvme-solid-state-drive-nx-512-2230,https://m.media-amazon.com/images/I/41o+NL0-HoL.jpg,512 GB,$0.176,SSD,,M.2-2230,M.2 PCIe 3.0 X4,89.99
Western Digital Gold,https://pcpartpicker.com/product/6Y9tt6/western-digital-gold-14-tb-35-7200rpm-internal-hard-drive-wd141kryz,https://cdna.pcpartpicker.com/static/forever/images/product/6a1e7967ad6f223d2670941f18a8583e.256p.jpg,14 TB,$0.026,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,364.99
Patriot P400 V4,https://pcpartpicker.com/product/WWwD4D/patriot-p400-v4-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-p400vp2tbm28h,https://cdna.pcpartpicker.com/static/forever/images/product/85f9170d40e3d7fe6359a551e77a420f.256p.jpg,2 TB,$0.145,SSD,,M.2-2280,M.2 PCIe 4.0 X4,289.99
Western Digital Red SA500,https://pcpartpicker.com/product/hJn8TW/western-digital-red-sa500-1-tb-25-solid-state-drive-wds100t1r0a,https://cdna.pcpartpicker.com/static/forever/images/product/38f9fd6f10040c6d5163341fdd3a7c21.256p.jpg,1 TB,$0.270,SSD,,"2.5""",SATA 6.0 Gb/s,269.99
Western Digital Black,https://pcpartpicker.com/product/Z3h9TW/western-digital-internal-hard-drive-wd7500bpkx,https://cdna.pcpartpicker.com/static/forever/images/product/c9ac5db1966049e89d26fc4a3329e199.256p.jpg,750 GB,$0.087,7200 RPM,16 MB,"2.5""",SATA 6.0 Gb/s,65.00
Seagate IronWolf Pro NAS,https://pcpartpicker.com/product/Bz8bt6/seagate-ironwolf-pro-nas-18-tb-35-7200-rpm-internal-hard-drive-st18000nt001,https://cdna.pcpartpicker.com/static/forever/images/product/67de3709b11116ae6fa4502c981a7323.256p.jpg,18 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,
Biwin Black Opal X570 Pro,https://pcpartpicker.com/product/nBG2FT/biwin-black-opal-x570-pro-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-x570pro-1tb,/static/forever/img/no-image.png,1 TB,,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,
PNY CS2340,https://pcpartpicker.com/product/gyHp99/pny-cs2340-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-m280cs2340-2tb-tb,https://cdna.pcpartpicker.com/static/forever/images/product/b1516c93792d07ccbcc9d1db975342e2.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Addlink S70,https://pcpartpicker.com/product/4FkWGX/addlink-s70-512-gb-m2-2280-nvme-solid-state-drive-ad512gbs70ltm2p,https://m.media-amazon.com/images/I/416JjHRIJxL.jpg,512 GB,$0.191,SSD,,M.2-2280,M.2 PCIe 3.0 X4,97.99
Corsair MP700 PRO SE with Air Cooler,https://pcpartpicker.com/product/YZV2FT/corsair-mp700-pro-se-with-air-cooler-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700pros,https://m.media-amazon.com/images/I/31ZgLa60iiL.jpg,2 TB,$0.240,SSD,,M.2-2280,M.2 PCIe 5.0 X4,479.99
Western Digital Scorpio Blue,https://pcpartpicker.com/product/qTfp99/western-digital-internal-hard-drive-wd2500bpvt,/static/forever/img/no-image.png,250 GB,$0.132,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,33.00
Silicon Power XS70,https://pcpartpicker.com/product/XLLFf7/silicon-power-xs70-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp01kgbp44xs7005,https://cdna.pcpartpicker.com/static/forever/images/product/b5c093326e7f16f0d34445e39316f0ea.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate IronWolf Pro,https://pcpartpicker.com/product/TwDzK8/seagate-ironwolf-pro-10tb-35-7200rpm-internal-hard-drive-st10000ne0004,https://cdna.pcpartpicker.com/static/forever/images/product/e60b721f7993ca5ddc76317237e8d8e1.256p.jpg,10 TB,$0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,349.99
Seagate EXOS Enterprise,https://pcpartpicker.com/product/ZJMTwP/seagate-exos-enterprise-8-tb-35-7200rpm-internal-hard-drive-st8000nm000a,https://cdna.pcpartpicker.com/static/forever/images/product/dd0c3a60e9c909c0244314463366f64b.256p.jpg,8 TB,$0.055,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,442.98
ADATA Ultimate SU650,https://pcpartpicker.com/product/qJ448d/adata-ultimate-su650-960-gb-25-solid-state-drive-asu650ss-960gt-r,https://cdna.pcpartpicker.com/static/forever/images/product/c5ed54671d75778537dad355e1fff529.256p.jpg,960 GB,$0.186,SSD,,"2.5""",SATA 6.0 Gb/s,178.27
Toshiba N300 Pro,https://pcpartpicker.com/product/7PcBD3/toshiba-n300-pro-20-tb-35-7200-rpm-internal-hard-drive-hdwg62axzstb,https://cdna.pcpartpicker.com/static/forever/images/product/f73de8ed77948f00184c4ad971f17150.256p.jpg,20 TB,,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,
Seagate Enterprise Capacity,https://pcpartpicker.com/product/chfhP6/seagate-enterprise-capacity-8-tb-35-7200rpm-internal-hard-drive-st3000nm0005,https://cdna.pcpartpicker.com/static/forever/images/product/4a1bcb6ba41f3c4ab20b684c8e5770ac.256p.jpg,3 TB,$0.033,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,99.00
Western Digital Purple Pro,https://pcpartpicker.com/product/3TvD4D/western-digital-purple-pro-24-tb-35-7200-rpm-internal-hard-drive-wd240purp,https://cdna.pcpartpicker.com/static/forever/images/product/c7e943d3c09f123288ce8d55621bdccd.256p.jpg,24 TB,$0.024,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,564.99
Nextorage NEM-PA,https://pcpartpicker.com/product/PmbTwP/nextorage-nem-pa-1-tb-m2-2280-nvme-solid-state-drive-nem-pa1tb,https://cdna.pcpartpicker.com/static/forever/images/product/349466bd28902354fe18d7d23f63082a.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue,https://pcpartpicker.com/product/gJfmP6/western-digital-internal-hard-drive-wd60ezrz,https://cdna.pcpartpicker.com/static/forever/images/product/af1439eada4a5857c9b4bd6c697a7641.256p.jpg,6 TB,$0.048,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,289.99
Seagate Exos X24,https://pcpartpicker.com/product/CFFmP6/seagate-exos-x24-24-tb-35-7200-rpm-internal-hard-drive-st24000nm007h,https://cdna.pcpartpicker.com/static/forever/images/product/b8875cb8c41532eef80cc0a356e6cc34.256p.jpg,24 TB,$0.035,7200 RPM,512 MB,"3.5""",SAS 12.0 Gb/s,849.99
Silicon Power Ace A56,https://pcpartpicker.com/product/h4snTW/silicon-power-ace-a56-256-gb-25-solid-state-drive-sp256gbss3a56b25,https://cdna.pcpartpicker.com/static/forever/images/product/b7301993236064257e2867469637c626.256p.jpg,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,
Western Digital Scorpio Black,https://pcpartpicker.com/product/dKTmP6/western-digital-internal-hard-drive-wd3200bekt,https://m.media-amazon.com/images/I/51Vj2IS9GwL.jpg,320 GB,$0.131,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,42.00
Western Digital Caviar Blue,https://pcpartpicker.com/product/86fp99/western-digital-internal-hard-drive-wd5000aaks,https://m.media-amazon.com/images/I/51mHVMyLvhL.jpg,500 GB,$0.140,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,69.98
Western Digital Caviar Blue,https://pcpartpicker.com/product/vfzv6h/western-digital-internal-hard-drive-wd2500aakx,https://cdna.pcpartpicker.com/static/forever/images/product/c2a44549b00c1644d035bd81000ab92e.256p.jpg,250 GB,$0.220,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,55.00
Kingston A400,https://pcpartpicker.com/product/TytKHx/kingston-a400-192-tb-25-solid-state-drive-sa400s371920g,https://cdna.pcpartpicker.com/static/forever/images/product/e534915d54e9502c65b9667d03879648.256p.jpg,1.92 TB,$0.177,SSD,,"2.5""",SATA 6.0 Gb/s,339.00
Western Digital Scorpio Blue,https://pcpartpicker.com/product/8nV48d/western-digital-internal-hard-drive-wd1600bevs,https://images-na.ssl-images-amazon.com/images/I/41tyH2hXn%2BL.jpg,160 GB,$0.289,5400 RPM,8 MB,"2.5""",SATA 1.5 Gb/s,46.29
Corsair MP700 PRO w/Heatsink,https://pcpartpicker.com/product/8Cqrxr/corsair-mp700-pro-wheatsink-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f1000gbmp700pro,https://cdna.pcpartpicker.com/static/forever/images/product/ee0142a17da1945b2d4f5f54b27eaa0c.256p.jpg,1 TB,$0.330,SSD,,M.2-2280,M.2 PCIe 5.0 X4,329.99
Sabrent Rocket,https://pcpartpicker.com/product/LxXnTW/sabrent-2-tb-m2-2280-solid-state-drive-sb-rocket-2tb,https://cdna.pcpartpicker.com/static/forever/images/product/c278abc0de9129f72449a4a708053101.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
ADATA XPG SPECTRIX S40G RGB,https://pcpartpicker.com/product/cXkgXL/adata-xpg-spectrix-s40g-rgb-256-gb-m2-2280-nvme-solid-state-drive-as40g-256gt-c,https://cdna.pcpartpicker.com/static/forever/images/product/19749c461cbc9fb5eb2a7cb5866dd303.256p.jpg,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Inland Platinum,https://pcpartpicker.com/product/rGvqqs/inland-platinum-1-tb-m2-2280-nvme-solid-state-drive-1tb-nvme-qlc-v2,https://m.media-amazon.com/images/I/41j6hXqWHIL.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Toshiba MG07ACA14TE,https://pcpartpicker.com/product/9gDJ7P/toshiba-mg07aca14te-14-tb-35-7200rpm-internal-hard-drive-mg07aca14te,https://cdna.pcpartpicker.com/static/forever/images/product/b503ef1ed9f9222efcaf055432d60703.256p.jpg,14 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,379.00
MSI SPATIUM M460,https://pcpartpicker.com/product/yVddnQ/msi-spatium-m460-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m460-2tb,https://cdna.pcpartpicker.com/static/forever/images/product/5d756d80ff2ecd01e2b99e75ca2eb538.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Mushkin Source,https://pcpartpicker.com/product/xT8j4D/mushkin-enhanced-source-2-tb-25-solid-state-drive-mknssdsr2tb-dx,https://cdna.pcpartpicker.com/static/forever/images/product/814a78dcf181f6b987199db8c409de19.256p.jpg,2 TB,$0.146,SSD,2048 MB,"2.5""",SATA 6.0 Gb/s,292.47
Seagate Constellation ES.2,https://pcpartpicker.com/product/FwBv6h/seagate-internal-hard-drive-st33000651ns,https://m.media-amazon.com/images/I/51tdxlAh0SL.jpg,3 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,
Western Digital Green,https://pcpartpicker.com/product/rJhKHx/western-digital-green-1-tb-25-solid-state-drive-wds100t2g0a,https://cdna.pcpartpicker.com/static/forever/images/product/c97927515f5badbe37af0cbe60d64d6c.256p.jpg,1 TB,$0.175,SSD,,"2.5""",SATA 6.0 Gb/s,175.00
Verbatim Vi3000,https://pcpartpicker.com/product/wjGbt6/verbatim-vi3000-512-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-70872,https://m.media-amazon.com/images/I/411kc+UnQqL.jpg,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Gigabyte AORUS Gen5 12000,https://pcpartpicker.com/product/3YfxFT/gigabyte-aorus-gen5-12000-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ag512k2tb,https://m.media-amazon.com/images/I/41yPsVB7bUL.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Verbatim Vi5000,https://pcpartpicker.com/product/pJqrxr/verbatim-vi5000-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-31827,https://m.media-amazon.com/images/I/418RSN0pKJL.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate Pipeline HD,https://pcpartpicker.com/product/hpsKHx/seagate-internal-hard-drive-st3320311cs,https://images-na.ssl-images-amazon.com/images/I/41h8Z5SLQlL.jpg,320 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,
Seagate Pipeline HD,https://pcpartpicker.com/product/ChQypg/seagate-internal-hard-drive-st1000vm002,https://cdna.pcpartpicker.com/static/forever/images/product/fdf55313b70c08c7f87e1955125da68f.256p.jpg,1 TB,,5900 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,
Seagate NAS HDD,https://pcpartpicker.com/product/ZXL7YJ/seagate-internal-hard-drive-st2000vn001,https://images-na.ssl-images-amazon.com/images/I/412Uhupr-gL.jpg,2 TB,,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,
Toshiba X300,https://pcpartpicker.com/product/xHzZxr/toshiba-internal-hard-drive-hdwe140xzsta,https://cdna.pcpartpicker.com/static/forever/images/product/c02338448d4c22236e57097d9a220b55.256p.jpg,4 TB,,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,
Micron 2200,https://pcpartpicker.com/product/tMJtt6/micron-2200-256-gb-m2-2280-nvme-solid-state-drive-mtfdhba256tck-1as15a,https://cdna.pcpartpicker.com/static/forever/images/product/c138e51f477a798a42fc8b499a95246b.256p.jpg,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial P1,https://pcpartpicker.com/product/bNjNnQ/crucial-p1-2-tb-m2-2280-nvme-solid-state-drive-ct2000p1ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/48b1e1eed361bc76beedeb4c227d7630.256p.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
ADATA LEGEND 800 GOLD,https://pcpartpicker.com/product/D99wrH/adata-legend-800-gold-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sleg-800g-1000gcs-s38,/static/forever/img/no-image.png,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital PC SN740 Pyrite,https://pcpartpicker.com/product/VKcgXL/western-digital-pc-sn740-pyrite-256-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sddpnqd-256g,/static/forever/img/no-image.png,256 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate SkyHawk AI,https://pcpartpicker.com/product/ckddnQ/seagate-8-tb-35-7200rpm-internal-hard-drive-st8000ve001,https://cdna.pcpartpicker.com/static/forever/images/product/acf4900d3c3e934fe3c031084f90f61c.256p.jpg,8 TB,$0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,229.99
TEAMGROUP GX1,https://pcpartpicker.com/product/kc3H99/team-gx1-240-gb-25-solid-state-drive-t253x1240g0c101,https://cdna.pcpartpicker.com/static/forever/images/product/571629ef1cd25eccd5d257c13cf695f0.256p.jpg,240 GB,$0.357,SSD,,"2.5""",SATA 6.0 Gb/s,85.63
Western Digital Purple Pro,https://pcpartpicker.com/product/47ytt6/western-digital-10-tb-35-7200rpm-internal-hard-drive-wd101purp,https://cdna.pcpartpicker.com/static/forever/images/product/7780f125a3b956e5075644010f8e4e40.256p.jpg,10 TB,$0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,349.58
Patriot P310,https://pcpartpicker.com/product/vYqPxr/patriot-p310-192-tb-m2-2280-nvme-solid-state-drive-p310p192tm28,https://cdna.pcpartpicker.com/static/forever/images/product/801dbd1ed500c1abe304c2841897d1c5.256p.jpg,1.92 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
TEAMGROUP GX2,https://pcpartpicker.com/product/GJjJ7P/team-gx2-256-gb-25-solid-state-drive-t253x2256g0c101,https://cdna.pcpartpicker.com/static/forever/images/product/fc946a08ad1c7ca221e67970f5b883a0.256p.jpg,256 GB,$0.377,SSD,,"2.5""",SATA 6.0 Gb/s,96.61
Intenso High Performance,https://pcpartpicker.com/product/LhK2FT/intenso-high-performance-240-gb-25-solid-state-drive-3813440,https://cdna.pcpartpicker.com/static/forever/images/product/161d5bc54899c0192932fa94e7a2f8e7.256p.jpg,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,
Seagate BarraCuda,https://pcpartpicker.com/product/W7dFf7/seagate-barracuda-500gb-25-5400rpm-internal-hard-drive-st500lm030,https://cdna.pcpartpicker.com/static/forever/images/product/3f4b76a471ff0ed80b3e6abd3b8a351f.256p.jpg,500 GB,,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,
VisionTek DLX4 Pro,https://pcpartpicker.com/product/BrvD4D/visiontek-dlx4-pro-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-901567,https://cdna.pcpartpicker.com/static/forever/images/product/37c6778236d46821e9b7dd0e094311e2.256p.jpg,512 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
PNY CS3140,https://pcpartpicker.com/product/vbTZxr/pny-cs3140-8-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-m280cs3140-8tb-rb,https://cdna.pcpartpicker.com/static/forever/images/product/8ea6f0dd5265d243f7136de0e04d6284.256p.jpg,8 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
FanXiang S101,https://pcpartpicker.com/product/ynYRsY/fanxiang-s101-2-tb-25-solid-state-drive-s101-2tb,https://m.media-amazon.com/images/I/21P8yBBwlEL.jpg,2 TB,$0.115,SSD,,"2.5""",SATA 6.0 Gb/s,229.99
Corsair MP600 PRO XT,https://pcpartpicker.com/product/gcBG3C/corsair-mp600-pro-xt-1-tb-m2-2280-nvme-solid-state-drive-cssd-f1000gbmp600pxt,https://cdna.pcpartpicker.com/static/forever/images/product/30feb0d406c2b123141dfd76bd25992e.256p.jpg,1 TB,$0.325,SSD,,M.2-2280,M.2 PCIe 4.0 X4,324.99
Klevv CRAS C715,https://pcpartpicker.com/product/kWV2FT/klevv-cras-c715-512-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-k512gm2sp0-c7t,https://cdna.pcpartpicker.com/static/forever/images/product/d2ad354f68116ea094709c3c497c5ccd.256p.jpg,512 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
SanDisk Optimus GX PRO 8100,https://pcpartpicker.com/product/DQQwrH/sandisk-optimus-gx-pro-8100-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sdsp82100tan-000e0,https://m.media-amazon.com/images/I/31DPziY+iRL.jpg,1 TB,$0.420,SSD,,M.2-2280,M.2 PCIe 5.0 X4,419.99
Western Digital AV-GP,https://pcpartpicker.com/product/6YZQzy/western-digital-internal-hard-drive-wd15evds,https://m.media-amazon.com/images/I/51mLcK2O19L.jpg,1.5 TB,$0.046,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,69.00
MSI SPATIUM M390,https://pcpartpicker.com/product/CtBG3C/msi-spatium-m390-1-tb-m2-2280-nvme-solid-state-drive-sm390n1tb,https://cdna.pcpartpicker.com/static/forever/images/product/3293cf34b7c1af342cbef859d4295f95.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
TEAMGROUP T-Force Z44A7Q,https://pcpartpicker.com/product/ZVsV3C/teamgroup-t-force-z44a7q-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffw001t0c129,/static/forever/img/no-image.png,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Seagate BarraCuda 510,https://pcpartpicker.com/product/fW9tt6/seagate-barracuda-510-1-tb-m2-2280-nvme-solid-state-drive-zp1000cm3a001,https://cdna.pcpartpicker.com/static/forever/images/product/807f972fa748821c508dcc9f1086c654.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Integral M,https://pcpartpicker.com/product/L4gFf7/integral-m-series-1-tb-m2-2280-nvme-solid-state-drive-inssd1tm280nm1,https://cdna.pcpartpicker.com/static/forever/images/product/41baa825c6e70109cc98f086ad4ed741.256p.jpg,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
KingSpec P3,https://pcpartpicker.com/product/zRcG3C/kingspec-p3-256-gb-25-solid-state-drive-p3-256gb,https://m.media-amazon.com/images/I/41D8ziL-gEL.jpg,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,
Western Digital SN530,https://pcpartpicker.com/product/wQC48d/western-digital-sn530-256-gb-m2-2230-pcie-30-x4-nvme-solid-state-drive-sdbptpz-256g,https://m.media-amazon.com/images/I/31ofzEkVvwL.jpg,256 GB,$0.312,SSD,,M.2-2230,M.2 PCIe 3.0 X4,79.88
Western Digital Red,https://pcpartpicker.com/product/LN2bt6/western-digital-red-4-tb-35-5400rpm-internal-hard-drive-wd40efax,https://cdna.pcpartpicker.com/static/forever/images/product/010c789ac654dd79fd89ffaec2e69b9c.256p.jpg,4 TB,,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,
Western Digital WDBMYH0010BNC-NRSN,https://pcpartpicker.com/product/jR2kcf/western-digital-internal-hard-drive-wdbmyh0010bncnrsn,https://m.media-amazon.com/images/I/41T0FM-iMML.jpg,1 TB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,
Seagate Exos X14,https://pcpartpicker.com/product/GyXYcf/seagate-exos-x14-12-tb-35-7200rpm-internal-hard-drive-st12000nm0248,https://cdna.pcpartpicker.com/static/forever/images/product/6c803d5be91e00884d9c8946f0e37c8a.256p.jpg,12 TB,$0.026,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,309.07
Western Digital Red SA500,https://pcpartpicker.com/product/HDjNnQ/western-digital-red-sa500-2-tb-25-solid-state-drive-wds200t1r0a,https://cdna.pcpartpicker.com/static/forever/images/product/0fc8ce4624bc9a20294d88908a39ef74.256p.jpg,2 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,
KIOXIA EXCERIA PRO G2,https://pcpartpicker.com/product/GXqNnQ/kioxia-exceria-pro-g2-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-lve10z2t04g8,https://m.media-amazon.com/images/I/31uz+x+lKtL.jpg,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Corsair MP700 PRO w/Heatsink,https://pcpartpicker.com/product/kmRwrH/corsair-mp700-pro-wheatsink-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700pro,https://cdna.pcpartpicker.com/static/forever/images/product/ee0142a17da1945b2d4f5f54b27eaa0c.256p.jpg,2 TB,$0.240,SSD,,M.2-2280,M.2 PCIe 5.0 X4,479.99
Seagate BarraCuda,https://pcpartpicker.com/product/zZ38TW/seagate-barracuda-4tb-35-5400rpm-internal-hard-drive-st4000dm005,https://cdna.pcpartpicker.com/static/forever/images/product/5c9993186ba81aba9cfdb33bd48976d2.256p.jpg,4 TB,$0.045,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,180.00
SanDisk Optimus GX PRO 8100,https://pcpartpicker.com/product/CZm2FT/sandisk-optimus-gx-pro-8100-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-sdsp82200tan-000e0,https://m.media-amazon.com/images/I/31DPziY+iRL.jpg,2 TB,$0.420,SSD,,M.2-2280,M.2 PCIe 5.0 X4,839.99
Western Digital Red Plus,https://pcpartpicker.com/product/RwW9TW/western-digital-red-plus-1-tb-35-5400-rpm-internal-hard-drive-wd10efrx,https://cdna.pcpartpicker.com/static/forever/images/product/e087ced75f6688cf6bb49dc756384ae3.256p.jpg,1 TB,,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,
