Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Samsung 870 Evo,https://pcpartpicker.com/product/7nsnTW/samsung-870-evo-1-tb-25-solid-state-drive-mz-77e1t0bam,https://m.media-amazon.com/images/I/31ITAX-GoIL.jpg,1 TB,$0.180,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,179.99
Crucial P510,https://pcpartpicker.com/product/z98Pxr/crucial-p510-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-ct2000p510ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/d54a12ece6338a1a71ecaa145f58f616.256p.jpg,2 TB,$0.128,SSD,,M.2-2280,M.2 PCIe 5.0 X4,255.92
Samsung 9100 PRO,https://pcpartpicker.com/product/PRKnTW/samsung-9100-pro-4-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap4t0bam,https://m.media-amazon.com/images/I/3137jN3vkqL.jpg,4 TB,$0.208,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,831.16
Western Digital WD_Black SN850X,https://pcpartpicker.com/product/DyhFf7/western-digital-wd_black-sn850x-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds100t2x0e,https://cdna.pcpartpicker.com/static/forever/images/product/8e6dbae8a0f3c6572216c8758ce5a0b5.256p.jpg,1 TB,$0.233,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,232.90
Kingston NV3,https://pcpartpicker.com/product/px7scf/kingston-nv3-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s500g,https://cdna.pcpartpicker.com/static/forever/images/product/dd209f6e731740b8c5f702e2fc673ad2.256p.jpg,500 GB,$0.216,SSD,,M.2-2280,M.2 PCIe 4.0 X4,108.00
Silicon Power UD90,https://pcpartpicker.com/product/f4cG3C/silicon-power-ud90-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp02kgbp44ud9005,https://cdna.pcpartpicker.com/static/forever/images/product/664aadb9f84d7293d083671b43c1f898.256p.jpg,2 TB,$0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4,225.97
Seagate BarraCuda,https://pcpartpicker.com/product/jD3H99/seagate-barracuda-4tb-35-5400rpm-internal-hard-drive-st4000dm004,https://cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg,4 TB,$0.027,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,109.99
Seagate Exos M,https://pcpartpicker.com/product/3NWmP6/seagate-exos-m-30-tb-35-7200-rpm-internal-hard-drive-st30000nm004k,https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg,30 TB,$0.028,7200 RPM,,"3.5""",SATA 6.0 Gb/s,849.00
Samsung 9100 PRO,https://pcpartpicker.com/product/yjHp99/samsung-9100-pro-1-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap1t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/01ad6b516b12c519dfb76ed08a2a7ef3.256p.jpg,1 TB,$0.210,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,209.99
Samsung 870 Evo,https://pcpartpicker.com/product/mRpmP6/samsung-870-evo-500-gb-25-solid-state-drive-mz-77e500bam,https://cdna.pcpartpicker.com/static/forever/images/product/2c576ecaedba7428ac231ac4f1e12a4d.256p.jpg,500 GB,$0.190,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,94.99
