Name,URL,Image,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Price
G.Skill Trident Z Neo 128 GB,https://pcpartpicker.com/product/TfVG3C/gskill-trident-z-neo-128-gb-4-x-32-gb-ddr4-3200-cl16-memory-f4-3200c16q-128gtzn,https://cdna.pcpartpicker.com/static/forever/images/product/22254223dd653a7a6ca50e9b5c978c3b.256p.jpg,DDR4-3200,4 x 32GB,,Black / Silver,10 ns,16,
TEAMGROUP Elite 32 GB,https://pcpartpicker.com/product/6qhFf7/team-elite-32-gb-2-x-16-gb-ddr5-4800-cl40-memory-ted532g4800c40dc01,https://cdna.pcpartpicker.com/static/forever/images/product/1f26cbd6a261281bfd71c586e0d4aede.256p.jpg,DDR5-4800,2 x 16GB,,Black,16.667 ns,40,
G.Skill Trident Z5 RGB 32 GB,https://pcpartpicker.com/product/znBG3C/gskill-trident-z5-rgb-32-gb-2-x-16-gb-ddr5-6000-cl32-memory-f5-6000j3238f16gx2-tz5rk,https://cdna.pcpartpicker.com/static/forever/images/product/caa44e3f4039e4e8e687307d9060b12d.256p.jpg,DDR5-6000,2 x 16GB,$16.250,Black,10.667 ns,32,519.99
TEAMGROUP T-Force Vulcan 16 GB,https://pcpartpicker.com/product/ZfNxFT/teamgroup-t-force-vulcan-16-gb-1-x-16-gb-ddr5-5200-cl40-memory-flbd516g5200hc40c01,https://cdna.pcpartpicker.com/static/forever/images/product/8a119cfdf9a8c0ddda5fd58b3a365174.256p.jpg,DDR5-5200,1 x 16GB,$25.733,Black,15.385 ns,40,411.73
G.Skill Ripjaws X 32 GB,https://pcpartpicker.com/product/QYxfrH/gskill-memory-f31600c9q32gxm,https://cdna.pcpartpicker.com/static/forever/images/product/e93180e3e4b1e8c138e16fe4125e7f56.256p.jpg,DDR3-1600,4 x 8GB,$7.423,Black / Blue,11.25 ns,9,237.53
Patriot Signature Line 8 GB,https://pcpartpicker.com/product/7RF48d/patriot-signature-line-8gb-1-x-8gb-ddr4-2400-memory-psd48g240081,https://cdna.pcpartpicker.com/static/forever/images/product/10ba375c901c2841bf60c684c4949deb.256p.jpg,DDR4-2400,1 x 8GB,,Green / Black,14.167 ns,17,
Silicon Power XPOWER Turbine RGB 32 GB,https://pcpartpicker.com/product/GdNv6h/silicon-power-xpower-turbine-rgb-32-gb-2-x-16-gb-ddr4-3200-memory-sp032gxlzu320bdb,https://cdna.pcpartpicker.com/static/forever/images/product/4006eff86a0df7cca9e6ee1018321621.256p.jpg,DDR4-3200,2 x 16GB,$8.806,Silver / Black,10 ns,16,281.79
TEAMGROUP T-Force Xtreem ARGB 32 GB,https://pcpartpicker.com/product/YXkWGX/team-t-force-xtreem-argb-32-gb-2-x-16-gb-ddr4-4000-cl18-memory-tf13d432g4000hc18ldc01,https://cdna.pcpartpicker.com/static/forever/images/product/e7e5bfd5a94513a55151d1454e97bc55.256p.jpg,DDR4-4000,2 x 16GB,,White,9 ns,18,
Kingston FURY Renegade 48 GB,https://pcpartpicker.com/product/GhcgXL/kingston-fury-renegade-48-gb-1-x-48-gb-ddr5-6400-cl32-memory-kf564c32rs-48,https://cdna.pcpartpicker.com/static/forever/images/product/e21de3baba1e5761fea2aedce91e2268.256p.jpg,DDR5-6400,1 x 48GB,,Silver / Black,10 ns,32,
ADATA XPG Lancer Blade RGB 8 GB,https://pcpartpicker.com/product/bRy8TW/adata-xpg-lancer-blade-rgb-8-gb-1-x-8-gb-ddr5-5600-cl46-memory-ax5u5600c468g-slabrwh,https://cdna.pcpartpicker.com/static/forever/images/product/c9bf9843bfbe2e4f8c94d368f6727ad9.256p.jpg,DDR5-5600,1 x 8GB,,White,16.429 ns,46,
