Name,URL,Image,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Price
NZXT H3 Flow,https://pcpartpicker.com/product/KyqNnQ/nzxt-h3-flow-microatx-mid-tower-case-cc-h31fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg,MicroATX Mid Tower,Black,None,Tinted Tempered Glass,35.0 L,1,59.99
Lian Li VECTOR V100R MINI,https://pcpartpicker.com/product/VFnXsY/lian-li-vector-v100r-mini-microatx-mid-tower-case-v100rmix,https://cdna.pcpartpicker.com/static/forever/images/product/6de2a66396686e0d8ae87631e46fc6b4.256p.jpg,MicroATX Mid Tower,Black,None,Tempered Glass,42.9 L,1,64.98
NZXT H9 Flow (2025),https://pcpartpicker.com/product/RNgZxr/nzxt-h9-flow-2025-atx-mid-tower-case-cm-h92fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/0cda49e883ff1ea3cab69e0808746f27.256p.jpg,ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7 L,2,119.99
Lian Li A3-mATX,https://pcpartpicker.com/product/FG7scf/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-wd-black,https://cdna.pcpartpicker.com/static/forever/images/product/4b279bc4cdfb4a3e52c9bfa879746ab5.256p.jpg,MicroATX Mini Tower,Black / Brown,None,Mesh,26.3 L,1,89.99
Corsair 4000D Airflow,https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,ATX Mid Tower,Black,None,Tinted Tempered Glass,48.6 L,2,
Lian Li Lancool 207,https://pcpartpicker.com/product/zysV3C/lian-li-lancool-207-atx-mid-tower-case-lan207rx,https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg,ATX Mid Tower,Blue,None,Tempered Glass,45.5 L,2,77.99
Silverstone ALTA F2,https://pcpartpicker.com/product/wsvD4D/silverstone-alta-f2-atx-full-tower-case-sst-alf2b-g,https://cdna.pcpartpicker.com/static/forever/images/product/4ff42fa090d41392739d099e28baf56f.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,98.9 L,8,1060.33
MUSETEX Y6,https://pcpartpicker.com/product/sdWJ7P/musetex-y6-atx-mid-tower-case-y6-n5-w,https://m.media-amazon.com/images/I/513aAkRAd0L.jpg,ATX Mid Tower,White,None,Tempered Glass,40.9 L,2,69.98
MSI MPG Sekira 500G,https://pcpartpicker.com/product/8BcRsY/msi-mpg-sekira-500g-atx-mid-tower-case-mpg-sekira-500g,https://m.media-amazon.com/images/I/31jM5zXSewL.jpg,ATX Mid Tower,Black,None,Tempered Glass,67.1 L,6,
Lian Li LANCOOL 217,https://pcpartpicker.com/product/rXnXsY/lian-li-lancool-217-atx-mid-tower-case-lan217x,https://cdna.pcpartpicker.com/static/forever/images/product/610e12d560e4933d797d322e677d0066.256p.jpg,ATX Mid Tower,Black / Brown,None,Tempered Glass,57.7 L,1,119.99
Lian Li O11 Dynamic EVO XL,https://pcpartpicker.com/product/jwDQzy/lian-li-o11-dynamic-evo-xl-atx-full-tower-case-o11dexl-x,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,84.4 L,4,234.99
NZXT H6 Flow,https://pcpartpicker.com/product/xgKscf/nzxt-h6-flow-atx-mid-tower-case-cc-h61fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,51.8 L,1,99.97
Corsair 3500X ARGB,https://pcpartpicker.com/product/BwBzK8/corsair-3500x-argb-atx-mid-tower-case-cc-9011278-ww,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,55.9 L,2,
Fractal Design Terra,https://pcpartpicker.com/product/GrMMnQ/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-01,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg,Mini ITX Desktop,Black / Brown,None,Mesh,11.4 L,0,199.99
HYTE Y70,https://pcpartpicker.com/product/RgjRsY/hyte-y70-atx-mid-tower-case-cs-hyte-y70-ww,https://cdna.pcpartpicker.com/static/forever/images/product/6af31e169a3db76f5ddb2697518639d6.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,70.7 L,2,194.99
Lian Li O11 Dynamic Mini V2 Flow,https://pcpartpicker.com/product/wHJBD3/lian-li-o11-dynamic-mini-v2-flow-atx-mini-tower-case-o11dmiv2fx,https://cdna.pcpartpicker.com/static/forever/images/product/5f89ad4bc841aa602653d1435436b0a7.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,45.4 L,2,99.99
Corsair 9000D RGB AIRFLOW,https://pcpartpicker.com/product/QkCZxr/corsair-9000d-rgb-airflow-atx-full-tower-case-cc-9011273-ww,https://cdna.pcpartpicker.com/static/forever/images/product/31bfc270950571313482b67027c01cf2.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,149.6 L,5,519.99
Lian Li Vector V100R,https://pcpartpicker.com/product/WNxTwP/lian-li-v100r-atx-mid-tower-case-v100rw,https://m.media-amazon.com/images/I/41Iw6-0mo9L.jpg,ATX Mid Tower,White,None,Tempered Glass,53.2 L,1,73.98
Fractal Design Pop XL Air,https://pcpartpicker.com/product/8qFbt6/fractal-design-pop-xl-air-atx-full-tower-case-fd-c-por1x-06,https://cdna.pcpartpicker.com/static/forever/images/product/048e9d2f829061df55885fb8eabd5952.256p.jpg,ATX Full Tower,Black,None,Tempered Glass,62.4 L,3,119.99
NZXT H5 Flow (2024),https://pcpartpicker.com/product/WZtLrH/nzxt-h5-flow-2024-atx-mid-tower-case-cc-h52fw-01,https://cdna.pcpartpicker.com/static/forever/images/product/7cf2496c391fed651c191c4c19dcd8df.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,45.0 L,1,59.99
HYTE Y70,https://pcpartpicker.com/product/VGgrxr/hyte-y70-atx-mid-tower-case-cs-hyte-y70-b,https://cdna.pcpartpicker.com/static/forever/images/product/e3d7a1d651e10ee06ee3aae4eda51f05.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,70.7 L,2,199.99
NZXT H2 Flow,https://pcpartpicker.com/product/6Dvscf/nzxt-h2-flow-mini-itx-tower-case-ci-h21fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/5d862cc69936d3a2f30c06f0a1bc9f13.256p.jpg,Mini ITX Tower,Black,None,Tempered Glass,20.7 L,0,149.99
Montech AIR 903 MAX,https://pcpartpicker.com/product/2MwmP6/montech-air-903-max-atx-mid-tower-case-air-903-max-b,https://m.media-amazon.com/images/I/519WrOWiOhL.jpg,ATX Mid Tower,Black,None,Tempered Glass,54.2 L,2,75.98
Corsair FRAME 4000D,https://pcpartpicker.com/product/nbXMnQ/corsair-frame-4000d-atx-mid-tower-case-cc-9011290-ww,https://cdna.pcpartpicker.com/static/forever/images/product/b86799fcc72abe55bb03359a550ccdf6.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,56.7 L,2,98.90
Corsair 3500X,https://pcpartpicker.com/product/jthv6h/corsair-3500x-atx-mid-tower-case-cc-9011276-ww,https://cdna.pcpartpicker.com/static/forever/images/product/7ed7216607a1241d218bb8e18efa0264.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,55.9 L,2,63.14
MSI MAG FORGE 321R AIRFLOW,https://pcpartpicker.com/product/KtZXsY/msi-mag-forge-321r-airflow-atx-mid-tower-case-mag-forge-321r-airflow,https://cdna.pcpartpicker.com/static/forever/images/product/71da8ca66086fde771b7f355b11ccf10.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,49.4 L,2,59.99
