Name,URL,Image,Style,Switch Type,Backlit,Tenkeyless,Connection Type,Color,Price
HP HyperX Alloy Elite 2,https://pcpartpicker.com/product/tjnypg/hp-hyperx-alloy-elite-2-rgb-wired-gaming-keyboard-hkbe2x-1x-usg,https://cdna.pcpartpicker.com/static/forever/images/product/a4a573e7fc65ee148dfc7cb9461b540e.256p.jpg,Gaming,HyperX Red,RGB,No,Wired,Black,
Ducky ONE 3,https://pcpartpicker.com/product/8q7scf/ducky-one-3-rgb-wired-gaming-keyboard-dkon2108st-cuspdpwwwsc1,https://m.media-amazon.com/images/I/31KEK5mqQZL.jpg,Gaming,Cherry MX Blue,RGB,No,Wired,White,129.00
SteelSeries Apex Pro Mini Wireless,https://pcpartpicker.com/product/Y3n9TW/steelseries-apex-pro-mini-wireless-rgb-bluetoothwireless-gaming-keyboard-64843,https://cdna.pcpartpicker.com/static/forever/images/product/9a770e8ae1cfa5703f086867193dc80c.256p.jpg,Gaming,SteelSeries OmniPoint 2.0,RGB,Yes,"Wireless, Bluetooth Wireless",Black,
Logitech Signature MK650,https://pcpartpicker.com/product/kPRYcf/logitech-signature-mk650-wiredbluetoothwireless-standard-keyboard-with-laser-mouse-920011018,https://cdna.pcpartpicker.com/static/forever/images/product/30d9c1d52b617e4dc491cbd9bf25aa75.256p.jpg,Standard,,None,No,"Wired, Wireless, Bluetooth Wireless",White,61.99
Logitech Pebble 2,https://pcpartpicker.com/product/8N26Mp/logitech-pebble-2-bluetoothwirelesswired-standard-keyboard-with-optical-mouse-920-012061,https://cdna.pcpartpicker.com/static/forever/images/product/dcdd391136978069c2f423752cb659ab.256p.jpg,Standard,,None,Yes,"Wired, Wireless, Bluetooth Wireless",Black,49.99
Logitech K120,https://pcpartpicker.com/product/C2zhP6/logitech-k120-wired-standard-keyboard-920-010015,https://m.media-amazon.com/images/I/41QIeEp1s4L.jpg,Standard,,None,No,Wired,Black,16.98
Razer Huntsman Mini Analog,https://pcpartpicker.com/product/mG8bt6/razer-huntsman-mini-analog-rgb-wired-mini-keyboard-rz03-04340200-r3u1,https://m.media-amazon.com/images/I/41g+c2wBIAL.jpg,Mini,Razer Analog Optical,RGB,Yes,Wired,Black,149.99
Logitech G515,https://pcpartpicker.com/product/RLhv6h/logitech-g515-rgb-wired-gaming-keyboard-920-012872,https://cdna.pcpartpicker.com/static/forever/images/product/260d4de99ea878c72103bcafabbd7f0c.256p.jpg,Gaming,Logitech Low-Profile GL Tactile,RGB,Yes,Wired,Black,
Microsoft Natural Desktop 7000,https://pcpartpicker.com/product/KwBv6h/microsoft-keyboard-4tq00001,https://m.media-amazon.com/images/I/416wp3AEnsL.jpg,Ergonomic,,None,No,Wireless,Black / Silver,689.00
Wooting One,https://pcpartpicker.com/product/P2mxFT/wooting-one-rgb-wired-gaming-keyboard-ba1-us2-bl-001,https://cdna.pcpartpicker.com/static/forever/images/product/ee16166fe101f4daaaee7149609ac0e3.256p.jpg,Gaming,Flaretech Blue,RGB,Yes,Wired,Black,
Corsair K95 RGB PLATINUM XT,https://pcpartpicker.com/product/q8bCmG/corsair-k95-rgb-platinum-xt-wired-gaming-keyboard-ch-9127412-na,https://m.media-amazon.com/images/I/51UCuM3vnQL.jpg,Gaming,Cherry MX Brown,RGB,No,Wired,Black,
Logitech MX Mechanical Mini,https://pcpartpicker.com/product/vb92FT/logitech-mx-mechanical-mini-wireless-slim-keyboard-920-010550,https://cdna.pcpartpicker.com/static/forever/images/product/769fd6ff52abc89ff59c40adc34d0981.256p.jpg,Slim,Kailh Choc V2 Brown,White,Yes,Wireless,,149.99
Akko 5087S Shine-Through,https://pcpartpicker.com/product/Xjt9TW/akko-5087s-shine-through-rgb-wired-standard-keyboard-6925758619486,https://m.media-amazon.com/images/I/41FJm7pIVkL.jpg,Standard,Akko CS Jelly Pink Linear,RGB,Yes,Wired,White,
Keychron K8 Aluminum Frame,https://pcpartpicker.com/product/Hprqqs/keychron-k8-aluminum-frame-bluetoothwired-standard-keyboard-32018252988505,/static/forever/img/no-image.png,Standard,Gateron G Pro Red Hot-swappable,None,Yes,"Wired, Bluetooth Wireless",Black / Gray,
Keychron C3 Pro,https://pcpartpicker.com/product/yhGhP6/keychron-c3-pro-wired-standard-keyboard-c3p-a1,/static/forever/img/no-image.png,Standard,Keychron K Pro Red,Red,Yes,Wired,Black / Red,
Montech MK75FY,https://pcpartpicker.com/product/QJtkcf/montech-mk75fy-rgb-bluetoothwirelesswired-mini-keyboard-mk75fy,https://cdna.pcpartpicker.com/static/forever/images/product/d0d8a19b6d925ebbd55b0dd835bc54d7.256p.jpg,Mini,Gateron G Pro 3.0 Yellow,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Blue / White,89.90
Keychron Q6 Max QMK/VIA,https://pcpartpicker.com/product/bdfV3C/keychron-q6-max-qmkvia-rgb-bluetoothwirelesswired-gaming-keyboard-q6m-m4,https://cdna.pcpartpicker.com/static/forever/images/product/2326727ae42f2bf00fd3a00fa08de247.256p.jpg,Gaming,Gateron Jupiter Banana,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,203.99
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/rmjv6h/razer-deathstalker-v2-pro-rgb-wireless-gaming-keyboard-rz03-04360300-r3w1,https://m.media-amazon.com/images/I/41XZ47DlGZL.jpg,Gaming,Razer Red Low-Profile Optical Linear,RGB,No,Wireless,Black,
