Name,URL,Image,Style,Switch Type,Backlit,Tenkeyless,Connection Type,Color,Price
Logitech K120,https://pcpartpicker.com/product/MwsKHx/logitech-keyboard-920002478,https://cdna.pcpartpicker.com/static/forever/images/product/acaf1664d5bee7d6eaca0eeab94a3aff.256p.jpg,Standard,,None,No,Wired,Black,9.74
Logitech G19,https://pcpartpicker.com/product/hmsKHx/logitech-g19-wired-standard-keyboard-920-000969,https://m.media-amazon.com/images/I/411-8f8A-tL.jpg,Standard,,Multicolor,No,Wired,Black,799.99
HP HyperX Alloy Core,https://pcpartpicker.com/product/BvL48d/hp-hyperx-alloy-core-rgb-wired-gaming-keyboard-hx-kb5me2-us,https://cdna.pcpartpicker.com/static/forever/images/product/bf808ec87400505de7245845b3131047.256p.jpg,Gaming,,RGB,No,Wired,Black,36.99
RK Royal Kludge RK61,https://pcpartpicker.com/product/6yQKHx/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-093348322,https://m.media-amazon.com/images/I/31ZDUwbWasL.jpg,Mini,RK Red,White,Yes,"Wired, Wireless, Bluetooth Wireless",White,39.97
Redragon K552,https://pcpartpicker.com/product/VhkwrH/redragon-keyboard-k552,https://m.media-amazon.com/images/I/41LSGymHc7L.jpg,Gaming,Outemu Blue,Red,Yes,Wired,Black,36.99
Razer Huntsman Mini,https://pcpartpicker.com/product/vGgQzy/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390300-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/1411d2ffe69ca84f0c740ee5d0df4a0e.256p.jpg,Mini,Razer Purple Optical Clicky,RGB,Yes,Wired,White,69.97
SteelSeries Apex 3 TKL RGB,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,https://m.media-amazon.com/images/I/41tJtjMmKCL.jpg,Gaming,,RGB,Yes,Wired,Black,31.99
Asus ROG Azoth Extreme,https://pcpartpicker.com/product/bkCZxr/asus-rog-azoth-extreme-rgb-bluetoothwirelesswired-gaming-keyboard-m702-azoth-extremenxsw,https://m.media-amazon.com/images/I/41j2mMxaICL.jpg,Gaming,ROG NX Snow,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,399.99
Razer Huntsman V3 Pro,https://pcpartpicker.com/product/WDTZxr/razer-huntsman-v3-pro-rgb-wired-gaming-keyboard-rz03-04980200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/cd5579d337b2519193ac2930a6641c32.256p.jpg,Gaming,Razer Analog Optical Switch Gen-2,RGB,Yes,Wired,Black,139.94
RK Royal Kludge RK61,https://pcpartpicker.com/product/khNYcf/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-338395023,https://m.media-amazon.com/images/I/41lgkMJ5btL.jpg,Mini,RK Red,White,Yes,"Wired, Wireless, Bluetooth Wireless",Black,39.99
Asus ROG Strix Scope II 96,https://pcpartpicker.com/product/GFP8TW/asus-rog-strix-scope-ii-96-rgb-wirelessbluetoothwired-gaming-keyboard-90mp037a-bkaa01,https://cdna.pcpartpicker.com/static/forever/images/product/3feedf17fef852f22241b1f3797e5404.256p.jpg,Gaming,ROG NX Snow,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,129.99
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/RKMMnQ/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64868,https://m.media-amazon.com/images/I/51x7s4jOhtL.jpg,Gaming,SteelSeries OmniPoint 2.0,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,337.49
Redragon K582 SURARA,https://pcpartpicker.com/product/m9MwrH/redragon-k582-surara-wired-gaming-keyboard-k582,https://m.media-amazon.com/images/I/410Nzc4oy5S.jpg,Gaming,Outemu Red,RGB,No,Wired,Black,32.99
Logitech G413 SE,https://pcpartpicker.com/product/r3Gbt6/logitech-g413-se-wired-gaming-keyboard-920-010442,https://cdna.pcpartpicker.com/static/forever/images/product/d0d7c6853ed9714b67e0f139164be210.256p.jpg,Gaming,Kailh LT Brown,White,Yes,Wired,Black,48.96
Corsair K65 PLUS,https://pcpartpicker.com/product/YJWJ7P/corsair-k65-plus-rgb-wiredwireless-gaming-keyboard-ch-91d401l-na,https://cdna.pcpartpicker.com/static/forever/images/product/b034fa9668fb7ffb8938abb5cb026afd.256p.jpg,Gaming,Corsair MLX Red Linear,RGB,Yes,"Wired, Wireless",Black,119.99
Razer BlackWidow V4 Pro,https://pcpartpicker.com/product/9w3NnQ/razer-blackwidow-v4-pro-rgb-wired-gaming-keyboard-rz03-04681900-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/30cbafebd33206576dd6767d027b2904.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Black,199.99
Wooting Two HE,https://pcpartpicker.com/product/Hsnypg/wooting-two-he-rgb-wired-gaming-keyboard-wk2-iso-l60-001,/static/forever/img/no-image.png,Gaming,Lekker linear60,RGB,No,Wired,Black,
Logitech PRO X,https://pcpartpicker.com/product/BKNYcf/logitech-pro-x-rgb-bluetoothwirelesswired-gaming-keyboard-920-012143,https://cdna.pcpartpicker.com/static/forever/images/product/129d4f938d97bffb7d520cb07439e29c.256p.jpg,Gaming,Logitech GX Brown Tactile,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,186.23
Corsair Galleon 100 SD,https://pcpartpicker.com/product/spYfrH/corsair-galleon-100-sd-rgb-wired-gaming-keyboard-ch-912a31i-na,https://cdna.pcpartpicker.com/static/forever/images/product/3628e7432efec4a3fd9804055027620d.256p.jpg,Gaming,Corsair MLX PULSE,RGB,No,Wired,Black,349.99
Logitech G915 X LIGHTSPEED,https://pcpartpicker.com/product/f6TZxr/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012670,https://cdna.pcpartpicker.com/static/forever/images/product/c2823e2b47fabb7712eb80e7693ffc00.256p.jpg,Gaming,Logitech Low-Profile GL Tactile,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,219.99
Corsair K83,https://pcpartpicker.com/product/rwRzK8/corsair-k83-wireless-standard-keyboard-ch-9268046-na,https://cdna.pcpartpicker.com/static/forever/images/product/18b441fc0a31d9e0042a1848dd38af04.256p.jpg,Standard,,White,Yes,Wireless,Gray,
Logitech G PRO,https://pcpartpicker.com/product/b6xbt6/logitech-g-pro-wired-gaming-keyboard-920-009388,https://cdna.pcpartpicker.com/static/forever/images/product/96e3def1b7fcf2eb901c7dd3206b4e09.256p.jpg,Gaming,GX Blue,RGB,Yes,Wired,Black,86.71
Corsair K55 RGB PRO,https://pcpartpicker.com/product/jqpzK8/corsair-k55-rgb-pro-wired-gaming-keyboard-ch-9226765-na,https://cdna.pcpartpicker.com/static/forever/images/product/f66216029324d857133e02628d00820c.256p.jpg,Gaming,,Multicolor,No,Wired,Black,49.99
Razer Huntsman Mini,https://pcpartpicker.com/product/X77p99/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390200-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/fcbfa88339918238551171467925a942.256p.jpg,Mini,Razer Red Optical Linear,RGB,Yes,Wired,Black,87.99
Corsair K70 RGB PRO,https://pcpartpicker.com/product/sFrRsY/corsair-k70-rgb-pro-wired-gaming-keyboard-ch-9109414-na,https://cdna.pcpartpicker.com/static/forever/images/product/e32294c954cffc7db0b08e88742902f9.256p.jpg,Gaming,Cherry MX Speed Silver,RGB,No,Wired,Black,
Logitech Wireless Combo MK270,https://pcpartpicker.com/product/jKfp99/logitech-keyboard-920008813,https://cdna.pcpartpicker.com/static/forever/images/product/ceb279dd38b20ba0a19c18f3f97b71c0.256p.jpg,Standard,,None,No,Wireless,Black,19.99
Keychron K2 HE,https://pcpartpicker.com/product/MPmNnQ/keychron-k2-he-rgb-wirelessbluetoothwired-standard-keyboard-k2h-j1,https://cdna.pcpartpicker.com/static/forever/images/product/57eab280789039bba751310b8a4ed755.256p.jpg,Standard,Gateron Magnetic Nebula,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black / Green,110.49
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/q8QwrH/steelseries-apex-pro-gen-3-rgb-wiredwirelessbluetooth-gaming-keyboard-64871,https://cdna.pcpartpicker.com/static/forever/images/product/fdc5104860be52547f35e4fdc377061a.256p.jpg,Gaming,OmniPoint 3.0,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,245.99
SteelSeries Apex Pro,https://pcpartpicker.com/product/MD848d/steelseries-apex-pro-wired-gaming-keyboard-64626,https://cdna.pcpartpicker.com/static/forever/images/product/0376b9aea4f29549508d1c1eadbc7478.256p.jpg,Gaming,OmniPoint Adjustable,RGB,No,Wired,Black,199.99
Corsair K100 RGB,https://pcpartpicker.com/product/C7xbt6/corsair-k100-rgb-wired-gaming-keyboard-ch-912a01a-na,https://cdna.pcpartpicker.com/static/forever/images/product/ae1d907d41a3e8795673075ec18e30b8.256p.jpg,Gaming,Corsair OPX,RGB,No,Wired,Black,289.99
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/bwnXsY/razer-deathstalker-v2-pro-rgb-wireless-gaming-keyboard-rz03-04360600-r3n1,https://cdna.pcpartpicker.com/static/forever/images/product/9c9ea69b519af6bcf2921e2a58c0bd3e.256p.jpg,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,No,Wireless,Black,463.49
Logitech G515 LIGHTSPEED,https://pcpartpicker.com/product/ZzQKHx/logitech-g515-lightspeed-rgb-wirelessbluetoothwired-gaming-keyboard-920-012423,https://cdna.pcpartpicker.com/static/forever/images/product/e770353e55eb0fa57fa58c29787216e9.256p.jpg,Gaming,GL Tactile V2,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,144.25
Razer Huntsman V3 Pro Mini,https://pcpartpicker.com/product/ZRyH99/razer-huntsman-v3-pro-mini-rgb-wired-mini-keyboard-rz03-04990200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/7389c960da44c9bbaf75d605af7ced5a.256p.jpg,Mini,Razer Analog Optical Switch Gen-2,RGB,Yes,Wired,Black,129.03
Razer Ornata V3 X,https://pcpartpicker.com/product/xrkWGX/razer-ornata-v3-x-rgb-wired-gaming-keyboard-rz03-04470200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/485b5e2124c3e396452a81bc5e3cef06.256p.jpg,Gaming,,RGB,No,Wired,Black,35.98
Keychron K2 HE Special Edition,https://pcpartpicker.com/product/wMfxFT/keychron-k2-he-special-edition-rgb-wirelessbluetoothwired-standard-keyboard-k2h-f1,https://cdna.pcpartpicker.com/static/forever/images/product/24f25a06069fbf812c3a5772793feb05.256p.jpg,Standard,Gateron Magnetic Nebula,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black / Brown,139.99
Asus TUF Gaming K3 Gen II Hatsune Miku Edition,https://pcpartpicker.com/product/FXYfrH/asus-tuf-gaming-k3-gen-ii-hatsune-miku-edition-rgb-wired-gaming-keyboard-tuf-gaming-k3-gen-ii-hatsune-miku,https://m.media-amazon.com/images/I/41rJzV6jOoL.jpg,Gaming,ROG RX Red Optical,RGB,Yes,Wired,Teal / White,
Asus ROG Azoth 96 HE,https://pcpartpicker.com/product/6zLp99/asus-rog-azoth-96-he-rgb-bluetoothwirelesswired-gaming-keyboard-m901-rog-azoth-96-heblkhfxv2capbt,https://cdna.pcpartpicker.com/static/forever/images/product/616e2160056322efa8af067158ce5711.256p.jpg,Gaming,ROG HFX V2,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,305.99
Logitech G512 CARBON,https://pcpartpicker.com/product/kyCFf7/logitech-g512-carbon-rgb-wired-gaming-keyboard-920-009342,https://cdna.pcpartpicker.com/static/forever/images/product/1a525a36dddf414c304459fbabd2bcf7.256p.jpg,Gaming,GX Brown,RGB,No,Wired,Black,89.00
SteelSeries Apex 3,https://pcpartpicker.com/product/hHQfrH/steelseries-apex-3-rgb-wired-gaming-keyboard-64812,https://m.media-amazon.com/images/I/41x91FrKNQL.jpg,Gaming,,RGB,No,Wired,Black,49.99
Corsair K55 RGB,https://pcpartpicker.com/product/q7648d/corsair-k55-rgb-wired-gaming-keyboard-ch-9206015-na,https://cdna.pcpartpicker.com/static/forever/images/product/022f3a972f3755b777cc7b640170bad0.256p.jpg,Gaming,,RGB,No,Wired,Black,
MSI FORGE GK110,https://pcpartpicker.com/product/HFHp99/msi-forge-gk110-rgb-wired-gaming-keyboard-forge-gk110,https://cdna.pcpartpicker.com/static/forever/images/product/cf7945af1de589f03cf393bbe845d519.256p.jpg,Gaming,,RGB,No,Wired,Black / Gray,24.99
Redragon DEVARAIAS K556 RGB,https://pcpartpicker.com/product/QvM323/redragon-devaraias-k556-rgb-wired-gaming-keyboard-k556,https://m.media-amazon.com/images/I/41vSWpjgMgL.jpg,Gaming,Outemu Brown,RGB,No,Wired,Black,46.99
G.Skill KM360,https://pcpartpicker.com/product/YV6qqs/gskill-km360-wired-standard-keyboard-gk-w0wc4-km360-h10na,https://cdna.pcpartpicker.com/static/forever/images/product/ae92350f8cd861ba22f97c0e5ae81594.256p.jpg,Standard,Cherry MX Red,White,Yes,Wired,White,29.99
Cooler Master SK620,https://pcpartpicker.com/product/89cG3C/cooler-master-sk620-rgb-wired-gaming-keyboard-sk-620-sktl1-us,https://cdna.pcpartpicker.com/static/forever/images/product/882baf4465f5452bb4df5e89d5284467.256p.jpg,Gaming,TTC Blue,RGB,Yes,Wired,Silver / White,24.99
Logitech PRO X RAPID,https://pcpartpicker.com/product/2twmP6/logitech-pro-x-rapid-rgb-wired-gaming-keyboard-920-013131,https://cdna.pcpartpicker.com/static/forever/images/product/76014763ce255e99ea1d80b90f570977.256p.jpg,Gaming,Logitech Magnetic Analog,RGB,Yes,Wired,Black,139.99
Corsair K70 CORE,https://pcpartpicker.com/product/mcNYcf/corsair-k70-core-rgb-wired-gaming-keyboard-ch-910971e-na,https://cdna.pcpartpicker.com/static/forever/images/product/ecf2021ea3d3aeef34e51e3a4916f8d6.256p.jpg,Gaming,Corsair MLX Red Linear,RGB,No,Wired,Black,79.99
Asus ROG Azoth,https://pcpartpicker.com/product/JCpzK8/asus-rog-azoth-rgb-bluetoothwirelesswired-mini-keyboard-90mp0316-bkaa01,https://cdna.pcpartpicker.com/static/forever/images/product/ebe9d8b33716a401bcf7262dfa2c443a.256p.jpg,Mini,ROG NX Red,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,405.66
Logitech G213 PRODIGY,https://pcpartpicker.com/product/PGjWGX/logitech-g213-prodigy-wired-gaming-keyboard-920-008083,https://cdna.pcpartpicker.com/static/forever/images/product/803e0625e74ef91fa969fb1592b6d276.256p.jpg,Gaming,,RGB,No,Wired,Black,49.99
Keychron C2,https://pcpartpicker.com/product/9D92FT/keychron-c2-wired-standard-keyboard-c2-g3-usa,https://m.media-amazon.com/images/I/31a+IPyr-eL.jpg,Standard,Gateron G Pro Brown Hot-swappable,White,No,Wired,Black / White,78.98
SteelSeries Apex Pro Mini Gen 3,https://pcpartpicker.com/product/fVRnTW/steelseries-apex-pro-mini-gen-3-rgb-wired-mini-keyboard-64913,https://cdna.pcpartpicker.com/static/forever/images/product/e3658076bcf677f46111f7258744923c.256p.jpg,Mini,OmniPoint 2.0,RGB,Yes,Wired,Black,172.99
Razer DeathStalker V2 Pro,https://pcpartpicker.com/product/6J9wrH/razer-deathstalker-v2-pro-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-04363500-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/554a4ee8286c192452cf460dd59fbc3f.256p.jpg,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,No,"Wired, Wireless, Bluetooth Wireless",White,237.00
Verbatim 98121,https://pcpartpicker.com/product/GF7v6h/verbatim-98121-wired-standard-keyboard-98121,https://cdna.pcpartpicker.com/static/forever/images/product/a2542ee822284adc9366d9149127dd5e.256p.jpg,Standard,,None,No,Wired,Black,17.88
SteelSeries Apex Pro Gen 3,https://pcpartpicker.com/product/nXpD4D/steelseries-apex-pro-gen-3-rgb-wired-gaming-keyboard-64898,https://cdna.pcpartpicker.com/static/forever/images/product/f56b5fdfc2231c8315c368fecf6b884b.256p.jpg,Gaming,OmniPoint 2.0,RGB,Yes,Wired,White,193.70
Razer BlackWidow V4 Pro 75%,https://pcpartpicker.com/product/Wkhv6h/razer-blackwidow-v4-pro-75-rgb-wirelessbluetooth-mini-keyboard-rz03-05130200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/badd278d93213a2e2aaa335363eda0ae.256p.jpg,Mini,Razer Gen-3 (Tactile),RGB,Yes,"Wireless, Bluetooth Wireless",Black,299.99
Verbatim 70734,https://pcpartpicker.com/product/sRQcCJ/verbatim-70734-wired-standard-keyboard-with-laser-mouse-70734,https://cdna.pcpartpicker.com/static/forever/images/product/eda1a68f492344f0f7407c4cb16cb2e6.256p.jpg,Standard,,None,No,Wired,Black,22.49
Corsair K55 CORE RGB,https://pcpartpicker.com/product/CYBzK8/corsair-k55-core-rgb-rgb-wired-gaming-keyboard-ch-9226c65-na,https://cdna.pcpartpicker.com/static/forever/images/product/6e260d50094a5cbbd42b7d9f3ba9c2c8.256p.jpg,Gaming,,RGB,No,Wired,Black,49.99
Corsair K65 RGB MINI,https://pcpartpicker.com/product/czLFf7/corsair-ch-9194114-na-rgb-wired-mini-keyboard-ch-9194114-na,https://cdna.pcpartpicker.com/static/forever/images/product/2430c6c88b4c8f50d9f5140c1b1b7465.256p.jpg,Mini,Cherry MX Speed Silver,RGB,Yes,Wired,White,53.99
Redragon K512 SHIVA RGB,https://pcpartpicker.com/product/gzFKHx/redragon-k512-shiva-rgb-wired-gaming-keyboard-k512-shiva,https://m.media-amazon.com/images/I/416QgkHILUL.jpg,Gaming,,RGB,No,Wired,Black,29.99
Keychron Lemokey X3,https://pcpartpicker.com/product/wNMMnQ/keychron-lemokey-x3-wired-standard-keyboard-x3-a3,https://m.media-amazon.com/images/I/31OsXoeU+4L.jpg,Standard,Keychron Brown,Red,No,Wired,Black / Red,49.99
Asceny One,https://pcpartpicker.com/product/WjJmP6/asceny-one-wired-mini-keyboard-309272287493,https://m.media-amazon.com/images/I/41A5a25khaS.jpg,Mini,Gateron Blue Optical,RGB,Yes,Wired,Black,19.98
Logitech MX KEYS S,https://pcpartpicker.com/product/pdJp99/logitech-mx-keys-s-wirelesswiredbluetooth-standard-keyboard-920-011558,https://cdna.pcpartpicker.com/static/forever/images/product/72e0048807cc7e1db08fb95b74beaa13.256p.jpg,Standard,,None,No,"Wired, Wireless, Bluetooth Wireless",Black,119.99
8BitDo Retro N,https://pcpartpicker.com/product/RwsV3C/8bitdo-retro-n-wiredbluetoothwireless-gaming-keyboard-6922621504290,https://m.media-amazon.com/images/I/41ikzM0ZbBL.jpg,Gaming,Kailh Box White V2,None,Yes,"Wired, Wireless, Bluetooth Wireless",White / Gray,87.99
Logitech G910 Orion Spectrum RGB,https://pcpartpicker.com/product/YrvZxr/logitech-g910-orion-spectrum-rgb-wired-gaming-keyboard-920-008012,https://cdna.pcpartpicker.com/static/forever/images/product/4807d8ce691377dec2646db4edfe169e.256p.jpg,Gaming,Romer-G Tactile,RGB,No,Wired,Black,
Asus ROG Falchion RX,https://pcpartpicker.com/product/dWG2FT/asus-rog-falchion-rx-rgb-wirelessbluetoothwired-slim-keyboard-m603-falchion-rx-lprlrd,https://cdna.pcpartpicker.com/static/forever/images/product/e18208f6a8b1a2b7b4d37cb821db64b7.256p.jpg,Slim,ROG RX Red Optical,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,144.49
Logitech G715,https://pcpartpicker.com/product/2yYmP6/logitech-g715-rgb-wiredwirelessbluetooth-gaming-keyboard-920-010453,https://cdna.pcpartpicker.com/static/forever/images/product/39254d26603516d14b0bb0de63308e8e.256p.jpg,Gaming,GX Brown,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",White,144.99
Corsair K100 AIR Wireless,https://pcpartpicker.com/product/Zs92FT/corsair-k100-air-wireless-rgb-bluetoothwirelesswired-gaming-keyboard-ch-913a01u-na,https://cdna.pcpartpicker.com/static/forever/images/product/b4064fb48bbf543bb4508b8563916bfd.256p.jpg,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black,199.99
Razer Ornata V3,https://pcpartpicker.com/product/bDFmP6/razer-ornata-v3-rgb-wired-gaming-keyboard-rz03-04880200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/07023085250f7bd0c2ece908e343badb.256p.jpg,Gaming,,RGB,Yes,Wired,Black,65.98
Logitech K120 - UK Layout,https://pcpartpicker.com/product/8Xg323/logitech-keyboard-920002501,https://cdna.pcpartpicker.com/static/forever/images/product/a5cb2621ced8abb54ef8c031486febcb.256p.jpg,Standard,,None,No,Wired,Black,27.52
Kinesis Gaming KB600,https://pcpartpicker.com/product/Pwstt6/kinesis-gaming-kb600-wired-ergonomic-keyboard-kb600,https://m.media-amazon.com/images/I/418cObzUOlL.jpg,Ergonomic,Cherry MX Brown,None,Yes,Wired,Black / Blue,379.00
Corsair VANGUARD PRO 96,https://pcpartpicker.com/product/qkm2FT/corsair-vanguard-pro-96-rgb-wired-gaming-keyboard-ch-91e911g-na,https://cdna.pcpartpicker.com/static/forever/images/product/eade3a3ee826ab3bf5ce3057eb154b4e.256p.jpg,Gaming,Corsair MGX HYPERDRIVE,RGB,No,Wired,Black,223.98
Razer Huntsman Mini,https://pcpartpicker.com/product/Jd2bt6/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390500-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/a0bd4a7d3403db681556adcb88cb91de.256p.jpg,Mini,Razer Purple Optical Clicky,RGB,Yes,Wired,Black,99.99
SteelSeries Apex Pro TKL (2023),https://pcpartpicker.com/product/TRkH99/steelseries-apex-pro-tkl-2023-rgb-wiredbluetoothwireless-gaming-keyboard-64865,https://cdna.pcpartpicker.com/static/forever/images/product/ad8f24f78ea5f9e2f2081eb233123fef.256p.jpg,Gaming,SteelSeries OmniPoint 2.0,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,159.99
Corsair K70 CORE TKL,https://pcpartpicker.com/product/zbFmP6/corsair-k70-core-tkl-rgb-wired-gaming-keyboard-ch-911911e-na,https://cdna.pcpartpicker.com/static/forever/images/product/7567b43773e08237f553bc6f0e68f674.256p.jpg,Gaming,Corsair MLX Red V2 Linear,RGB,Yes,Wired,Black,69.99
Keychron V1 Max,https://pcpartpicker.com/product/P8grxr/keychron-v1-max-bluetoothwirelesswired-mini-keyboard-v1m-d1,https://cdna.pcpartpicker.com/static/forever/images/product/09e2f4d8830109aac43862dac86507d3.256p.jpg,Mini,Gateron Jupiter Red,None,Yes,"Wired, Wireless, Bluetooth Wireless",Black / Blue,84.99
Logitech G915 X LIGHTSPEED,https://pcpartpicker.com/product/Lh4Zxr/logitech-g915-x-lightspeed-rgb-wiredwirelessbluetooth-gaming-keyboard-920-012685,https://cdna.pcpartpicker.com/static/forever/images/product/539fe7c9111f6dddbbc68b47d000b240.256p.jpg,Gaming,Logitech Low-Profile GL Tactile,RGB,No,"Wired, Wireless, Bluetooth Wireless",White / Silver,219.99
Wooting One,https://pcpartpicker.com/product/JsL7YJ/wooting-one-rgb-wired-gaming-keyboard-ba1-us2-rd-001,https://cdna.pcpartpicker.com/static/forever/images/product/5a12a9028eba52530011d1c6cbe1dcd3.256p.jpg,Gaming,Flaretech Red,RGB,Yes,Wired,Black,
Keychron Q5 HE QMK,https://pcpartpicker.com/product/nkvD4D/keychron-q5-he-qmk-rgb-wirelessbluetoothwired-standard-keyboard-q5h-m1,https://cdna.pcpartpicker.com/static/forever/images/product/e1a3e685fc066370888824d452987e07.256p.jpg,Standard,Gateron Magnetic Nebula,RGB,No,"Wired, Wireless, Bluetooth Wireless",Black / White,212.49
iBuypower Chimera KM7 RGB,https://pcpartpicker.com/product/D2vD4D/ibuypower-chimera-km7-rgb-rgb-wired-gaming-keyboard-with-optical-mouse-848604044651,https://cdna.pcpartpicker.com/static/forever/images/product/9f9c2b25c8c754f65db40ae167a378b2.256p.jpg,Gaming,,RGB,No,Wired,Black,35.00
Logitech G915 Lightspeed,https://pcpartpicker.com/product/rdXYcf/logitech-g915-lightspeed-rgb-wireless-gaming-keyboard-920-009103,https://cdna.pcpartpicker.com/static/forever/images/product/4b627ae1e6710f59c77ebc18244d1d0b.256p.jpg,Gaming,Logitech GL Clicky,RGB,No,Wireless,Black,
Keychron Lemokey P1 HE Knob,https://pcpartpicker.com/product/Gw7MnQ/keychron-lemokey-p1-he-knob-rgb-wirelessbluetooth-gaming-keyboard-p1h-p1,https://m.media-amazon.com/images/I/31lJPQRF70L.jpg,Gaming,Gateron Magnetic Nebula,RGB,Yes,"Wireless, Bluetooth Wireless",White,169.99
Razer BlackWidow V4 75%,https://pcpartpicker.com/product/6RxxFT/razer-blackwidow-v4-75-rgb-wired-mini-keyboard-rz03-05001700-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/c1f66a673ddcc56cfc2a9c583b3724db.256p.jpg,Mini,Razer Orange,RGB,Yes,Wired,White,189.99
Keychron C3 Pro,https://pcpartpicker.com/product/dLfxFT/keychron-c3-pro-wired-standard-keyboard-c3p-a3,/static/forever/img/no-image.png,Standard,Keychron K Pro Brown,Red,Yes,Wired,Black / Red,
HP HyperX Alloy Origins Core,https://pcpartpicker.com/product/YrqBD3/hp-hyperx-alloy-origins-core-rgb-wired-gaming-keyboard-hx-kb7rdx-us,https://cdna.pcpartpicker.com/static/forever/images/product/4fe6f6296e3796f6e84b68b599956887.256p.jpg,Gaming,HyperX Red,RGB,Yes,Wired,Black,79.98
MSI Vigor GK30,https://pcpartpicker.com/product/6Dxbt6/msi-vigor-gk30-rgb-wired-gaming-keyboard-vigor-gk30,https://cdna.pcpartpicker.com/static/forever/images/product/8d19a9c10abc6a0b25e9d7452fa0e15c.256p.jpg,Gaming,,RGB,No,Wired,Black,39.99
Razer BlackWidow V3,https://pcpartpicker.com/product/mGrRsY/razer-blackwidow-v3-rgb-wired-gaming-keyboard-rz03-03540200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/998d14f3bdc01c20e36f133c1e90284c.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Black,73.97
Razer Blackwidow V3 - Quartz,https://pcpartpicker.com/product/4Z4BD3/razer-blackwidow-v3-quartz-rgb-wired-gaming-keyboard-rz03-03541800-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/4a03f305885033c731e9dd7888368f04.256p.jpg,Gaming,Razer Green,RGB,No,Wired,Pink,64.97
Logitech MK200,https://pcpartpicker.com/product/XnDwrH/logitech-keyboard-920002714,https://m.media-amazon.com/images/I/31gJnRu7ptL.jpg,Slim,,None,No,Wired,Black,17.95
Thermaltake Commander Combo V2,https://pcpartpicker.com/product/Vxstt6/thermaltake-commander-combo-v2-wired-gaming-keyboard-with-optical-mouse-cmcmcwlxxmbus,https://cdna.pcpartpicker.com/static/forever/images/product/2c7da206491dde33d888d7837fe27525.256p.jpg,Gaming,,Multicolor,No,Wired,Black,19.98
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,https://pcpartpicker.com/product/YR4Zxr/razer-blackwidow-v3-mini-hyperspeed-phantom-edition-rgb-bluetoothwirelesswired-gaming-keyboard-rz03-03891900-r3m1,https://m.media-amazon.com/images/I/41LYHxFGk0L.jpg,Gaming,Razer Yellow,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,107.99
