Name,URL,Image,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color,Price
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/Yrw7YJ/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005280,https://cdna.pcpartpicker.com/static/forever/images/product/0041ec7f09c5b96850347e2254991f73.256p.jpg,Optical,"Wired, Wireless",12000,Right,Black,26.99
Logitech G502 Hero,https://pcpartpicker.com/product/7RbwrH/logitech-g502-hero-wired-optical-mouse-910-005469,https://cdna.pcpartpicker.com/static/forever/images/product/125c1da538a8704be799ef12a506e177.256p.jpg,Optical,Wired,25600,Right,Black,35.99
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/QzHqqs/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006628,https://cdna.pcpartpicker.com/static/forever/images/product/8bd4ec52b9e7e8664ea7573dccccc0c4.256p.jpg,Optical,"Wired, Wireless",32000,Right,Black,129.99
Razer Basilisk V3,https://pcpartpicker.com/product/NQBG3C/razer-basilisk-v3-wired-optical-mouse-rz01-04000100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/d662cc7b90e3fd45502f7c77d9b54269.256p.jpg,Optical,Wired,26000,Right,Black,36.95
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/4CMwrH/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005289,https://cdna.pcpartpicker.com/static/forever/images/product/e5ae54669b6dc857c4d03a26e70ed9d5.256p.jpg,Optical,"Wired, Wireless",12000,Right,White,29.99
Logitech PRO X2 SUPERSTRIKE,https://pcpartpicker.com/product/tYZWGX/logitech-pro-x2-superstrike-wirelesswired-optical-mouse-910-007700,https://cdna.pcpartpicker.com/static/forever/images/product/eeb57a9b46ded9924512a55a6c76c27b.256p.jpg,Optical,"Wired, Wireless",44000,Right,White / Black,
Logitech TrackMan,https://pcpartpicker.com/product/KGCwrH/logitech-mouse-9043690403,https://m.media-amazon.com/images/I/417jvRpyYJL.jpg,Trackball,Wireless,,Right,Black / Silver,349.45
Razer Viper V3 Pro,https://pcpartpicker.com/product/sDgrxr/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/25eb6d79d56298ee00645faac8d6aff1.256p.jpg,Optical,"Wired, Wireless",35000,Right,Black,119.99
Logitech G Pro X Superlight,https://pcpartpicker.com/product/yY4BD3/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005878,https://cdna.pcpartpicker.com/static/forever/images/product/575c76df1ce4d5588c5749e289515e4c.256p.jpg,Optical,Wireless,25400,Right,Black,102.98
Lenovo GX30M39704 300,https://pcpartpicker.com/product/ZPm323/lenovo-gx30m39704-300-wired-laser-mouse-gx30m39704,https://cdna.pcpartpicker.com/static/forever/images/product/9f6b69ae376d3d89ec24b134f9a08a9b.256p.jpg,Laser,Wired,,Both,Black / Orange,6.49
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/FTjRsY/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006636,https://cdna.pcpartpicker.com/static/forever/images/product/933d216894f55f4ed992d28e54829810.256p.jpg,Optical,"Wired, Wireless",32000,Right,White,129.99
Logitech G502 LIGHTSPEED,https://pcpartpicker.com/product/t9x2FT/logitech-g502-lightspeed-wireless-optical-mouse-910-005565,https://cdna.pcpartpicker.com/static/forever/images/product/688ab5cb5e71622cfe889c082d784cdb.256p.jpg,Optical,Wireless,25600,Right,Black,89.99
Asus ROG Harpe Ace Extreme,https://pcpartpicker.com/product/qtV2FT/asus-rog-harpe-ace-extreme-wiredbluetoothwireless-optical-mouse-rog-harpe-ace-extreme,https://cdna.pcpartpicker.com/static/forever/images/product/e97b771577f100e48dec340162528ae3.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black,261.45
Logitech G502 X Plus,https://pcpartpicker.com/product/J86p99/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006160,https://cdna.pcpartpicker.com/static/forever/images/product/9cfeaf467cdc4fb77c735a6f491aba6b.256p.jpg,Optical,"Wired, Wireless",25600,Right,Black,145.99
Logitech B100,https://pcpartpicker.com/product/JGCwrH/logitech-mouse-910001439,https://m.media-amazon.com/images/I/31iFF1KbkpL.jpg,Optical,Wired,800,,Black,7.99
Razer DeathAdder Essential,https://pcpartpicker.com/product/RBKKHx/razer-deathadder-essential-wired-optical-mouse-rz01-03850100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/d6fd43322f07dedde7c5c3d9e53706d1.256p.jpg,Optical,Wired,6400,Right,Black / Green,20.96
Logitech G502 X Plus,https://pcpartpicker.com/product/FRZ9TW/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006169,https://cdna.pcpartpicker.com/static/forever/images/product/a15cd9289e318eba9b6dae3658c4c1b6.256p.jpg,Optical,"Wired, Wireless",25600,Right,White,159.99
Razer Basilisk V3 Pro,https://pcpartpicker.com/product/HyJgXL/razer-basilisk-v3-pro-wiredbluetoothwireless-optical-mouse-rz01-04620100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/b5ae883a17a1d332780a63f64f8df4b0.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,89.00
Razer DeathAdder V4 Pro,https://pcpartpicker.com/product/CpnXsY/razer-deathadder-v4-pro-wirelesswired-optical-mouse-rz01-05330100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/88e9e7d1c7dd5c517fd31999b5abc5f2.256p.jpg,Optical,"Wired, Wireless",45000,Right,Black,169.99
Logitech G700s,https://pcpartpicker.com/product/29V48d/logitech-mouse-910003584,https://m.media-amazon.com/images/I/41-wVvikRuL.jpg,Laser,Wireless,8200,Right,Black,499.99
Logitech G Pro,https://pcpartpicker.com/product/vJ448d/logitech-g-pro-wirelesswired-optical-mouse-910-005270,https://cdna.pcpartpicker.com/static/forever/images/product/800bb5629053de7c02501a11b4e0f87d.256p.jpg,Optical,"Wired, Wireless",25600,Both,Black,89.97
Razer Viper V3 Pro,https://pcpartpicker.com/product/yYFmP6/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/95beff2e5567815a69d76d72cb4e956e.256p.jpg,Optical,"Wired, Wireless",35000,Right,White,119.99
Logitech G303 Daedalus Apex,https://pcpartpicker.com/product/wwPzK8/logitech-mouse-910004380,https://m.media-amazon.com/images/I/41EaCtcC7oL.jpg,Optical,Wired,12000,Right,Black / Orange,375.00
Logitech G203 Lightsync,https://pcpartpicker.com/product/TzQfrH/logitech-g203-lightsync-wired-optical-mouse-910-005790,https://cdna.pcpartpicker.com/static/forever/images/product/b8e80e45051e0b167cbda318107448f9.256p.jpg,Optical,Wired,8000,Right,Black,23.99
Razer Viper V3 HyperSpeed,https://pcpartpicker.com/product/NDXV3C/razer-viper-v3-hyperspeed-wireless-optical-mouse-rz01-04910100-r3u1,https://m.media-amazon.com/images/I/31nB-uULOLL.jpg,Optical,Wireless,30000,Right,Black,49.99
Redragon COBRA M711,https://pcpartpicker.com/product/dZQG3C/redragon-cobra-m711-wired-optical-mouse-cobra-m711,https://cdna.pcpartpicker.com/static/forever/images/product/ed20fdc4053c1979e2f89767aafda5d1.256p.jpg,Optical,Wired,10000,Right,Black / Multicolor,16.98
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/yw9wrH/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007328,https://cdna.pcpartpicker.com/static/forever/images/product/ef157c63ae31a89ae83c743c4bc77394.256p.jpg,Optical,"Wired, Wireless",44000,Right,Black,129.99
Razer DeathAdder Essential,https://pcpartpicker.com/product/pFcG3C/razer-deathadder-essential-wired-optical-mouse-rz01-03850200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/1435c1dd5733f7443c14b484e733224e.256p.jpg,Optical,Wired,6400,Right,White,23.48
Razer Basilisk V3 Pro 35K,https://pcpartpicker.com/product/nP26Mp/razer-basilisk-v3-pro-35k-bluetoothwirelesswired-optical-mouse-rz01-05240100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/97ae96e9c6c3ce726b4f25482b0c8afe.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",35000,Right,Black,159.00
Logitech G Pro X Superlight,https://pcpartpicker.com/product/dZsnTW/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005940,https://m.media-amazon.com/images/I/31Hn3R2Vv5L.jpg,Optical,Wireless,25400,Right,White,123.00
Lenovo K5923,https://pcpartpicker.com/product/d4rG3C/lenovo-mouse-0c51641,https://images-na.ssl-images-amazon.com/images/I/31iHu-PO8JL.jpg,Touchpad,Wireless,,Both,Black,
Corsair SCIMITAR RGB ELITE,https://pcpartpicker.com/product/X8848d/corsair-scimitar-rgb-elite-wired-optical-mouse-ch-9304211-na,https://cdna.pcpartpicker.com/static/forever/images/product/dfb52b07215736a9d55388366a53d86a.256p.jpg,Optical,Wired,18000,Right,Black,59.99
Asus TUF GAMING Mini Hatsune Miku Edition,https://pcpartpicker.com/product/nzsMnQ/asus-tuf-gaming-mini-hatsune-miku-edition-bluetoothwirelesswired-optical-mouse-90mp0420-bmua00,https://cdna.pcpartpicker.com/static/forever/images/product/24d70727a40a355c59ab65f63aa31d61.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",12000,Both,White / Teal,109.99
Corsair DARK CORE RGB PRO SE,https://pcpartpicker.com/product/LwpmP6/corsair-dark-core-rgb-pro-se-wireless-optical-mouse-ch-9315511-na,https://cdna.pcpartpicker.com/static/forever/images/product/fbeb5a62840993fa50c1836186087dfc.256p.jpg,Optical,Wireless,18000,Right,Black,49.99
Razer DeathAdder V4 Pro,https://pcpartpicker.com/product/c6VfrH/razer-deathadder-v4-pro-wirelesswired-optical-mouse-rz01-05330200-r3u1,https://m.media-amazon.com/images/I/316m-1XJULL.jpg,Optical,"Wired, Wireless",45000,Right,White,139.99
Logitech G502 X,https://pcpartpicker.com/product/6VjBD3/logitech-g502-x-wirelesswired-optical-mouse-910-006178,https://cdna.pcpartpicker.com/static/forever/images/product/99a256af2fe5bb228f2fcd17e2d6b544.256p.jpg,Optical,"Wired, Wireless",25600,Right,Black,109.99
Glorious Model I 2,https://pcpartpicker.com/product/6wjRsY/glorious-model-i-2-wirelessbluetoothwired-optical-mouse-glo-ms-iwv2-mw,https://cdna.pcpartpicker.com/static/forever/images/product/6502f3433ea325a35eef3486515a4a89.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White,99.99
Logitech MX MASTER 3S,https://pcpartpicker.com/product/Bs4Ycf/logitech-mx-master-3s-wireless-optical-mouse-910-006557,https://cdna.pcpartpicker.com/static/forever/images/product/80f5ae114fd88013fa45e170e1098214.256p.jpg,Optical,Wireless,8000,Right,Gray,109.99
Razer Naga V2 Pro,https://pcpartpicker.com/product/fd6NnQ/razer-naga-v2-pro-bluetoothwirelesswired-optical-mouse-rz01-04400100-r3u1,https://m.media-amazon.com/images/I/41Ys1r4Uq0L.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,171.99
Asus ROG HARPE ACE AIM LAB EDITION,https://pcpartpicker.com/product/JqsV3C/asus-rog-harpe-ace-aim-lab-edition-wirelesswired-optical-mouse-p713-rog-harpe-ace-aim-lab-editionblk,https://cdna.pcpartpicker.com/static/forever/images/product/39f5483248fb55771d174204732924e7.256p.jpg,Optical,"Wired, Wireless",36000,Right,Black,79.98
Razer Basilisk V3 X Hyperspeed,https://pcpartpicker.com/product/K3yH99/razer-basilisk-v3-x-hyperspeed-bluetoothwirelesswired-optical-mouse-rz01-04870100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/1bb09ad5b3b239b0aeebb8aa47a91339.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black,48.99
Redragon M602,https://pcpartpicker.com/product/X9w7YJ/redragon-m602-wired-optical-mouse-m602,https://m.media-amazon.com/images/I/4189L2UBl9L.jpg,Optical,Wired,7200,Right,Black,19.98
Razer DeathAdder V3,https://pcpartpicker.com/product/pf88TW/razer-deathadder-v3-wired-optical-mouse-rz01-04640100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/527a2ec03a543912ea15c59764aeb279.256p.jpg,Optical,Wired,30000,Right,Black,43.99
Verbatim Bravo,https://pcpartpicker.com/product/Hr9KHx/verbatim-mouse-98106,https://cdna.pcpartpicker.com/static/forever/images/product/5c388ef9bdfd2933f0cef41aa21ad5a1.256p.jpg,Optical,Wired,,Both,Black,8.80
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/d3qrxr/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007363,https://cdna.pcpartpicker.com/static/forever/images/product/7ebd73d009de6f7ed5f7adb959c12a99.256p.jpg,Optical,"Wired, Wireless",44000,Right,White,149.99
SteelSeries Aerox 5,https://pcpartpicker.com/product/7MNxFT/steelseries-aerox-5-bluetoothwirelesswired-optical-mouse-62406,https://cdna.pcpartpicker.com/static/forever/images/product/1854a0026f919a1085b9b9f3ee6d1f2d.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black,109.99
Logitech MX Master 4,https://pcpartpicker.com/product/3km2FT/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007560,https://cdna.pcpartpicker.com/static/forever/images/product/2e4ae929e4fa8be8d9f7b089417a4508.256p.jpg,Optical,"Wireless, Bluetooth Wireless",8000,Right,Black,104.99
Razer DeathAdder V2 X HyperSpeed,https://pcpartpicker.com/product/99M48d/razer-deathadder-v2-x-hyperspeed-bluetoothwireless-optical-mouse-rz01-04130100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/d2dbffeb64fc0566b7db5ea37b02ed0c.256p.jpg,Optical,"Wireless, Bluetooth Wireless",14000,Right,Black,42.99
Corsair SABRE v2 PRO,https://pcpartpicker.com/product/tvYfrH/corsair-sabre-v2-pro-wirelesswired-optical-mouse-ch-931g000-ww,https://cdna.pcpartpicker.com/static/forever/images/product/4dd650bb6dceb28d78278a7fe1e4d8a7.256p.jpg,Optical,"Wired, Wireless",33000,Right,Black,79.98
Logitech G502 X,https://pcpartpicker.com/product/vkxRsY/logitech-g502-x-wired-optical-mouse-910-006136,https://cdna.pcpartpicker.com/static/forever/images/product/6fac52c0af1c72f84bf579025945c2a3.256p.jpg,Optical,Wired,25600,Right,Black,58.97
Razer Basilisk V3 Pro,https://pcpartpicker.com/product/pc2WGX/razer-basilisk-v3-pro-wiredbluetoothwireless-optical-mouse-rz01-04620200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/90c241b37e2769547937082a24d468e2.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White / Black,90.00
Verbatim 70235,https://pcpartpicker.com/product/HCdrxr/verbatim-70235-wired-optical-mouse-70235,https://cdna.pcpartpicker.com/static/forever/images/product/2a7e0b7fb53609a497efd0aad93494cd.256p.jpg,Optical,Wired,,Both,Purple / Black,8.99
Logitech G703 LIGHTSPEED,https://pcpartpicker.com/product/kQ3H99/logitech-g703-lightspeed-wireless-optical-mouse-910-005638,https://cdna.pcpartpicker.com/static/forever/images/product/a3ff804c87be83ea9e268dd26afe13da.256p.jpg,Optical,Wireless,25600,Right,Black,62.99
Asus P707 ROG SPATHA X,https://pcpartpicker.com/product/Tqnypg/asus-p707-rog-spatha-x-wireless-optical-mouse-p707-rog-spatha-x,https://cdna.pcpartpicker.com/static/forever/images/product/3b425661832992431efa165c454bd178.256p.jpg,Optical,Wireless,19000,Right,Black,126.99
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/3CMMnQ/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006795,https://cdna.pcpartpicker.com/static/forever/images/product/61d6197f3a799244678955291f16eda6.256p.jpg,Optical,"Wired, Wireless",32000,Right,Pink,149.99
Logitech G700,https://pcpartpicker.com/product/f2yFf7/logitech-mouse-910001436,https://m.media-amazon.com/images/I/31kqTL7lqRL.jpg,Laser,Wireless,5700,Right,Black,
Logitech M90,https://pcpartpicker.com/product/v4tKHx/logitech-m90-wired-optical-mouse-910-001793,https://cdna.pcpartpicker.com/static/forever/images/product/3942bf430d7f5b33bd01e2b0d0b7abdb.256p.jpg,Optical,Wired,1000,Both,Black,10.27
Razer Basilisk V3 Pro w/Dock Pro,https://pcpartpicker.com/product/pVJp99/razer-basilisk-v3-pro-wdock-pro-wirelessbluetoothwired-optical-mouse-rzhb-221026-01,https://cdna.pcpartpicker.com/static/forever/images/product/b5292329a259a092639c62734248cf23.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White,199.99
Redragon M908 IMPACT MMO,https://pcpartpicker.com/product/wtGbt6/redragon-m908-impact-mmo-wired-optical-mouse-m908,https://cdna.pcpartpicker.com/static/forever/images/product/a7b3569bd05187fd56ea87990243adb0.256p.jpg,Optical,Wired,12400,Right,Black,20.99
Razer DeathAdder V3 Pro,https://pcpartpicker.com/product/TxpzK8/razer-deathadder-v3-pro-wireless-optical-mouse-rz01-04630100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/e3084d9b915b8235a748e6a825ca39b4.256p.jpg,Optical,Wireless,30000,Right,Black,96.11
Corsair NIGHTSWORD RGB,https://pcpartpicker.com/product/wWYLrH/corsair-nightsword-rgb-wired-optical-mouse-ch-9306011-na,https://m.media-amazon.com/images/I/41puSbyNS7L.jpg,Optical,Wired,18000,Right,Black,89.99
SteelSeries Aerox 3 (2022),https://pcpartpicker.com/product/TvFbt6/steelseries-aerox-3-2022-wiredbluetoothwireless-optical-mouse-62612,https://cdna.pcpartpicker.com/static/forever/images/product/9d5161c04ba0f238b7639036a48e55ae.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black,79.99
Logitech MX Master 4,https://pcpartpicker.com/product/RbxTwP/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007558,https://cdna.pcpartpicker.com/static/forever/images/product/3891dfbeec8fca9ad45e28f8705f8a41.256p.jpg,Optical,"Wireless, Bluetooth Wireless",8000,Right,Gunmetal,119.99
Corsair M65 RGB ULTRA,https://pcpartpicker.com/product/cBxRsY/corsair-m65-rgb-ultra-wired-optical-mouse-ch-9309411-na,https://cdna.pcpartpicker.com/static/forever/images/product/3af6a83672ccc3c3c73a158f711fecd5.256p.jpg,Optical,Wired,26000,Right,Black / Silver,49.99
Razer Cobra,https://pcpartpicker.com/product/7Ngrxr/razer-cobra-wired-optical-mouse-rz01-04650100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/3ab945d2593627d5e338010263e4460c.256p.jpg,Optical,Wired,8500,Right,Black,30.99
Razer Basilisk V3 Pro w/Dock Pro,https://pcpartpicker.com/product/gg2WGX/razer-basilisk-v3-pro-wdock-pro-wiredbluetoothwireless-optical-mouse-rzhb-220819-01,https://cdna.pcpartpicker.com/static/forever/images/product/f3ac232d47683dd615b3d89f99e1bba2.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,
Glorious MODEL O,https://pcpartpicker.com/product/ddjJ7P/glorious-pc-gaming-race-model-o-wired-optical-mouse-go-white,https://cdna.pcpartpicker.com/static/forever/images/product/89c77ccaf0bdca3bde6bcc2d3890f6cb.256p.jpg,Optical,Wired,12000,Right,White,
SteelSeries Rival 5,https://pcpartpicker.com/product/g38bt6/steelseries-rival-5-wired-optical-mouse-62551,https://cdna.pcpartpicker.com/static/forever/images/product/6d35eedc32891db22347dce86786474e.256p.jpg,Optical,Wired,18000,Right,Black,57.99
Asus ROG Harpe II Ace,https://pcpartpicker.com/product/8hxTwP/asus-rog-harpe-ii-ace-bluetoothwirelesswired-optical-mouse-90mp0490-bmaa00,https://cdna.pcpartpicker.com/static/forever/images/product/c39e895b4870a42ef00b286c75a12377.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black,129.99
Redragon M656,https://pcpartpicker.com/product/TMvscf/redragon-m656-wireless-optical-mouse-m656,https://m.media-amazon.com/images/I/31PZent2ZvL.jpg,Optical,Wireless,4000,Right,Red,14.99
Glorious Model O 2,https://pcpartpicker.com/product/2dgrxr/glorious-model-o-2-wiredwirelessbluetooth-optical-mouse-glo-ms-owv2-mw,https://cdna.pcpartpicker.com/static/forever/images/product/f1bb90df546cc0b6a99cfb526e080018.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White,99.99
SteelSeries Aerox 3 (2022),https://pcpartpicker.com/product/8WTp99/steelseries-aerox-3-2022-wiredbluetoothwireless-optical-mouse-62608,https://m.media-amazon.com/images/I/41+ZHP053cL.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,White,98.96
Logitech G604 LIGHTSPEED,https://pcpartpicker.com/product/nmkgXL/logitech-g604-lightspeed-wireless-optical-mouse-910-005622,https://cdna.pcpartpicker.com/static/forever/images/product/e32b9e2d5144b118afe0cb32c5b83fed.256p.jpg,Optical,Wireless,25600,Right,Black,
Logitech M100,https://pcpartpicker.com/product/vhH323/logitech-mouse-910001601,https://cdna.pcpartpicker.com/static/forever/images/product/0dd8486ae196d3bd49621b0647075be6.256p.jpg,Optical,Wired,1000,Both,Black,9.49
Logitech G705,https://pcpartpicker.com/product/jJJgXL/logitech-g705-wirelesswiredbluetooth-optical-mouse-910-006365,https://cdna.pcpartpicker.com/static/forever/images/product/b3d7045e6ffc8815548d2254bc90850b.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White,64.98
Asus TUF Gaming M3 Gen II,https://pcpartpicker.com/product/yjvD4D/asus-tuf-gaming-m3-gen-ii-wired-optical-mouse-p309-tuf-gaming-m3-gen-ii,https://cdna.pcpartpicker.com/static/forever/images/product/d71ae983cd0f7109069235daaef89830.256p.jpg,Optical,Wired,8000,Right,Black / Yellow,22.99
Gigabyte GM-M5050,https://pcpartpicker.com/product/FHyFf7/gigabyte-gm-m5050-wired-optical-mouse-gm-m5050,https://m.media-amazon.com/images/I/41D4v4vJgjL.jpg,Optical,Wired,800,Both,Black,
Razer DeathAdder V3 HyperSpeed,https://pcpartpicker.com/product/dNtLrH/razer-deathadder-v3-hyperspeed-wiredwireless-optical-mouse-rz01-05140100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/0249c146601de0904b0b9ab204172599.256p.jpg,Optical,"Wired, Wireless",26000,Right,Black,69.98
Glorious Model O,https://pcpartpicker.com/product/FMqBD3/glorious-pc-gaming-race-model-o-wireless-optical-mouse-glo-ms-ow-mb,https://cdna.pcpartpicker.com/static/forever/images/product/2d8a80560eb714c71d668a6ec1bf4f96.256p.jpg,Optical,Wireless,19000,Right,Black,79.98
Logitech G203 Lightsync,https://pcpartpicker.com/product/7ZhmP6/logitech-g203-lightsync-wired-optical-mouse-910-005791,https://cdna.pcpartpicker.com/static/forever/images/product/dbe9bbba752e18178e12f24bbe6ed196.256p.jpg,Optical,Wired,8000,Right,White,21.99
Logitech MX Master 4,https://pcpartpicker.com/product/9QxTwP/logitech-mx-master-4-wirelessbluetooth-optical-mouse-910-007559,https://cdna.pcpartpicker.com/static/forever/images/product/b3b14d2ba77e3ad02886352e800e5ccd.256p.jpg,Optical,"Wireless, Bluetooth Wireless",8000,Right,Gray,119.99
Corsair SCIMITAR ELITE WIRELESS MMO,https://pcpartpicker.com/product/dP88TW/corsair-scimitar-elite-wireless-mmo-wirelessbluetoothwired-optical-mouse-ch-9314311-na,https://cdna.pcpartpicker.com/static/forever/images/product/759d79af5341d713e6b5c55d71e786a8.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black,116.99
Logitech G502 Proteus Spectrum,https://pcpartpicker.com/product/kJM323/logitech-mouse-910004615,https://cdna.pcpartpicker.com/static/forever/images/product/196cfc73981cd14257b11cc3b0a3b8f9.256p.jpg,Optical,Wired,12000,Right,Black,
SteelSeries Rival 3,https://pcpartpicker.com/product/qxDkcf/steelseries-rival-3-wireless-optical-mouse-62521,https://cdna.pcpartpicker.com/static/forever/images/product/178a8d67052dc8ac01b07c8b84924a0b.256p.jpg,Optical,Wireless,18000,Right,Black,47.00
Logitech MX MASTER 3S,https://pcpartpicker.com/product/smTp99/logitech-mx-master-3s-wireless-optical-mouse-910-006556,https://cdna.pcpartpicker.com/static/forever/images/product/80f5ae114fd88013fa45e170e1098214.256p.jpg,Optical,Wireless,8000,Right,Black,98.00
Asus TUF Gaming M4 Wireless,https://pcpartpicker.com/product/r3XJ7P/asus-tuf-gaming-m4-wireless-wireless-optical-mouse-p306tufgamingm4wl,https://cdna.pcpartpicker.com/static/forever/images/product/c1a9b9b9b2c2b449a6a60d8d3a9f8072.256p.jpg,Optical,Wireless,,Right,Black,70.99
Glorious Model O-,https://pcpartpicker.com/product/yhjRsY/glorious-model-o-wiredwireless-optical-mouse-glo-ms-omw-mb,https://m.media-amazon.com/images/I/41mm4VViRNL.jpg,Optical,"Wired, Wireless",19000,Right,Black,
Razer Basilisk V3 Pro + Wireless Charging Puck,https://pcpartpicker.com/product/tGKKHx/razer-basilisk-v3-pro-wireless-charging-puck-wiredbluetoothwireless-optical-mouse-rzhb-220819-04,https://cdna.pcpartpicker.com/static/forever/images/product/d7d2ca768f6446600a406c5840bcec5e.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,179.99
Logitech G502 X,https://pcpartpicker.com/product/VKWzK8/logitech-g502-x-wired-optical-mouse-910-006144,https://cdna.pcpartpicker.com/static/forever/images/product/583a9bd5ac3a80049bc09075e2bca5c1.256p.jpg,Optical,Wired,25600,Right,White,59.99
Endgame Gear OP1 8k v2,https://pcpartpicker.com/product/qd2j4D/endgame-gear-op1-8k-v2-wired-optical-mouse-egg-op1-8k-v2-blk,https://cdna.pcpartpicker.com/static/forever/images/product/e0d393b53f78f42a88bca334ceda1324.256p.jpg,Optical,Wired,30000,Right,Black,89.99
Corsair HARPOON RGB PRO,https://pcpartpicker.com/product/KLVD4D/corsair-harpoon-rgb-pro-wired-optical-mouse-ch-9301111-na,https://cdna.pcpartpicker.com/static/forever/images/product/4ca5b63fecc2a7fc4094c9da2c127ac8.256p.jpg,Optical,Wired,12000,Right,Black,29.99
Logitech G502 X,https://pcpartpicker.com/product/QQpzK8/logitech-g502-x-wirelesswired-optical-mouse-910-006187,https://cdna.pcpartpicker.com/static/forever/images/product/2972e192f88a1e76547f11e9741e1f77.256p.jpg,Optical,"Wired, Wireless",25600,Right,White,129.99
Asus ROG Chakram X Origin,https://pcpartpicker.com/product/4LpQzy/asus-rog-chakram-x-origin-wiredwirelessbluetooth-optical-mouse-p708-rog-chakram-x-o,https://cdna.pcpartpicker.com/static/forever/images/product/ba1a67b453a9652426848c59b396c2cf.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black,113.99
Asus ROG HARPE ACE AIM LAB EDITION,https://pcpartpicker.com/product/2sMMnQ/asus-rog-harpe-ace-aim-lab-edition-wirelesswired-optical-mouse-p713-rog-harpe-ace-aim-lab-editionwht,https://cdna.pcpartpicker.com/static/forever/images/product/e6b1321a41a45046d750977befefa388.256p.jpg,Optical,"Wired, Wireless",36000,Right,White,79.98
Corsair NIGHTSABRE RGB,https://pcpartpicker.com/product/4BGhP6/corsair-nightsabre-rgb-wirelessbluetoothwired-optical-mouse-ch-931b011-na,https://cdna.pcpartpicker.com/static/forever/images/product/f590fc9f4c2b9f5a456df7aa1c1ee509.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black,129.99
