Name,URL,Image,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color,Price
Adesso iMouse S8B,https://pcpartpicker.com/product/gg97YJ/adesso-imouse-s8b-wired-optical-mouse-imouse-s8b,https://cdna.pcpartpicker.com/static/forever/images/product/5b86a9195dca45c4b5421ad6827fa68a.256p.jpg,Optical,Wired,1600,Both,Black,23.38
Glorious MODEL O GLOSSY,https://pcpartpicker.com/product/JgdxFT/glorious-pc-gaming-race-model-o-glossy-wired-optical-mouse-go-gwhite,https://cdna.pcpartpicker.com/static/forever/images/product/c88640b5d4d5bd9531a8caac8f3c3c82.256p.jpg,Optical,Wired,12000,Right,White,
Cougar 700M EVO RGB,https://pcpartpicker.com/product/g9jJ7P/cougar-700m-evo-wired-optical-mouse-gr-womb-700m-evo,https://cdna.pcpartpicker.com/static/forever/images/product/016a5ae4ff07429d7471eea835892840.256p.jpg,Optical,Wired,16000,Right,Black,
Razer Atheris,https://pcpartpicker.com/product/rJzkcf/razer-atheris-wireless-optical-mouse-rz01-02170300-r3m1,https://m.media-amazon.com/images/I/41KJ4cRe+OL.jpg,Optical,Wireless,7200,Right,White,
Razer Atheris Stormtrooper,https://pcpartpicker.com/product/2KJtt6/razer-atheris-stormtrooper-wireless-optical-mouse-rz01-02170400-r3m1,https://m.media-amazon.com/images/I/31hjQ2HnaNL.jpg,Optical,Wireless,7200,Right,White / Black,
Razer Deathadder Elite Destiny 2 Edition,https://pcpartpicker.com/product/nsHRsY/razer-deathadder-elite-destiny-2-edition-wired-optical-mouse-rz01-02010200-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/a1d0d2682107473a09cd4a443334eaa8.256p.jpg,Optical,Wired,16000,Right,Black / White,
Razer Deathadder Elite Overwatch Edition,https://pcpartpicker.com/product/fsHRsY/razer-deathadder-elite-overwatch-edition-wired-optical-mouse-rz01-02010300-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/0901ac25c772d64a8a25080fc0a9aaff.256p.jpg,Optical,Wired,16000,Right,Black / Orange,
Zowie S1,https://pcpartpicker.com/product/9KBhP6/zowie-s1-wired-optical-mouse-s1black-001,https://cdna.pcpartpicker.com/static/forever/images/product/2a09e63fb75a901a5981667479218c66.256p.jpg,Optical,Wired,3200,Right,Black,
Zowie S2,https://pcpartpicker.com/product/7w6qqs/zowie-s2-wired-optical-mouse-s2black-001,https://cdna.pcpartpicker.com/static/forever/images/product/1c54a171a6967536a7d1478c1b304793.256p.jpg,Optical,Wired,3200,Right,Black,
Mionix AVIOR-7000,https://pcpartpicker.com/product/GTKcCJ/mionix-avior-7000-wired-optical-mouse-avior-7000,https://cdna.pcpartpicker.com/static/forever/images/product/ea2d75c9e5800eede30c67289292efcd.256p.jpg,Optical,Wired,7000,Both,Black,
Mionix Castor French Fries,https://pcpartpicker.com/product/vrKcCJ/mionix-castor-french-fries-wired-optical-mouse-mnx-01-26005-g,https://cdna.pcpartpicker.com/static/forever/images/product/f997e5811a66a964c82dae3665dc7328.256p.jpg,Optical,Wired,5000,Right,Yellow,
Mionix Castor Shark Fin,https://pcpartpicker.com/product/X8GxFT/mionix-castor-shark-fin-wired-optical-mouse-mnx-01-26008-g,https://cdna.pcpartpicker.com/static/forever/images/product/8f1eab9421fc3e4f8a21e6d6d949918a.256p.jpg,Optical,Wired,5000,Right,Gray,
Mionix Avior French Fries,https://pcpartpicker.com/product/hfw7YJ/mionix-avior-french-fries-wired-optical-mouse-mnx-01-27010-g,https://cdna.pcpartpicker.com/static/forever/images/product/c4ae247055329c08d5d46fce56cfff61.256p.jpg,Optical,Wired,5000,Both,Yellow,
Mionix Castor Black,https://pcpartpicker.com/product/XC7v6h/mionix-castor-black-wired-optical-mouse-mnx-01-26004-g,https://cdna.pcpartpicker.com/static/forever/images/product/3a57f15d573802dd0dc2aa9094fdaa76.256p.jpg,Optical,Wired,5000,Right,Black,
Mionix Castor Frosting,https://pcpartpicker.com/product/hnPKHx/mionix-castor-frosting-wired-optical-mouse-mnx-01-26006-g,https://cdna.pcpartpicker.com/static/forever/images/product/13712e62b722ab5834bcd47be717d5df.256p.jpg,Optical,Wired,5000,Right,Pink,
Mad Catz The Authentic R.A.T PRO S3,https://pcpartpicker.com/product/KF7v6h/mad-catz-the-authentic-rat-pro-s3-wired-optical-mouse-mr03dcambl00,https://cdna.pcpartpicker.com/static/forever/images/product/95ff163bac9298265200dd770f322b22.256p.jpg,Optical,Wired,7200,Right,Black,
Mad Catz The Authentic R.A.T 6+,https://pcpartpicker.com/product/Qjm323/mad-catz-the-authentic-rat-6-wired-optical-mouse-mr04dcambl00,https://m.media-amazon.com/images/I/41Es6fla7SL.jpg,Optical,Wired,12000,Right,Black,
Mad Catz The Authentic R.A.T 4+,https://pcpartpicker.com/product/3FQG3C/mad-catz-the-authentic-rat-4-wired-optical-mouse-mr03mcambl00,https://cdna.pcpartpicker.com/static/forever/images/product/2edf9bf8431c16c670b552e90bd7bb74.256p.jpg,Optical,Wired,7200,Right,Black,
Mionix Avior Shark Fin,https://pcpartpicker.com/product/cYndnQ/mionix-avior-shark-fin-wired-optical-mouse-mnx-01-27013-g,https://cdna.pcpartpicker.com/static/forever/images/product/38ef49ec5d1c26196cf07aba4edf17be.256p.jpg,Optical,Wired,5000,Both,Gray,
Mionix Castor Ice Cream,https://pcpartpicker.com/product/7vTPxr/mionix-castor-ice-cream-wired-optical-mouse-mnx-01-26007-g,https://cdna.pcpartpicker.com/static/forever/images/product/4dbdc558c1d602b2db5e539598d7fcad.256p.jpg,Optical,Wired,5000,Right,Blue,
Mad Catz The Authentic R.A.T. 1+,https://pcpartpicker.com/product/HwNv6h/mad-catz-the-authentic-rat-1-wired-optical-mouse-mr01mcambl00,https://cdna.pcpartpicker.com/static/forever/images/product/a410dc6809f669054f20ee134131a56b.256p.jpg,Optical,Wired,2000,Both,Black,
Mad Catz The Authentic R.A.T. 2+,https://pcpartpicker.com/product/ptjJ7P/mad-catz-the-authentic-rat-2-wired-optical-mouse-mr02mcambl00,https://cdna.pcpartpicker.com/static/forever/images/product/1789456361671d7f91e823b339e5b9fb.256p.jpg,Optical,Wired,5000,Both,Black,
Zowie EC1-B CS:GO,https://pcpartpicker.com/product/yr3H99/zowie-ec1-b-csgo-wired-optical-mouse-ec1-b-csgo,https://cdna.pcpartpicker.com/static/forever/images/product/cddd64870f886eb758da2a6ceedbd5e9.256p.jpg,Optical,Wired,3200,Right,Black / Gold,
Zowie EC2-B CS:GO,https://pcpartpicker.com/product/dPMwrH/zowie-ec2-b-csgo-wired-optical-mouse-ec2-b-csgo,https://cdna.pcpartpicker.com/static/forever/images/product/940a6741c4611c9b2f1d729ceff3a457.256p.jpg,Optical,Wired,3200,Right,Black / Gold,
Corsair GLAIVE RGB PRO,https://pcpartpicker.com/product/7GsmP6/corsair-glaive-rgb-pro-wired-optical-mouse-ch-9302211-na,https://cdna.pcpartpicker.com/static/forever/images/product/7cd271a98a691461ce5d9f6e14de6e74.256p.jpg,Optical,Wired,18000,Right,Black,
IOGEAR Kaliber Gaming KORONA RGB,https://pcpartpicker.com/product/Gzm323/iogear-kaliber-gaming-korona-rgb-wired-optical-mouse-gme631,https://images-na.ssl-images-amazon.com/images/I/31gMB22yWML.jpg,Optical,Wired,5000,Right,Black,
MSI CLUTCH GM10,https://pcpartpicker.com/product/6P6qqs/msi-clutch-gm10-wired-optical-mouse-clutch-gm10,https://cdna.pcpartpicker.com/static/forever/images/product/3c6e00eec2c66fbbe927e729b85fccda.256p.jpg,Optical,Wired,2400,Right,Black / Red,
Corsair M55 RGB PRO,https://pcpartpicker.com/product/HK4BD3/corsair-m55-rgb-pro-wired-optical-mouse-ch-9308111-na,https://cdna.pcpartpicker.com/static/forever/images/product/e31200e8794ace2901da9a368753c63d.256p.jpg,Optical,Wired,12400,Both,White / Gray,
SteelSeries Rival 310 PUBG Edition,https://pcpartpicker.com/product/2MsmP6/steelseries-rival-310-pubg-edition-wired-optical-mouse-62435,https://cdna.pcpartpicker.com/static/forever/images/product/4fa2ef58954ec6dc7485ae144e800bc9.256p.jpg,Optical,Wired,12000,Right,Black / Blue,
Logitech M325 Purple Peace,https://pcpartpicker.com/product/CQkj4D/logitech-m325-purple-peace-wireless-optical-mouse-910-005345,https://cdna.pcpartpicker.com/static/forever/images/product/99a5cbd71653cb7eb2fd68275a7874be.256p.jpg,Optical,Wireless,1000,Both,White / Purple,
ROCCAT Lua,https://pcpartpicker.com/product/7tZFf7/roccat-lua-wired-optical-mouse-roc-11-310-am,https://cdna.pcpartpicker.com/static/forever/images/product/48726cbd0f1dc61532677d31c4ecaf99.256p.jpg,Optical,Wired,2000,Both,Black / Blue,
Logitech M187,https://pcpartpicker.com/product/tm97YJ/logitech-m187-wireless-optical-mouse-910-002728,https://cdna.pcpartpicker.com/static/forever/images/product/45f2e92db16e8913e1e82c0159e20664.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,24.99
Logitech M325c Blu Trance,https://pcpartpicker.com/product/CbbwrH/logitech-m325-blu-trance-wireless-optical-mouse-910-005338,https://cdna.pcpartpicker.com/static/forever/images/product/56c1b61d288d65365a9021371e064995.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,
Logitech M325c Lady Lily,https://pcpartpicker.com/product/cYkj4D/logitech-m325-lady-lily-wireless-optical-mouse-910-005344,https://cdna.pcpartpicker.com/static/forever/images/product/9579813d4dd2c058f030e6816c0df751.256p.jpg,Optical,Wireless,1000,Both,White / Multicolor,
Logitech M325c Taboo,https://pcpartpicker.com/product/FKvbt6/logitech-m325c-taboo-wireless-optical-mouse-910-005337,https://cdna.pcpartpicker.com/static/forever/images/product/4264ee1c172381ffefd59443b5c5451a.256p.jpg,Optical,Wireless,1000,Both,Black / Red,
Logitech M325c Natural Jewelry,https://pcpartpicker.com/product/ytzkcf/logitech-m325c-natural-jewelry-wireless-optical-mouse-910-005343,https://cdna.pcpartpicker.com/static/forever/images/product/d5978403917423f450f99d5da43a08f5.256p.jpg,Optical,Wireless,1000,Both,Purple / Multicolor,
Logitech M325,https://pcpartpicker.com/product/3DtQzy/logitech-m325-wireless-optical-mouse-910-002136,https://cdna.pcpartpicker.com/static/forever/images/product/0427bcd1702b2d22b67df036b5ff72f6.256p.jpg,Optical,Wireless,1000,Both,Silver / Black,21.00
Logitech M185,https://pcpartpicker.com/product/h2HRsY/logitech-m185-wireless-optical-mouse-910-003636,https://cdna.pcpartpicker.com/static/forever/images/product/25d343b9b2a0584103387b80f289afb0.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,14.99
Logitech M325c Triple Scoop Ice Cream Cone,https://pcpartpicker.com/product/ctjJ7P/logitech-m325c-triple-scoop-ice-cream-cone-wireless-optical-mouse-910-005026,https://cdna.pcpartpicker.com/static/forever/images/product/ce3348bbbfa87f67b6cf9c1e27e487ee.256p.jpg,Optical,Wireless,1000,Both,Red / White,
Logitech M325c Bae-Bee-Blue,https://pcpartpicker.com/product/MWVD4D/logitech-m325c-bae-bee-blue-wireless-optical-mouse-910-005027,https://cdna.pcpartpicker.com/static/forever/images/product/62ba26975588523628a99c5a712b075f.256p.jpg,Optical,Wireless,1000,Both,Blue / White,
Logitech M325c Dark Fleur,https://pcpartpicker.com/product/zKH8TW/logitech-m325c-dark-fleur-wireless-optical-mouse-910-005339,https://cdna.pcpartpicker.com/static/forever/images/product/44ae55690b1265b3a36ae835188a2eac.256p.jpg,Optical,Wireless,1000,Both,White / Black,
Logitech M317C Blue Trance,https://pcpartpicker.com/product/BD4BD3/logitech-m317c-blue-trance-wireless-optical-mouse-910-005347,https://cdna.pcpartpicker.com/static/forever/images/product/b148b1cef147278bbc112adf63043cfd.256p.jpg,Optical,Wireless,1000,Both,Blue / Black,
Logitech M317c Lady on the Lily,https://pcpartpicker.com/product/TwrYcf/logitech-m317c-lady-on-the-lily-wireless-optical-mouse-910-005353,https://m.media-amazon.com/images/I/511Vp+kFsfL.jpg,Optical,Wireless,1000,Both,White / Multicolor,
