Name,URL,Image,Configuration,Total Wattage,Frequency Response,Color,Price
Klipsch ProMedia 2.1,https://pcpartpicker.com/product/y2vRsY/klipsch-speakers-promedia21,https://m.media-amazon.com/images/I/31Z6ZgChfGL.jpg,2.1,120 W,31 Hz - 20 kHz,,159.99
Creative Labs Pebble V2,https://pcpartpicker.com/product/XGzFf7/creative-labs-pebble-v2-8-w-speakers-51mf1695aa000,https://cdna.pcpartpicker.com/static/forever/images/product/35b161e009a58f1b9b4c4a50ab9dcda0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,32.99
Logitech Z407,https://pcpartpicker.com/product/yp8bt6/logitech-z407-40-w-21-channel-speakers-980-001347,https://cdna.pcpartpicker.com/static/forever/images/product/bdcf15f115b1f3e12e896a3efcb143f3.256p.jpg,2.1,40 W,40 Hz - 20 kHz,Black,109.99
Trust GXT 606 JAVV,https://pcpartpicker.com/product/3RtLrH/trust-gxt-606-javv-6-w-speakers-25108,https://cdna.pcpartpicker.com/static/forever/images/product/8dff6e7a89953fd9854d99ab273780a0.256p.jpg,2.0,6 W,160 Hz - 20 kHz,Black,90.71
Redragon GS814,https://pcpartpicker.com/product/mZHp99/redragon-gs814-20-w-speakers-gs814,https://cdna.pcpartpicker.com/static/forever/images/product/5a462a44c1ef7f5f9383588d8c293293.256p.jpg,2.0,20 W,20 Hz - 20 kHz,Black,31.33
Creative Labs Pebble V3,https://pcpartpicker.com/product/Fhnypg/creative-labs-pebble-v3-8-w-20-channel-speakers-51mf1700aa001,https://cdna.pcpartpicker.com/static/forever/images/product/2632f14a05f4fc771452849333b86af0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,39.99
Edifier G2000,https://pcpartpicker.com/product/j7gZxr/edifier-g2000-32-w-speakers-g2000-white,https://cdna.pcpartpicker.com/static/forever/images/product/8aa356c3f9738056c20cc84f3b32f7c6.256p.jpg,2.0,32 W,98 Hz - 20 kHz,White,99.99
Logitech Z150,https://pcpartpicker.com/product/Byp323/logitech-speakers-980000802,https://cdna.pcpartpicker.com/static/forever/images/product/df3930d28f5352d74bf85844dd6bcfe9.256p.jpg,2.0,,,,29.99
Logitech Z625,https://pcpartpicker.com/product/TjkwrH/logitech-z625-200w-21ch-speakers-980-001258,https://cdna.pcpartpicker.com/static/forever/images/product/3d4cf341a5a85ea3c5f3367eb79f7d47.256p.jpg,2.1,200 W,,,209.88
Razer Nommo V2 Pro,https://pcpartpicker.com/product/ymFmP6/razer-nommo-v2-pro-21-channel-speakers-rz05-04740100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/c0035e093e4e3c4bf3c41dc2c308ff1c.256p.jpg,2.1,,40 Hz - 20 kHz,Black,449.99
Razer Leviathan V2 Pro,https://pcpartpicker.com/product/XFJgXL/razer-leviathan-v2-pro-0-nw-51-channel-speakers-rz05-04160100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/6262bc1dd543981e5cf9a470e374209b.256p.jpg,5.1,,40 Hz - 20 kHz,Black,
Logitech Z323,https://pcpartpicker.com/product/yx8Zxr/logitech-speakers-980000354,https://cdna.pcpartpicker.com/static/forever/images/product/9e63aa7d5a08f1144a161dbda92482dd.256p.jpg,2.1,30 W,55 Hz - 20 kHz,,69.98
Creative Labs Stage Air V2,https://pcpartpicker.com/product/gwP8TW/creative-labs-stage-air-v2-10-w-speakers-51mf8395aa000,https://cdna.pcpartpicker.com/static/forever/images/product/7501b0c11b3286207e79e6bbdd22cc56.256p.jpg,2.0,10 W,80 Hz - 20 kHz,Black,59.99
Cyber Acoustics CA-2014rb,https://pcpartpicker.com/product/mKzv6h/cyber-acoustics-speakers-ca2014rb,https://cdna.pcpartpicker.com/static/forever/images/product/7419f0c9e66eeb4a00d915f52f65663f.256p.jpg,2.0,4 W,85 Hz - 18 kHz,,17.99
Razer NOMMO CHROMA,https://pcpartpicker.com/product/FLprxr/razer-nommo-0w-2ch-speakers-rz05-02460100-r3u1,https://m.media-amazon.com/images/I/41B4OATKG+L.jpg,2.0,,20 Hz - 20 kHz,Black,114.99
Audioengine A5+ Black,https://pcpartpicker.com/product/CqGkcf/audioengine-a5-black-150-w-speakers-a5plus-black,https://m.media-amazon.com/images/I/41aSVItoxLL.jpg,2.0,150 W,50 Hz - 22 kHz,Black,399.00
Creative Labs Pebble V3,https://pcpartpicker.com/product/pwDQzy/creative-labs-pebble-v3-16-w-speakers-51mf1700aa003,https://cdna.pcpartpicker.com/static/forever/images/product/50f6663a86d1596137e70873b71c7896.256p.jpg,2.0,16 W,100 Hz - 17 kHz,White / Copper,39.99
Kanto ORA4,https://pcpartpicker.com/product/4bvscf/kanto-ora4-140-w-speakers-ora4mw,https://m.media-amazon.com/images/I/31hKLJAKAOL.jpg,2.0,140 W,60 Hz - 22 kHz,White,449.99
Yamaha NS-SP1800,https://pcpartpicker.com/product/49Crxr/yamaha-ns-sp1800-550w-51ch-speakers-ns-sp1800,https://cdna.pcpartpicker.com/static/forever/images/product/c49d3e4bdca7a4d9a04eebc7667cde89.256p.jpg,5.1,550 W,28 Hz - 50 kHz,,
Cyber Acoustics CA-3090,https://pcpartpicker.com/product/Fy6BD3/cyber-acoustics-speakers-ca3090,https://cdna.pcpartpicker.com/static/forever/images/product/e2b77d5b4cfd102fa680830c3d32dd49.256p.jpg,2.1,10 W,160 Hz - 20 kHz,,37.50
Edifier G2000,https://pcpartpicker.com/product/W8sMnQ/edifier-g2000-32-w-speakers-g2000,https://m.media-amazon.com/images/I/31l3bs2XavL.jpg,2.0,32 W,98 Hz - 20 kHz,Black,99.99
Yamaha HS8,https://pcpartpicker.com/product/pp8H99/yamaha-speakers-hs8,https://cdna.pcpartpicker.com/static/forever/images/product/9a6241e2a10a2ad5a02986cee6df17a7.256p.jpg,2.0,120 W,38 Hz - 30 kHz,,398.99
Edifier R1280DB-Brown,https://pcpartpicker.com/product/GVqPxr/edifier-r1280db-brown-42-w-20-channel-speakers-r1280db-brown,https://cdna.pcpartpicker.com/static/forever/images/product/3ef66b395e4756a53b894bb0cf1c3842.256p.jpg,2.0,42 W,55 Hz - 20 kHz,Brown / Black,189.99
Edifier S351DB,https://pcpartpicker.com/product/7M62FT/edifier-s351db-150-w-21-channel-speakers-s351db,https://cdna.pcpartpicker.com/static/forever/images/product/291b405c855c90fe3ce433d91eeffbbe.256p.jpg,2.1,150 W,40 Hz - 20 kHz,Black,479.99
Edifier R1700BT,https://pcpartpicker.com/product/RXbCmG/edifier-r1700bt-66-w-20-channel-speakers-r1700bt,https://cdna.pcpartpicker.com/static/forever/images/product/1ddfff5b75be0e5cf2689552cf19225e.256p.jpg,2.0,66 W,60 Hz - 20 kHz,Black / Brown,219.99
Kanto ORA4,https://pcpartpicker.com/product/YjXMnQ/kanto-ora4-140-w-speakers-ora4mb,https://m.media-amazon.com/images/I/31sUqdWafoL.jpg,2.0,140 W,60 Hz - 22 kHz,Black,
Creative Labs T60,https://pcpartpicker.com/product/KmWJ7P/creative-labs-t60-60-w-speakers-51mf1705aa001,https://cdna.pcpartpicker.com/static/forever/images/product/fd3fe44545a8001617dc0cc9d340a76b.256p.jpg,2.0,60 W,50 Hz - 20 kHz,Black / Gold,94.99
Kanto REN,https://pcpartpicker.com/product/wgKnTW/kanto-ren-200-w-speakers-renmb,https://cdna.pcpartpicker.com/static/forever/images/product/5189eb920f452e8bc8ff8f2eb6acb765.256p.jpg,2.0,200 W,50 Hz - 22 kHz,Black,699.99
Creative Labs Sound Blaster GS3,https://pcpartpicker.com/product/72fV3C/creative-labs-sound-blaster-gs3-24-w-speakers-51mf8465aa000,https://cdna.pcpartpicker.com/static/forever/images/product/df7b80628934ad78a59e51e274a1510f.256p.jpg,2.0,24 W,65 Hz - 20 kHz,Black,59.99
Logitech Z533,https://pcpartpicker.com/product/hgtWGX/logitech-speakers-980001053,https://cdna.pcpartpicker.com/static/forever/images/product/962564ca11472d2ab2eec6a59a1c3257.256p.jpg,2.1,60 W,55 Hz - 20 kHz,,149.99
Edifier R1280DB-Black,https://pcpartpicker.com/product/Lfstt6/edifier-r1280db-black-42-w-20-channel-speakers-r1280db-black,https://cdna.pcpartpicker.com/static/forever/images/product/a8078d4ee57562c7f1e36dcb133a3fc4.256p.jpg,2.0,42 W,55 Hz - 20 kHz,Black,189.99
Edifier G2000,https://pcpartpicker.com/product/6Fy8TW/edifier-g2000-32-w-speakers-g2000-pink,https://m.media-amazon.com/images/I/31DKo6onXKL.jpg,2.0,32 W,98 Hz - 20 kHz,Pink,99.99
PreSonus Eris 3.5 2nd Gen,https://pcpartpicker.com/product/RW88TW/presonus-eris-35-2nd-gen-50-w-speakers-2777500121,https://cdna.pcpartpicker.com/static/forever/images/product/273aecd7d61bad6de352ddf132283e18.256p.jpg,2.0,50 W,80 Hz - 20 kHz,Black / Blue,114.99
Logitech S-150,https://pcpartpicker.com/product/hj6BD3/logitech-speakers-980000028,https://cdna.pcpartpicker.com/static/forever/images/product/9cf7ec696463bc053fc549705338c0cb.256p.jpg,2.0,1.2 W,90 Hz - 20 kHz,,15.99
