Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Skullcandy Hesh 3,https://pcpartpicker.com/product/8Yxbt6/skullcandy-s6htw-l678-headset-s6htw-l678,https://m.media-amazon.com/images/I/41waCR1V7NL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,
Skullcandy Hesh 3,https://pcpartpicker.com/product/bX6qqs/skullcandy-s6htw-l638-headset-s6htw-l638,https://cdna.pcpartpicker.com/static/forever/images/product/133bb9dcdd33a9329770bc07bb28b14b.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Green / Black,
Bose QuietComfort 35 Series II,https://pcpartpicker.com/product/M7QfrH/bose-quietcomfort-35-series-ii-headset-789564-0030,https://m.media-amazon.com/images/I/31z1+UHK-eL.jpg,Circumaural,,Yes,Yes,Closed,Blue,
Corsair HS70 Bluetooth,https://pcpartpicker.com/product/vx4BD3/corsair-hs70-bluetooth-headset-ca-9011227-na,https://m.media-amazon.com/images/I/412ht1MQuxL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,
Sennheiser M3AEBTXL,https://pcpartpicker.com/product/3jtKHx/sennheiser-m3aebtxl-sandy-white-headphones-m3aebtxl-sandy-white,https://m.media-amazon.com/images/I/41hkf3T-BuL.jpg,Circumaural,6 Hz - 22 kHz,No,Yes,Closed,White / Silver,
Logitech Pro X Shroud,https://pcpartpicker.com/product/nZsnTW/logitech-pro-x-shroud-headset-981-000956,https://cdna.pcpartpicker.com/static/forever/images/product/5b774e8009cfbb01240ccce119646c26.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,
Audeze Penrose PS,https://pcpartpicker.com/product/v4RgXL/audeze-penrose-ps-headset-205-ps-1121-01,https://cdna.pcpartpicker.com/static/forever/images/product/1885e4c7ba325bc1a485906b2f2181aa.256p.jpg,Circumaural,10 Hz - 50 kHz,Yes,Yes,Closed,Black / Blue,
Razer A Bathing Ape Opus,https://pcpartpicker.com/product/372bt6/razer-a-bathing-ape-opus-headset-rz04-02490111-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/810901e75f1cd1246cfc04cf066460ba.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Green,
HiFiMAN RE600S V2 Songbird,https://pcpartpicker.com/product/CrrRsY/hifiman-re600s-v2-songbird-in-ear-re600s-v2-songbird,/static/forever/img/no-image.png,In Ear,15 Hz - 22 kHz,No,No,Closed,Black,
HiFiMAN HE1000 V2,https://pcpartpicker.com/product/cMvdnQ/hifiman-he1000-v2-headphones-he1000-v2,https://cdna.pcpartpicker.com/static/forever/images/product/88b7781536c5f8af93910a72edecb9c6.256p.jpg,Circumaural,8 Hz - 65 kHz,No,No,Open,Silver / Brown,
HiFiMAN HE1000,https://pcpartpicker.com/product/s8JgXL/hifiman-he1000-headphones-he1000,https://m.media-amazon.com/images/I/51pAZKho8NL.jpg,Circumaural,8 Hz - 65 kHz,No,No,Open,Silver / Brown,
Corsair HS35,https://pcpartpicker.com/product/sWBG3C/corsair-hs35-headset-ca-9011197-na,https://cdna.pcpartpicker.com/static/forever/images/product/4fbc32d3174623c90d39c9a0d1c4b9e2.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,
Anker Soundcore Life Q35,https://pcpartpicker.com/product/RJRYcf/anker-soundcore-life-q35-headset-a3027051,https://m.media-amazon.com/images/I/31ARpkAVBmS.jpg,Circumaural,16 Hz - 40 kHz,Yes,Yes,Closed,Pink,
MSI Immerse GH61,https://pcpartpicker.com/product/2k8bt6/msi-immerse-gh61-71-channel-headset-immerse-gh61,https://cdna.pcpartpicker.com/static/forever/images/product/d6e7be9181cda19fdacd730e133cf24c.256p.jpg,Circumaural,29 Hz - 40 kHz,Yes,No,Closed,Black,
AKG K361-BT,https://pcpartpicker.com/product/K9vdnQ/akg-k361-bt-headset-k361bt,https://cdna.pcpartpicker.com/static/forever/images/product/79bdbd46e1a1ad2b46d16f9cf8897ffd.256p.jpg,Circumaural,15 Hz - 28 kHz,Yes,Yes,Closed,Black,125.72
Logitech G335,https://pcpartpicker.com/product/dKRYcf/logitech-981-001023-headset-981-001023,https://cdna.pcpartpicker.com/static/forever/images/product/f686e5c0bbd74bc4e8229cbae618c6fc.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Green / Purple,68.33
Sennheiser ‎‎‎HD 450BT White,https://pcpartpicker.com/product/9qgFf7/sennheiser-hd-450bt-white-headset-hd-450bt-white,https://m.media-amazon.com/images/I/31rYd57PJNL.jpg,Circumaural,18 Hz - 22 kHz,Yes,Yes,Closed,White / Beige,
AKG K612 PRO,https://pcpartpicker.com/product/2gfnTW/akg-k612-pro-headphones-2458x00100,https://cdna.pcpartpicker.com/static/forever/images/product/f695b349cf2d24089aa41504ec280f64.256p.jpg,Circumaural,12 Hz - 39.5 kHz,No,No,Open,Black / Silver,
HP HyperX Cloud Alpha - TimTheTatman Edition,https://pcpartpicker.com/product/33LFf7/hp-hyperx-cloud-alpha-timthetatman-edition-headset-639p4aa,https://cdna.pcpartpicker.com/static/forever/images/product/c6a9f6501bc75af8e59ebed481909eb0.256p.jpg,Circumaural,13 Hz - 27 kHz,Yes,No,Closed,Black / Yellow,
