Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Final D8000,https://pcpartpicker.com/product/hjkgXL/final-audio-design-d8000-headphones-fi-d8pal,https://m.media-amazon.com/images/I/41oK95KoUwL.jpg,Circumaural,,No,No,Closed,Black / Silver,6217.61
HP HyperX Cloud II,https://pcpartpicker.com/product/tZL7YJ/hp-hyperx-cloud-ii-71-channel-headset-khx-hscp-rd,https://cdna.pcpartpicker.com/static/forever/images/product/72a586f112591cd7b43f4b0dc244ba29.256p.jpg,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Red,49.99
Razer BlackShark V2 X,https://pcpartpicker.com/product/BbgQzy/razer-blackshark-v2-x-71-channel-headset-rz04-03240100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/6bfd83b70242125dd19a098b04deb9e1.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black / Green,39.97
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",https://pcpartpicker.com/product/wTcG3C/steelseries-arctis-nova-pro-wireless-for-pc-ps5-and-ps4-headset-61520,https://cdna.pcpartpicker.com/static/forever/images/product/58e020a3f5cb57cf060804a8a9d1fd2f.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,343.48
Logitech G435,https://pcpartpicker.com/product/CGD7YJ/logitech-981-001049-headset-981-001049,https://cdna.pcpartpicker.com/static/forever/images/product/a0f67686009b268eb9b537dfbbc3a4e0.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Yellow,49.99
Logitech PRO X 2 LIGHTSPEED,https://pcpartpicker.com/product/6wyH99/logitech-pro-x-2-lightspeed-headset-981-001262,https://cdna.pcpartpicker.com/static/forever/images/product/0654c2062080ded169e6bdc820f168eb.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,229.99
Logitech PRO X 2 LIGHTSPEED,https://pcpartpicker.com/product/jzhv6h/logitech-pro-x-2-lightspeed-headset-981-001268,https://cdna.pcpartpicker.com/static/forever/images/product/b95b61acc3de748aacfe4fee474f5216.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,228.00
Logitech ASTRO A50 X,https://pcpartpicker.com/product/mxdG3C/logitech-astro-a50-x-headset-939-002126,https://m.media-amazon.com/images/I/31S7rZQLB2L.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,349.99
SteelSeries Arctis Nova 1,https://pcpartpicker.com/product/ZnNYcf/steelseries-arctis-nova-1-headset-61606,https://cdna.pcpartpicker.com/static/forever/images/product/fcdc7e701e4a83bfa2e0a2c208fcc4fa.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black,36.49
Razer BlackShark V2 Pro (2023),https://pcpartpicker.com/product/3qmNnQ/razer-blackshark-v2-pro-2023-headset-rz04-04530100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/618882d7efe9284c652d8009ef9ae80c.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Black,104.97
Genius HS-02B,https://pcpartpicker.com/product/4GrG3C/genius-headphones-31710037100,https://cdna.pcpartpicker.com/static/forever/images/product/25c754ca083c8fe55ac0e573496edf41.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,5.51
Corsair VOID WIRELESS v2,https://pcpartpicker.com/product/bWrp99/corsair-void-wireless-v2-headset-ca-9011379-ww,https://cdna.pcpartpicker.com/static/forever/images/product/8ab652b2c883c6c10c203145a938372c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,113.54
Beyerdynamic DT 770 PRO,https://pcpartpicker.com/product/zy4BD3/beyerdynamic-dt-770-pro-headphones-dt-770-pro,https://cdna.pcpartpicker.com/static/forever/images/product/5c8923ca7708bee1844feee595dfa13e.256p.jpg,Circumaural,5 Hz - 35 kHz,No,No,Closed,Gray,199.99
HiFiMAN Susvara,https://pcpartpicker.com/product/fmkWGX/hifiman-susvara-headphones-susvara,https://cdna.pcpartpicker.com/static/forever/images/product/54fe0ca737c04afc856fa32912993f25.256p.jpg,Circumaural,6 Hz - 75 kHz,No,No,Open,Silver / Brown,
SteelSeries Arctis Nova Elite,https://pcpartpicker.com/product/kGzp99/steelseries-arctis-nova-elite-headset-61661,https://cdna.pcpartpicker.com/static/forever/images/product/bb368c788e16ad879d59b7e89a42d30c.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,599.99
Logitech Pro X,https://pcpartpicker.com/product/ZdXYcf/logitech-pro-x-71-channel-headset-981-000817,https://cdna.pcpartpicker.com/static/forever/images/product/c4927b86acf31ab403449e81673d56f7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,119.54
Bang &amp; Olufsen Beoplay H100,https://pcpartpicker.com/product/bGbypg/bang-olufsen-beoplay-h100-headset-1224403,https://m.media-amazon.com/images/I/3152Py9FvtL.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Beige / Gold,2200.00
HP HyperX Cloud III,https://pcpartpicker.com/product/Cqgrxr/hp-hyperx-cloud-iii-headset-77z46aa,https://cdna.pcpartpicker.com/static/forever/images/product/576d5c1a4ebf8e3c3257b80942b772e9.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,Yes,Closed,Black / Red,149.99
Sennheiser HD 560S,https://pcpartpicker.com/product/sBvdnQ/sennheiser-hd-560s-headphones-hd-560s,https://m.media-amazon.com/images/I/41ifERPgV7L.jpg,Circumaural,6 Hz - 38 kHz,No,No,Open,Black,139.99
Asus ROG Delta II,https://pcpartpicker.com/product/c3cgXL/asus-rog-delta-ii-headset-a701-rog-delta-iiblk,https://m.media-amazon.com/images/I/31Vj8Kju8kL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,164.99
Logitech ASTRO A50 X,https://pcpartpicker.com/product/8HZXsY/logitech-astro-a50-x-headset-939-002132,https://m.media-amazon.com/images/I/31Zemv3QxGL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,306.97
Sennheiser HD 800 S,https://pcpartpicker.com/product/4Ls8TW/sennheiser-headphones-hd800s,https://cdna.pcpartpicker.com/static/forever/images/product/1db438a9e4b045ddb1efc5765b5c6c43.256p.jpg,Circumaural,4 Hz - 51 kHz,No,No,Open,Black / Silver,1899.00
Razer BlackShark V3 Pro,https://pcpartpicker.com/product/v77MnQ/razer-blackshark-v3-pro-headset-rz04-05400100-r3u1,https://m.media-amazon.com/images/I/313za6dk+ZL.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,219.99
Logitech G733,https://pcpartpicker.com/product/cz4BD3/logitech-g733-headset-981-000863,https://cdna.pcpartpicker.com/static/forever/images/product/fbb0aa9d62adce35ae4d252cdd813a9d.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,118.00
Corsair Virtuoso RGB,https://pcpartpicker.com/product/kmrYcf/corsair-virtuoso-rgb-71-channel-headset-ca-9011186-na,https://cdna.pcpartpicker.com/static/forever/images/product/614f3f2375ec5c13f691e5176fb4c9d9.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,White,99.99
Turtle Beach EAR FORCE Recon 50X,https://pcpartpicker.com/product/CyH48d/turtle-beach-ear-force-recon-50x-headset-tbs-2303-01,https://cdna.pcpartpicker.com/static/forever/images/product/d23f5e4dfc957bc58b1e5e9113125484.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Green,31.98
HiFiMAN HE1000 Stealth,https://pcpartpicker.com/product/VGbRsY/hifiman-he1000-stealth-headphones-he1000-stealth,https://m.media-amazon.com/images/I/41-tcnW09xL.jpg,Circumaural,8 Hz - 65 kHz,No,No,Open,Silver / Brown,949.00
Beyerdynamic DT990 Pro Black Edition,https://pcpartpicker.com/product/Qb7v6h/beyerdynamic-dt990-pro-black-edition-headphones-713368,https://m.media-amazon.com/images/I/318wyaf5UAL.jpg,Circumaural,5 Hz - 35 kHz,No,No,Open,Black,169.99
SteelSeries Arctis Nova 5,https://pcpartpicker.com/product/nh4Zxr/steelseries-arctis-nova-5-headset-61670,https://m.media-amazon.com/images/I/31XR9DYT5gL.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black,129.99
Asus TUF Gaming H1 Gen II Hatsune Miku Edition,https://pcpartpicker.com/product/fwFCmG/asus-tuf-gaming-h1-gen-ii-hatsune-miku-edition-headset-90yh048b-bhua00,https://cdna.pcpartpicker.com/static/forever/images/product/85449ccbc982488361fe51a67bfd845a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,White / Teal,99.99
Logitech G432,https://pcpartpicker.com/product/v7QG3C/logitech-g432-71-channel-headset-981-000769,https://cdna.pcpartpicker.com/static/forever/images/product/9d0f1a5952e8d74d6590bdd46e0e4f07.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black / Blue,35.90
HP HyperX Cloud Stinger 2,https://pcpartpicker.com/product/CXPv6h/hp-hyperx-cloud-stinger-2-headset-519t1aa,https://cdna.pcpartpicker.com/static/forever/images/product/7bf94380d643588f7a1fe55bd534d7ce.256p.jpg,Circumaural,10 Hz - 28 kHz,Yes,No,Closed,Black,19.98
HP HyperX Cloud Alpha,https://pcpartpicker.com/product/CQ4Ycf/hp-hyperx-cloud-alpha-headset-4p5d4aa,https://cdna.pcpartpicker.com/static/forever/images/product/8390e7ddd98558ab65c9c309cc32a782.256p.jpg,Circumaural,15 Hz - 21 kHz,Yes,Yes,Closed,Black / Red,119.00
Razer Kraken V4 Pro,https://pcpartpicker.com/product/L87scf/razer-kraken-v4-pro-headset-rz04-05160100-r3u1,https://m.media-amazon.com/images/I/41YKjWuTS4L.jpg,Circumaural,20 Hz - 28 kHz,Yes,Yes,Closed,Black,380.00
Corsair VIRTUOSO MAX,https://pcpartpicker.com/product/rNXV3C/corsair-virtuoso-max-headset-ca-9011372-ww,https://cdna.pcpartpicker.com/static/forever/images/product/31933cbf2768de52ba6e06b90df10741.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,249.99
Sony WH-1000XM6,https://pcpartpicker.com/product/QP8Pxr/sony-wh-1000xm6-headset-wh-1000xm6b,https://m.media-amazon.com/images/I/21OmXKnGSFL.jpg,Circumaural,4 Hz - 40 kHz,Yes,Yes,Closed,Black,398.00
Asus ROG Kithara,https://pcpartpicker.com/product/WRxTwP/asus-rog-kithara-headset-a702-rog-kitharablk,https://m.media-amazon.com/images/I/311-iT-aH+L.jpg,Circumaural,8 Hz - 55 Hz,Yes,No,Open,Black,299.99
Logitech ASTRO A50 (GEN 5),https://pcpartpicker.com/product/N3qrxr/logitech-astro-a50-gen-5-headset-939-002217,https://cdna.pcpartpicker.com/static/forever/images/product/16e41f259c2ceadd5db8ef6dc48adda7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Red,239.99
Razer Barracuda X,https://pcpartpicker.com/product/kvPQzy/razer-barracuda-x-71-channel-headset-rz04-04430100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/16448f32d22b9b9923037494c5da025d.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,69.98
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",https://pcpartpicker.com/product/Rbqrxr/steelseries-arctis-nova-pro-wireless-for-pc-ps5-and-ps4-headset-61524,https://cdna.pcpartpicker.com/static/forever/images/product/979d9008f90071be5be7771f1c56db1a.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,White / Silver,379.99
Beyerdynamic DT 990 Pro 250 ,https://pcpartpicker.com/product/vbNp99/beyerdynamic-headphones-amsdt990pro250,https://m.media-amazon.com/images/I/41Ggh4q-qVL.jpg,Circumaural,5 Hz - 35 kHz,No,No,Open,Black / Gray,
SteelSeries Arctis Nova 7,https://pcpartpicker.com/product/vcQcCJ/steelseries-arctis-nova-7-headset-61553,https://cdna.pcpartpicker.com/static/forever/images/product/ec2c00c27ba9c62b94b536e94d970ace.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black,
Logitech G735,https://pcpartpicker.com/product/xvxxFT/logitech-g735-headset-981-001082,https://cdna.pcpartpicker.com/static/forever/images/product/9003bb2dbbf630570187994920ed0bff.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,149.99
Audeze Maxwell for Xbox Series X|S,https://pcpartpicker.com/product/xNqrxr/audeze-maxwell-for-xbox-series-xs-headset-207-mw-1120-01,https://cdna.pcpartpicker.com/static/forever/images/product/1df40b8e7169afdba5d4f75aef3123c5.256p.jpg,Circumaural,10 Hz - 50 kHz,Yes,Yes,Closed,Black / Green,359.90
Audio-Technica ATH-AD2000X,https://pcpartpicker.com/product/PKZFf7/audio-technica-ath-ad2000x-headphones-ath-ad2000x,https://m.media-amazon.com/images/I/41H9uQtAAEL.jpg,Circumaural,5 Hz - 45 kHz,No,No,Open,Black,
Razer Barracuda X,https://pcpartpicker.com/product/2QpzK8/razer-barracuda-x-71-channel-headset-rz04-04430200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/538567ee6ba6d79b74afd06933d4de16.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Gray,79.98
HP HyperX Cloud Alpha,https://pcpartpicker.com/product/HTWfrH/hp-hyperx-cloud-alpha-headset-hx-hsca-rdam,https://cdna.pcpartpicker.com/static/forever/images/product/d2cc7e0b2ecc8b08525d633e9db91c39.256p.jpg,Circumaural,13 Hz - 27 kHz,Yes,No,Closed,Black / Red,69.98
HP HyperX Cloud III S,https://pcpartpicker.com/product/YPNscf/hp-hyperx-cloud-iii-s-headset-a59yzaa,https://cdna.pcpartpicker.com/static/forever/images/product/6401808879d08421f9dd22bc6dc3ea1b.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,129.99
Sennheiser HD 650,https://pcpartpicker.com/product/DJJwrH/sennheiser-headphones-hd650,https://cdna.pcpartpicker.com/static/forever/images/product/3aabf4afad26ef129b33dd00d22ff4b1.256p.jpg,Circumaural,10 Hz - 39.5 kHz,No,No,Open,Black,359.00
Razer BlackShark V3 Pro,https://pcpartpicker.com/product/XtFCmG/razer-blackshark-v3-pro-headset-rz04-05400200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/b715cf31b5b10d2220d46eee95b618ce.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,219.99
Razer Kraken V3 X,https://pcpartpicker.com/product/96YmP6/razer-kraken-v3-x-71-channel-headset-rz04-03750300-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/3dc024b446b8f01940cbab1b2e9f854a.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black,49.98
Sony XM5,https://pcpartpicker.com/product/3VKKHx/sony-wh1000xm5b-headset-wh1000xm5b,https://cdna.pcpartpicker.com/static/forever/images/product/5b141c21cb9624a2129f3a5a192c7792.256p.jpg,Circumaural,4 Hz - 40 kHz,Yes,Yes,Closed,Black,278.00
HP HyperX Cloud III,https://pcpartpicker.com/product/WyFmP6/hp-hyperx-cloud-iii-headset-727a8aa,https://cdna.pcpartpicker.com/static/forever/images/product/1a86c3b238865d3ccbb94bc88b9ffaeb.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,No,Closed,Black,64.98
Asus TUF Gaming H1 Wireless,https://pcpartpicker.com/product/zMjBD3/asus-tuf-gaming-h1-wireless-71-channel-headset-90yh0391-b3ua00,https://cdna.pcpartpicker.com/static/forever/images/product/f3c2a3a1a568cb13fe746db2c5e70c7f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,,67.94
Corsair VOID WIRELESS v2,https://pcpartpicker.com/product/WWrp99/corsair-void-wireless-v2-headset-ca-9011380-ww,https://cdna.pcpartpicker.com/static/forever/images/product/2cb0936b563187568379c35488fc16f4.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,124.99
SteelSeries Arctis Pro,https://pcpartpicker.com/product/Zhm323/steelseries-arctis-pro-headset-61473,https://m.media-amazon.com/images/I/41csvTnazoL.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,219.99
Audio-Technica ATH-M50x,https://pcpartpicker.com/product/XMJwrH/audio-technica-ath-m50x-headphones-ath-m50x,https://cdna.pcpartpicker.com/static/forever/images/product/e9b556548ad05b9909370c276326973e.med.256p.jpg,Circumaural,15 Hz - 28 kHz,No,No,Closed,Black / Silver,159.00
Bang &amp; Olufsen Beoplay H100,https://pcpartpicker.com/product/2Z9nTW/bang-olufsen-beoplay-h100-headset-1224400,https://m.media-amazon.com/images/I/31LIIzu+oRL.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black / Silver,2200.00
Logitech G733,https://pcpartpicker.com/product/LLGnTW/logitech-g733-headset-981-000882,https://cdna.pcpartpicker.com/static/forever/images/product/5db482ae872a1db027021064471a6a28.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White / Gray,128.00
Corsair HS80 RGB,https://pcpartpicker.com/product/fwmmP6/corsair-hs80-rgb-headset-ca-9011235-na,https://cdna.pcpartpicker.com/static/forever/images/product/606675de5d3a4bafa83ae58470a421a0.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,149.99
Sony WH-1000XM6,https://pcpartpicker.com/product/3wm2FT/sony-wh-1000xm6-headset-wh-1000xm6s,https://cdna.pcpartpicker.com/static/forever/images/product/6fa9249f028a41bed451417d5250802b.256p.jpg,Circumaural,4 Hz - 40 kHz,Yes,Yes,Closed,White,398.00
Fractal Design Scape,https://pcpartpicker.com/product/rbRnTW/fractal-design-scape-headset-fd-hs-sca1-01,https://cdna.pcpartpicker.com/static/forever/images/product/9691b77d1f528454619818050d275ade.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,199.99
SteelSeries Arctis Nova Elite,https://pcpartpicker.com/product/rJWmP6/steelseries-arctis-nova-elite-headset-61663,https://cdna.pcpartpicker.com/static/forever/images/product/4f4a7690104a0d977d92e52d5b02ec10.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Green / Gold,599.99
Sennheiser HD 820,https://pcpartpicker.com/product/nzRzK8/sennheiser-hd-820-headphones-507435,https://cdna.pcpartpicker.com/static/forever/images/product/b3204b6469f27f1d492ccae40feeaa3b.256p.jpg,Circumaural,6 Hz - 48 kHz,No,No,Closed,Black,2199.94
Beyerdynamic DT 900 Pro X,https://pcpartpicker.com/product/DcjBD3/beyerdynamic-dt-900-pro-x-headphones-dt900prox,https://cdna.pcpartpicker.com/static/forever/images/product/7126cf8620353f97e6ae65b97aa44023.256p.jpg,Circumaural,5 Hz - 40 kHz,No,No,Open,Black / Gray,319.99
Audeze Maxwell for PlayStation 5,https://pcpartpicker.com/product/k7TZxr/audeze-maxwell-for-playstation-5-headset-208-mw-1120-01,https://cdna.pcpartpicker.com/static/forever/images/product/1df40b8e7169afdba5d4f75aef3123c5.256p.jpg,Circumaural,10 Hz - 50 kHz,Yes,Yes,Closed,Black / Blue,299.00
Sennheiser HDB 630,https://pcpartpicker.com/product/JLLp99/sennheiser-hdb-630-headphones-700445,https://cdna.pcpartpicker.com/static/forever/images/product/300840c82e9832bcdf54e172172f6665.256p.jpg,Circumaural,6 Hz - 40 kHz,No,Yes,Closed,Black,499.95
Razer Barracuda Pro,https://pcpartpicker.com/product/9jmmP6/razer-barracuda-pro-71-channel-headset-rz04-03780100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/c343a585d5d9741717533eae847c48d6.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,149.99
Logitech Pro X,https://pcpartpicker.com/product/f6TzK8/logitech-pro-x-headset-981-000906,https://cdna.pcpartpicker.com/static/forever/images/product/98c362f214b36c4839d78dbdd517435f.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,149.99
SteelSeries 61023,https://pcpartpicker.com/product/s8n2FT/steelseries-headphones-61023,https://m.media-amazon.com/images/I/41dQXg4j8lL.jpg,Circumaural,,Yes,No,Closed,Black / Orange,14.99
SteelSeries Arctis Nova 1P,https://pcpartpicker.com/product/by7scf/steelseries-arctis-nova-1p-headset-61612,https://cdna.pcpartpicker.com/static/forever/images/product/8d9ba0f11f962eca6a4607acc0b307a3.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,White,55.00
Corsair HS80 RGB,https://pcpartpicker.com/product/M9jRsY/corsair-hs80-rgb-71-channel-headset-ca-9011238-na,https://cdna.pcpartpicker.com/static/forever/images/product/725dd3b683db72b3dfd46d45f47f1335.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,No,Closed,White,79.98
HP HyperX Cloud Stinger 2 Core,https://pcpartpicker.com/product/cnHp99/hp-hyperx-cloud-stinger-2-core-headset-683l9aa,https://m.media-amazon.com/images/I/31GHf60yQ4L.jpg,Circumaural,10 Hz - 25 kHz,Yes,No,Closed,Black,39.99
Sennheiser HD 660S2,https://pcpartpicker.com/product/tKjRsY/sennheiser-hd-660s2-headphones-700240,https://cdna.pcpartpicker.com/static/forever/images/product/d3e3bd38e0195a188578421160519d07.256p.jpg,Circumaural,8 Hz - 41.5 kHz,No,No,Open,Black,419.76
Apple AirPods Max,https://pcpartpicker.com/product/XQhv6h/apple-airpods-max-headset-mgyh3ama,https://cdna.pcpartpicker.com/static/forever/images/product/2585cf3a0c21fd7677ac97f210153637.256p.jpg,Circumaural,,Yes,Yes,Closed,Black,524.00
Razer BlackShark V2 Pro (2023),https://pcpartpicker.com/product/RZwmP6/razer-blackshark-v2-pro-2023-headset-rz04-04530200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/158e8ed06166040a667a3a9e9574d042.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,White / Black,129.99
Philips SHP9500,https://pcpartpicker.com/product/BCJkcf/philips-headphones-shp9500,https://cdna.pcpartpicker.com/static/forever/images/product/0c13d11c5340b0f9046a76d52c32bf02.256p.jpg,Circumaural,12 Hz - 35 kHz,No,No,Open,Black,84.99
HP HyperX Cloud III S,https://pcpartpicker.com/product/fMgZxr/hp-hyperx-cloud-iii-s-headset-ax6g1aa,https://cdna.pcpartpicker.com/static/forever/images/product/99ff7b54ab06bf2758bafcf1d0e07280.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,129.99
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",https://pcpartpicker.com/product/GWqPxr/steelseries-arctis-nova-pro-wireless-for-xbox-xs-and-xbox-one-headset-61521,https://cdna.pcpartpicker.com/static/forever/images/product/d67777a48054e86dfe750f9a9bcf2871.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,308.99
JBL Quantum 100,https://pcpartpicker.com/product/qpYQzy/jbl-quantum-100-headset-jblquantum100blkam,https://cdna.pcpartpicker.com/static/forever/images/product/27407d33fe0ca6a7b81178845be2eb3c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,44.95
Logitech G535 LIGHTSPEED,https://pcpartpicker.com/product/sXmmP6/logitech-g535-lightspeed-headset-981-000971,https://cdna.pcpartpicker.com/static/forever/images/product/9aef883b5b47ec2d14ef06f7cf0a3b03.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Blue,99.36
Sennheiser HD600,https://pcpartpicker.com/product/YRrG3C/sennheiser-headphones-hd600,https://cdna.pcpartpicker.com/static/forever/images/product/7cc8cd810692a5bf53692c7cf9de7cab.256p.jpg,Circumaural,12 Hz - 39 kHz,No,No,Open,Black,281.00
Logitech H110,https://pcpartpicker.com/product/KGrG3C/logitech-headphones-981000214,https://m.media-amazon.com/images/I/41xt5GrrRwL.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,
Corsair VOID RGB ELITE,https://pcpartpicker.com/product/DY9tt6/corsair-void-rgb-elite-71-channel-headset-ca-9011202-na,https://cdna.pcpartpicker.com/static/forever/images/product/2e483f6f283c4606e4c82654ca8a2a03.256p.jpg,Circumaural,20 Hz - 30 kHz,Yes,Yes,Closed,White,101.54
HP HyperX Cloud III,https://pcpartpicker.com/product/bckH99/hp-hyperx-cloud-iii-headset-727a9aa,https://cdna.pcpartpicker.com/static/forever/images/product/ec5d37e655e02b570784ceb7462eb3eb.256p.jpg,Circumaural,10 Hz - 21 kHz,Yes,No,Closed,Black / Red,61.99
Asus ROG STRIX FUSION 700,https://pcpartpicker.com/product/9m66Mp/asus-rog-strix-fusion-700-headset-rog-strix-fusion-700,https://cdna.pcpartpicker.com/static/forever/images/product/94d99967278fd9f639a0fde957cc355e.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black,
Corsair VIRTUOSO RGB Wireless XT,https://pcpartpicker.com/product/8jGbt6/corsair-virtuoso-rgb-wireless-xt-headset-ca-9011188-na,https://cdna.pcpartpicker.com/static/forever/images/product/9d283c90ff0f0ca80335e51fc4ceef78.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Black / Silver,274.99
Logitech ASTRO A10,https://pcpartpicker.com/product/RfcgXL/logitech-astro-a10-headset-939-002055,https://cdna.pcpartpicker.com/static/forever/images/product/df983525ee0450c6c3e5cd732e82757c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,41.99
Corsair HS80 MAX WIRELESS,https://pcpartpicker.com/product/q6NYcf/corsair-hs80-max-wireless-headset-ca-9011295-na,https://cdna.pcpartpicker.com/static/forever/images/product/74e15dd13c60c87065c3114a50474dfa.256p.jpg,Circumaural,20 Hz - 40 kHz,Yes,Yes,Closed,Gray / Black,189.99
Logitech G PRO,https://pcpartpicker.com/product/3VWBD3/logitech-g-pro-headset-981-000811,https://cdna.pcpartpicker.com/static/forever/images/product/ca8f01da70a5aa07c7f910759378da67.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,
Sony WH1000XM4,https://pcpartpicker.com/product/6rdrxr/sony-wh1000xm4-headset-wh1000xm4b,https://cdna.pcpartpicker.com/static/forever/images/product/2af4e7c8c1307a160dc0a2ac3a837e63.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,
Razer Kraken Kitty V2 Pro,https://pcpartpicker.com/product/4p88TW/razer-kraken-kitty-v2-pro-71-channel-headset-rz04-04510200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/0d92983d812ea50020a300f9c0e8132a.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Pink / Gray,145.27
Asus TUF Gaming H1,https://pcpartpicker.com/product/jchFf7/asus-tuf-gaming-h1-71-channel-headset-90yh03a1-b1ua00,https://cdna.pcpartpicker.com/static/forever/images/product/bdeb6db19ea1a3540c8d321accf0c517.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,34.99
Panasonic RP-HJE125-A,https://pcpartpicker.com/product/QKBTwP/panasonic-rp-hje125-a-earbud-rp-hje125-a,https://m.media-amazon.com/images/I/31RUR0ANsCL.jpg,Earbud,,No,No,Closed,Blue,9.99
Turtle Beach Stealth 700 Gen 2 MAX,https://pcpartpicker.com/product/V6zhP6/turtle-beach-stealth-700-gen-2-max-51-channel-headset-tbs-2790-01,https://m.media-amazon.com/images/I/319vkRsrMvL.jpg,Circumaural,20 Hz - 22 kHz,Yes,Yes,Closed,Black / Silver,
