Name,URL,Image,Resolution,Connection,Focus Type,Operating System,FOV Angle,Price
Elgato FACECAM MK.2,https://pcpartpicker.com/product/Cbgrxr/elgato-facecam-mk2-webcam-10wac9901,https://cdna.pcpartpicker.com/static/forever/images/product/e585bff6bd397c38e48a1f9ee7362038.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows, OS X",84°,109.99
Razer Kiyo,https://pcpartpicker.com/product/F9drxr/razer-kiyo-webcam-rz19-02320100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/9a20036a42989c40ac4815feccc3c380.256p.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,Windows,81.6°,
Anker AnkerWork C310,https://pcpartpicker.com/product/vR7scf/anker-ankerwork-c310-webcam-a3367,https://m.media-amazon.com/images/I/41e7iSQiX2L.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,99.99
NexiGo N660P,https://pcpartpicker.com/product/Hc3NnQ/nexigo-n660p-webcam-n660pwht,https://m.media-amazon.com/images/I/31-gQF3VyXL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",,64.98
Elgato Facecam Neo,https://pcpartpicker.com/product/mBxTwP/elgato-facecam-neo-webcam-10wae9901,https://cdna.pcpartpicker.com/static/forever/images/product/2137c5bafb5a77d2753f9f101fe626ca.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",77°,
Insta360 Insta360 Link,https://pcpartpicker.com/product/WHC48d/insta360-insta360-link-webcam-cinstbja,https://cdna.pcpartpicker.com/static/forever/images/product/d0984d0f24918d0e630272f95c2635de.256p.jpg,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",79.5°,
Adesso Cybertrack H6,https://pcpartpicker.com/product/td2bt6/adesso-cybertrack-h6-webcam-cybertrack-h6,https://cdna.pcpartpicker.com/static/forever/images/product/3f2fca48bf142ce9c9046c57213e3df8.256p.jpg,4k,USB 2.0 Type-A,Fixed,"Windows, OS X",80°,54.99
OBSBOT MEET 2,https://pcpartpicker.com/product/zZ4Zxr/obsbot-meet-2-webcam-meet-2-space-grey,https://m.media-amazon.com/images/I/31C-AKF6QWL.jpg,"4k, 1080p, 720p, 480p",USB 2.0 Type-C,Auto,"Windows, OS X",79.4°,129.00
Adesso Cybertrack H4,https://pcpartpicker.com/product/hrQfrH/adesso-cybertrack-h4-webcam-cybertrack-h4,https://cdna.pcpartpicker.com/static/forever/images/product/609bd822e89f8c8fd2362da74f2a46fe.256p.jpg,1080p,USB 2.0 Type-A,Manual,"Windows, OS X",78°,29.99
Insta360 Link2C Pro,https://pcpartpicker.com/product/KCWmP6/insta360-link2c-pro-webcam-cinsabpb,https://m.media-amazon.com/images/I/31gMFgts1SL.jpg,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",83.9°,199.99
Asus ROG EYE S,https://pcpartpicker.com/product/N2TFf7/asus-rog-eye-s-webcam-rog-eye-s,https://m.media-amazon.com/images/I/41XgiMrsEqL.jpg,1080p,USB 2.0 Type-A,Auto,,,139.53
Razer Kiyo Pro,https://pcpartpicker.com/product/JBcG3C/razer-kiyo-pro-webcam-rz19-03640100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/3ab4d36d1a140e821e72a40ca75b3372.256p.jpg,"1080p, 720p, 480p",USB 3.2 Gen 1 Type-A,Auto,Windows,103°,
Razer Kiyo X,https://pcpartpicker.com/product/rrbTwP/razer-kiyo-x-webcam-rz19-04170100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/c38deaf6584dbc0f0ec53a2f11b486d9.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,Windows,82°,
Logitech Brio 500,https://pcpartpicker.com/product/p3XMnQ/logitech-brio-500-webcam-960-001427,https://cdna.pcpartpicker.com/static/forever/images/product/81a462b35de26e930ec698af546bc618.256p.jpg,"1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X, ChromeOS",90°,129.99
YoloLiv YoloCam S3,https://pcpartpicker.com/product/s8kqqs/yololiv-yolocam-s3-webcam-y-cam-cn006,https://m.media-amazon.com/images/I/31BYIG6y7yL.jpg,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X",82°,199.00
Logitech MX BRIO,https://pcpartpicker.com/product/nLNYcf/logitech-mx-brio-webcam-960-001545,https://m.media-amazon.com/images/I/31MO34WBGhL.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, ChromeOS",90°,169.99
Logitech StreamCam,https://pcpartpicker.com/product/7FLwrH/logitech-streamcam-webcam-960-001286,https://cdna.pcpartpicker.com/static/forever/images/product/837554dab5fa5f580779ab36e44f3e21.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",78°,149.99
Logitech Brio 500,https://pcpartpicker.com/product/H4kqqs/logitech-brio-500-webcam-960-001493,https://cdna.pcpartpicker.com/static/forever/images/product/e6220abd58c36f62784aca82523ae5a0.256p.jpg,"1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X, ChromeOS",90°,123.49
Adesso CyberTrack H3,https://pcpartpicker.com/product/JXzFf7/adesso-cybertrack-h3-webcam-cybertrackh3,https://cdna.pcpartpicker.com/static/forever/images/product/ac3d8ee27fabd3bfbd1532c21979049f.256p.jpg,720p,USB 2.0 Type-A,Manual,"Windows, OS X",,19.98
Logitech StreamCam,https://pcpartpicker.com/product/9YK2FT/logitech-streamcam-webcam-960-001289,https://cdna.pcpartpicker.com/static/forever/images/product/bdbf664155ee32da5186146b7d1fb577.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",78°,154.11
Asus Webcam C3,https://pcpartpicker.com/product/TcYmP6/asus-webcam-c3-webcam-asus-webcam-c3,https://cdna.pcpartpicker.com/static/forever/images/product/88b6f76371bca51927ef59daf3eae23c.256p.jpg,1080p,USB 2.0 Type-A,,"Windows, OS X, ChromeOS",,
