Name,URL,Image,Interface,Color,Price
Intel PWLA8391GTBLK,https://pcpartpicker.com/product/yKzv6h/intel-wired-network-card-pwla8391gtblk,https://cdna.pcpartpicker.com/static/forever/images/product/3fe15aeef30104e19968b6fc3871ef03.256p.jpg,PCI,,19.05
Acer NP.OTH11.005,https://pcpartpicker.com/product/kwR48d/acer-npoth11005-usb-20-10-mbits-network-adapter-npoth11005,https://cdna.pcpartpicker.com/static/forever/images/product/b2b9343c5592703ecdb20ed89e2f9ce1.256p.jpg,USB Type-A 2.0,,
StarTech ST1000SPEXD3,https://pcpartpicker.com/product/WvPfrH/startech-wired-network-card-st1000spexd3,https://m.media-amazon.com/images/I/41eM0b1sETL.jpg,PCIe x1,,
StarTech USB31000NDS,https://pcpartpicker.com/product/2hCwrH/startech-wired-network-card-usb31000nds,https://cdna.pcpartpicker.com/static/forever/images/product/6649a6de92b9e056f16f61298f6f1fd2.256p.jpg,USB Type-A 3.2 Gen 1,,34.99
StarTech USB31000SPTB,https://pcpartpicker.com/product/xXjG3C/startech-wired-network-card-usb31000sptb,https://cdna.pcpartpicker.com/static/forever/images/product/acf69231d3f7e45e3801b401db458709.256p.jpg,USB Type-A 3.2 Gen 1,,32.03
TP-Link TF-3239DL,https://pcpartpicker.com/product/xQtCmG/tp-link-wired-network-card-tf3239dl,https://m.media-amazon.com/images/I/41b5IrhpTrL.jpg,PCI,,
Plugable USB3-E1000,https://pcpartpicker.com/product/dLmxFT/plugable-usb3-e1000-network-adapter-usb3-e1000,https://m.media-amazon.com/images/I/31MPQ+evUyL.jpg,USB Type-A 3.2 Gen 1,,19.95
Linksys USB3GIG,https://pcpartpicker.com/product/ncw7YJ/linksys-usb3gig-usb-30-1000-mbits-network-adapter-usb3gig,https://cdna.pcpartpicker.com/static/forever/images/product/f178a50ae6bb9fc45c1adbf4402a57b8.256p.jpg,USB Type-A 3.2 Gen 1,Black,
Supermicro SGP-i4,https://pcpartpicker.com/product/QmVD4D/supermicro-sgp-i4-pcie-x4-1000-mbits-network-adapter-sgp-i4,https://cdna.pcpartpicker.com/static/forever/images/product/52086636bd63b7530aa8ecb1b631b622.256p.jpg,PCIe x4,Green / Silver,
Edimax EN-9320TX-E,https://pcpartpicker.com/product/D2BhP6/edimax-en-9320tx-e-pcie-x4-10-gbits-network-adapter-en-9320tx-e,https://cdna.pcpartpicker.com/static/forever/images/product/2485d05152a873ec5977df90af3e0b9f.256p.jpg,PCIe x4,Silver / Green,
Syba SD-PEX24065,https://pcpartpicker.com/product/w8t9TW/syba-sd-pex24065-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24065,https://cdna.pcpartpicker.com/static/forever/images/product/2127c59fa0f8012e803b082c9b8f3d62.256p.jpg,PCIe x1,Green,
D-Link DGE-560T,https://pcpartpicker.com/product/k3zFf7/d-link-dge-560t-gigabit-ethernet-pcie-x1-network-adapter-dge-560t,https://m.media-amazon.com/images/I/31DrQftNJ2L.jpg,PCIe x1,,
SIIG LB-GE0014-S1,https://pcpartpicker.com/product/Qq4Ycf/siig-lb-ge0014-s1-2-x-gigabit-ethernet-pcie-x4-network-adapter-lb-ge0014-s1,https://cdna.pcpartpicker.com/static/forever/images/product/0625add5146ac7183b1c42c6659eed83.256p.jpg,PCIe x4,Green / Black,135.97
D-Link DGE-530T,https://pcpartpicker.com/product/Dj6BD3/d-link-wired-network-card-dge530t,https://images-na.ssl-images-amazon.com/images/I/51NrCKnRCgL.jpg,PCI,,
Rosewill RC-404,https://pcpartpicker.com/product/TYvRsY/rosewill-wired-network-card-rc404,https://m.media-amazon.com/images/I/31szvlC-tBL.jpg,PCI,,
StarTech ST1000BT32,https://pcpartpicker.com/product/whh9TW/startech-wired-network-card-st1000bt32,https://m.media-amazon.com/images/I/41n4DxNJONL.jpg,PCI,,
Intel EXPI9402PT,https://pcpartpicker.com/product/GL8Zxr/intel-wired-network-card-expi9402pt,https://cdna.pcpartpicker.com/static/forever/images/product/de219bb9a8c917a5a9bf7db7ec1d1e8a.256p.jpg,PCIe x4,,
Intel PWLA8391GTBLK-1PK,https://pcpartpicker.com/product/VWg323/intel-wired-network-card-pwla8391gtblk1pk,https://m.media-amazon.com/images/I/31lZ7ndMMSL.jpg,PCI,,
StarTech USB31000S,https://pcpartpicker.com/product/sk2kcf/startech-usb31000s-usb-30-1-gbits-network-adapter-usb31000s,https://cdna.pcpartpicker.com/static/forever/images/product/7d58a922eaf4e36b1464a97fef06a391.256p.jpg,USB Type-A 3.2 Gen 1,,24.63
TRENDnet TEG-PCITXR,https://pcpartpicker.com/product/Kp7wrH/trendnet-wired-network-card-tegpcitxr,https://cdna.pcpartpicker.com/static/forever/images/product/4293c4df7f3ab3fa8ef31cf040292723.256p.jpg,PCI,,14.99
SIIG CN-GP1021-S3,https://pcpartpicker.com/product/bL8Zxr/siig-wired-network-card-cngp1021s3,https://cdna.pcpartpicker.com/static/forever/images/product/790f8f490bb6cbe48ffdf1b2eea689a1.256p.jpg,PCIe x1,,
D-Link DFE530TX+,https://pcpartpicker.com/product/GJJwrH/d-link-wired-network-card-dfe530tx,/static/forever/img/no-image.png,PCI,,
D-Link DUB-E100,https://pcpartpicker.com/product/MC7wrH/d-link-dub-e100-usb-20-100-mbits-network-adapter-dub-e100,https://m.media-amazon.com/images/I/41fZ6CPrH2L.jpg,USB Type-A 2.0,,
Rosewill RC-411,https://pcpartpicker.com/product/stMFf7/rosewill-wired-network-card-rc411,https://m.media-amazon.com/images/I/31WIV9-9vmL.jpg,PCIe x1,,
SIIG CN-GP4011-S1,https://pcpartpicker.com/product/mKfp99/siig-wired-network-card-cngp4011s1,https://images-na.ssl-images-amazon.com/images/I/41TqdRcixGL.jpg,PCIe x4,,
SIIG CN-GP4111-S1,https://pcpartpicker.com/product/hmGj4D/siig-cn-gp4111-s1-network-adapter-cn-gp4111-s1,https://images-na.ssl-images-amazon.com/images/I/412Oz1PY%2B0L.jpg,PCIe x4,,
Belkin F2CU040btBLK,https://pcpartpicker.com/product/dp2rxr/belkin-f2cu040btblk-network-adapter-f2cu040btblk,https://cdna.pcpartpicker.com/static/forever/images/product/b677afc9d9e8a44c5b0c3b65ea65958b.256p.jpg,USB Type-C 3.2 Gen 1,,22.08
Syba SY-PEX24056,https://pcpartpicker.com/product/jyYLrH/syba-sy-pex24056-pcie-x4-10-gbits-network-adapter-sy-pex24056,https://cdna.pcpartpicker.com/static/forever/images/product/a661f1bd52a0febb11ee9cd8f7962738.256p.jpg,PCIe x4,Green / Black,
SIIG JU-NE0621-S2,https://pcpartpicker.com/product/C8DJ7P/siig-ju-ne0621-s2-usb-30-1000-mbits-network-adapter-ju-ne0621-s2,https://cdna.pcpartpicker.com/static/forever/images/product/97c25cca9ee3ba3de6ff33348f8d26fc.256p.jpg,USB Type-A 3.2 Gen 1,White,
HP E0X95AA,https://pcpartpicker.com/product/Fk4gXL/hp-e0x95aa-gigabit-ethernet-pcie-x1-network-adapter-e0x95aa,https://cdna.pcpartpicker.com/static/forever/images/product/ed0eb0af32b41be09ab5e67b18c12d03.256p.jpg,PCIe x1,Green,
Intel PWLA8391GT,https://pcpartpicker.com/product/JMzv6h/intel-wired-network-card-pwla8391gt,https://m.media-amazon.com/images/I/51+UPiNllBL.jpg,PCI,,29.00
Rosewill RC-400,https://pcpartpicker.com/product/z6Gkcf/rosewill-wired-network-card-rc400,https://m.media-amazon.com/images/I/41u66nkTnYL.jpg,PCI,,
Rosewill RNF-405U,https://pcpartpicker.com/product/MVxfrH/rosewill-wired-network-card-rnf405u,https://m.media-amazon.com/images/I/31E14oepWEL.jpg,USB Type-A 2.0,,
